text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"She had a little thin face and a little thin body, thin light hair and a sour expression.",a little thin face,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.",True,False,"original_sentence='She had a little thin face and a little thin body, thin light hair and a sour expression.' physical_attributes=[PhysicalAttribute(attribute='a little thin face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a little thin body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='thin light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose hair is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a sour expression', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female."")]",a little thin face,a little thin face
0,0.0,"She had a little thin face and a little thin body, thin light hair and a sour expression.",a little thin body,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.",True,False,"original_sentence='She had a little thin face and a little thin body, thin light hair and a sour expression.' physical_attributes=[PhysicalAttribute(attribute='a little thin face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a little thin body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='thin light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose hair is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a sour expression', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female."")]",a little thin body,a little thin body
0,0.0,"She had a little thin face and a little thin body, thin light hair and a sour expression.",thin light hair,female,female,"The text uses the pronoun 'she' to refer to the person whose hair is being described, explicitly indicating the person's gender as female.",True,False,"original_sentence='She had a little thin face and a little thin body, thin light hair and a sour expression.' physical_attributes=[PhysicalAttribute(attribute='a little thin face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a little thin body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='thin light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose hair is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a sour expression', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female."")]",thin light hair,thin light hair
0,0.0,"She had a little thin face and a little thin body, thin light hair and a sour expression.",a sour expression,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.",True,True,"original_sentence='She had a little thin face and a little thin body, thin light hair and a sour expression.' physical_attributes=[PhysicalAttribute(attribute='a little thin face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a little thin body', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='thin light hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose hair is being described, explicitly indicating the person's gender as female.""), PhysicalAttribute(attribute='a sour expression', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute, explicitly indicating the person's gender as female."")]",a sour expression,a sour expression
1,1.0,"Her hair was like curly silk and she had a delicate little nose which seemed to be disdaining things, and she had large laughing eyes.",curly silk hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('curly silk hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her hair was like curly silk and she had a delicate little nose which seemed to be disdaining things, and she had large laughing eyes.' physical_attributes=[PhysicalAttribute(attribute='curly silk hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('curly silk hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a delicate little nose', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a delicate little nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large laughing eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('large laughing eyes'), explicitly suggesting the person's gender as female."")]",curly silk hair,curly silk hair
1,1.0,"Her hair was like curly silk and she had a delicate little nose which seemed to be disdaining things, and she had large laughing eyes.",large laughing eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('large laughing eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her hair was like curly silk and she had a delicate little nose which seemed to be disdaining things, and she had large laughing eyes.' physical_attributes=[PhysicalAttribute(attribute='curly silk hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('curly silk hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a delicate little nose', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a delicate little nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large laughing eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('large laughing eyes'), explicitly suggesting the person's gender as female."")]",large laughing eyes,large laughing eyes
2,2.0,"Basil was a little boy with impudent blue eyes and a turned-up nose, and Mary hated him.",impudent blue eyes,male,male,"The text explicitly refers to Basil as 'a little boy', indicating male gender; the attributes describe his physical features.",True,False,"original_sentence='Basil was a little boy with impudent blue eyes and a turned-up nose, and Mary hated him.' physical_attributes=[PhysicalAttribute(attribute='impudent blue eyes', gender='male', reasoning=""The text explicitly refers to Basil as 'a little boy', indicating male gender; the attributes describe his physical features.""), PhysicalAttribute(attribute='a turned-up nose', gender='male', reasoning=""The text explicitly refers to Basil as 'a little boy', indicating male gender; the attributes describe his physical features."")]",impudent blue eyes,impudent blue eyes
2,2.0,"Basil was a little boy with impudent blue eyes and a turned-up nose, and Mary hated him.",a turned-up nose,male,male,"The text explicitly refers to Basil as 'a little boy', indicating male gender; the attributes describe his physical features.",True,True,"original_sentence='Basil was a little boy with impudent blue eyes and a turned-up nose, and Mary hated him.' physical_attributes=[PhysicalAttribute(attribute='impudent blue eyes', gender='male', reasoning=""The text explicitly refers to Basil as 'a little boy', indicating male gender; the attributes describe his physical features.""), PhysicalAttribute(attribute='a turned-up nose', gender='male', reasoning=""The text explicitly refers to Basil as 'a little boy', indicating male gender; the attributes describe his physical features."")]",a turned-up nose,a turned-up nose
3,3.0,"""Perhaps if her mother had carried her pretty face and her pretty manners oftener into the nursery Mary might have learned some pretty ways too.",a pretty face,female,female,"The text uses the pronoun 'her' which refers to the person with the current attribute ('a pretty face'), suggesting that the person is female. Additionally, the name 'Mary' is typically associated with females.",True,True,"original_sentence='""Perhaps if her mother had carried her pretty face and her pretty manners oftener into the nursery Mary might have learned some pretty ways too.' physical_attributes=[PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The text uses the pronoun 'her' which refers to the person with the current attribute ('a pretty face'), suggesting that the person is female. Additionally, the name 'Mary' is typically associated with females.""), PhysicalAttribute(attribute='pretty manners', gender='female', reasoning=""The text uses the pronoun 'her' which refers to the person with the current attribute ('pretty manners'), suggesting that the person is female. The context also supports that the attributes are describing Mary.""), PhysicalAttribute(attribute='pretty ways', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty ways'), which is in line with the previously established feminine context."")]",a pretty face,a pretty face
3,3.0,"""Perhaps if her mother had carried her pretty face and her pretty manners oftener into the nursery Mary might have learned some pretty ways too.",pretty manners,female,female,"The text uses the pronoun 'her' which refers to the person with the current attribute ('pretty manners'), suggesting that the person is female. The context also supports that the attributes are describing Mary.",True,False,"original_sentence='""Perhaps if her mother had carried her pretty face and her pretty manners oftener into the nursery Mary might have learned some pretty ways too.' physical_attributes=[PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The text uses the pronoun 'her' which refers to the person with the current attribute ('a pretty face'), suggesting that the person is female. Additionally, the name 'Mary' is typically associated with females.""), PhysicalAttribute(attribute='pretty manners', gender='female', reasoning=""The text uses the pronoun 'her' which refers to the person with the current attribute ('pretty manners'), suggesting that the person is female. The context also supports that the attributes are describing Mary.""), PhysicalAttribute(attribute='pretty ways', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('pretty ways'), which is in line with the previously established feminine context."")]",pretty manners,pretty manners
