text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The shape of the letters on my father's, gave me an odd idea that he was a square, stout, dark man, with curly black hair.",curly black hair,male,male,"The text refers to 'my father', which indicates a male figure whose hair is described as 'curly black hair', explicitly suggesting the person's gender is male.",True,False,"original_sentence=""The shape of the letters on my father's, gave me an odd idea that he was a square, stout, dark man, with curly black hair."" physical_attributes=[PhysicalAttribute(attribute='a square man', gender='male', reasoning=""The text refers to 'my father' which indicates a male figure described as 'a square man', explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a stout man', gender='male', reasoning=""The text refers to 'my father' which indicates a male figure described as 'a stout man', explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='a dark man', gender='male', reasoning=""The text refers to 'my father' which indicates a male figure described as 'a dark man', explicitly suggesting the person's gender is male.""), PhysicalAttribute(attribute='curly black hair', gender='male', reasoning=""The text refers to 'my father', which indicates a male figure whose hair is described as 'curly black hair', explicitly suggesting the person's gender is male."")]",curly black hair,curly black hair
1,,"At such a time I found out for certain that this bleak place overgrown with nettles was the churchyard; and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried; and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried; and that the dark flat wilderness beyond the churchyard, intersected with dikes and mounds and gates, with scattered cattle feeding on it, was the marshes; and that the low leaden line beyond was the river; and that the distant savage lair from which the wind was rushing was the sea; and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip.",,unknown,,,False,False,"original_sentence='At such a time I found out for certain that this bleak place overgrown with nettles was the churchyard; and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried; and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried; and that the dark flat wilderness beyond the churchyard, intersected with dikes and mounds and gates, with scattered cattle feeding on it, was the marshes; and that the low leaden line beyond was the river; and that the distant savage lair from which the wind was rushing was the sea; and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip.' physical_attributes=[]",,
2,,"When the church came to itself,--for he was so sudden and strong that he made it go head over heels before me, and I saw the steeple under my feet,--when the church came to itself, I say, I was seated on a high tombstone, trembling while he ate the bread ravenously.",,male,,,False,False,"original_sentence='When the church came to itself,--for he was so sudden and strong that he made it go head over heels before me, and I saw the steeple under my feet,--when the church came to itself, I say, I was seated on a high tombstone, trembling while he ate the bread ravenously.' physical_attributes=[]",,
3,1.0,"“You young dog,” said the man, licking his lips, “what fat cheeks you ha' got.”  I believe they were fat, though I was at that time undersized for my years, and not strong.",fat cheeks,male,male,"The text uses the phrase 'the man' to directly refer to the individual with the attribute 'fat cheeks', suggesting the person's gender as male.",True,True,"original_sentence=""“You young dog,” said the man, licking his lips, “what fat cheeks you ha' got.”  I believe they were fat, though I was at that time undersized for my years, and not strong."" physical_attributes=[PhysicalAttribute(attribute='fat cheeks', gender='male', reasoning=""The text uses the phrase 'the man' to directly refer to the individual with the attribute 'fat cheeks', suggesting the person's gender as male."")]",fat cheeks,fat cheeks
4,,"Then, he held me by the arms, in an upright position on the top of the stone, and went on in these fearful terms:--  “You bring me, to-morrow morning early, that file and them wittles.",,male,,,False,False,"original_sentence='Then, he held me by the arms, in an upright position on the top of the stone, and went on in these fearful terms:--  “You bring me, to-morrow morning early, that file and them wittles.' physical_attributes=[]",,
5,,"When he came to the low church wall, he got over it, like a man whose legs were numbed and stiff, and then turned round to look for me.",,male,,,False,False,"original_sentence='When he came to the low church wall, he got over it, like a man whose legs were numbed and stiff, and then turned round to look for me.' physical_attributes=[]",,
6,,"The marshes were just a long black horizontal line then, as I stopped to look after him; and the river was just another horizontal line, not nearly so broad nor yet so black; and the sky was just a row of long angry red lines and dense black lines intermixed.",,male,,,False,False,"original_sentence='The marshes were just a long black horizontal line then, as I stopped to look after him; and the river was just another horizontal line, not nearly so broad nor yet so black; and the sky was just a row of long angry red lines and dense black lines intermixed.' physical_attributes=[]",,
7,2.0,"Chapter II  My sister, Mrs. Joe Gargery, was more than twenty years older than I, and had established a great reputation with herself and the neighbors because she had brought me up “by hand.” Having at that time to find out for myself what the expression meant, and knowing her to have a hard and heavy hand, and to be much in the habit of laying it upon her husband as well as upon me, I supposed that Joe Gargery and I were both brought up by hand.",a hard hand,female,female,"The attribute is associated with the pronoun 'her' referring to Mrs. Joe Gargery, indicating a female gender.",True,True,"original_sentence='Chapter II  My sister, Mrs. Joe Gargery, was more than twenty years older than I, and had established a great reputation with herself and the neighbors because she had brought me up “by hand.” Having at that time to find out for myself what the expression meant, and knowing her to have a hard and heavy hand, and to be much in the habit of laying it upon her husband as well as upon me, I supposed that Joe Gargery and I were both brought up by hand.' physical_attributes=[PhysicalAttribute(attribute='a hard hand', gender='female', reasoning=""The attribute is associated with the pronoun 'her' referring to Mrs. Joe Gargery, indicating a female gender.""), PhysicalAttribute(attribute='a heavy hand', gender='female', reasoning=""The attribute is also associated with the pronoun 'her', which refers to Mrs. Joe Gargery, indicating a female gender."")]",a hard hand,a hard hand
7,2.0,"Chapter II  My sister, Mrs. Joe Gargery, was more than twenty years older than I, and had established a great reputation with herself and the neighbors because she had brought me up “by hand.” Having at that time to find out for myself what the expression meant, and knowing her to have a hard and heavy hand, and to be much in the habit of laying it upon her husband as well as upon me, I supposed that Joe Gargery and I were both brought up by hand.",a heavy hand,female,female,"The attribute is also associated with the pronoun 'her', which refers to Mrs. Joe Gargery, indicating a female gender.",True,True,"original_sentence='Chapter II  My sister, Mrs. Joe Gargery, was more than twenty years older than I, and had established a great reputation with herself and the neighbors because she had brought me up “by hand.” Having at that time to find out for myself what the expression meant, and knowing her to have a hard and heavy hand, and to be much in the habit of laying it upon her husband as well as upon me, I supposed that Joe Gargery and I were both brought up by hand.' physical_attributes=[PhysicalAttribute(attribute='a hard hand', gender='female', reasoning=""The attribute is associated with the pronoun 'her' referring to Mrs. Joe Gargery, indicating a female gender.""), PhysicalAttribute(attribute='a heavy hand', gender='female', reasoning=""The attribute is also associated with the pronoun 'her', which refers to Mrs. Joe Gargery, indicating a female gender."")]",a heavy hand,a heavy hand
8,3.0,"Joe was a fair man, with curls of flaxen hair on each side of his smooth face, and with eyes of such a very undecided blue that they seemed to have somehow got mixed with their own whites.",flaxen hair,male,male,"The text refers to 'Joe', which is a common male name, indicating the gender of the person with the attribute 'flaxen hair' as male.",True,False,"original_sentence='Joe was a fair man, with curls of flaxen hair on each side of his smooth face, and with eyes of such a very undecided blue that they seemed to have somehow got mixed with their own whites.' physical_attributes=[PhysicalAttribute(attribute='flaxen hair', gender='male', reasoning=""The text refers to 'Joe', which is a common male name, indicating the gender of the person with the attribute 'flaxen hair' as male.""), PhysicalAttribute(attribute='a smooth face', gender='male', reasoning=""The text refers to 'Joe', which is a common male name, indicating the gender of the person with the attribute 'a smooth face' as male.""), PhysicalAttribute(attribute='undecided blue eyes', gender='male', reasoning=""The text refers to 'Joe', which is a common male name, indicating the gender of the person with the attribute 'undecided blue eyes' as male."")]",flaxen hair,flaxen hair
