text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"He skipped off the gunrest and looked gravely at his watcher, gathering about his legs the loose folds of his gown.",,male,,,False,False,"original_sentence='He skipped off the gunrest and looked gravely at his watcher, gathering about his legs the loose folds of his gown.' physical_attributes=[]",,
1,0.0,Buck Mulligan showed a shaven cheek over his right shoulder.,a shaven cheek,male,male,"The text explicitly refers to 'Buck Mulligan', a male name, and describes 'a shaven cheek' belonging to him, thereby indicating the person's gender as male.",True,True,"original_sentence='Buck Mulligan showed a shaven cheek over his right shoulder.' physical_attributes=[PhysicalAttribute(attribute='a shaven cheek', gender='male', reasoning=""The text explicitly refers to 'Buck Mulligan', a male name, and describes 'a shaven cheek' belonging to him, thereby indicating the person's gender as male."")]",a shaven cheek,a shaven cheek
2,,"Silently, in a dream she had come to him after her death, her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood, her breath, that had bent upon him, mute, reproachful, a faint odour of wetted ashes.",,evidence for both,,,False,False,"original_sentence='Silently, in a dream she had come to him after her death, her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood, her breath, that had bent upon him, mute, reproachful, a faint odour of wetted ashes.' physical_attributes=[]",,
3,1.0,He folded his razor neatly and with stroking palps of fingers felt the smooth skin.,smooth skin,male,male,"The pronoun 'he' indicates that the person described is male, and the skin is described as smooth.",True,True,"original_sentence='He folded his razor neatly and with stroking palps of fingers felt the smooth skin.' physical_attributes=[PhysicalAttribute(attribute='smooth skin', gender='male', reasoning=""The pronoun 'he' indicates that the person described is male, and the skin is described as smooth."")]",smooth skin,smooth skin
4,2.0,"In a dream, silently, she had come to him, her wasted body within its loose graveclothes giving off an odour of wax and rosewood, her breath, bent over him with mute secret words, a faint odour of wetted ashes.",a wasted body,evidence for both,female,"The pronoun 'her' is used to refer to the subject whose body is described as 'wasted', clearly indicating that the person is female.",False,True,"original_sentence='In a dream, silently, she had come to him, her wasted body within its loose graveclothes giving off an odour of wax and rosewood, her breath, bent over him with mute secret words, a faint odour of wetted ashes.' physical_attributes=[PhysicalAttribute(attribute='a wasted body', gender='female', reasoning=""The pronoun 'her' is used to refer to the subject whose body is described as 'wasted', clearly indicating that the person is female.""), PhysicalAttribute(attribute='a faint odour of wetted ashes', gender='unknown', reasoning='This attribute does not provide clear information about gender and is merely a description.')]",a wasted body,a wasted body
4,2.0,"In a dream, silently, she had come to him, her wasted body within its loose graveclothes giving off an odour of wax and rosewood, her breath, bent over him with mute secret words, a faint odour of wetted ashes.",a faint odour of wetted ashes,evidence for both,unknown,This attribute does not provide clear information about gender and is merely a description.,False,False,"original_sentence='In a dream, silently, she had come to him, her wasted body within its loose graveclothes giving off an odour of wax and rosewood, her breath, bent over him with mute secret words, a faint odour of wetted ashes.' physical_attributes=[PhysicalAttribute(attribute='a wasted body', gender='female', reasoning=""The pronoun 'her' is used to refer to the subject whose body is described as 'wasted', clearly indicating that the person is female.""), PhysicalAttribute(attribute='a faint odour of wetted ashes', gender='unknown', reasoning='This attribute does not provide clear information about gender and is merely a description.')]",a faint odour of wetted ashes,a faint odour of wetted ashes
5,,"A tall figure rose from the hammock where it had been sitting, went to the doorway and pulled open the inner doors.",,unknown,,,False,False,"original_sentence='A tall figure rose from the hammock where it had been sitting, went to the doorway and pulled open the inner doors.' physical_attributes=[]",,
6,,"He turned to Stephen and asked in a fine puzzled voice, lifting his brows:  —Can you recall, brother, is mother Grogan’s tea and water pot spoken of in the Mabinogion or is it in the Upanishads?",,male,,,False,False,"original_sentence='He turned to Stephen and asked in a fine puzzled voice, lifting his brows:  —Can you recall, brother, is mother Grogan’s tea and water pot spoken of in the Mabinogion or is it in the Upanishads?' physical_attributes=[]",,
7,3.0,"Crouching by a patient cow at daybreak in the lush field, a witch on her toadstool, her wrinkled fingers quick at the squirting dugs.",wrinkled fingers,female,female,"The use of 'her' indicates the witch is female, suggesting that the wrinkled fingers belong to a woman.",True,True,"original_sentence='Crouching by a patient cow at daybreak in the lush field, a witch on her toadstool, her wrinkled fingers quick at the squirting dugs.' physical_attributes=[PhysicalAttribute(attribute='wrinkled fingers', gender='female', reasoning=""The use of 'her' indicates the witch is female, suggesting that the wrinkled fingers belong to a woman."")]",wrinkled fingers,wrinkled fingers
8,,"Buck Mulligan slung his towel stolewise round his neck and, bending in loose laughter, said to Stephen’s ear:  —O, shade of Kinch the elder!",,male,,,False,False,"original_sentence='Buck Mulligan slung his towel stolewise round his neck and, bending in loose laughter, said to Stephen’s ear:  —O, shade of Kinch the elder!' physical_attributes=[]",,
9,4.0,"A young man clinging to a spur of rock near him, moved slowly frogwise his green legs in the deep jelly of the water.",green legs,male,male,"The term 'young man' clearly indicates the gender as male, and 'green legs' are described in relation to this male.",True,True,"original_sentence='A young man clinging to a spur of rock near him, moved slowly frogwise his green legs in the deep jelly of the water.' physical_attributes=[PhysicalAttribute(attribute='green legs', gender='male', reasoning=""The term 'young man' clearly indicates the gender as male, and 'green legs' are described in relation to this male."")]",green legs,green legs
10,5.0,An elderly man shot up near the spur of rock a blowing red face.,a blowing red face,unknown,male,"The text describes 'an elderly man', which explicitly suggests the gender of the person as male.",False,False,"original_sentence='An elderly man shot up near the spur of rock a blowing red face.' physical_attributes=[PhysicalAttribute(attribute='a blowing red face', gender='male', reasoning=""The text describes 'an elderly man', which explicitly suggests the gender of the person as male."")]",a blowing red face,a blowing red face
11,6.0,"A long look from dark eyes, a riddling sentence to be woven and woven on the church’s looms.",dark eyes,unknown,unknown,"The description of 'dark eyes' does not provide any gender clues, and there are no pronouns or other indicators of gender in the text.",True,True,"original_sentence='A long look from dark eyes, a riddling sentence to be woven and woven on the church’s looms.' physical_attributes=[PhysicalAttribute(attribute='dark eyes', gender='unknown', reasoning=""The description of 'dark eyes' does not provide any gender clues, and there are no pronouns or other indicators of gender in the text."")]",dark eyes,dark eyes
12,7.0,His tangled hair and scraggy neck gave witness of unreadiness and through his misty glasses weak eyes looked up pleading.,tangled hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His tangled hair and scraggy neck gave witness of unreadiness and through his misty glasses weak eyes looked up pleading.' physical_attributes=[PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='scraggy neck', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('scraggy neck'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('weak eyes'), explicitly suggesting the person's gender as male."")]",tangled hair,tangled hair
12,7.0,His tangled hair and scraggy neck gave witness of unreadiness and through his misty glasses weak eyes looked up pleading.,scraggy neck,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('scraggy neck'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His tangled hair and scraggy neck gave witness of unreadiness and through his misty glasses weak eyes looked up pleading.' physical_attributes=[PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='scraggy neck', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('scraggy neck'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('weak eyes'), explicitly suggesting the person's gender as male."")]",scraggy neck,scraggy neck
12,7.0,His tangled hair and scraggy neck gave witness of unreadiness and through his misty glasses weak eyes looked up pleading.,weak eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('weak eyes'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His tangled hair and scraggy neck gave witness of unreadiness and through his misty glasses weak eyes looked up pleading.' physical_attributes=[PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='scraggy neck', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('scraggy neck'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('weak eyes'), explicitly suggesting the person's gender as male."")]",weak eyes,weak eyes
13,,Beneath were sloping figures and at the foot a crooked signature with blind loops and a blot.,,unknown,,,False,False,original_sentence='Beneath were sloping figures and at the foot a crooked signature with blind loops and a blot.' physical_attributes=[],,
14,8.0,"Ugly and futile: lean neck and tangled hair and a stain of ink, a snail’s bed.",a lean neck,unknown,unknown,"The description does not provide any gender-specific references, making the person's gender indeterminate.",True,True,"original_sentence='Ugly and futile: lean neck and tangled hair and a stain of ink, a snail’s bed.' physical_attributes=[PhysicalAttribute(attribute='a lean neck', gender='unknown', reasoning=""The description does not provide any gender-specific references, making the person's gender indeterminate.""), PhysicalAttribute(attribute='tangled hair', gender='unknown', reasoning=""The description does not provide any gender-specific references, making the person's gender indeterminate."")]",a lean neck,a lean neck
14,8.0,"Ugly and futile: lean neck and tangled hair and a stain of ink, a snail’s bed.",tangled hair,unknown,unknown,"The description does not provide any gender-specific references, making the person's gender indeterminate.",True,False,"original_sentence='Ugly and futile: lean neck and tangled hair and a stain of ink, a snail’s bed.' physical_attributes=[PhysicalAttribute(attribute='a lean neck', gender='unknown', reasoning=""The description does not provide any gender-specific references, making the person's gender indeterminate.""), PhysicalAttribute(attribute='tangled hair', gender='unknown', reasoning=""The description does not provide any gender-specific references, making the person's gender indeterminate."")]",tangled hair,tangled hair
15,,"A poor soul gone to heaven: and on a heath beneath winking stars a fox, red reek of rapine in his fur, with merciless bright eyes scraped in the earth, listened, scraped up the earth, listened, scraped and scraped.",,male,,,False,False,"original_sentence='A poor soul gone to heaven: and on a heath beneath winking stars a fox, red reek of rapine in his fur, with merciless bright eyes scraped in the earth, listened, scraped up the earth, listened, scraped and scraped.' physical_attributes=[]",,
16,9.0,"Waiting always for a word of help his hand moved faithfully the unsteady symbols, a faint hue of shame flickering behind his dull skin.",dull skin,male,male,"The text uses the pronoun 'his' to refer to the person whose skin is being described, explicitly suggesting the person's gender as male.",True,False,"original_sentence='Waiting always for a word of help his hand moved faithfully the unsteady symbols, a faint hue of shame flickering behind his dull skin.' physical_attributes=[PhysicalAttribute(attribute='dull skin', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose skin is being described, explicitly suggesting the person's gender as male."")]",dull skin,dull skin
