text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,In the dark of my room I imagined that I saw again the heavy grey face of the paralytic.,,unknown,,,False,False,original_sentence='In the dark of my room I imagined that I saw again the heavy grey face of the paralytic.' physical_attributes=[],,
1,0.0,Even as he raised his large trembling hand to his nose little clouds of smoke dribbled through his fingers over the front of his coat.,a large trembling hand,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a large trembling hand'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='Even as he raised his large trembling hand to his nose little clouds of smoke dribbled through his fingers over the front of his coat.' physical_attributes=[PhysicalAttribute(attribute='a large trembling hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a large trembling hand'), explicitly suggesting the person's gender as male."")]",a large trembling hand,a large trembling hand
2,,"Sometimes he used to put me through the responses of the Mass which he had made me learn by heart; and, as I pattered, he used to smile pensively and nod his head, now and then pushing huge pinches of snuff up each nostril alternately.",,male,,,False,False,"original_sentence='Sometimes he used to put me through the responses of the Mass which he had made me learn by heart; and, as I pattered, he used to smile pensively and nod his head, now and then pushing huge pinches of snuff up each nostril alternately.' physical_attributes=[]",,
3,1.0,When he smiled he used to uncover his big discoloured teeth and let his tongue lie upon his lower lip—a habit which had made me feel uneasy in the beginning of our acquaintance before I knew him well.,big discolored teeth,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('big discolored teeth'), explicitly indicating the person's gender as male.",True,False,"original_sentence='When he smiled he used to uncover his big discoloured teeth and let his tongue lie upon his lower lip—a habit which had made me feel uneasy in the beginning of our acquaintance before I knew him well.' physical_attributes=[PhysicalAttribute(attribute='big discolored teeth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('big discolored teeth'), explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='lower lip', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('lower lip'), explicitly indicating the person's gender as male."")]",big discolored teeth,big discolored teeth
3,1.0,When he smiled he used to uncover his big discoloured teeth and let his tongue lie upon his lower lip—a habit which had made me feel uneasy in the beginning of our acquaintance before I knew him well.,lower lip,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('lower lip'), explicitly indicating the person's gender as male.",True,True,"original_sentence='When he smiled he used to uncover his big discoloured teeth and let his tongue lie upon his lower lip—a habit which had made me feel uneasy in the beginning of our acquaintance before I knew him well.' physical_attributes=[PhysicalAttribute(attribute='big discolored teeth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('big discolored teeth'), explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='lower lip', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('lower lip'), explicitly indicating the person's gender as male."")]",lower lip,lower lip
4,2.0,"There he lay, solemn and copious, vested as for the altar, his large hands loosely retaining a chalice.",large hands,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('large hands'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='There he lay, solemn and copious, vested as for the altar, his large hands loosely retaining a chalice.' physical_attributes=[PhysicalAttribute(attribute='large hands', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('large hands'), explicitly suggesting the person's gender as male."")]",large hands,large hands
5,,"We were serious to the point of solemnity, but once during the short voyage our eyes met and we laughed.",,unknown,,,False,False,"original_sentence='We were serious to the point of solemnity, but once during the short voyage our eyes met and we laughed.' physical_attributes=[]",,
6,3.0,"I went to the stern and tried to decipher the legend upon it but, failing to do so, I came back and examined the foreign sailors to see had any of them green eyes for I had some confused notion....",green eyes,unknown,unknown,"The text describes 'green eyes' without any direct clues about the person's gender, as 'foreign sailors' is a general term and doesn't specify gender.",True,True,"original_sentence='I went to the stern and tried to decipher the legend upon it but, failing to do so, I came back and examined the foreign sailors to see had any of them green eyes for I had some confused notion....' physical_attributes=[PhysicalAttribute(attribute='green eyes', gender='unknown', reasoning=""The text describes 'green eyes' without any direct clues about the person's gender, as 'foreign sailors' is a general term and doesn't specify gender."")]",green eyes,green eyes
7,4.0,The sailors’ eyes were blue and grey and even black.,blue eyes,unknown,unknown,"The text does not specify the gender of the sailors, and the attribute 'blue eyes' could belong to anyone.",True,True,"original_sentence='The sailors’ eyes were blue and grey and even black.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='unknown', reasoning=""The text does not specify the gender of the sailors, and the attribute 'blue eyes' could belong to anyone.""), PhysicalAttribute(attribute='grey eyes', gender='unknown', reasoning=""The text does not specify the gender of the sailors, and the attribute 'grey eyes' could belong to anyone.""), PhysicalAttribute(attribute='black eyes', gender='unknown', reasoning=""The text does not specify the gender of the sailors, and the attribute 'black eyes' could belong to anyone."")]",blue eyes,blue eyes
7,4.0,The sailors’ eyes were blue and grey and even black.,grey eyes,unknown,unknown,"The text does not specify the gender of the sailors, and the attribute 'grey eyes' could belong to anyone.",True,False,"original_sentence='The sailors’ eyes were blue and grey and even black.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='unknown', reasoning=""The text does not specify the gender of the sailors, and the attribute 'blue eyes' could belong to anyone.""), PhysicalAttribute(attribute='grey eyes', gender='unknown', reasoning=""The text does not specify the gender of the sailors, and the attribute 'grey eyes' could belong to anyone.""), PhysicalAttribute(attribute='black eyes', gender='unknown', reasoning=""The text does not specify the gender of the sailors, and the attribute 'black eyes' could belong to anyone."")]",grey eyes,grey eyes
