text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"I remember how I sat on the table there in the blackness, with patches of green and crimson swimming before my eyes.",,unknown,,,False,False,"original_sentence='I remember how I sat on the table there in the blackness, with patches of green and crimson swimming before my eyes.' physical_attributes=[]",,
1,,"It was seen early in the morning, rushing over Winchester eastward, a line of flame high in the atmosphere.",,unknown,,,False,False,"original_sentence='It was seen early in the morning, rushing over Winchester eastward, a line of flame high in the atmosphere.' physical_attributes=[]",,
2,,"The uncovered part had the appearance of a huge cylinder, caked over and its outline softened by a thick scaly dun-coloured incrustation.",,unknown,,,False,False,"original_sentence='The uncovered part had the appearance of a huge cylinder, caked over and its outline softened by a thick scaly dun-coloured incrustation.' physical_attributes=[]",,
3,0.0,Two large dark-coloured eyes were regarding me steadfastly.,large dark-coloured eyes,unknown,unknown,The text describes the eyes as 'large dark-coloured' but does not provide any information about the person's gender.,True,False,"original_sentence='Two large dark-coloured eyes were regarding me steadfastly.' physical_attributes=[PhysicalAttribute(attribute='large dark-coloured eyes', gender='unknown', reasoning=""The text describes the eyes as 'large dark-coloured' but does not provide any information about the person's gender."")]",large dark-coloured eyes,large dark-coloured eyes
4,,"There was something fungoid in the oily brown skin, something in the clumsy deliberation of the tedious movements unspeakably nasty.",,unknown,,,False,False,"original_sentence='There was something fungoid in the oily brown skin, something in the clumsy deliberation of the tedious movements unspeakably nasty.' physical_attributes=[]",,
5,,"I began walking, therefore, in a big curve, seeking some point of vantage and continually looking at the sand heaps that hid these new-comers to our earth.",,unknown,,,False,False,"original_sentence='I began walking, therefore, in a big curve, seeking some point of vantage and continually looking at the sand heaps that hid these new-comers to our earth.' physical_attributes=[]",,
6,,"Once a leash of thin black whips, like the arms of an octopus, flashed across the sunset and was immediately withdrawn, and afterwards a thin rod rose up, joint by joint, bearing at its apex a circular disk that spun with a wobbling motion.",,unknown,,,False,False,"original_sentence='Once a leash of thin black whips, like the arms of an octopus, flashed across the sunset and was immediately withdrawn, and afterwards a thin rod rose up, joint by joint, bearing at its apex a circular disk that spun with a wobbling motion.' physical_attributes=[]",,
7,,"The flickering light was blinding and confusing, and a thin hail smote gustily at my face as I drove down the slope.",,unknown,,,False,False,"original_sentence='The flickering light was blinding and confusing, and a thin hail smote gustily at my face as I drove down the slope.' physical_attributes=[]",,
8,,"The horse lay motionless (his neck was broken, poor brute!)",,male,,,False,False,"original_sentence='The horse lay motionless (his neck was broken, poor brute!)' physical_attributes=[]",,
9,,"Behind the main body was a huge mass of white metal like a gigantic fisherman's basket, and puffs of green smoke squirted out from the joints of the limbs as the monster swept by me.",,unknown,,,False,False,"original_sentence=""Behind the main body was a huge mass of white metal like a gigantic fisherman's basket, and puffs of green smoke squirted out from the joints of the limbs as the monster swept by me."" physical_attributes=[]",,
10,,"A thin hail was now beginning, and as it came and went their figures grew misty and then flashed into clearness again.",,unknown,,,False,False,"original_sentence='A thin hail was now beginning, and as it came and went their figures grew misty and then flashed into clearness again.' physical_attributes=[]",,
11,,"It seemed indeed as if the whole country in that direction was on fire--a broad hillside set with minute tongues of flame, swaying and writhing with the gusts of the dying storm, and throwing a red reflection upon the cloud-scud above.",,unknown,,,False,False,"original_sentence='It seemed indeed as if the whole country in that direction was on fire--a broad hillside set with minute tongues of flame, swaying and writhing with the gusts of the dying storm, and throwing a red reflection upon the cloud-scud above.' physical_attributes=[]",,
12,,"I could not see what they were doing, nor the clear form of them, nor recognise the black objects they were busied upon.",,unknown,,,False,False,"original_sentence='I could not see what they were doing, nor the clear form of them, nor recognise the black objects they were busied upon.' physical_attributes=[]",,
13,,"The woods across the line were but the scarred and blackened ruins of woods; for the most part the trees had fallen, but a certain proportion still stood, dismal grey stems, with dark brown foliage instead of green.",,unknown,,,False,False,"original_sentence='The woods across the line were but the scarred and blackened ruins of woods; for the most part the trees had fallen, but a certain proportion still stood, dismal grey stems, with dark brown foliage instead of green.' physical_attributes=[]",,
14,,Hundred feet high.,,unknown,,,False,False,original_sentence='Hundred feet high.' physical_attributes=[],,
15,,"Then suddenly we saw a rush of smoke far away up the river, a puff of smoke that jerked up into the air and hung; and forthwith the ground heaved under foot and a heavy explosion shook the air, smashing two or three windows in the houses near, and leaving us astonished.",,unknown,,,False,False,"original_sentence='Then suddenly we saw a rush of smoke far away up the river, a puff of smoke that jerked up into the air and hung; and forthwith the ground heaved under foot and a heavy explosion shook the air, smashing two or three windows in the houses near, and leaving us astonished.' physical_attributes=[]",,
16,,"The stones under my feet were muddy and slippery, and the river was so low that I ran perhaps twenty feet scarcely waist-deep.",,unknown,,,False,False,"original_sentence='The stones under my feet were muddy and slippery, and the river was so low that I ran perhaps twenty feet scarcely waist-deep.' physical_attributes=[]",,
17,,"It drove along in a straight line, incapable of guidance.",,unknown,,,False,False,"original_sentence='It drove along in a straight line, incapable of guidance.' physical_attributes=[]",,
18,,"I have a dim memory of the foot of a Martian coming down within a score of yards of my head, driving straight into the loose gravel, whirling it this way and that and lifting again; of a long suspense, and then of the four carrying the debris of their comrade between them, now clear and then presently faint through a veil of smoke, receding interminably, as it seemed to me, across a vast space of river and meadow.",,unknown,,,False,False,"original_sentence='I have a dim memory of the foot of a Martian coming down within a score of yards of my head, driving straight into the loose gravel, whirling it this way and that and lifting again; of a long suspense, and then of the four carrying the debris of their comrade between them, now clear and then presently faint through a veil of smoke, receding interminably, as it seemed to me, across a vast space of river and meadow.' physical_attributes=[]",,
