attribute,person_term,generation,method1_rating,method2_rating,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man,2,2,2,gpt-4o,-7.194652557373047,-0.6946526169776917,-0.6946526169776917,-7.194652557373047,-14.944652557373047,-19.569652557373047,,3.7777777777777777
a button nose,nonbinary person,4,4,4,gpt-4o,,-14.28063678741455,-3.5306363105773926,-0.030636340379714966,-7.030636310577393,-15.53063678741455,,3.806451612903226
a button nose,woman,4,4,4,gpt-4o,,-16.322805404663086,-5.572805881500244,-0.6978058218955994,-0.6978058218955994,-7.072805881500244,-16.072805404663086,5.176470588235294
a chiseled jawline,man,6,6,6,gpt-4o,,-20.45555877685547,-13.768059730529785,-6.893059730529785,-1.1430597305297852,-0.39305970072746277,-5.268059730529785,6.0
a chiseled jawline,nonbinary person,4,4,4,gpt-4o,-15.452071189880371,-10.952071189880371,-2.827071189880371,-0.07707127928733826,-4.202071189880371,-11.827071189880371,-16.327072143554688,3.769230769230769
a chiseled jawline,woman,3,3,3,gpt-4o,-16.451602935791016,-7.826601982116699,-0.7016019821166992,-0.7016019821166992,-4.826601982116699,-11.9516019821167,-18.951602935791016,2.217391304347826
a clear complexion,man,4,4,4,gpt-4o,-19.353084564208984,-12.7280855178833,-2.3530852794647217,-0.10308528691530228,-5.853085517883301,-14.7280855178833,-21.040584564208984,4.166666666666667
a clear complexion,nonbinary person,4,4,4,gpt-4o,-13.014720916748047,-14.639720916748047,-8.139720916748047,-0.014721032232046127,-4.264720916748047,-8.889720916748047,-10.139720916748047,5.071428571428571
a clear complexion,woman,5,5,5,gpt-4o,,-19.3872127532959,-11.074712753295898,-3.3247122764587402,-0.0747123435139656,-3.3247122764587402,-11.949712753295898,5.85
a crew cut,man,4,4,4,gpt-4o,-15.285611152648926,-10.285611152648926,-2.160611152648926,-0.160611093044281,-3.410611152648926,-10.410611152648926,-16.28561019897461,5.764705882352941
a crew cut,nonbinary person,4,4,4,gpt-4o,-13.951964378356934,-10.326964378356934,-1.7019643783569336,-0.20196442306041718,-7.576964378356934,-15.826964378356934,-19.32696533203125,4.611111111111111
a crew cut,woman,3,3,3,gpt-4o,-12.918582916259766,-4.293582916259766,-0.04358310624957085,-3.5435831546783447,-9.668582916259766,-16.293582916259766,,2.6666666666666665
