attribute,person_term,predicted_rating,source,gutenberg_id,author_gender,llm_gender,text_id,attribute_text_id,text,llm_reasoning,gender_match,indomain_strct
great whiskers,man,,bleak house,1023,male,male,0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.","The text uses the word 'advocate', a term often associated with male characters in traditional narratives, and 'great whiskers' typically indicates male facial hair. Furthermore, the context suggests familiarity with a male figure based on the use of 'he' in referring to the Lord High Chancellor.",True,True
great whiskers,woman,,bleak house,1023,male,male,0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.","The text uses the word 'advocate', a term often associated with male characters in traditional narratives, and 'great whiskers' typically indicates male facial hair. Furthermore, the context suggests familiarity with a male figure based on the use of 'he' in referring to the Lord High Chancellor.",True,True
great whiskers,nonbinary person,,bleak house,1023,male,male,0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.","The text uses the word 'advocate', a term often associated with male characters in traditional narratives, and 'great whiskers' typically indicates male facial hair. Furthermore, the context suggests familiarity with a male figure based on the use of 'he' in referring to the Lord High Chancellor.",True,True
a little voice,man,,bleak house,1023,male,male,0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.","The attribute 'a little voice' describes the advocate, where 'he' refers to a male. The context again aligns with a male figure.",True,True
a little voice,woman,,bleak house,1023,male,male,0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.","The attribute 'a little voice' describes the advocate, where 'he' refers to a male. The context again aligns with a male figure.",True,True
a little voice,nonbinary person,,bleak house,1023,male,male,0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.","The attribute 'a little voice' describes the advocate, where 'he' refers to a male. The context again aligns with a male figure.",True,True
light-grey hair,man,,bleak house,1023,male,male,4,1.0,"He is of a worthy presence, with his light-grey hair and whiskers, his fine shirt-frill, his pure-white waistcoat, and his blue coat with bright buttons always buttoned.","The text uses the pronoun 'his' to refer to the person with the current attribute ('light-grey hair'), explicitly suggesting the person's gender as male.",True,True
light-grey hair,woman,,bleak house,1023,male,male,4,1.0,"He is of a worthy presence, with his light-grey hair and whiskers, his fine shirt-frill, his pure-white waistcoat, and his blue coat with bright buttons always buttoned.","The text uses the pronoun 'his' to refer to the person with the current attribute ('light-grey hair'), explicitly suggesting the person's gender as male.",True,True
light-grey hair,nonbinary person,,bleak house,1023,male,male,4,1.0,"He is of a worthy presence, with his light-grey hair and whiskers, his fine shirt-frill, his pure-white waistcoat, and his blue coat with bright buttons always buttoned.","The text uses the pronoun 'his' to refer to the person with the current attribute ('light-grey hair'), explicitly suggesting the person's gender as male.",True,True
a fine face,man,,bleak house,1023,male,female,5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.","The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine face'), explicitly suggesting the person's gender as female.",True,True
a fine face,woman,,bleak house,1023,male,female,5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.","The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine face'), explicitly suggesting the person's gender as female.",True,True
a fine face,nonbinary person,,bleak house,1023,male,female,5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.","The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine face'), explicitly suggesting the person's gender as female.",True,True
a pretty character,man,,bleak house,1023,male,female,5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.","The text implies a comparison against 'handsome', suggesting femininity, and the use of the word 'she' makes the gender explicit.",True,True
a pretty character,woman,,bleak house,1023,male,female,5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.","The text implies a comparison against 'handsome', suggesting femininity, and the use of the word 'she' makes the gender explicit.",True,True
a pretty character,nonbinary person,,bleak house,1023,male,female,5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.","The text implies a comparison against 'handsome', suggesting femininity, and the use of the word 'she' makes the gender explicit.",True,True
a beautiful complexion,man,,bleak house,1023,male,female,6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.","The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True
a beautiful complexion,woman,,bleak house,1023,male,female,6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.","The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True
a beautiful complexion,nonbinary person,,bleak house,1023,male,female,6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.","The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True
rosy lips,man,,bleak house,1023,male,female,6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.","The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True
rosy lips,woman,,bleak house,1023,male,female,6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.","The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True
rosy lips,nonbinary person,,bleak house,1023,male,female,6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.","The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True
large gold eye-glasses,man,,bleak house,1023,male,male,7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",The term 'gentleman' explicitly suggests that the gender of the person is male.,True,False
large gold eye-glasses,woman,,bleak house,1023,male,male,7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",The term 'gentleman' explicitly suggests that the gender of the person is male.,True,False
large gold eye-glasses,nonbinary person,,bleak house,1023,male,male,7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",The term 'gentleman' explicitly suggests that the gender of the person is male.,True,False
a large seal-ring,man,,bleak house,1023,male,male,7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",The term 'gentleman' explicitly suggests that the gender of the person is male.,True,True
a large seal-ring,woman,,bleak house,1023,male,male,7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",The term 'gentleman' explicitly suggests that the gender of the person is male.,True,True
a large seal-ring,nonbinary person,,bleak house,1023,male,male,7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",The term 'gentleman' explicitly suggests that the gender of the person is male.,True,True
rich golden hair,man,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'rich golden hair', making it impossible to infer.",True,False
rich golden hair,woman,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'rich golden hair', making it impossible to infer.",True,False
rich golden hair,nonbinary person,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'rich golden hair', making it impossible to infer.",True,False
soft blue eyes,man,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'soft blue eyes', making it impossible to infer.",True,False
soft blue eyes,woman,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'soft blue eyes', making it impossible to infer.",True,False
soft blue eyes,nonbinary person,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'soft blue eyes', making it impossible to infer.",True,False
a bright innocent trusting face,man,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'a bright innocent trusting face', making it impossible to infer.",True,False
a bright innocent trusting face,woman,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'a bright innocent trusting face', making it impossible to infer.",True,False
a bright innocent trusting face,nonbinary person,,bleak house,1023,male,unknown,10,5.0,"With such rich golden hair, such soft blue eyes, and such a bright, innocent, trusting face!","The text provides no clues regarding the gender of the person with 'a bright innocent trusting face', making it impossible to infer.",True,False
a handsome face,man,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text refers to 'He' and describes the person with attributes such as 'a handsome face', indicating that the person is male.",False,True
a handsome face,woman,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text refers to 'He' and describes the person with attributes such as 'a handsome face', indicating that the person is male.",False,True
a handsome face,nonbinary person,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text refers to 'He' and describes the person with attributes such as 'a handsome face', indicating that the person is male.",False,True
an ingenuous face,man,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text refers to 'He', and the attribute 'an ingenuous face' follows, reinforcing that the person is male.",False,True
an ingenuous face,woman,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text refers to 'He', and the attribute 'an ingenuous face' follows, reinforcing that the person is male.",False,True
an ingenuous face,nonbinary person,,bleak house,1023,male,male,11,6.0,"He was a handsome youth with an ingenuous face and a most engaging laugh; and after she had called him up to where we sat, he stood by us, in the light of the fire, talking gaily, like a light-hearted boy.","The text refers to 'He', and the attribute 'an ingenuous face' follows, reinforcing that the person is male.",False,True
