text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The pair of legs that carried him were rickety, and there was a bias in his gait which inclined him somewhat to the left of a straight line.",,male,,,False,False,"original_sentence='The pair of legs that carried him were rickety, and there was a bias in his gait which inclined him somewhat to the left of a straight line.' physical_attributes=[]",,
1,,"Ideal and real clashed slightly as the sun lit up their figures against the green hedges and creeper-laced house-fronts; for, though the whole troop wore white garments, no two whites were alike among them.",,unknown,,,False,False,"original_sentence='Ideal and real clashed slightly as the sun lit up their figures against the green hedges and creeper-laced house-fronts; for, though the whole troop wore white garments, no two whites were alike among them.' physical_attributes=[]",,
2,0.0,"Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.",beautiful eyes,unknown,"unknown},{","The text describes 'some' having 'beautiful eyes' but provides no clear gender indication, making the gender unknown.",False,True,"original_sentence='Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.' physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='unknown},{', reasoning=""The text describes 'some' having 'beautiful eyes' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful nose', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful nose' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful mouth', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful mouth' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful figure', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful figure' but provides no clear gender indication, making the gender unknown."")]",beautiful eyes,beautiful eyes
2,0.0,"Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.",a beautiful nose,unknown,unknown,"The text describes 'others' having 'a beautiful nose' but provides no clear gender indication, making the gender unknown.",True,True,"original_sentence='Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.' physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='unknown},{', reasoning=""The text describes 'some' having 'beautiful eyes' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful nose', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful nose' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful mouth', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful mouth' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful figure', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful figure' but provides no clear gender indication, making the gender unknown."")]",a beautiful nose,a beautiful nose
2,0.0,"Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.",a beautiful mouth,unknown,unknown,"The text describes 'others' having 'a beautiful mouth' but provides no clear gender indication, making the gender unknown.",True,True,"original_sentence='Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.' physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='unknown},{', reasoning=""The text describes 'some' having 'beautiful eyes' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful nose', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful nose' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful mouth', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful mouth' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful figure', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful figure' but provides no clear gender indication, making the gender unknown."")]",a beautiful mouth,a beautiful mouth
2,0.0,"Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.",a beautiful figure,unknown,unknown,"The text describes 'others' having 'a beautiful figure' but provides no clear gender indication, making the gender unknown.",True,True,"original_sentence='Some had beautiful eyes, others a beautiful nose, others a beautiful mouth and figure: few, if any, had all.' physical_attributes=[PhysicalAttribute(attribute='beautiful eyes', gender='unknown},{', reasoning=""The text describes 'some' having 'beautiful eyes' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful nose', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful nose' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful mouth', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful mouth' but provides no clear gender indication, making the gender unknown.""), PhysicalAttribute(attribute='a beautiful figure', gender='unknown', reasoning=""The text describes 'others' having 'a beautiful figure' but provides no clear gender indication, making the gender unknown."")]",a beautiful figure,a beautiful figure
3,1.0,"She was a fine and handsome girl--not handsomer than some others, possibly--but her mobile peony mouth and large innocent eyes added eloquence to colour and shape.",a mobile peony mouth,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a mobile peony mouth'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She was a fine and handsome girl--not handsomer than some others, possibly--but her mobile peony mouth and large innocent eyes added eloquence to colour and shape.' physical_attributes=[PhysicalAttribute(attribute='a mobile peony mouth', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a mobile peony mouth'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large innocent eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",a mobile peony mouth,a mobile peony mouth
3,1.0,"She was a fine and handsome girl--not handsomer than some others, possibly--but her mobile peony mouth and large innocent eyes added eloquence to colour and shape.",large innocent eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='She was a fine and handsome girl--not handsomer than some others, possibly--but her mobile peony mouth and large innocent eyes added eloquence to colour and shape.' physical_attributes=[PhysicalAttribute(attribute='a mobile peony mouth', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a mobile peony mouth'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large innocent eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",large innocent eyes,large innocent eyes
4,,"She wore a red ribbon in her hair, and was the only one of the white company who could boast of such a pronounced adornment.",,female,,,False,False,"original_sentence='She wore a red ribbon in her hair, and was the only one of the white company who could boast of such a pronounced adornment.' physical_attributes=[]",,
5,2.0,"The pouted-up deep red mouth to which this syllable was native had hardly as yet settled into its definite shape, and her lower lip had a way of thrusting the middle of her top one upward, when they closed together after a word.",a deep red mouth,female,female,"The text uses the pronoun 'her' to describe the person's mouth, explicitly suggesting the person's gender as female.",True,False,"original_sentence='The pouted-up deep red mouth to which this syllable was native had hardly as yet settled into its definite shape, and her lower lip had a way of thrusting the middle of her top one upward, when they closed together after a word.' physical_attributes=[PhysicalAttribute(attribute='a deep red mouth', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person's mouth, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the lower lip', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person's lower lip, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the middle of her top lip', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person's top lip, explicitly suggesting the person's gender as female."")]",a deep red mouth,a deep red mouth
