text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"It consisted in a peculiar bird-like turn, a sort of liquid warble, produced by touching the tongue to the roof of the mouth at short intervals in the midst of the music--the reader probably remembers how to do it, if he has ever been a boy.",,male,,,False,False,"original_sentence='It consisted in a peculiar bird-like turn, a sort of liquid warble, produced by touching the tongue to the roof of the mouth at short intervals in the midst of the music--the reader probably remembers how to do it, if he has ever been a boy.' physical_attributes=[]",,
1,,"“That's a lie.”  “_Your_ saying so don't make it so.”  Tom drew a line in the dust with his big toe, and said:  “I dare you to step over that, and I'll lick you till you can't stand up.",,male,,,False,False,"original_sentence=""“That's a lie.”  “_Your_ saying so don't make it so.”  Tom drew a line in the dust with his big toe, and said:  “I dare you to step over that, and I'll lick you till you can't stand up."" physical_attributes=[]",,
2,,Thirty yards of board fence nine feet high.,,unknown,,,False,False,original_sentence='Thirty yards of board fence nine feet high.' physical_attributes=[],,
3,0.0,Her spectacles were propped up on her gray head for safety.,a gray head,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a gray head'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her spectacles were propped up on her gray head for safety.' physical_attributes=[PhysicalAttribute(attribute='a gray head', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a gray head'), explicitly suggesting the person's gender as female."")]",a gray head,a gray head
4,,"Finally he strode home reluctantly, with his poor head full of visions.",,male,,,False,False,"original_sentence='Finally he strode home reluctantly, with his poor head full of visions.' physical_attributes=[]",,
5,,"would she drop one little tear upon his poor, lifeless form, would she heave one little sigh to see a bright young life so rudely blighted, so untimely cut down?",,evidence for both,,,False,False,"original_sentence='would she drop one little tear upon his poor, lifeless form, would she heave one little sigh to see a bright young life so rudely blighted, so untimely cut down?' physical_attributes=[]",,
6,,"There was a whiz as of a missile in the air, mingled with the murmur of a curse, a sound as of shivering glass followed, and a small, vague form went over the fence and shot away in the gloom.",,unknown,,,False,False,"original_sentence='There was a whiz as of a missile in the air, mingled with the murmur of a curse, a sound as of shivering glass followed, and a small, vague form went over the fence and shot away in the gloom.' physical_attributes=[]",,
8,2.0,"This superintendent was a slim creature of thirty-five, with a sandy goatee and short sandy hair; he wore a stiff standing-collar whose upper edge almost reached his ears and whose sharp points curved forward abreast the corners of his mouth--a fence that compelled a straight lookout ahead, and a turning of the whole body when a side view was required; his chin was propped on a spreading cravat which was as broad and as long as a bank-note, and had fringed ends; his boot toes were turned sharply up, in the fashion of the day, like sleigh-runners--an effect patiently and laboriously produced by the young men by sitting with their toes pressed against a wall for hours together.",a slim creature,male,male,"The term 'slim creature' suggests a lean physique, and the use of 'he' indicates the person's gender as male.",True,True,"original_sentence='This superintendent was a slim creature of thirty-five, with a sandy goatee and short sandy hair; he wore a stiff standing-collar whose upper edge almost reached his ears and whose sharp points curved forward abreast the corners of his mouth--a fence that compelled a straight lookout ahead, and a turning of the whole body when a side view was required; his chin was propped on a spreading cravat which was as broad and as long as a bank-note, and had fringed ends; his boot toes were turned sharply up, in the fashion of the day, like sleigh-runners--an effect patiently and laboriously produced by the young men by sitting with their toes pressed against a wall for hours together.' physical_attributes=[PhysicalAttribute(attribute='a slim creature', gender='male', reasoning=""The term 'slim creature' suggests a lean physique, and the use of 'he' indicates the person's gender as male.""), PhysicalAttribute(attribute='a sandy goatee', gender='male', reasoning=""The presence of a goatee is typically associated with male facial hair, and the use of 'he' indicates the person's gender as male.""), PhysicalAttribute(attribute='short sandy hair', gender='male', reasoning=""The description of 'short sandy hair' is tied to the male individual referred to by 'he', indicating male gender."")]",a slim creature,a slim creature
8,2.0,"This superintendent was a slim creature of thirty-five, with a sandy goatee and short sandy hair; he wore a stiff standing-collar whose upper edge almost reached his ears and whose sharp points curved forward abreast the corners of his mouth--a fence that compelled a straight lookout ahead, and a turning of the whole body when a side view was required; his chin was propped on a spreading cravat which was as broad and as long as a bank-note, and had fringed ends; his boot toes were turned sharply up, in the fashion of the day, like sleigh-runners--an effect patiently and laboriously produced by the young men by sitting with their toes pressed against a wall for hours together.",a sandy goatee,male,male,"The presence of a goatee is typically associated with male facial hair, and the use of 'he' indicates the person's gender as male.",True,True,"original_sentence='This superintendent was a slim creature of thirty-five, with a sandy goatee and short sandy hair; he wore a stiff standing-collar whose upper edge almost reached his ears and whose sharp points curved forward abreast the corners of his mouth--a fence that compelled a straight lookout ahead, and a turning of the whole body when a side view was required; his chin was propped on a spreading cravat which was as broad and as long as a bank-note, and had fringed ends; his boot toes were turned sharply up, in the fashion of the day, like sleigh-runners--an effect patiently and laboriously produced by the young men by sitting with their toes pressed against a wall for hours together.' physical_attributes=[PhysicalAttribute(attribute='a slim creature', gender='male', reasoning=""The term 'slim creature' suggests a lean physique, and the use of 'he' indicates the person's gender as male.""), PhysicalAttribute(attribute='a sandy goatee', gender='male', reasoning=""The presence of a goatee is typically associated with male facial hair, and the use of 'he' indicates the person's gender as male.""), PhysicalAttribute(attribute='short sandy hair', gender='male', reasoning=""The description of 'short sandy hair' is tied to the male individual referred to by 'he', indicating male gender."")]",a sandy goatee,a sandy goatee
8,2.0,"This superintendent was a slim creature of thirty-five, with a sandy goatee and short sandy hair; he wore a stiff standing-collar whose upper edge almost reached his ears and whose sharp points curved forward abreast the corners of his mouth--a fence that compelled a straight lookout ahead, and a turning of the whole body when a side view was required; his chin was propped on a spreading cravat which was as broad and as long as a bank-note, and had fringed ends; his boot toes were turned sharply up, in the fashion of the day, like sleigh-runners--an effect patiently and laboriously produced by the young men by sitting with their toes pressed against a wall for hours together.",short sandy hair,male,male,"The description of 'short sandy hair' is tied to the male individual referred to by 'he', indicating male gender.",True,False,"original_sentence='This superintendent was a slim creature of thirty-five, with a sandy goatee and short sandy hair; he wore a stiff standing-collar whose upper edge almost reached his ears and whose sharp points curved forward abreast the corners of his mouth--a fence that compelled a straight lookout ahead, and a turning of the whole body when a side view was required; his chin was propped on a spreading cravat which was as broad and as long as a bank-note, and had fringed ends; his boot toes were turned sharply up, in the fashion of the day, like sleigh-runners--an effect patiently and laboriously produced by the young men by sitting with their toes pressed against a wall for hours together.' physical_attributes=[PhysicalAttribute(attribute='a slim creature', gender='male', reasoning=""The term 'slim creature' suggests a lean physique, and the use of 'he' indicates the person's gender as male.""), PhysicalAttribute(attribute='a sandy goatee', gender='male', reasoning=""The presence of a goatee is typically associated with male facial hair, and the use of 'he' indicates the person's gender as male.""), PhysicalAttribute(attribute='short sandy hair', gender='male', reasoning=""The description of 'short sandy hair' is tied to the male individual referred to by 'he', indicating male gender."")]",short sandy hair,short sandy hair
11,,"It was a large black beetle with formidable jaws--a “pinchbug,” he called it.",,male,,,False,False,"original_sentence='It was a large black beetle with formidable jaws--a “pinchbug,” he called it.' physical_attributes=[]",,
12,,One of his upper front teeth was loose.,,male,,,False,False,original_sentence='One of his upper front teeth was loose.' physical_attributes=[],,
