text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"I happened to speak of that river to our last guide, a rather superior fellow with quick, bright eyes.",quick bright eyes,unknown,unknown,"The term 'fellow' is gender-neutral, and although 'fellow' often implies a male entity, there is no explicit indication of gender in the physical description, rendering it unknown.",True,False,"original_sentence='I happened to speak of that river to our last guide, a rather superior fellow with quick, bright eyes.' physical_attributes=[PhysicalAttribute(attribute='quick bright eyes', gender='unknown', reasoning=""The term 'fellow' is gender-neutral, and although 'fellow' often implies a male entity, there is no explicit indication of gender in the physical description, rendering it unknown."")]",quick bright eyes,quick bright eyes
1,1.0,"We saw short hair, hatless, loose, and shining; a suit of some light firm stuff, the closest of tunics and kneebreeches, met by trim gaiters.",short hair,unknown,unknown,"The text describes 'short hair' but does not provide any gender indicators, making the person's gender unknown.",True,True,"original_sentence='We saw short hair, hatless, loose, and shining; a suit of some light firm stuff, the closest of tunics and kneebreeches, met by trim gaiters.' physical_attributes=[PhysicalAttribute(attribute='short hair', gender='unknown', reasoning=""The text describes 'short hair' but does not provide any gender indicators, making the person's gender unknown.""), PhysicalAttribute(attribute='shining hair', gender='unknown', reasoning=""The text describes 'shining hair' without any clues about the person's gender, making the person's gender unknown."")]",short hair,short hair
1,1.0,"We saw short hair, hatless, loose, and shining; a suit of some light firm stuff, the closest of tunics and kneebreeches, met by trim gaiters.",shining hair,unknown,unknown,"The text describes 'shining hair' without any clues about the person's gender, making the person's gender unknown.",True,False,"original_sentence='We saw short hair, hatless, loose, and shining; a suit of some light firm stuff, the closest of tunics and kneebreeches, met by trim gaiters.' physical_attributes=[PhysicalAttribute(attribute='short hair', gender='unknown', reasoning=""The text describes 'short hair' but does not provide any gender indicators, making the person's gender unknown.""), PhysicalAttribute(attribute='shining hair', gender='unknown', reasoning=""The text describes 'shining hair' without any clues about the person's gender, making the person's gender unknown."")]",shining hair,shining hair
2,2.0,"Then Terry laid his hand upon his chest--a fine chest he had, too, and introduced himself; he was braced carefully for the occasion and achieved an excellent obeisance.",a fine chest,male,male,"The text refers to 'Terry' using the pronoun 'his', which indicates a male gender. The attribute of 'a fine chest' is specifically associated with this male individual.",True,True,"original_sentence='Then Terry laid his hand upon his chest--a fine chest he had, too, and introduced himself; he was braced carefully for the occasion and achieved an excellent obeisance.' physical_attributes=[PhysicalAttribute(attribute='a fine chest', gender='male', reasoning=""The text refers to 'Terry' using the pronoun 'his', which indicates a male gender. The attribute of 'a fine chest' is specifically associated with this male individual."")]",a fine chest,a fine chest
3,,"Then Ellador clearly indicated that we should go down, pointing to each and all of us, with unmistakable firmness; and further seeming to imply by the sweep of a lithe arm that we not only go downward, but go away altogether--at which we shook our heads in turn.",,unknown,,,False,False,"original_sentence='Then Ellador clearly indicated that we should go down, pointing to each and all of us, with unmistakable firmness; and further seeming to imply by the sweep of a lithe arm that we not only go downward, but go away altogether--at which we shook our heads in turn.' physical_attributes=[]",,
4,3.0,"Her eyes were splendid, wide, fearless, as free from suspicion as a child’s who has never been rebuked.",splendid eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('splendid eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her eyes were splendid, wide, fearless, as free from suspicion as a child’s who has never been rebuked.' physical_attributes=[PhysicalAttribute(attribute='splendid eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('splendid eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='wide eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='fearless eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('fearless eyes'), explicitly suggesting the person's gender as female."")]",splendid eyes,splendid eyes
4,3.0,"Her eyes were splendid, wide, fearless, as free from suspicion as a child’s who has never been rebuked.",wide eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her eyes were splendid, wide, fearless, as free from suspicion as a child’s who has never been rebuked.' physical_attributes=[PhysicalAttribute(attribute='splendid eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('splendid eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='wide eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='fearless eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('fearless eyes'), explicitly suggesting the person's gender as female."")]",wide eyes,wide eyes
4,3.0,"Her eyes were splendid, wide, fearless, as free from suspicion as a child’s who has never been rebuked.",fearless eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('fearless eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her eyes were splendid, wide, fearless, as free from suspicion as a child’s who has never been rebuked.' physical_attributes=[PhysicalAttribute(attribute='splendid eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('splendid eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='wide eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('wide eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='fearless eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('fearless eyes'), explicitly suggesting the person's gender as female."")]",fearless eyes,fearless eyes
5,4.0,"I could already see it happen--the dropped necklace, the sudden clutching hand, the girl’s sharp cry as he seized her and drew her in.",a sharp cry,evidence for both,female,"The text refers to 'the girl’s sharp cry,' which explicitly indicates the person's gender as female.",False,True,"original_sentence='I could already see it happen--the dropped necklace, the sudden clutching hand, the girl’s sharp cry as he seized her and drew her in.' physical_attributes=[PhysicalAttribute(attribute='a sharp cry', gender='female', reasoning=""The text refers to 'the girl’s sharp cry,' which explicitly indicates the person's gender as female."")]",a sharp cry,a sharp cry
6,,"The broad green fields and closely cultivated gardens sloped away at our feet, a long easy slant, with good roads winding pleasantly here and there, and narrower paths besides.",,unknown,,,False,False,"original_sentence='The broad green fields and closely cultivated gardens sloped away at our feet, a long easy slant, with good roads winding pleasantly here and there, and narrower paths besides.' physical_attributes=[]",,
7,,"“There they go!”  Sure enough, close to the town, across a wide meadow, three bright-hued figures were running swiftly.",,unknown,,,False,False,"original_sentence='“There they go!”  Sure enough, close to the town, across a wide meadow, three bright-hued figures were running swiftly.' physical_attributes=[]",,
8,,Presently there lay before us at the foot of a long hill the town or village we were aiming for.,,unknown,,,False,False,original_sentence='Presently there lay before us at the foot of a long hill the town or village we were aiming for.' physical_attributes=[],,
9,,It was that sense of being hopelessly in the wrong that I had so often felt in early youth when my short legs’ utmost effort failed to overcome the fact that I was late to school.,,unknown,,,False,False,original_sentence='It was that sense of being hopelessly in the wrong that I had so often felt in early youth when my short legs’ utmost effort failed to overcome the fact that I was late to school.' physical_attributes=[],,
10,,"We thought it best to accede, at first anyway, and marched along, one of these close at each elbow, and the others in close masses before, behind, on both sides.",,unknown,,,False,False,"original_sentence='We thought it best to accede, at first anyway, and marched along, one of these close at each elbow, and the others in close masses before, behind, on both sides.' physical_attributes=[]",,
11,,"There was some talk, not much, among them, and then suddenly there fell upon each of us at once a firm hand holding a wetted cloth before mouth and nose--an order of swimming sweetness--anesthesia.",,unknown,,,False,False,"original_sentence='There was some talk, not much, among them, and then suddenly there fell upon each of us at once a firm hand holding a wetted cloth before mouth and nose--an order of swimming sweetness--anesthesia.' physical_attributes=[]",,
12,,"That was precisely the experience of this awakening: receding waves of half-caught swirling vision, memories of home, the steamer, the boat, the airship, the forest--at last all sinking away one after another, till my eyes were wide open, my brain clear, and I realized what had happened.",,unknown,,,False,False,"original_sentence='That was precisely the experience of this awakening: receding waves of half-caught swirling vision, memories of home, the steamer, the boat, the airship, the forest--at last all sinking away one after another, till my eyes were wide open, my brain clear, and I realized what had happened.' physical_attributes=[]",,
13,,"There was a one-piece cotton undergarment, thin and soft, that reached over the knees and shoulders, something like the one-piece pajamas some fellows wear, and a kind of half-hose, that came up to just under the knee and stayed there--had elastic tops of their own, and covered the edges of the first.",,unknown,,,False,False,"original_sentence='There was a one-piece cotton undergarment, thin and soft, that reached over the knees and shoulders, something like the one-piece pajamas some fellows wear, and a kind of half-hose, that came up to just under the knee and stayed there--had elastic tops of their own, and covered the edges of the first.' physical_attributes=[]",,
14,,"They all wore short hair, some few inches at most; some curly, some not; all light and clean and fresh-looking.",,unknown,,,False,False,"original_sentence='They all wore short hair, some few inches at most; some curly, some not; all light and clean and fresh-looking.' physical_attributes=[]",,
16,6.0,"“Like you?”  “Yes, men,” Terry indicated his beard, and threw back his broad shoulders.",a broad shoulder,male,male,"The text includes 'men' in the dialogue, and the character 'Terry' is typically a male name, suggesting the person's gender is male.",True,True,"original_sentence='“Like you?”  “Yes, men,” Terry indicated his beard, and threw back his broad shoulders.' physical_attributes=[PhysicalAttribute(attribute='a broad shoulder', gender='male', reasoning=""The text includes 'men' in the dialogue, and the character 'Terry' is typically a male name, suggesting the person's gender is male."")]",a broad shoulder,a broad shoulder
17,,"“Why, yes--some low forms, of course.”  “How low--or how high, rather?”  “Well--there are some rather high forms of insect life in which it occurs.",,unknown,,,False,False,"original_sentence='“Why, yes--some low forms, of course.”  “How low--or how high, rather?”  “Well--there are some rather high forms of insect life in which it occurs.' physical_attributes=[]",,
