model,dataset,person_term,m1_rmse,m1_pearson_r,m1_pearson_r_lo,m1_pearson_r_hi,m1_invalid,m2_rmse,m2_pearson_r,m2_invalid
Meta-Llama-3-8B,combined_llm,woman,2.6722037159528615,0.5986577563339173,,,0,2.6722037159528615,0.5986577563339173,0
Meta-Llama-3-8B,combined_llm,man,2.761759442802325,0.49984568973246774,,,0,2.761759442802325,0.49984568973246774,0
Meta-Llama-3-8B,combined_llm,nonbinary person,2.951923098675601,0.1610135348908244,,,0,2.951923098675601,0.1610135348908244,0
Meta-Llama-3-8B,eval_novel,woman,2.8203240233557643,0.5635699422127355,,,0,2.8203240233557643,0.5635699422127355,0
Meta-Llama-3-8B,eval_novel,man,3.0877232210393557,0.4861005418945185,,,0,3.0877232210393557,0.4861005418945185,0
Meta-Llama-3-8B,eval_novel,nonbinary person,2.8453062765470434,0.19254735276243543,,,0,2.8453062765470434,0.19254735276243543,0
Meta-Llama-3-8B,eval_human,woman,2.5714823654123835,0.5858635028299948,,,0,2.5714823654123835,0.5858635028299948,0
Meta-Llama-3-8B,eval_human,man,2.9023598676364326,0.39339971828628684,,,0,2.9023598676364326,0.39339971828628684,0
Meta-Llama-3-8B,eval_human,nonbinary person,3.057600180503188,0.23362357794597935,,,0,3.057600180503188,0.23362357794597935,0
Meta-Llama-3-8B,all,woman,2.723167137305221,0.5774207323333325,,,0,2.723167137305221,0.5774207323333325,0
Meta-Llama-3-8B,all,man,2.968629608546605,0.45258079727889755,,,0,2.968629608546605,0.45258079727889755,0
Meta-Llama-3-8B,all,nonbinary person,2.9269668345257704,0.18536279404307532,,,0,2.9269668345257704,0.18536279404307532,0
Meta-Llama-3-8B-Instruct,combined_llm,woman,1.6952937552869392,0.36050526672390043,,,0,1.6952937552869392,0.36050526672390043,0
Meta-Llama-3-8B-Instruct,combined_llm,man,2.0027978683051035,0.47156199791544307,,,0,2.0027978683051035,0.47156199791544307,0
Meta-Llama-3-8B-Instruct,combined_llm,nonbinary person,1.958973560176426,0.04548776028228943,,,0,1.958973560176426,0.04548776028228943,0
Meta-Llama-3-8B-Instruct,eval_novel,woman,1.9037112636252342,0.48016339844196426,,,0,1.9037112636252342,0.48016339844196426,0
Meta-Llama-3-8B-Instruct,eval_novel,man,2.2047226347040536,0.47529336744921846,,,0,2.2047226347040536,0.47529336744921846,0
Meta-Llama-3-8B-Instruct,eval_novel,nonbinary person,1.837302652399252,0.31843892601822876,,,0,1.837302652399252,0.31843892601822876,0
Meta-Llama-3-8B-Instruct,eval_human,woman,1.4762718846073304,0.5936386993616453,,,0,1.4762718846073304,0.5936386993616453,0
Meta-Llama-3-8B-Instruct,eval_human,man,1.9963790997187085,0.37632712535742624,,,0,1.9963790997187085,0.37632712535742624,0
Meta-Llama-3-8B-Instruct,eval_human,nonbinary person,1.7651094606111848,0.48750717661646314,,,0,1.7651094606111848,0.48750717661646314,0
Meta-Llama-3-8B-Instruct,all,woman,1.752798679423175,0.49094258867215823,,,0,1.752798679423175,0.49094258867215823,0
Meta-Llama-3-8B-Instruct,all,man,2.1067063990745236,0.4437043800381174,,,0,2.1067063990745236,0.4437043800381174,0
Meta-Llama-3-8B-Instruct,all,nonbinary person,1.846538165687446,0.3335151614485071,,,0,1.846538165687446,0.3335151614485071,0
Mistral-7B-v0.3,combined_llm,woman,3.12572854837959,0.41931066140674195,,,0,3.608994181761962,0.05312092998787798,0
Mistral-7B-v0.3,combined_llm,man,2.8964770682352032,0.587057791065897,,,0,3.361749436609148,0.24769394719297252,0
Mistral-7B-v0.3,combined_llm,nonbinary person,2.110596360712978,0.1904666801472767,,,0,3.096762444155119,0.0,0
Mistral-7B-v0.3,eval_novel,woman,2.7489215039495125,0.3608844237247335,,,0,3.430403054913886,0.06505694482904538,0
Mistral-7B-v0.3,eval_novel,man,2.6662707758016,0.3842482551909765,,,0,3.3505689521631603,0.17224176420271772,0
Mistral-7B-v0.3,eval_novel,nonbinary person,1.7643449929131918,0.3345031868385166,,,0,2.887371406780107,0.0,0
Mistral-7B-v0.3,eval_human,woman,2.457236063841041,0.6296206150096035,,,0,3.263366749300766,0.3219257539603992,0
Mistral-7B-v0.3,eval_human,man,2.7234642128400663,0.42216937796802134,,,0,3.424306250478972,0.014114087792585892,0
Mistral-7B-v0.3,eval_human,nonbinary person,1.401915846883179,0.4152551909787965,,,0,3.1109175097874284,0.0,0
Mistral-7B-v0.3,all,woman,2.7653619628250703,0.45029772814818836,,,0,3.427995829577817,0.15183078975682276,0
Mistral-7B-v0.3,all,man,2.7344231825974346,0.42282188229344947,,,0,3.3728237550161264,0.15758307276419087,0
Mistral-7B-v0.3,all,nonbinary person,1.7627981691091315,0.3226960448499063,,,0,2.9955742867814386,0.0,0
Mistral-7B-Instruct-v0.3,combined_llm,woman,1.4327487958642968,0.5818622673757521,,,0,1.4466349856528407,0.6261284951215386,1
Mistral-7B-Instruct-v0.3,combined_llm,man,1.787950928234504,0.5153438594707812,,,0,1.7523853633501103,0.5797560946438356,2
Mistral-7B-Instruct-v0.3,combined_llm,nonbinary person,1.8451026445749101,0.22065828111125435,,,0,2.021951785838417,0.14160531062658266,7
Mistral-7B-Instruct-v0.3,eval_novel,woman,1.8923098506940301,0.6073522124311618,,,0,1.9078326091990059,0.6525525124262123,5
Mistral-7B-Instruct-v0.3,eval_novel,man,1.8573024723294094,0.5712889134228395,,,0,1.9296806904481298,0.5296052222043789,2
Mistral-7B-Instruct-v0.3,eval_novel,nonbinary person,1.8735529973724074,0.31468175215638833,,,0,2.0410961409240924,0.3013200956646719,17
Mistral-7B-Instruct-v0.3,eval_human,woman,1.7189315435552874,0.6861874240372836,,,0,1.6591972351650737,0.7215871272958142,0
Mistral-7B-Instruct-v0.3,eval_human,man,1.64886549184712,0.6491315956014874,,,0,1.6180190657386082,0.6742260941832937,1
Mistral-7B-Instruct-v0.3,eval_human,nonbinary person,1.685055521694114,0.4623852371851818,,,0,1.6181167983412514,0.5397796541702238,8
Mistral-7B-Instruct-v0.3,all,woman,1.7529805865112247,0.6284209016003272,,,0,1.7457542473964172,0.6671909785740692,6
Mistral-7B-Instruct-v0.3,all,man,1.7884991715716656,0.5783647110531243,,,0,1.8124346288286608,0.5770115671279413,5
Mistral-7B-Instruct-v0.3,all,nonbinary person,1.8188359088707708,0.3496885562306974,,,0,1.931816273350507,0.35421993139620067,32
OLMo2-7B-1124,combined_llm,woman,1.49302487518421,0.7173081410188838,,,0,1.49302487518421,0.7173081410188838,0
OLMo2-7B-1124,combined_llm,man,2.0488120611130616,0.20237052564817629,,,0,2.0488120611130616,0.20237052564817629,0
OLMo2-7B-1124,combined_llm,nonbinary person,2.9160492671864757,0.2453344941753614,,,0,2.9160492671864757,0.2453344941753614,0
OLMo2-7B-1124,eval_novel,woman,1.8965696248081256,0.6179922197592993,,,0,1.8965696248081256,0.6179922197592993,0
OLMo2-7B-1124,eval_novel,man,2.2002827003364973,0.5336181916285103,,,0,2.2002827003364973,0.5336181916285103,0
OLMo2-7B-1124,eval_novel,nonbinary person,2.697478466124342,0.34557668215008946,,,0,2.697478466124342,0.34557668215008946,0
OLMo2-7B-1124,eval_human,woman,1.7128798765683553,0.6772478939215099,,,0,1.7128798765683553,0.6772478939215099,0
OLMo2-7B-1124,eval_human,man,1.9262457582005612,0.527216608026578,,,0,1.9262457582005612,0.527216608026578,0
OLMo2-7B-1124,eval_human,nonbinary person,2.8233990032829848,0.2909853369549008,,,0,2.8233990032829848,0.2909853369549008,0
OLMo2-7B-1124,all,woman,1.7649525038177767,0.6580836738721445,,,0,1.7649525038177767,0.6580836738721445,0
OLMo2-7B-1124,all,man,2.096832784526321,0.4735190618288603,,,0,2.096832784526321,0.4735190618288603,0
OLMo2-7B-1124,all,nonbinary person,2.7812565693063913,0.30364330704376696,,,0,2.7812565693063913,0.30364330704376696,0
OLMo-2-1124-7B-DPO,combined_llm,woman,1.3732162584094518,0.363613345184147,,,0,1.3732162584094518,0.363613345184147,0
OLMo-2-1124-7B-DPO,combined_llm,man,1.339105753823859,0.23865879462609818,,,0,1.339105753823859,0.23865879462609818,0
OLMo-2-1124-7B-DPO,combined_llm,nonbinary person,1.6605322601668524,0.25009105339071663,,,0,1.6605322601668524,0.25009105339071663,0
OLMo-2-1124-7B-DPO,eval_novel,woman,1.4085343026765158,0.5560309497159497,,,0,1.4085343026765158,0.5560309497159497,0
OLMo-2-1124-7B-DPO,eval_novel,man,1.3768994157071635,0.4789335365676313,,,0,1.3768994157071635,0.4789335365676313,0
OLMo-2-1124-7B-DPO,eval_novel,nonbinary person,1.7062968811535946,0.3584526881186457,,,0,1.7062968811535946,0.3584526881186457,0
OLMo-2-1124-7B-DPO,eval_human,woman,1.3351103151446393,0.6432008393059822,,,0,1.3351103151446393,0.6432008393059822,0
OLMo-2-1124-7B-DPO,eval_human,man,1.0767563860498517,0.6124532735511112,,,0,1.0767563860498517,0.6124532735511112,0
OLMo-2-1124-7B-DPO,eval_human,nonbinary person,1.6927566027755532,0.2887498256762725,,,0,1.6927566027755532,0.2887498256762725,0
OLMo-2-1124-7B-DPO,all,woman,1.3814642089868245,0.5556205438083075,,,0,1.3814642089868245,0.5556205438083075,0
OLMo-2-1124-7B-DPO,all,man,1.2950120862726586,0.46830939196286686,,,0,1.2950120862726586,0.46830939196286686,0
OLMo-2-1124-7B-DPO,all,nonbinary person,1.692567897606036,0.3422664574687976,,,0,1.692567897606036,0.3422664574687976,0
