text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"A straight line of  light appeared across the ceiling of the room, and Thomas watched as it expanded.",,unknown,,,False,False,"original_sentence='A straight line of light appeared across the ceiling of the room, and Thomas watched as it expanded.' physical_attributes=[]",,
1,,"The walls had to be hundreds of feet high  and formed a perfect sguare around them, each side split in the exact middle by an opening as tall as the  walls themselves that, from what Thomas could see, led to passages and long corridors beyond.",,unknown,,,False,False,"original_sentence='The walls had to be hundreds of feet high  and formed a perfect square around them, each side split in the exact middle by an opening as tall as the  walls themselves that, from what Thomas could see, led to passages and long corridors beyond.' physical_attributes=[]",,
2,0.0,"A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.",a tall kid,male,unknown,The term 'kid' is gender-neutral and does not provide explicit information about the person's gender.,False,True,"original_sentence='A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.' physical_attributes=[PhysicalAttribute(attribute='a tall kid', gender='unknown', reasoning=""The term 'kid' is gender-neutral and does not provide explicit information about the person's gender.""), PhysicalAttribute(attribute='blond hair', gender='unknown', reasoning='The description does not contain gender-specific information, making it impossible to determine the gender from this attribute alone.'), PhysicalAttribute(attribute='a square jaw', gender='unknown', reasoning='The attribute describes the jaw and does not provide explicit gender information.')]",a tall kid,a tall kid
2,0.0,"A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.",blond hair,male,unknown,"The description does not contain gender-specific information, making it impossible to determine the gender from this attribute alone.",False,False,"original_sentence='A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.' physical_attributes=[PhysicalAttribute(attribute='a tall kid', gender='unknown', reasoning=""The term 'kid' is gender-neutral and does not provide explicit information about the person's gender.""), PhysicalAttribute(attribute='blond hair', gender='unknown', reasoning='The description does not contain gender-specific information, making it impossible to determine the gender from this attribute alone.'), PhysicalAttribute(attribute='a square jaw', gender='unknown', reasoning='The attribute describes the jaw and does not provide explicit gender information.')]",blond hair,blond hair
2,0.0,"A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.",a square jaw,male,unknown,The attribute describes the jaw and does not provide explicit gender information.,False,False,"original_sentence='A tall kid with blond hair and a sguare jaw sniffed at him, his face devoid of  expression.' physical_attributes=[PhysicalAttribute(attribute='a tall kid', gender='unknown', reasoning=""The term 'kid' is gender-neutral and does not provide explicit information about the person's gender.""), PhysicalAttribute(attribute='blond hair', gender='unknown', reasoning='The description does not contain gender-specific information, making it impossible to determine the gender from this attribute alone.'), PhysicalAttribute(attribute='a square jaw', gender='unknown', reasoning='The attribute describes the jaw and does not provide explicit gender information.')]",a square jaw,a square jaw
3,1.0,"A short, pudgy boy fidgeted back and forth on his feet, looking up at Thomas with wide eyes.",wide eyes,male,male,"The eyes are described in relation to 'a short, pudgy boy', confirming the gender as male.",True,True,"original_sentence='A short, pudgy boy fidgeted back and forth on his feet, looking up at Thomas with wide eyes.' physical_attributes=[PhysicalAttribute(attribute='a short boy', gender='male', reasoning=""The text describes 'a short boy' explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pudgy boy', gender='male', reasoning=""The text describes 'a pudgy boy' explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='wide eyes', gender='male', reasoning=""The eyes are described in relation to 'a short, pudgy boy', confirming the gender as male."")]",wide eyes,wide eyes
4,2.0,"The  dark-skinned boy had short-cropped hair, his face clean shaven.",short-cropped hair,male,male,The attribute describes hair associated with the male subject 'boy'.,True,True,"original_sentence='The  dark-skinned boy had short-cropped hair, his face clean shaven.' physical_attributes=[PhysicalAttribute(attribute='dark-skinned boy', gender='male', reasoning=""The term 'boy' explicitly indicates that the gender of the person is male.""), PhysicalAttribute(attribute='short-cropped hair', gender='male', reasoning=""The attribute describes hair associated with the male subject 'boy'.""), PhysicalAttribute(attribute='clean-shaven face', gender='male', reasoning=""The attribute describes the face of the male subject 'boy'."")]",short-cropped hair,short-cropped hair
4,2.0,"The  dark-skinned boy had short-cropped hair, his face clean shaven.",clean-shaven face,male,male,The attribute describes the face of the male subject 'boy'.,True,True,"original_sentence='The  dark-skinned boy had short-cropped hair, his face clean shaven.' physical_attributes=[PhysicalAttribute(attribute='dark-skinned boy', gender='male', reasoning=""The term 'boy' explicitly indicates that the gender of the person is male.""), PhysicalAttribute(attribute='short-cropped hair', gender='male', reasoning=""The attribute describes hair associated with the male subject 'boy'.""), PhysicalAttribute(attribute='clean-shaven face', gender='male', reasoning=""The attribute describes the face of the male subject 'boy'."")]",clean-shaven face,clean-shaven face
5,,"Some instinct took over his actions and without saying anything he turned away from  Alby and walked to a nearby tree, where he plopped down to sit with his back against the rough bark.",,male,,,False,False,"original_sentence='Some instinct took over his actions and without saying anything he turned away from  Alby and walked to a nearby tree, where he plopped down to sit with his back against the rough bark.' physical_attributes=[]",,
6,3.0,"“Man,” Alby said, then ran his hands over his short hair as he let out a long sigh.",short hair,male,male,"The text uses the pronoun 'his' to describe the person with the current attribute ('short hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='“Man,” Alby said, then ran his hands over his short hair as he let out a long sigh.' physical_attributes=[PhysicalAttribute(attribute='short hair', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('short hair'), explicitly suggesting the person's gender as male."")]",short hair,short hair
7,,"A line of small-  leafed weeds ran along the edge of one of the stone blocks, tiny yellow flowers peeping through as if  searching for the sun, long disappeared behind the enormous walls of the Glade.",,unknown,,,False,False,"original_sentence='A line of small-leafed weeds ran along the edge of one of the stone blocks, tiny yellow flowers peeping through as if searching for the sun, long disappeared behind the enormous walls of the Glade.' physical_attributes=[]",,
8,,"Thomas slid down the rough face of the tree until he sat on the ground again, he shrank back against the  bark and closed his eyes, wishing he could wake up from this terrible, terrible dream.",,male,,,False,False,"original_sentence='Thomas slid down the rough face of the tree until he sat on the ground again, he shrank back against the bark and closed his eyes, wishing he could wake up from this terrible, terrible dream.' physical_attributes=[]",,
9,,"A metallic clicking sound from the branches above grabbed his attention, made him look up, a flash of  silver and red light caught his eyes just before disappearing around the trunk to the other side.",,male,,,False,False,"original_sentence='A metallic clicking sound from the branches above grabbed his attention, made him look up, a flash of silver and red light caught his eyes just before disappearing around the trunk to the other side.' physical_attributes=[]",,
10,4.0,"His  brown hair hung down over his ears and neck, scraping the tops of his shoulders.",brown hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('brown hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His brown hair hung down over his ears and neck, scraping the tops of his shoulders.' physical_attributes=[PhysicalAttribute(attribute='brown hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('brown hair'), explicitly suggesting the person's gender as male."")]",brown hair,brown hair
11,,"And in case you were wondering, five foot  nine ... brown hair.",,unknown,,,False,False,"original_sentence='And in case you were wondering, five foot nine ... brown hair.' physical_attributes=[]",,
12,,"He'd reached the door, an ugly slab of sun-faded wood, and he pulled it open to see several stoic-faced  boys standing at the foot of a crooked staircase, the steps and railings twisted and angled in all directions.",,male,,,False,False,"original_sentence=""He'd reached the door, an ugly slab of sun-faded wood, and he pulled it open to see several stoic-faced boys standing at the foot of a crooked staircase, the steps and railings twisted and angled in all directions."" physical_attributes=[]",,
13,5.0,His nose was the size of a small fist and resembled a deformed potato.,the size of a small fist,male,male,"The text uses the pronoun 'his' to refer to the person whose nose is being described, explicitly suggesting the person's gender as male.",True,False,"original_sentence='His nose was the size of a small fist and resembled a deformed potato.' physical_attributes=[PhysicalAttribute(attribute='the size of a small fist', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose nose is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a deformed potato', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose nose is being described, explicitly suggesting the person's gender as male."")]",the size of a small fist,the size of a small fist
13,5.0,His nose was the size of a small fist and resembled a deformed potato.,a deformed potato,male,male,"The text uses the pronoun 'his' to refer to the person whose nose is being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='His nose was the size of a small fist and resembled a deformed potato.' physical_attributes=[PhysicalAttribute(attribute='the size of a small fist', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose nose is being described, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a deformed potato', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person whose nose is being described, explicitly suggesting the person's gender as male."")]",a deformed potato,a deformed potato
14,6.0,"A few snickers escaped the crowd, and Gally looked around, his face bright red.",a bright red face,male,male,"The name 'Gally' suggests a male individual, and the attribute describes his appearance.",True,False,"original_sentence='A few snickers escaped the crowd, and Gally looked around, his face bright red.' physical_attributes=[PhysicalAttribute(attribute='a bright red face', gender='male', reasoning=""The name 'Gally' suggests a male individual, and the attribute describes his appearance."")]",a bright red face,a bright red face
15,7.0,"Tight, rigid cords of sickly green veins webbed across the  boy's body and limbs, like ropes under his skin.",sickly green veins,male,male,"The text uses the word 'boy' to describe the person with the current attribute ('sickly green veins'), explicitly suggesting the person's gender as male.",True,False,"original_sentence=""Tight, rigid cords of sickly green veins webbed across the boy's body and limbs, like ropes under his skin."" physical_attributes=[PhysicalAttribute(attribute='sickly green veins', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('sickly green veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tight cords', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('tight cords'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='rigid cords', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('rigid cords'), explicitly suggesting the person's gender as male."")]",sickly green veins,sickly green veins
15,7.0,"Tight, rigid cords of sickly green veins webbed across the  boy's body and limbs, like ropes under his skin.",tight cords,male,male,"The text uses the word 'boy' to describe the person with the current attribute ('tight cords'), explicitly suggesting the person's gender as male.",True,True,"original_sentence=""Tight, rigid cords of sickly green veins webbed across the boy's body and limbs, like ropes under his skin."" physical_attributes=[PhysicalAttribute(attribute='sickly green veins', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('sickly green veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tight cords', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('tight cords'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='rigid cords', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('rigid cords'), explicitly suggesting the person's gender as male."")]",tight cords,tight cords
15,7.0,"Tight, rigid cords of sickly green veins webbed across the  boy's body and limbs, like ropes under his skin.",rigid cords,male,male,"The text uses the word 'boy' to describe the person with the current attribute ('rigid cords'), explicitly suggesting the person's gender as male.",True,True,"original_sentence=""Tight, rigid cords of sickly green veins webbed across the boy's body and limbs, like ropes under his skin."" physical_attributes=[PhysicalAttribute(attribute='sickly green veins', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('sickly green veins'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tight cords', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('tight cords'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='rigid cords', gender='male', reasoning=""The text uses the word 'boy' to describe the person with the current attribute ('rigid cords'), explicitly suggesting the person's gender as male."")]",rigid cords,rigid cords
16,8.0,"Covered in sweat,  his face red, clothes sticking to his body, the boy didn't slow, hardly glancing at Thomas as he went past.",a red face,male,male,"The text refers to the subject as 'the boy', which clearly indicates that the gender of the person described is male.",True,True,"original_sentence=""Covered in sweat,  his face red, clothes sticking to his body, the boy didn't slow, hardly glancing at Thomas as he went past."" physical_attributes=[PhysicalAttribute(attribute='a red face', gender='male', reasoning=""The text refers to the subject as 'the boy', which clearly indicates that the gender of the person described is male."")]",a red face,a red face
17,,"Massive stone walls, hundreds of feet  high, moving like sliding glass doors—an image from his past life that flashed through his thoughts.",,male,,,False,False,"original_sentence='Massive stone walls, hundreds of feet high, moving like sliding glass doors—an image from his past life that flashed through his thoughts.' physical_attributes=[]",,
18,9.0,"“I saw Chuck's fat face in the window.” He pointed again, this  time right at Thomas's chest.",a fat face,male,male,"The text uses the name 'Chuck' which is a common male name and refers to 'Chuck's fat face', indicating a male gender.",True,True,"original_sentence=""“I saw Chuck's fat face in the window.” He pointed again, this time right at Thomas's chest."" physical_attributes=[PhysicalAttribute(attribute='a fat face', gender='male', reasoning=""The text uses the name 'Chuck' which is a common male name and refers to 'Chuck's fat face', indicating a male gender."")]",a fat face,a fat face
19,,"He stepped on someone's hand, earning a sharp cry of pain in return, then a punch on the  calf.",,male,,,False,False,"original_sentence=""He stepped on someone's hand, earning a sharp cry of pain in return, then a punch on the  calf."" physical_attributes=[]",,
20,,Newt stood just a couple of feet in front of the thick curtain of ivy on the wall.,,unknown,,,False,False,original_sentence='Newt stood just a couple of feet in front of the thick curtain of ivy on the wall.' physical_attributes=[],,
21,,"Now shut it and let me show ya  somethin .”   Newt stepped forward and dug his hands into the thick ivy, spreading several vines away from the wall  to reveal a dust-frosted window, a sguare about two feet wide.",,male,,,False,False,"original_sentence='Now shut it and let me show ya somethin .” Newt stepped forward and dug his hands into the thick ivy, spreading several vines away from the wall to reveal a dust-frosted window, a sguare about two feet wide.' physical_attributes=[]",,
22,,A thick lump grew in his throat.,,male,,,False,False,original_sentence='A thick lump grew in his throat.' physical_attributes=[],,
23,,"“Out there's the Maze,” Newt whispered, eyes wide as ifin a trance.",,unknown,,,False,False,"original_sentence=""“Out there's the Maze,” Newt whispered, eyes wide as ifin a trance."" physical_attributes=[]",,
24,10.0,"With a sudden jerk, Newt pushed himself back into an upright position, his face scrunched up in  confusion.",a scrunched up face,male,male,"The text uses the pronoun 'his' to refer to Newt, explicitly suggesting the person's gender as male.",True,False,"original_sentence='With a sudden jerk, Newt pushed himself back into an upright position, his face scrunched up in confusion.' physical_attributes=[PhysicalAttribute(attribute='a scrunched up face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to Newt, explicitly suggesting the person's gender as male."")]",a scrunched up face,a scrunched up face
25,11.0,"“What's goin' on here,  Greenie?”    Thomas stared back, confused, his face turning bright red, his gut clenching.",a bright red face,male,male,"The text uses the name 'Thomas,' which is a common male name, to refer to the person described as having 'a bright red face.'",True,False,"original_sentence=""“What's goin' on here,  Greenie?”    Thomas stared back, confused, his face turning bright red, his gut clenching."" physical_attributes=[PhysicalAttribute(attribute='a bright red face', gender='male', reasoning=""The text uses the name 'Thomas,' which is a common male name, to refer to the person described as having 'a bright red face.'"")]",a bright red face,a bright red face
26,,"Maybe five and a half feet tall, from what he could tell.",,male,,,False,False,"original_sentence='Maybe five and a half feet tall, from what he could tell.' physical_attributes=[]",,
27,12.0,"As she sucked in a huge breath, her  eyes snapped open and she blinked, looking around at the crowd surrounding her.",a huge breath,female,unknown,"The text describes the act of taking a huge breath, but does not provide any physical attributes relating to the description of eyes, face, or any body part.",False,True,"original_sentence='As she sucked in a huge breath, her eyes snapped open and she blinked, looking around at the crowd surrounding her.' physical_attributes=[PhysicalAttribute(attribute='a huge breath', gender='unknown', reasoning='The text describes the act of taking a huge breath, but does not provide any physical attributes relating to the description of eyes, face, or any body part.')]",a huge breath,a huge breath
28,13.0,Burning blue eyes darted back and forth as she took deep breaths.,burning blue eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('burning blue eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Burning blue eyes darted back and forth as she took deep breaths.' physical_attributes=[PhysicalAttribute(attribute='burning blue eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('burning blue eyes'), explicitly suggesting the person's gender as female."")]",burning blue eyes,burning blue eyes
29,,Thomas tried to swallow but his mouth was too dry.,,male,,,False,False,original_sentence='Thomas tried to swallow but his mouth was too dry.' physical_attributes=[],,
30,14.0,The other was short and actually had gray hair already conguering the  black on the sides of his head.,gray hair,male,male,"The text uses the pronoun 'his' to refer to the person with 'gray hair', explicitly indicating a male gender.",True,True,"original_sentence='The other was short and actually had gray hair already conquering the black on the sides of his head.' physical_attributes=[PhysicalAttribute(attribute='gray hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'gray hair', explicitly indicating a male gender.""), PhysicalAttribute(attribute='black hair on the sides', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'black hair on the sides', explicitly indicating a male gender.""), PhysicalAttribute(attribute='short stature', gender='male', reasoning=""The text refers to 'the other' without a gendered pronoun but is within the same context 'his head', implying it is the same male individual."")]",gray hair,gray hair
30,14.0,The other was short and actually had gray hair already conguering the  black on the sides of his head.,black hair on the sides,male,male,"The text uses the pronoun 'his' to refer to the person with 'black hair on the sides', explicitly indicating a male gender.",True,False,"original_sentence='The other was short and actually had gray hair already conquering the black on the sides of his head.' physical_attributes=[PhysicalAttribute(attribute='gray hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'gray hair', explicitly indicating a male gender.""), PhysicalAttribute(attribute='black hair on the sides', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'black hair on the sides', explicitly indicating a male gender.""), PhysicalAttribute(attribute='short stature', gender='male', reasoning=""The text refers to 'the other' without a gendered pronoun but is within the same context 'his head', implying it is the same male individual."")]",black hair on the sides,black hair on the sides
30,14.0,The other was short and actually had gray hair already conguering the  black on the sides of his head.,short stature,male,male,"The text refers to 'the other' without a gendered pronoun but is within the same context 'his head', implying it is the same male individual.",True,True,"original_sentence='The other was short and actually had gray hair already conquering the black on the sides of his head.' physical_attributes=[PhysicalAttribute(attribute='gray hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'gray hair', explicitly indicating a male gender.""), PhysicalAttribute(attribute='black hair on the sides', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with 'black hair on the sides', explicitly indicating a male gender.""), PhysicalAttribute(attribute='short stature', gender='male', reasoning=""The text refers to 'the other' without a gendered pronoun but is within the same context 'his head', implying it is the same male individual."")]",short stature,short stature
31,15.0,"Alby's eyes narrowed, his mouth pulled into a tight grin that didn't look like it had anything to do with  humor.",narrowed eyes,male,unknown,"The text provides no clear gender indicators; it only describes the physical attribute of 'eyes' as 'narrowed'. It refers to 'Alby', which could be a name associated with any gender.",False,False,"original_sentence=""Alby's eyes narrowed, his mouth pulled into a tight grin that didn't look like it had anything to do with humor."" physical_attributes=[PhysicalAttribute(attribute='narrowed eyes', gender='unknown', reasoning=""The text provides no clear gender indicators; it only describes the physical attribute of 'eyes' as 'narrowed'. It refers to 'Alby', which could be a name associated with any gender.""), PhysicalAttribute(attribute='tight grin', gender='unknown', reasoning=""The text provides no clear gender indicators; it describes the physical attribute of 'mouth' as having a 'tight grin', but does not specify the gender of the person."")]",narrowed eyes,narrowed eyes
