text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"From nearly all the windows of the house I can look out across the plain, with no obstacle in the shape of a hill, right away to a blue line of distant forest, and on the west side uninterruptedly to the setting sun--nothing but a green, rolling plain, with a sharp edge against the sunset.",,unknown,,,False,False,"original_sentence='From nearly all the windows of the house I can look out across the plain, with no obstacle in the shape of a hill, right away to a blue line of distant forest, and on the west side uninterruptedly to the setting sun--nothing but a green, rolling plain, with a sharp edge against the sunset.' physical_attributes=[]",,
1,,I can see nothing but sunbonnets and pinafores and nimble black legs.,,unknown,,,False,False,original_sentence='I can see nothing but sunbonnets and pinafores and nimble black legs.' physical_attributes=[],,
2,,"All through April he was putting the perennials we had sown in the autumn into their permanent places, and all through April he went about with a long piece of string making parallel lines down the borders of beautiful exactitude and arranging the poor plants like soldiers at a review.",,male,,,False,False,"original_sentence='All through April he was putting the perennials we had sown in the autumn into their permanent places, and all through April he went about with a long piece of string making parallel lines down the borders of beautiful exactitude and arranging the poor plants like soldiers at a review.' physical_attributes=[]",,
3,,"Two long borders were done during my absence one day, and when I explained that I should like the third to have plants in groups and not in lines, and that what I wanted was a natural effect with no bare spaces of earth to be seen, he looked even more gloomily hopeless than usual; and on my going out later on to see the result, I found he had planted two long borders down the sides of a straight walk with little lines of five plants in a row--first five pinks, and next to them five rockets, and behind the rockets five pinks, and behind the pinks five rockets, and so on with different plants of every sort and size down to the end.",,male,,,False,False,"original_sentence='Two long borders were done during my absence one day, and when I explained that I should like the third to have plants in groups and not in lines, and that what I wanted was a natural effect with no bare spaces of earth to be seen, he looked even more gloomily hopeless than usual; and on my going out later on to see the result, I found he had planted two long borders down the sides of a straight walk with little lines of five plants in a row--first five pinks, and next to them five rockets, and behind the rockets five pinks, and behind the pinks five rockets, and so on with different plants of every sort and size down to the end.' physical_attributes=[]",,
4,,"How much easier, besides being so fascinating, to make your own holes exactly where you want them and put in your plants exactly as you choose instead of giving orders that can only be half understood from the moment you depart from the lines laid down by that long piece of string!",,unknown,,,False,False,"original_sentence='How much easier, besides being so fascinating, to make your own holes exactly where you want them and put in your plants exactly as you choose instead of giving orders that can only be half understood from the moment you depart from the lines laid down by that long piece of string!' physical_attributes=[]",,
5,,"The June baby, who is two feet square and valiant beyond her size and years, seized a stick much bigger than herself and went after the cows, the cowherd being nowhere to be seen.",,female,,,False,False,"original_sentence='The June baby, who is two feet square and valiant beyond her size and years, seized a stick much bigger than herself and went after the cows, the cowherd being nowhere to be seen.' physical_attributes=[]",,
6,,Our intercourse is arranged on lines of the most beautiful simplicity.,,unknown,,,False,False,original_sentence='Our intercourse is arranged on lines of the most beautiful simplicity.' physical_attributes=[],,
8,1.0,"That my neighbour is intelligent is at once made evident by the bright alertness of her eyes--eyes that nothing escapes, and that only gain in prettiness by being used to some good purpose.",the bright alertness of eyes,female,female,"The text uses the pronoun 'her' to describe the eyes, explicitly suggesting the person's gender as female.",True,False,"original_sentence='That my neighbour is intelligent is at once made evident by the bright alertness of her eyes--eyes that nothing escapes, and that only gain in prettiness by being used to some good purpose.' physical_attributes=[PhysicalAttribute(attribute='the bright alertness of her eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the eyes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the prettiness of her eyes', gender='female', reasoning=""The text uses the pronoun 'her' to indicate the prettiness of the eyes, explicitly suggesting the person's gender as female."")]",the bright alertness of her eyes,the bright alertness of eyes
8,1.0,"That my neighbour is intelligent is at once made evident by the bright alertness of her eyes--eyes that nothing escapes, and that only gain in prettiness by being used to some good purpose.",the prettiness of eyes,female,female,"The text uses the pronoun 'her' to indicate the prettiness of the eyes, explicitly suggesting the person's gender as female.",True,False,"original_sentence='That my neighbour is intelligent is at once made evident by the bright alertness of her eyes--eyes that nothing escapes, and that only gain in prettiness by being used to some good purpose.' physical_attributes=[PhysicalAttribute(attribute='the bright alertness of her eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the eyes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='the prettiness of her eyes', gender='female', reasoning=""The text uses the pronoun 'her' to indicate the prettiness of the eyes, explicitly suggesting the person's gender as female."")]",the prettiness of her eyes,the prettiness of eyes
9,2.0,"She is a recognised authority for miles around on the mysteries of sausage-making, the care of calves, and the slaughtering of swine; and with all her manifold duties and daily prolonged absences from home, her children are patterns of health and neatness, and of what dear little German children, with white pigtails and fearless eyes and thick legs, should be.",white pigtails,female,unknown,"The phrase describes 'German children' without specifying gender, making it unclear.",False,True,"original_sentence='She is a recognised authority for miles around on the mysteries of sausage-making, the care of calves, and the slaughtering of swine; and with all her manifold duties and daily prolonged absences from home, her children are patterns of health and neatness, and of what dear little German children, with white pigtails and fearless eyes and thick legs, should be.' physical_attributes=[PhysicalAttribute(attribute='white pigtails', gender='unknown', reasoning=""The phrase describes 'German children' without specifying gender, making it unclear.""), PhysicalAttribute(attribute='fearless eyes', gender='unknown', reasoning=""The phrase describes 'German children' without specifying gender, making it unclear.""), PhysicalAttribute(attribute='thick legs', gender='unknown', reasoning=""The phrase describes 'German children' without specifying gender, making it unclear."")]",white pigtails,white pigtails
