text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"She remarked that, reckoning from the year when I started as page-boy in the time of the old lord, I had been more than fifty years in her service, and she put into my hands a beautiful waistcoat of wool that she had worked herself, to keep me warm in the bitter winter weather.",,female,,,False,False,"original_sentence='She remarked that, reckoning from the year when I started as page-boy in the time of the old lord, I had been more than fifty years in her service, and she put into my hands a beautiful waistcoat of wool that she had worked herself, to keep me warm in the bitter winter weather.' physical_attributes=[]",,
1,0.0,"In answer to an improvement on this notion, devised by myself, namely, that she should tell the story instead of me, out of her own diary, Penelope observes, with a fierce look and a red face, that her journal is for her own private eye, and that no living creature shall ever know what is in it but herself.",a fierce look,female,female,"The name 'Penelope' is commonly associated with females, suggesting this person's gender as female.",True,True,"original_sentence='In answer to an improvement on this notion, devised by myself, namely, that she should tell the story instead of me, out of her own diary, Penelope observes, with a fierce look and a red face, that her journal is for her own private eye, and that no living creature shall ever know what is in it but herself.' physical_attributes=[PhysicalAttribute(attribute='a fierce look', gender='female', reasoning=""The name 'Penelope' is commonly associated with females, suggesting this person's gender as female.""), PhysicalAttribute(attribute='a red face', gender='female', reasoning=""The name 'Penelope' is commonly associated with females, suggesting this person's gender as female."")]",a fierce look,a fierce look
1,0.0,"In answer to an improvement on this notion, devised by myself, namely, that she should tell the story instead of me, out of her own diary, Penelope observes, with a fierce look and a red face, that her journal is for her own private eye, and that no living creature shall ever know what is in it but herself.",a red face,female,female,"The name 'Penelope' is commonly associated with females, suggesting this person's gender as female.",True,True,"original_sentence='In answer to an improvement on this notion, devised by myself, namely, that she should tell the story instead of me, out of her own diary, Penelope observes, with a fierce look and a red face, that her journal is for her own private eye, and that no living creature shall ever know what is in it but herself.' physical_attributes=[PhysicalAttribute(attribute='a fierce look', gender='female', reasoning=""The name 'Penelope' is commonly associated with females, suggesting this person's gender as female.""), PhysicalAttribute(attribute='a red face', gender='female', reasoning=""The name 'Penelope' is commonly associated with females, suggesting this person's gender as female."")]",a red face,a red face
2,1.0,"When I got out, through the sand-hills, on to the beach, there she was, in her little straw bonnet, and her plain grey cloak that she always wore to hide her deformed shoulder as much as might be--there she was, all alone, looking out on the quicksand and the sea.",a deformed shoulder,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('deformed shoulder'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='When I got out, through the sand-hills, on to the beach, there she was, in her little straw bonnet, and her plain grey cloak that she always wore to hide her deformed shoulder as much as might be--there she was, all alone, looking out on the quicksand and the sea.' physical_attributes=[PhysicalAttribute(attribute='a deformed shoulder', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('deformed shoulder'), explicitly suggesting the person's gender as female."")]",a deformed shoulder,a deformed shoulder
3,,"I’ll dry your eyes for you first, and then I’ll make so bold as to ask what you have been crying about.”  When you come to my age, you will find sitting down on the slope of a beach a much longer job than you think it now.",,unknown,,,False,False,"original_sentence='I’ll dry your eyes for you first, and then I’ll make so bold as to ask what you have been crying about.”  When you come to my age, you will find sitting down on the slope of a beach a much longer job than you think it now.' physical_attributes=[]",,
4,2.0,"She had nice brown eyes, plain as she was in other ways--and she looked at me with a sort of respect for my happy old age and my good character, as things for ever out of her own reach, which made my heart heavy for our second housemaid.",nice brown eyes,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('nice brown eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She had nice brown eyes, plain as she was in other ways--and she looked at me with a sort of respect for my happy old age and my good character, as things for ever out of her own reach, which made my heart heavy for our second housemaid.' physical_attributes=[PhysicalAttribute(attribute='nice brown eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('nice brown eyes'), explicitly suggesting the person's gender as female."")]",nice brown eyes,nice brown eyes
5,3.0,"“But thought you might like your scolding better, my dear, if it came from me.”  Instead of helping me up, the poor thing stole her hand into mine, and gave it a little squeeze.",a little hand,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a little hand'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='“But thought you might like your scolding better, my dear, if it came from me.”  Instead of helping me up, the poor thing stole her hand into mine, and gave it a little squeeze.' physical_attributes=[PhysicalAttribute(attribute='a little hand', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a little hand'), explicitly suggesting the person's gender as female."")]",a little hand,a little hand
6,4.0,"The broad brown face of it heaved slowly, and then dimpled and quivered all over.",a broad brown face,unknown,unknown,"The description refers to 'a broad brown face' without any evidence regarding the person's gender, making it difficult to infer.",True,False,"original_sentence='The broad brown face of it heaved slowly, and then dimpled and quivered all over.' physical_attributes=[PhysicalAttribute(attribute='a broad brown face', gender='unknown', reasoning=""The description refers to 'a broad brown face' without any evidence regarding the person's gender, making it difficult to infer."")]",a broad brown face,a broad brown face
7,5.0,"Her complexion turned of a beautiful red, which I had never seen in it before; she brightened all over with a kind of speechless and breathless surprise.",a beautiful red complexion,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a beautiful red complexion'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her complexion turned of a beautiful red, which I had never seen in it before; she brightened all over with a kind of speechless and breathless surprise.' physical_attributes=[PhysicalAttribute(attribute='a beautiful red complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a beautiful red complexion'), explicitly suggesting the person's gender as female."")]",a beautiful red complexion,a beautiful red complexion
8,6.0,"His complexion had got pale: his face, at the lower part was covered, to my great surprise and disappointment, with a curly brown beard and mustachios.",a curly brown beard,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a curly brown beard'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His complexion had got pale: his face, at the lower part was covered, to my great surprise and disappointment, with a curly brown beard and mustachios.' physical_attributes=[PhysicalAttribute(attribute='a curly brown beard', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a curly brown beard'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='mustachios', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute (mustachios), explicitly suggesting the person's gender as male."")]",a curly brown beard,a curly brown beard
