text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.",an elegant symmetry of form,female,female,"The text refers to 'Emily', a common female name, and describes attributes that suggest female characteristics.",True,False,"original_sentence='In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.' physical_attributes=[PhysicalAttribute(attribute='an elegant symmetry of form', gender='female', reasoning=""The text refers to 'Emily', a common female name, and describes attributes that suggest female characteristics.""), PhysicalAttribute(attribute='delicate features', gender='female', reasoning=""The text refers to 'Emily', a common female name, and delicate features are often associated with females.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text refers to 'Emily', a common female name, and the characteristic of blue eyes is notable for female descriptions in literature.""), PhysicalAttribute(attribute='full of tender sweetness', gender='female', reasoning=""The phrase describes a quality often attributed to female characteristics, and the reference to 'Emily', a common female name, supports this gender inference."")]",an elegant symmetry of form,an elegant symmetry of form
0,0.0,"In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.",delicate features,female,female,"The text refers to 'Emily', a common female name, and delicate features are often associated with females.",True,False,"original_sentence='In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.' physical_attributes=[PhysicalAttribute(attribute='an elegant symmetry of form', gender='female', reasoning=""The text refers to 'Emily', a common female name, and describes attributes that suggest female characteristics.""), PhysicalAttribute(attribute='delicate features', gender='female', reasoning=""The text refers to 'Emily', a common female name, and delicate features are often associated with females.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text refers to 'Emily', a common female name, and the characteristic of blue eyes is notable for female descriptions in literature.""), PhysicalAttribute(attribute='full of tender sweetness', gender='female', reasoning=""The phrase describes a quality often attributed to female characteristics, and the reference to 'Emily', a common female name, supports this gender inference."")]",delicate features,delicate features
0,0.0,"In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.",blue eyes,female,female,"The text refers to 'Emily', a common female name, and the characteristic of blue eyes is notable for female descriptions in literature.",True,True,"original_sentence='In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.' physical_attributes=[PhysicalAttribute(attribute='an elegant symmetry of form', gender='female', reasoning=""The text refers to 'Emily', a common female name, and describes attributes that suggest female characteristics.""), PhysicalAttribute(attribute='delicate features', gender='female', reasoning=""The text refers to 'Emily', a common female name, and delicate features are often associated with females.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text refers to 'Emily', a common female name, and the characteristic of blue eyes is notable for female descriptions in literature.""), PhysicalAttribute(attribute='full of tender sweetness', gender='female', reasoning=""The phrase describes a quality often attributed to female characteristics, and the reference to 'Emily', a common female name, supports this gender inference."")]",blue eyes,blue eyes
0,0.0,"In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.",full of tender sweetness,female,female,"The phrase describes a quality often attributed to female characteristics, and the reference to 'Emily', a common female name, supports this gender inference.",True,False,"original_sentence='In person, Emily resembled her mother; having the same elegant symmetry of form, the same delicacy of features, and the same blue eyes, full of tender sweetness.' physical_attributes=[PhysicalAttribute(attribute='an elegant symmetry of form', gender='female', reasoning=""The text refers to 'Emily', a common female name, and describes attributes that suggest female characteristics.""), PhysicalAttribute(attribute='delicate features', gender='female', reasoning=""The text refers to 'Emily', a common female name, and delicate features are often associated with females.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text refers to 'Emily', a common female name, and the characteristic of blue eyes is notable for female descriptions in literature.""), PhysicalAttribute(attribute='full of tender sweetness', gender='female', reasoning=""The phrase describes a quality often attributed to female characteristics, and the reference to 'Emily', a common female name, supports this gender inference."")]",full of tender sweetness,full of tender sweetness
1,,"But sweeter, sweeter still, when the sun sinks to rest,   And twilight comes on, with the fairies so gay  Tripping through the forest-walk, where flow'rs, unprest,   Bow not their tall heads beneath their frolic play.",,unknown,,,False,False,"original_sentence=""But sweeter, sweeter still, when the sun sinks to rest,   And twilight comes on, with the fairies so gay  Tripping through the forest-walk, where flow'rs, unprest,   Bow not their tall heads beneath their frolic play."" physical_attributes=[]",,
2,,"She had, indeed, taken the infection, during her attendance upon him, and, her constitution being too weak to throw out the disease immediately, it had lurked in her veins, and occasioned the heavy languor of which she had complained.",,evidence for both,,,False,False,"original_sentence='She had, indeed, taken the infection, during her attendance upon him, and, her constitution being too weak to throw out the disease immediately, it had lurked in her veins, and occasioned the heavy languor of which she had complained.' physical_attributes=[]",,
3,1.0,"His gun was slung across his shoulders, the hunter's horn hung from his belt, and in his hand was a small pike, which, as he held it, added to the manly grace of his figure, and assisted the agility of his steps.",manly grace,male,male,"The term 'manly' explicitly suggests male gender attributes, which indicates that the physical feature described here is associated with a male.",True,False,"original_sentence=""His gun was slung across his shoulders, the hunter's horn hung from his belt, and in his hand was a small pike, which, as he held it, added to the manly grace of his figure, and assisted the agility of his steps."" physical_attributes=[PhysicalAttribute(attribute='manly grace', gender='male', reasoning=""The term 'manly' explicitly suggests male gender attributes, which indicates that the physical feature described here is associated with a male.""), PhysicalAttribute(attribute='agility of his steps', gender='male', reasoning=""The pronoun 'his' refers to the individual described in a masculine context, leading to the inference of male gender."")]",manly grace,manly grace
3,1.0,"His gun was slung across his shoulders, the hunter's horn hung from his belt, and in his hand was a small pike, which, as he held it, added to the manly grace of his figure, and assisted the agility of his steps.",agility of steps,male,male,"The pronoun 'his' refers to the individual described in a masculine context, leading to the inference of male gender.",True,False,"original_sentence=""His gun was slung across his shoulders, the hunter's horn hung from his belt, and in his hand was a small pike, which, as he held it, added to the manly grace of his figure, and assisted the agility of his steps."" physical_attributes=[PhysicalAttribute(attribute='manly grace', gender='male', reasoning=""The term 'manly' explicitly suggests male gender attributes, which indicates that the physical feature described here is associated with a male.""), PhysicalAttribute(attribute='agility of his steps', gender='male', reasoning=""The pronoun 'his' refers to the individual described in a masculine context, leading to the inference of male gender."")]",agility of his steps,agility of steps
4,,"It was late when St. Aubert and Emily retired to their rooms, and Valancourt to his station at the door, which, at this mild season, he preferred to a close cabin and a bed of skins.",,male,,,False,False,"original_sentence='It was late when St. Aubert and Emily retired to their rooms, and Valancourt to his station at the door, which, at this mild season, he preferred to a close cabin and a bed of skins.' physical_attributes=[]",,
5,,"Meanwhile, the sullen grey of the eastern clouds began to blush, then to redden, and then to glow with a thousand colours, till the golden light darted over all the air, touched the lower points of the mountain's brow, and glanced in long sloping beams upon the valley and its stream.",,unknown,,,False,False,"original_sentence=""Meanwhile, the sullen grey of the eastern clouds began to blush, then to redden, and then to glow with a thousand colours, till the golden light darted over all the air, touched the lower points of the mountain's brow, and glanced in long sloping beams upon the valley and its stream."" physical_attributes=[]",,
6,,"They continued to travel over a rough and unfrequented road, seeing now and then at a distance the solitary shepherd, with his dog, stalking along the valley, and hearing only the dashing of torrents, which the woods concealed from the eye, the long sullen murmur of the breeze, as it swept over the pines, or the notes of the eagle and the vulture, which were seen towering round the beetling cliff.",,male,,,False,False,"original_sentence='They continued to travel over a rough and unfrequented road, seeing now and then at a distance the solitary shepherd, with his dog, stalking along the valley, and hearing only the dashing of torrents, which the woods concealed from the eye, the long sullen murmur of the breeze, as it swept over the pines, or the notes of the eagle and the vulture, which were seen towering round the beetling cliff.' physical_attributes=[]",,
7,,"Around, on every side, far as the eye could penetrate, were seen only forms of grandeur--the long perspective of mountain-tops, tinged with ethereal blue, or white with snow; vallies of ice, and forests of gloomy fir.",,unknown,,,False,False,"original_sentence='Around, on every side, far as the eye could penetrate, were seen only forms of grandeur--the long perspective of mountain-tops, tinged with ethereal blue, or white with snow; vallies of ice, and forests of gloomy fir.' physical_attributes=[]",,
8,,"Something bright, like arms, glanced in the setting ray, and the military dress was distinguishable upon the men who were in the van, and on others scattered among the troop that followed.",,unknown,,,False,False,"original_sentence='Something bright, like arms, glanced in the setting ray, and the military dress was distinguishable upon the men who were in the van, and on others scattered among the troop that followed.' physical_attributes=[]",,
9,,"When ev'ry infant flower, that wept in night,   Lifts its chill head soft glowing with a tear,  Expands its tender blossom to the light,   And gives its incense to the genial air.",,unknown,,,False,False,"original_sentence=""When ev'ry infant flower, that wept in night,   Lifts its chill head soft glowing with a tear,  Expands its tender blossom to the light,   And gives its incense to the genial air."" physical_attributes=[]",,
10,2.0,"St. Aubert looked up silently in her face, as if would have spoken, but his spirit sunk a while, and his eyes became heavy and dull.",heavy and dull eyes,evidence for both,unknown,"The text describes 'his eyes' as 'heavy and dull' but does not provide clear evidence of the person's gender. 'St. Aubert' could be interpreted as a male name, thus the eyes are likely male, but it's not explicitly stated.",False,False,"original_sentence='St. Aubert looked up silently in her face, as if would have spoken, but his spirit sunk a while, and his eyes became heavy and dull.' physical_attributes=[PhysicalAttribute(attribute='heavy and dull eyes', gender='unknown', reasoning=""The text describes 'his eyes' as 'heavy and dull' but does not provide clear evidence of the person's gender. 'St. Aubert' could be interpreted as a male name, thus the eyes are likely male, but it's not explicitly stated."")]",heavy and dull eyes,heavy and dull eyes
11,3.0,"Yet, whenever she looked upon his emaciated countenance, and saw the lines of death beginning to prevail over it--saw his sunk eyes, still bent on her, and their heavy lids pressing to a close, there was a pang in her heart, such as defied expression, though it required filial virtue, like hers, to forbear the attempt.",an emaciated countenance,evidence for both,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('an emaciated countenance'), explicitly suggesting the person's gender as male.",False,True,"original_sentence='Yet, whenever she looked upon his emaciated countenance, and saw the lines of death beginning to prevail over it--saw his sunk eyes, still bent on her, and their heavy lids pressing to a close, there was a pang in her heart, such as defied expression, though it required filial virtue, like hers, to forbear the attempt.' physical_attributes=[PhysicalAttribute(attribute='an emaciated countenance', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('an emaciated countenance'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sunk eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the eyes of the person with the current attribute ('sunk eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='heavy lids', gender='male', reasoning=""The text uses the pronoun 'his' to describe the eyelids of the person with the current attribute ('heavy lids'), explicitly suggesting the person's gender as male."")]",an emaciated countenance,an emaciated countenance
