source_novel,attribute,text,llm_gender,intext_gender,llm_reasoning,gender_match,indomain_strct,text_id,attribute_text_id,replacement
gameofthrones1,mottled black skin,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.",female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('mottled black skin'), explicitly suggesting the person's gender as female.",TRUE,FALSE,4,3,replaced
gameofthrones1,a thin scraggle of beard,"I’ll have a look at them later.”  Thoren Smallwood, a sinewy ranger with a weak chin and a weaker mouth hidden under a thin scraggle of beard, gave Jon and Sam a cool look.",male,unknown,"The name 'Thoren' is typically a male name, indicating that the person being described is male.",FALSE,FALSE,83,54,replaced
gameofthrones1,heavy-lidded eyes,"“I would sooner be up, though the world be dark, than lie restless abed, fretting on tasks undone,” he said—though his heavy-lidded eyes made him look half-asleep as he said it.",male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('heavy-lidded eyes'), explicitly suggesting the person's gender as male.",TRUE,TRUE,157,94,
gameofthrones1,a weary arm,"When her arm grew weary, she sat with her legs over a high limb to catch her breath in the cool dark air, listening to the squeak of bats as they hunted.",female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a weary arm'), explicitly suggesting the person's gender as female.",TRUE,TRUE,368,225,
gameofthrones1,a bushy mustache,"Arya caught glimpses of him, but always from afar—once walking the walls in the company of three maesters and the fat captive with the bushy mustache, once riding out with his lords bannermen to visit the encampments, but most often standing in an arch of the covered gallery watching men at practice in the yard below.",male,male,"The text includes the pronoun 'him', which suggests that the person being described with the bushy mustache is male.",TRUE,TRUE,260,159,
gameofthrones1,brittle hair,"Doreah grew gaunt and hollow-eyed, and her soft golden hair turned brittle as straw.",female,female,"The attribute describes 'Doreah', and the pronoun 'her' explicitly indicates that the person is female.",TRUE,TRUE,123,77,replaced
gameofthrones1,smooth skin,"but her skin was smooth and white, unblemished, pale as cream.",female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('smooth skin'), explicitly suggesting the person's gender as female.",TRUE,TRUE,23,15,
gameofthrones1,a graceful figure,"Slender she was, graceful, taller than most knights, with full breasts and narrow waist and a heart-shaped face.",female,female,"The use of 'she' indicates that the individual is female, and 'graceful' is often attributed to feminine qualities.",TRUE,TRUE,24,16,
gameofthrones1,coarse features,"her features were broad and coarse, her teeth prominent and crooked, her mouth too wide, her lips so plump they seemed swollen.",female,female,"The text uses the pronoun 'her' to refer to the person with these features, explicitly suggesting the person's gender as female.",TRUE,TRUE,199,116,
gameofthrones1,stringy brown locks,"Instead he had inherited the stringy brown locks, weak chin, and thin face of his sire, Ser Emmon Frey, old Lord Walder’s second son.",male,male,"The text references 'his sire', which implies a male line and thus suggests that the individual is male.",TRUE,FALSE,89,57,
gameofthrones1,blue eyes as dark as the sea by night,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.",male,male,"The text uses the pronoun 'his' to refer to the person whose eye color is described, explicitly suggesting the person's gender as male.",TRUE,FALSE,13,9,modified
gameofthrones1,a squat stature,"He was squat and thick, with huge hands.",male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('squat stature'), explicitly indicating male gender.",TRUE,TRUE,69,47,
gameofthrones1,a fringe of thin black hair,"Though he was not yet five-and-thirty, only a fringe of thin black hair remained on his head, circling behind his ears like the shadow of a crown.",male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a fringe of thin black hair'), explicitly suggesting the person's gender as male.",TRUE,FALSE,12,8,
gameofthrones1,teats like empty wineskins,"She has teats like empty wineskins, dry and withered.”  “It wasn’t her teats he wed her for, m’lord.”  The ironmen slammed shut the tall doors at the foot of the hall.",female,evidence for both,"The text uses the pronoun 'her' when referencing the teats, which explicitly suggests the person's gender as female.",FALSE,FALSE,363,221,
gameofthrones1,not so fine features,"Not quite so tall, his features not so fine, and his hair is sand instead of spun gold, yet still .",male,male,"The attribute is described using the pronoun 'his', indicating the person's gender as male.",TRUE,FALSE,252,151,kept
gameofthrones1,a short bristly grey beard,"Bemused, Renly said, “It would seem the direwolf is gentler than the lion.”  “Gentler than the Lannisters,” murmured Lady Oakheart with a bitter smile, “is drier than the sea.”  “I call it weak.” Lord Randyll Tarly had a short, bristly grey beard and a reputation for blunt speech.",male,unknown,"The text uses the title 'Lord' for Randyll Tarly, which is a male designation, and the beard is a feature typically associated with males.",FALSE,FALSE,201,117,
