text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"So we unhitched a skiff and pulled down the river two mile and a half, to the big scar on the hillside, and went ashore.",,unknown,,,False,False,"original_sentence='So we unhitched a skiff and pulled down the river two mile and a half, to the big scar on the hillside, and went ashore.' physical_attributes=[]",,
1,0.0,"They judged it was him, anyway; said this drownded man was just his size, and was ragged, and had uncommon long hair, which was all like pap; but they couldn't make nothing out of the face, because it had been in the water so long it warn't much like a face at all.",uncommon long hair,male,unknown,"The attribute does not provide clear evidence of gender. While 'man' is mentioned, the description of hair does not specify gender definitively.",False,False,"original_sentence=""They judged it was him, anyway; said this drownded man was just his size, and was ragged, and had uncommon long hair, which was all like pap; but they couldn't make nothing out of the face, because it had been in the water so long it warn't much like a face at all."" physical_attributes=[PhysicalAttribute(attribute='uncommon long hair', gender='unknown', reasoning=""The attribute does not provide clear evidence of gender. While 'man' is mentioned, the description of hair does not specify gender definitively.""), PhysicalAttribute(attribute='a ragged face', gender='unknown', reasoning='The attribute describes a face without any specific gender context. It refers to the condition rather than gender.')]",uncommon long hair,uncommon long hair
1,0.0,"They judged it was him, anyway; said this drownded man was just his size, and was ragged, and had uncommon long hair, which was all like pap; but they couldn't make nothing out of the face, because it had been in the water so long it warn't much like a face at all.",a ragged face,male,unknown,The attribute describes a face without any specific gender context. It refers to the condition rather than gender.,False,True,"original_sentence=""They judged it was him, anyway; said this drownded man was just his size, and was ragged, and had uncommon long hair, which was all like pap; but they couldn't make nothing out of the face, because it had been in the water so long it warn't much like a face at all."" physical_attributes=[PhysicalAttribute(attribute='uncommon long hair', gender='unknown', reasoning=""The attribute does not provide clear evidence of gender. While 'man' is mentioned, the description of hair does not specify gender definitively.""), PhysicalAttribute(attribute='a ragged face', gender='unknown', reasoning='The attribute describes a face without any specific gender context. It refers to the condition rather than gender.')]",a ragged face,a ragged face
2,1.0,"His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.",long hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('long hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('long hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='greasy hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('greasy hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shining eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shining eyes'), explicitly suggesting the person's gender as male."")]",long hair,long hair
2,1.0,"His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.",tangled hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('long hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='greasy hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('greasy hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shining eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shining eyes'), explicitly suggesting the person's gender as male."")]",tangled hair,tangled hair
2,1.0,"His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.",greasy hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('greasy hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('long hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='greasy hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('greasy hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shining eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shining eyes'), explicitly suggesting the person's gender as male."")]",greasy hair,greasy hair
2,1.0,"His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.",shining eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('shining eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His hair was long and tangled and greasy, and hung down, and you could see his eyes shining through like he was behind vines.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('long hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tangled hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tangled hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='greasy hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('greasy hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='shining eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('shining eyes'), explicitly suggesting the person's gender as male."")]",shining eyes,shining eyes
3,,"Once when I turned short and dodged under his arm he made a grab and got me by the jacket between my shoulders, and I thought I was gone; but I slid out of the jacket quick as lightning, and saved myself.",,male,,,False,False,"original_sentence='Once when I turned short and dodged under his arm he made a grab and got me by the jacket between my shoulders, and I thought I was gone; but I slid out of the jacket quick as lightning, and saved myself.' physical_attributes=[]",,
4,,"Well, all at once here comes a canoe; just a beauty, too, about thirteen or fourteen foot long, riding high like a duck.",,unknown,,,False,False,"original_sentence='Well, all at once here comes a canoe; just a beauty, too, about thirteen or fourteen foot long, riding high like a duck.' physical_attributes=[]",,
5,,"But when I got to shore pap wasn't in sight yet, and as I was running her into a little creek like a gully, all hung over with vines and willows, I struck another idea:  I judged I'd hide her good, and then, 'stead of taking to the woods when I run off, I'd go down the river about fifty mile and camp in one place for good, and not have such a rough time tramping on foot.",,female,,,False,False,"original_sentence=""But when I got to shore pap wasn't in sight yet, and as I was running her into a little creek like a gully, all hung over with vines and willows, I struck another idea: \xa0I judged I'd hide her good, and then, 'stead of taking to the woods when I run off, I'd go down the river about fifty mile and camp in one place for good, and not have such a rough time tramping on foot."" physical_attributes=[]",,
