text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The campfire burst into a bright blaze, and by its light Cameron saw a man whose gray hair somehow did not seem to make him old, and whose stooped shoulders did not detract from an impression of rugged strength.",gray hair,male,male,"The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.",True,True,"original_sentence='The campfire burst into a bright blaze, and by its light Cameron saw a man whose gray hair somehow did not seem to make him old, and whose stooped shoulders did not detract from an impression of rugged strength.' physical_attributes=[PhysicalAttribute(attribute='gray hair', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.""), PhysicalAttribute(attribute='stooped shoulders', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.""), PhysicalAttribute(attribute='rugged strength', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male."")]",gray hair,gray hair
0,0.0,"The campfire burst into a bright blaze, and by its light Cameron saw a man whose gray hair somehow did not seem to make him old, and whose stooped shoulders did not detract from an impression of rugged strength.",stooped shoulders,male,male,"The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.",True,False,"original_sentence='The campfire burst into a bright blaze, and by its light Cameron saw a man whose gray hair somehow did not seem to make him old, and whose stooped shoulders did not detract from an impression of rugged strength.' physical_attributes=[PhysicalAttribute(attribute='gray hair', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.""), PhysicalAttribute(attribute='stooped shoulders', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.""), PhysicalAttribute(attribute='rugged strength', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male."")]",stooped shoulders,stooped shoulders
0,0.0,"The campfire burst into a bright blaze, and by its light Cameron saw a man whose gray hair somehow did not seem to make him old, and whose stooped shoulders did not detract from an impression of rugged strength.",rugged strength,male,male,"The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.",True,False,"original_sentence='The campfire burst into a bright blaze, and by its light Cameron saw a man whose gray hair somehow did not seem to make him old, and whose stooped shoulders did not detract from an impression of rugged strength.' physical_attributes=[PhysicalAttribute(attribute='gray hair', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.""), PhysicalAttribute(attribute='stooped shoulders', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male.""), PhysicalAttribute(attribute='rugged strength', gender='male', reasoning=""The text explicitly refers to the subject as 'a man', suggesting the person's gender as male."")]",rugged strength,rugged strength
1,,"Cameron waved a hand toward the wide, shimmering, shadowy descent of plain and range.",,unknown,,,False,False,"original_sentence='Cameron waved a hand toward the wide, shimmering, shadowy descent of plain and range.' physical_attributes=[]",,
2,,"He saw a strong tension of his comrade's wrists, as if he was holding hard against a considerable force.",,male,,,False,False,"original_sentence=""He saw a strong tension of his comrade's wrists, as if he was holding hard against a considerable force."" physical_attributes=[]",,
3,,There were others in tight-fitting blue uniforms with gold fringe or tassels at the shoulders.,,unknown,,,False,False,original_sentence='There were others in tight-fitting blue uniforms with gold fringe or tassels at the shoulders.' physical_attributes=[],,
4,1.0,"The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.",piercing eyes,unknown,male,"The text refers to 'the men,' indicating that these piercing eyes are being described in the context of male individuals.",False,False,"original_sentence='The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.' physical_attributes=[PhysicalAttribute(attribute='sharp-featured faces', gender='male', reasoning=""The text refers to 'the men,' which indicates that the physical attributes are describing male individuals, along with the mention of 'cowboys' which is culturally associated with males.""), PhysicalAttribute(attribute='piercing eyes', gender='male', reasoning=""The text refers to 'the men,' indicating that these piercing eyes are being described in the context of male individuals.""), PhysicalAttribute(attribute='tall bodies', gender='male', reasoning=""The reference to 'the men' indicates that the bodies described are male, and 'tall' is a characteristic ascribed to them.""), PhysicalAttribute(attribute='slender bodies', gender='male', reasoning=""Similar to 'tall bodies,' the context of 'the men' indicates that this attribute refers to male bodies.""), PhysicalAttribute(attribute='loosely jointed bodies', gender='male', reasoning=""The attribute is presented in connection with 'the men,' clearly indicating that it describes male bodies.""), PhysicalAttribute(attribute='quiet air', gender='male', reasoning=""The phrase 'that seemed to be a part of the men' indicates that this characteristic is also attributing to the male individuals described.""), PhysicalAttribute(attribute='easy air', gender='male', reasoning=""The reference to 'the men' confirms that this attribute pertains to male individuals.""), PhysicalAttribute(attribute='reckless air', gender='male', reasoning=""The mention of 'the men' suggests these attributes are specifically associated with male individuals."")]",piercing eyes,piercing eyes
4,1.0,"The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.",tall bodies,unknown,male,"The reference to 'the men' indicates that the bodies described are male, and 'tall' is a characteristic ascribed to them.",False,True,"original_sentence='The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.' physical_attributes=[PhysicalAttribute(attribute='sharp-featured faces', gender='male', reasoning=""The text refers to 'the men,' which indicates that the physical attributes are describing male individuals, along with the mention of 'cowboys' which is culturally associated with males.""), PhysicalAttribute(attribute='piercing eyes', gender='male', reasoning=""The text refers to 'the men,' indicating that these piercing eyes are being described in the context of male individuals.""), PhysicalAttribute(attribute='tall bodies', gender='male', reasoning=""The reference to 'the men' indicates that the bodies described are male, and 'tall' is a characteristic ascribed to them.""), PhysicalAttribute(attribute='slender bodies', gender='male', reasoning=""Similar to 'tall bodies,' the context of 'the men' indicates that this attribute refers to male bodies.""), PhysicalAttribute(attribute='loosely jointed bodies', gender='male', reasoning=""The attribute is presented in connection with 'the men,' clearly indicating that it describes male bodies.""), PhysicalAttribute(attribute='quiet air', gender='male', reasoning=""The phrase 'that seemed to be a part of the men' indicates that this characteristic is also attributing to the male individuals described.""), PhysicalAttribute(attribute='easy air', gender='male', reasoning=""The reference to 'the men' confirms that this attribute pertains to male individuals.""), PhysicalAttribute(attribute='reckless air', gender='male', reasoning=""The mention of 'the men' suggests these attributes are specifically associated with male individuals."")]",tall bodies,tall bodies
4,1.0,"The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.",slender bodies,unknown,male,"Similar to 'tall bodies,' the context of 'the men' indicates that this attribute refers to male bodies.",False,False,"original_sentence='The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.' physical_attributes=[PhysicalAttribute(attribute='sharp-featured faces', gender='male', reasoning=""The text refers to 'the men,' which indicates that the physical attributes are describing male individuals, along with the mention of 'cowboys' which is culturally associated with males.""), PhysicalAttribute(attribute='piercing eyes', gender='male', reasoning=""The text refers to 'the men,' indicating that these piercing eyes are being described in the context of male individuals.""), PhysicalAttribute(attribute='tall bodies', gender='male', reasoning=""The reference to 'the men' indicates that the bodies described are male, and 'tall' is a characteristic ascribed to them.""), PhysicalAttribute(attribute='slender bodies', gender='male', reasoning=""Similar to 'tall bodies,' the context of 'the men' indicates that this attribute refers to male bodies.""), PhysicalAttribute(attribute='loosely jointed bodies', gender='male', reasoning=""The attribute is presented in connection with 'the men,' clearly indicating that it describes male bodies.""), PhysicalAttribute(attribute='quiet air', gender='male', reasoning=""The phrase 'that seemed to be a part of the men' indicates that this characteristic is also attributing to the male individuals described.""), PhysicalAttribute(attribute='easy air', gender='male', reasoning=""The reference to 'the men' confirms that this attribute pertains to male individuals.""), PhysicalAttribute(attribute='reckless air', gender='male', reasoning=""The mention of 'the men' suggests these attributes are specifically associated with male individuals."")]",slender bodies,slender bodies
4,1.0,"The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.",loosely jointed bodies,unknown,male,"The attribute is presented in connection with 'the men,' clearly indicating that it describes male bodies.",False,False,"original_sentence='The sharp-featured, bronzed faces and piercing eyes, the tall, slender, loosely jointed bodies, the quiet, easy, reckless air that seemed to be a part of the men--these things would plainly have stamped them as cowboys without the buckled sombreros, the colored scarfs, the high-topped, high-heeled boots with great silver-roweled spurs.' physical_attributes=[PhysicalAttribute(attribute='sharp-featured faces', gender='male', reasoning=""The text refers to 'the men,' which indicates that the physical attributes are describing male individuals, along with the mention of 'cowboys' which is culturally associated with males.""), PhysicalAttribute(attribute='piercing eyes', gender='male', reasoning=""The text refers to 'the men,' indicating that these piercing eyes are being described in the context of male individuals.""), PhysicalAttribute(attribute='tall bodies', gender='male', reasoning=""The reference to 'the men' indicates that the bodies described are male, and 'tall' is a characteristic ascribed to them.""), PhysicalAttribute(attribute='slender bodies', gender='male', reasoning=""Similar to 'tall bodies,' the context of 'the men' indicates that this attribute refers to male bodies.""), PhysicalAttribute(attribute='loosely jointed bodies', gender='male', reasoning=""The attribute is presented in connection with 'the men,' clearly indicating that it describes male bodies.""), PhysicalAttribute(attribute='quiet air', gender='male', reasoning=""The phrase 'that seemed to be a part of the men' indicates that this characteristic is also attributing to the male individuals described.""), PhysicalAttribute(attribute='easy air', gender='male', reasoning=""The reference to 'the men' confirms that this attribute pertains to male individuals.""), PhysicalAttribute(attribute='reckless air', gender='male', reasoning=""The mention of 'the men' suggests these attributes are specifically associated with male individuals."")]",loosely jointed bodies,loosely jointed bodies
