text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.",a shiny tip of the nose,male,"male},{","The text uses the pronoun 'his' to refer to the person with the current attribute ('a shiny tip of the nose'), explicitly suggesting the person's gender as male.",False,False,"original_sentence='He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.' physical_attributes=[PhysicalAttribute(attribute='a shiny tip of the nose', gender='male},{', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a shiny tip of the nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='soft felt hat', gender='male', reasoning=""The use of the pronoun 'his' suggesting the person is male, and the hat serves as a description related to the person's appearance.""), PhysicalAttribute(attribute='broad shoulders', gender='male', reasoning='While shoulders are mentioned, there is an implicit suggestion of male attributes, as the text uses male pronouns.'), PhysicalAttribute(attribute='broad chest', gender='male', reasoning='Similar to the shoulders, the mention of a chest implies strength often associated with masculinity in gendered descriptions.')]",a shiny tip of the nose,a shiny tip of the nose
0,0.0,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.",broad shoulders,male,male,"While shoulders are mentioned, there is an implicit suggestion of male attributes, as the text uses male pronouns.",True,True,"original_sentence='He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.' physical_attributes=[PhysicalAttribute(attribute='a shiny tip of the nose', gender='male},{', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a shiny tip of the nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='soft felt hat', gender='male', reasoning=""The use of the pronoun 'his' suggesting the person is male, and the hat serves as a description related to the person's appearance.""), PhysicalAttribute(attribute='broad shoulders', gender='male', reasoning='While shoulders are mentioned, there is an implicit suggestion of male attributes, as the text uses male pronouns.'), PhysicalAttribute(attribute='broad chest', gender='male', reasoning='Similar to the shoulders, the mention of a chest implies strength often associated with masculinity in gendered descriptions.')]",broad shoulders,broad shoulders
0,0.0,"He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.",broad chest,male,male,"Similar to the shoulders, the mention of a chest implies strength often associated with masculinity in gendered descriptions.",True,True,"original_sentence='He was wrapped up from head to foot, and the brim of his soft felt hat hid every inch of his face but the shiny tip of his nose; the snow had piled itself against his shoulders and chest, and added a white crest to the burden he carried.' physical_attributes=[PhysicalAttribute(attribute='a shiny tip of the nose', gender='male},{', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a shiny tip of the nose'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='soft felt hat', gender='male', reasoning=""The use of the pronoun 'his' suggesting the person is male, and the hat serves as a description related to the person's appearance.""), PhysicalAttribute(attribute='broad shoulders', gender='male', reasoning='While shoulders are mentioned, there is an implicit suggestion of male attributes, as the text uses male pronouns.'), PhysicalAttribute(attribute='broad chest', gender='male', reasoning='Similar to the shoulders, the mention of a chest implies strength often associated with masculinity in gendered descriptions.')]",broad chest,broad chest
1,1.0,"It was the fact that all his forehead above his blue glasses was covered by a white bandage, and that another covered his ears, leaving not a scrap of his face exposed excepting only his pink, peaked nose.",a pink peaked nose,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a pink peaked nose'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='It was the fact that all his forehead above his blue glasses was covered by a white bandage, and that another covered his ears, leaving not a scrap of his face exposed excepting only his pink, peaked nose.' physical_attributes=[PhysicalAttribute(attribute='a pink peaked nose', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a pink peaked nose'), explicitly suggesting the person's gender as male."")]",a pink peaked nose,a pink peaked nose
2,2.0,"The thick black hair, escaping as it could below and between the cross bandages, projected in curious tails and horns, giving him the strangest appearance conceivable.",thick black hair,male,male,"The text uses the pronoun 'him' to refer to the person with the current attribute ('thick black hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='The thick black hair, escaping as it could below and between the cross bandages, projected in curious tails and horns, giving him the strangest appearance conceivable.' physical_attributes=[PhysicalAttribute(attribute='thick black hair', gender='male', reasoning=""The text uses the pronoun 'him' to refer to the person with the current attribute ('thick black hair'), explicitly suggesting the person's gender as male."")]",thick black hair,thick black hair
3,3.0,She glanced at his white-swathed head and blue goggles again as she was going out of the door; but his napkin was still in front of his face.,a white-swathed head,evidence for both,unknown,"The text uses the pronoun 'his' to describe the person with the current attribute ('a white-swathed head'), however, it does not provide explicit evidence of gender, making it undetermined.",False,True,"original_sentence='She glanced at his white-swathed head and blue goggles again as she was going out of the door; but his napkin was still in front of his face.' physical_attributes=[PhysicalAttribute(attribute='a white-swathed head', gender='unknown', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('a white-swathed head'), however, it does not provide explicit evidence of gender, making it undetermined.""), PhysicalAttribute(attribute='blue goggles', gender='unknown', reasoning=""The attribute 'blue goggles' does not provide explicit evidence of gender. It is associated with 'his', which indicates it refers to a male, but goggles themselves don't suggest gender."")]",a white-swathed head,a white-swathed head
3,3.0,She glanced at his white-swathed head and blue goggles again as she was going out of the door; but his napkin was still in front of his face.,blue goggles,evidence for both,unknown,"The attribute 'blue goggles' does not provide explicit evidence of gender. It is associated with 'his', which indicates it refers to a male, but goggles themselves don't suggest gender.",False,True,"original_sentence='She glanced at his white-swathed head and blue goggles again as she was going out of the door; but his napkin was still in front of his face.' physical_attributes=[PhysicalAttribute(attribute='a white-swathed head', gender='unknown', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('a white-swathed head'), however, it does not provide explicit evidence of gender, making it undetermined.""), PhysicalAttribute(attribute='blue goggles', gender='unknown', reasoning=""The attribute 'blue goggles' does not provide explicit evidence of gender. It is associated with 'his', which indicates it refers to a male, but goggles themselves don't suggest gender."")]",blue goggles,blue goggles
4,4.0,But for a second it seemed to her that the man she looked at had an enormous mouth wide open--a vast and incredible mouth that swallowed the whole of the lower portion of his face.,an enormous mouth,evidence for both,male,"The text uses the pronoun 'the man' to refer to the person with the current attribute ('an enormous mouth'), explicitly suggesting the person's gender as male.",False,True,"original_sentence='But for a second it seemed to her that the man she looked at had an enormous mouth wide open--a vast and incredible mouth that swallowed the whole of the lower portion of his face.' physical_attributes=[PhysicalAttribute(attribute='an enormous mouth', gender='male', reasoning=""The text uses the pronoun 'the man' to refer to the person with the current attribute ('an enormous mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a vast mouth', gender='male', reasoning=""The text describes the mouth as 'vast', which is another description of the same mouth, also referring to 'the man', suggesting male gender.""), PhysicalAttribute(attribute='an incredible mouth', gender='male', reasoning=""The text describes the mouth as 'incredible', which again refers to 'the man', supporting the gender inference of male."")]",an enormous mouth,an enormous mouth
4,4.0,But for a second it seemed to her that the man she looked at had an enormous mouth wide open--a vast and incredible mouth that swallowed the whole of the lower portion of his face.,a vast mouth,evidence for both,male,"The text describes the mouth as 'vast', which is another description of the same mouth, also referring to 'the man', suggesting male gender.",False,True,"original_sentence='But for a second it seemed to her that the man she looked at had an enormous mouth wide open--a vast and incredible mouth that swallowed the whole of the lower portion of his face.' physical_attributes=[PhysicalAttribute(attribute='an enormous mouth', gender='male', reasoning=""The text uses the pronoun 'the man' to refer to the person with the current attribute ('an enormous mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a vast mouth', gender='male', reasoning=""The text describes the mouth as 'vast', which is another description of the same mouth, also referring to 'the man', suggesting male gender.""), PhysicalAttribute(attribute='an incredible mouth', gender='male', reasoning=""The text describes the mouth as 'incredible', which again refers to 'the man', supporting the gender inference of male."")]",a vast mouth,a vast mouth
4,4.0,But for a second it seemed to her that the man she looked at had an enormous mouth wide open--a vast and incredible mouth that swallowed the whole of the lower portion of his face.,an incredible mouth,evidence for both,male,"The text describes the mouth as 'incredible', which again refers to 'the man', supporting the gender inference of male.",False,True,"original_sentence='But for a second it seemed to her that the man she looked at had an enormous mouth wide open--a vast and incredible mouth that swallowed the whole of the lower portion of his face.' physical_attributes=[PhysicalAttribute(attribute='an enormous mouth', gender='male', reasoning=""The text uses the pronoun 'the man' to refer to the person with the current attribute ('an enormous mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a vast mouth', gender='male', reasoning=""The text describes the mouth as 'vast', which is another description of the same mouth, also referring to 'the man', suggesting male gender.""), PhysicalAttribute(attribute='an incredible mouth', gender='male', reasoning=""The text describes the mouth as 'incredible', which again refers to 'the man', supporting the gender inference of male."")]",an incredible mouth,an incredible mouth
