text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,I had gone but a short distance further when what seemed to be an excellent trail opened up around the face of a high cliff.,,unknown,,,False,False,original_sentence='I had gone but a short distance further when what seemed to be an excellent trail opened up around the face of a high cliff.' physical_attributes=[],,
1,,I had followed this trail for perhaps a hundred yards when a sharp turn to the right brought me to the mouth of a large cave.,,unknown,,,False,False,original_sentence='I had followed this trail for perhaps a hundred yards when a sharp turn to the right brought me to the mouth of a large cave.' physical_attributes=[],,
2,,"The opening was about four feet in height and three to four feet wide, and at this opening the trail ended.",,unknown,,,False,False,"original_sentence='The opening was about four feet in height and three to four feet wide, and at this opening the trail ended.' physical_attributes=[]",,
3,,"I found a large chamber, possibly a hundred feet in diameter and thirty or forty feet in height; a smooth and well-worn floor, and many other evidences that the cave had, at some remote period, been inhabited.",,unknown,,,False,False,"original_sentence='I found a large chamber, possibly a hundred feet in diameter and thirty or forty feet in height; a smooth and well-worn floor, and many other evidences that the cave had, at some remote period, been inhabited.' physical_attributes=[]",,
4,,"I soon became so drowsy that I could scarcely resist the strong desire to throw myself on the floor of the cave for a few moments' rest, but I knew that this would never do, as it would mean certain death at the hands of my red friends, who might be upon me at any moment.",,unknown,,,False,False,"original_sentence=""I soon became so drowsy that I could scarcely resist the strong desire to throw myself on the floor of the cave for a few moments' rest, but I knew that this would never do, as it would mean certain death at the hands of my red friends, who might be upon me at any moment."" physical_attributes=[]",,
5,,"Few western wonders are more inspiring than the beauties of an Arizona moonlit landscape; the silvered mountains in the distance, the strange lights and shadows upon hog back and arroyo, and the grotesque details of the stiff, yet beautiful cacti form a picture at once enchanting and inspiring; as though one were catching for the first time a glimpse of some dead and forgotten world, so different is it from the aspect of any other spot upon our earth.",,unknown,,,False,False,"original_sentence='Few western wonders are more inspiring than the beauties of an Arizona moonlit landscape; the silvered mountains in the distance, the strange lights and shadows upon hog back and arroyo, and the grotesque details of the stiff, yet beautiful cacti form a picture at once enchanting and inspiring; as though one were catching for the first time a glimpse of some dead and forgotten world, so different is it from the aspect of any other spot upon our earth.' physical_attributes=[]",,
6,,"Here and there were slight outcroppings of quartz-bearing rock which glistened in the sunlight; and a little to my left, perhaps a hundred yards, appeared a low, walled enclosure about four feet in height.",,unknown,,,False,False,"original_sentence='Here and there were slight outcroppings of quartz-bearing rock which glistened in the sunlight; and a little to my left, perhaps a hundred yards, appeared a low, walled enclosure about four feet in height.' physical_attributes=[]",,
7,,"There appeared to be no doors or windows upon the side nearest me, but as the wall was but about four feet high I cautiously gained my feet and peered over the top upon the strangest sight it had ever been given me to see.",,unknown,,,False,False,"original_sentence='There appeared to be no doors or windows upon the side nearest me, but as the wall was but about four feet high I cautiously gained my feet and peered over the top upon the strangest sight it had ever been given me to see.' physical_attributes=[]",,
8,,"They seemed mostly head, with little scrawny bodies, long necks and six legs, or, as I afterward learned, two legs and two arms, with an intermediary pair of limbs which could be used at will either as arms or legs.",,unknown,,,False,False,"original_sentence='They seemed mostly head, with little scrawny bodies, long necks and six legs, or, as I afterward learned, two legs and two arms, with an intermediary pair of limbs which could be used at will either as arms or legs.' physical_attributes=[]",,
9,,"The ears, which were slightly above the eyes and closer together, were small, cup-shaped antennae, protruding not more than an inch on these young specimens.",,unknown,,,False,False,"original_sentence='The ears, which were slightly above the eyes and closer together, were small, cup-shaped antennae, protruding not more than an inch on these young specimens.' physical_attributes=[]",,
