text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.,a small body,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('a small body'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He felt his body small and weak amid the throng of the players and his eyes were weak and watery.' physical_attributes=[PhysicalAttribute(attribute='a small body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a small body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weak body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a weak body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('weak eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='watery eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('watery eyes'), explicitly suggesting the person's gender as male."")]",a small body,a small body
0,0.0,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.,a weak body,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('a weak body'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He felt his body small and weak amid the throng of the players and his eyes were weak and watery.' physical_attributes=[PhysicalAttribute(attribute='a small body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a small body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weak body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a weak body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('weak eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='watery eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('watery eyes'), explicitly suggesting the person's gender as male."")]",a weak body,a weak body
0,0.0,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.,weak eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('weak eyes'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He felt his body small and weak amid the throng of the players and his eyes were weak and watery.' physical_attributes=[PhysicalAttribute(attribute='a small body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a small body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weak body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a weak body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('weak eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='watery eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('watery eyes'), explicitly suggesting the person's gender as male."")]",weak eyes,weak eyes
0,0.0,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.,watery eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('watery eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He felt his body small and weak amid the throng of the players and his eyes were weak and watery.' physical_attributes=[PhysicalAttribute(attribute='a small body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a small body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a weak body', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a weak body'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='weak eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('weak eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='watery eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('watery eyes'), explicitly suggesting the person's gender as male."")]",watery eyes,watery eyes
1,,Nasty Roche had big hands.,,unknown,,,False,False,original_sentence='Nasty Roche had big hands.' physical_attributes=[],,
2,1.0,The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.,a red nose,evidence for both,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a red nose'), explicitly suggesting the person's gender as female.",False,True,"original_sentence='The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.' physical_attributes=[PhysicalAttribute(attribute='a red nose', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a red nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='red eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('red eyes'), explicitly suggesting the person's gender as female."")]",a red nose,a red nose
2,1.0,The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.,red eyes,evidence for both,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('red eyes'), explicitly suggesting the person's gender as female.",False,True,"original_sentence='The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.' physical_attributes=[PhysicalAttribute(attribute='a red nose', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a red nose'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='red eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('red eyes'), explicitly suggesting the person's gender as female."")]",red eyes,red eyes
3,2.0,His mother put her lips on his cheek; her lips were soft and they wetted his cheek; and they made a tiny little noise: kiss.,soft lips,evidence for both,female,"The text uses the pronoun 'her' to refer to the person (mother) with the current attribute ('soft lips'), explicitly suggesting the person's gender as female.",False,True,"original_sentence='His mother put her lips on his cheek; her lips were soft and they wetted his cheek; and they made a tiny little noise: kiss.' physical_attributes=[PhysicalAttribute(attribute='soft lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person (mother) with the current attribute ('soft lips'), explicitly suggesting the person's gender as female."")]",soft lips,soft lips
4,,It could not be a wall; but there could be a thin thin line there all round everything.,,unknown,,,False,False,original_sentence='It could not be a wall; but there could be a thin thin line there all round everything.' physical_attributes=[],,
5,,It made him feel his head very big.,,male,,,False,False,original_sentence='It made him feel his head very big.' physical_attributes=[],,
