text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,I had one white foot and a pretty white star on my forehead.,a pretty white star on the forehead,unknown,unknown,The text describes a non-specific physical attribute without any clues about the person's gender.,True,False,"original_sentence='I had one white foot and a pretty white star on my forehead.' physical_attributes=[PhysicalAttribute(attribute='a pretty white star on the forehead', gender='unknown', reasoning=""The text describes a non-specific physical attribute without any clues about the person's gender."")]",a pretty white star on the forehead,a pretty white star on the forehead
1,,"Those who have never had a bit in their mouths cannot think how bad it feels; a great piece of cold hard steel as thick as a man’s finger to be pushed into one’s mouth, between one’s teeth, and over one’s tongue, with the ends coming out at the corner of your mouth, and held fast there by straps over your head, under your throat, round your nose, and under your chin; so that no way in the world can you get rid of the nasty hard thing; it is very bad!",,unknown,,,False,False,"original_sentence='Those who have never had a bit in their mouths cannot think how bad it feels; a great piece of cold hard steel as thick as a man’s finger to be pushed into one’s mouth, between one’s teeth, and over one’s tongue, with the ends coming out at the corner of your mouth, and held fast there by straps over your head, under your throat, round your nose, and under your chin; so that no way in the world can you get rid of the nasty hard thing; it is very bad!' physical_attributes=[]",,
2,,"My feet felt very stiff and heavy, but in time I got used to it.",,unknown,,,False,False,"original_sentence='My feet felt very stiff and heavy, but in time I got used to it.' physical_attributes=[]",,
3,,"First, a stiff heavy collar just on my neck, and a bridle with great side-pieces against my eyes called blinkers, and blinkers indeed they were, for I could not see on either side, but only straight in front of me; next, there was a small saddle with a nasty stiff strap that went right under my tail; that was the crupper.",,unknown,,,False,False,"original_sentence='First, a stiff heavy collar just on my neck, and a bridle with great side-pieces against my eyes called blinkers, and blinkers indeed they were, for I could not see on either side, but only straight in front of me; next, there was a small saddle with a nasty stiff strap that went right under my tail; that was the crupper.' physical_attributes=[]",,
4,,"In the stall next to mine stood a little fat gray pony, with a thick mane and tail, a very pretty head, and a pert little nose.",,unknown,,,False,False,"original_sentence='In the stall next to mine stood a little fat gray pony, with a thick mane and tail, a very pretty head, and a pert little nose.' physical_attributes=[]",,
5,1.0,"This was a tall chestnut mare, with a long handsome neck.",a tall chestnut mare,unknown,female,"The term 'mare' refers to a female horse, thereby explicitly identifying the gender.",False,False,"original_sentence='This was a tall chestnut mare, with a long handsome neck.' physical_attributes=[PhysicalAttribute(attribute='a tall chestnut mare', gender='female', reasoning=""The term 'mare' refers to a female horse, thereby explicitly identifying the gender.""), PhysicalAttribute(attribute='a long handsome neck', gender='unknown', reasoning=""While the neck is described as 'handsome', it lacks any clear indication of gender for the horse, as a neck cannot suggest gender."")]",a tall chestnut mare,a tall chestnut mare
5,1.0,"This was a tall chestnut mare, with a long handsome neck.",a long handsome neck,unknown,unknown,"While the neck is described as 'handsome', it lacks any clear indication of gender for the horse, as a neck cannot suggest gender.",True,False,"original_sentence='This was a tall chestnut mare, with a long handsome neck.' physical_attributes=[PhysicalAttribute(attribute='a tall chestnut mare', gender='female', reasoning=""The term 'mare' refers to a female horse, thereby explicitly identifying the gender.""), PhysicalAttribute(attribute='a long handsome neck', gender='unknown', reasoning=""While the neck is described as 'handsome', it lacks any clear indication of gender for the horse, as a neck cannot suggest gender."")]",a long handsome neck,a long handsome neck
6,,"He was very particular in letting out and taking in the straps, to fit my head comfortably; then he brought a saddle, but it was not broad enough for my back; he saw it in a minute and went for another, which fitted nicely.",,male,,,False,False,"original_sentence='He was very particular in letting out and taking in the straps, to fit my head comfortably; then he brought a saddle, but it was not broad enough for my back; he saw it in a minute and went for another, which fitted nicely.' physical_attributes=[]",,
7,2.0,"What shall we call him?”  “Would you like Ebony?” said she; “he is as black as ebony.”  “No, not Ebony.”  “Will you call him Blackbird, like your uncle’s old horse?”  “No, he is far handsomer than old Blackbird ever was.”  “Yes,” she said, “he is really quite a beauty, and he has such a sweet, good-tempered face, and such a fine, intelligent eye--what do you say to calling him Black Beauty?”  “Black Beauty--why, yes, I think that is a very good name.","a sweet , good-tempered face",evidence for both,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet, good-tempered face'), explicitly suggesting the person's gender as male.",False,False,"original_sentence='What shall we call him?”  “Would you like Ebony?” said she; “he is as black as ebony.”  “No, not Ebony.”  “Will you call him Blackbird, like your uncle’s old horse?”  “No, he is far handsomer than old Blackbird ever was.”  “Yes,” she said, “he is really quite a beauty, and he has such a sweet, good-tempered face, and such a fine, intelligent eye--what do you say to calling him Black Beauty?”  “Black Beauty--why, yes, I think that is a very good name.' physical_attributes=[PhysicalAttribute(attribute='a sweet, good-tempered face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet, good-tempered face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a fine, intelligent eye', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a fine, intelligent eye'), explicitly suggesting the person's gender as male."")]","a sweet, good-tempered face","a sweet , good-tempered face"
7,2.0,"What shall we call him?”  “Would you like Ebony?” said she; “he is as black as ebony.”  “No, not Ebony.”  “Will you call him Blackbird, like your uncle’s old horse?”  “No, he is far handsomer than old Blackbird ever was.”  “Yes,” she said, “he is really quite a beauty, and he has such a sweet, good-tempered face, and such a fine, intelligent eye--what do you say to calling him Black Beauty?”  “Black Beauty--why, yes, I think that is a very good name.","a fine , intelligent eye",evidence for both,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a fine, intelligent eye'), explicitly suggesting the person's gender as male.",False,False,"original_sentence='What shall we call him?”  “Would you like Ebony?” said she; “he is as black as ebony.”  “No, not Ebony.”  “Will you call him Blackbird, like your uncle’s old horse?”  “No, he is far handsomer than old Blackbird ever was.”  “Yes,” she said, “he is really quite a beauty, and he has such a sweet, good-tempered face, and such a fine, intelligent eye--what do you say to calling him Black Beauty?”  “Black Beauty--why, yes, I think that is a very good name.' physical_attributes=[PhysicalAttribute(attribute='a sweet, good-tempered face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet, good-tempered face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a fine, intelligent eye', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a fine, intelligent eye'), explicitly suggesting the person's gender as male."")]","a fine, intelligent eye","a fine , intelligent eye"
