text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"More than half white, with long black hair and deep blue eyes, no one felt like disputing with her when she urged her claim to her relationship with the Anglo-Saxon.",long black hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='More than half white, with long black hair and deep blue eyes, no one felt like disputing with her when she urged her claim to her relationship with the Anglo-Saxon.' physical_attributes=[PhysicalAttribute(attribute='long black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='deep blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose eyes are described, explicitly suggesting the person's gender as female."")]",long black hair,long black hair
0,0.0,"More than half white, with long black hair and deep blue eyes, no one felt like disputing with her when she urged her claim to her relationship with the Anglo-Saxon.",deep blue eyes,female,female,"The text uses the pronoun 'her' to refer to the person whose eyes are described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='More than half white, with long black hair and deep blue eyes, no one felt like disputing with her when she urged her claim to her relationship with the Anglo-Saxon.' physical_attributes=[PhysicalAttribute(attribute='long black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='deep blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person whose eyes are described, explicitly suggesting the person's gender as female."")]",deep blue eyes,deep blue eyes
1,1.0,"On her well-moulded arms she wore massive gold bracelets, while her rich black hair was arranged at the back in broad basket plaits, ornamented with pearls, and the front in the French style (a la Imperatrice), which suited her classic face to perfection.",well-moulded arms,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('well-moulded arms'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='On her well-moulded arms she wore massive gold bracelets, while her rich black hair was arranged at the back in broad basket plaits, ornamented with pearls, and the front in the French style (a la Imperatrice), which suited her classic face to perfection.' physical_attributes=[PhysicalAttribute(attribute='well-moulded arms', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('well-moulded arms'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='rich black hair', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose hair is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a classic face', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female."")]",well-moulded arms,well-moulded arms
1,1.0,"On her well-moulded arms she wore massive gold bracelets, while her rich black hair was arranged at the back in broad basket plaits, ornamented with pearls, and the front in the French style (a la Imperatrice), which suited her classic face to perfection.",rich black hair,female,female,"The text uses the pronoun 'her' to describe the person whose hair is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='On her well-moulded arms she wore massive gold bracelets, while her rich black hair was arranged at the back in broad basket plaits, ornamented with pearls, and the front in the French style (a la Imperatrice), which suited her classic face to perfection.' physical_attributes=[PhysicalAttribute(attribute='well-moulded arms', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('well-moulded arms'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='rich black hair', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose hair is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a classic face', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female."")]",rich black hair,rich black hair
1,1.0,"On her well-moulded arms she wore massive gold bracelets, while her rich black hair was arranged at the back in broad basket plaits, ornamented with pearls, and the front in the French style (a la Imperatrice), which suited her classic face to perfection.",a classic face,female,female,"The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female.",True,True,"original_sentence='On her well-moulded arms she wore massive gold bracelets, while her rich black hair was arranged at the back in broad basket plaits, ornamented with pearls, and the front in the French style (a la Imperatrice), which suited her classic face to perfection.' physical_attributes=[PhysicalAttribute(attribute='well-moulded arms', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('well-moulded arms'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='rich black hair', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose hair is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a classic face', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose face is being described, explicitly suggesting the person's gender as female."")]",a classic face,a classic face
2,2.0,"There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.",a skin as fair as most white women,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a skin as fair as most white women'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.' physical_attributes=[PhysicalAttribute(attribute='a skin as fair as most white women', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a skin as fair as most white women'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='features as beautifully regular as any of her sex of pure Anglo-Saxon blood', gender='female', reasoning=""The text uses the pronoun 'her' to refer to someone of the female gender, clearly identifying the person described as female.""), PhysicalAttribute(attribute='long black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='tall and graceful form', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's 'form', which is descriptive and indicates the individual's gender is female."")]",a skin as fair as most white women,a skin as fair as most white women
2,2.0,"There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.",features as beautifully regular as any of a sex of pure Anglo-Saxon blood,female,female,"The text uses the pronoun 'her' to refer to someone of the female gender, clearly identifying the person described as female.",True,False,"original_sentence='There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.' physical_attributes=[PhysicalAttribute(attribute='a skin as fair as most white women', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a skin as fair as most white women'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='features as beautifully regular as any of her sex of pure Anglo-Saxon blood', gender='female', reasoning=""The text uses the pronoun 'her' to refer to someone of the female gender, clearly identifying the person described as female.""), PhysicalAttribute(attribute='long black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='tall and graceful form', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's 'form', which is descriptive and indicates the individual's gender is female."")]",features as beautifully regular as any of her sex of pure Anglo-Saxon blood,features as beautifully regular as any of a sex of pure Anglo-Saxon blood
2,2.0,"There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.",long black hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.' physical_attributes=[PhysicalAttribute(attribute='a skin as fair as most white women', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a skin as fair as most white women'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='features as beautifully regular as any of her sex of pure Anglo-Saxon blood', gender='female', reasoning=""The text uses the pronoun 'her' to refer to someone of the female gender, clearly identifying the person described as female.""), PhysicalAttribute(attribute='long black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='tall and graceful form', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's 'form', which is descriptive and indicates the individual's gender is female."")]",long black hair,long black hair
2,2.0,"There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.",tall and graceful form,female,female,"The text uses the pronoun 'her' to refer to the person's 'form', which is descriptive and indicates the individual's gender is female.",True,False,"original_sentence='There she stood, with a skin as fair as most white women, her features as beautifully regular as any of her sex of pure Anglo-Saxon blood, her long black hair done up in the neatest manner, her form tall and graceful, and her whole appearance indicating one superior to her condition.' physical_attributes=[PhysicalAttribute(attribute='a skin as fair as most white women', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a skin as fair as most white women'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='features as beautifully regular as any of her sex of pure Anglo-Saxon blood', gender='female', reasoning=""The text uses the pronoun 'her' to refer to someone of the female gender, clearly identifying the person described as female.""), PhysicalAttribute(attribute='long black hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long black hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='tall and graceful form', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person's 'form', which is descriptive and indicates the individual's gender is female."")]",tall and graceful form,tall and graceful form
3,3.0,"Tall, lean and lank, with high cheek-bones, face much pitted with the small-pox, gray eyes with red eyebrows, and sandy whiskers, he indeed stood alone without mate or fellow in looks.",high cheek-bones,male,male,"The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.",True,True,"original_sentence='Tall, lean and lank, with high cheek-bones, face much pitted with the small-pox, gray eyes with red eyebrows, and sandy whiskers, he indeed stood alone without mate or fellow in looks.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='lean', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='lank', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='high cheek-bones', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a face much pitted with the small-pox', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red eyebrows', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sandy whiskers', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male."")]",high cheek-bones,high cheek-bones
3,3.0,"Tall, lean and lank, with high cheek-bones, face much pitted with the small-pox, gray eyes with red eyebrows, and sandy whiskers, he indeed stood alone without mate or fellow in looks.",a face much pitted with the small-pox,male,male,"The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.",True,False,"original_sentence='Tall, lean and lank, with high cheek-bones, face much pitted with the small-pox, gray eyes with red eyebrows, and sandy whiskers, he indeed stood alone without mate or fellow in looks.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='lean', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='lank', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='high cheek-bones', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a face much pitted with the small-pox', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red eyebrows', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sandy whiskers', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male."")]",a face much pitted with the small-pox,a face much pitted with the small-pox
3,3.0,"Tall, lean and lank, with high cheek-bones, face much pitted with the small-pox, gray eyes with red eyebrows, and sandy whiskers, he indeed stood alone without mate or fellow in looks.",gray eyes,male,male,"The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.",True,True,"original_sentence='Tall, lean and lank, with high cheek-bones, face much pitted with the small-pox, gray eyes with red eyebrows, and sandy whiskers, he indeed stood alone without mate or fellow in looks.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='lean', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='lank', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='high cheek-bones', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a face much pitted with the small-pox', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='gray eyes', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='red eyebrows', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sandy whiskers', gender='male', reasoning=""The text uses the pronoun 'he' to describe the person with the current attributes, explicitly suggesting the person's gender as male."")]",gray eyes,gray eyes
