text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Out of this lake, which filled the center of a beautiful plain, embellished with groups of beeches and elms, and fed with sheep, issued a river, that for several miles was seen to meander through an amazing variety of meadows and woods till it emptied itself into the sea, with a large arm of which, and an island beyond it, the prospect was closed.",,unknown,,,False,False,"original_sentence='Out of this lake, which filled the center of a beautiful plain, embellished with groups of beeches and elms, and fed with sheep, issued a river, that for several miles was seen to meander through an amazing variety of meadows and woods till it emptied itself into the sea, with a large arm of which, and an island beyond it, the prospect was closed.' physical_attributes=[]",,
1,0.0,"And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature.",small lily-white hands,unknown,female,The description of 'small lily-white hands' suggests daintiness and is often associated with female physical attributes.,False,False,"original_sentence=""And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature."" physical_attributes=[PhysicalAttribute(attribute='cherry-cheeks', gender='female', reasoning=""The term 'cherry-cheeks' is typically associated with youthful femininity and is part of a description contrasting the idealized qualities found in women and girls.""), PhysicalAttribute(attribute='small lily-white hands', gender='female', reasoning=""The description of 'small lily-white hands' suggests daintiness and is often associated with female physical attributes.""), PhysicalAttribute(attribute='sloe-black eyes', gender='unknown', reasoning=""The term 'sloe-black eyes' does not point towards a specific gender, as both males and females can have dark eyes.""), PhysicalAttribute(attribute='flowing locks', gender='female', reasoning=""The phrase 'flowing locks' is traditionally used to describe long hair commonly associated with women.""), PhysicalAttribute(attribute='downy chins', gender='female', reasoning=""The term 'downy chins' implies a softness typically attributed to female juvenile physical characteristics.""), PhysicalAttribute(attribute='dapper shapes', gender='unknown', reasoning=""The term 'dapper' can refer to neatness and elegance in women and men, making it gender-neutral in this context."")]",small lily-white hands,small lily-white hands
1,0.0,"And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature.",sloe-black eyes,unknown,unknown,"The term 'sloe-black eyes' does not point towards a specific gender, as both males and females can have dark eyes.",True,True,"original_sentence=""And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature."" physical_attributes=[PhysicalAttribute(attribute='cherry-cheeks', gender='female', reasoning=""The term 'cherry-cheeks' is typically associated with youthful femininity and is part of a description contrasting the idealized qualities found in women and girls.""), PhysicalAttribute(attribute='small lily-white hands', gender='female', reasoning=""The description of 'small lily-white hands' suggests daintiness and is often associated with female physical attributes.""), PhysicalAttribute(attribute='sloe-black eyes', gender='unknown', reasoning=""The term 'sloe-black eyes' does not point towards a specific gender, as both males and females can have dark eyes.""), PhysicalAttribute(attribute='flowing locks', gender='female', reasoning=""The phrase 'flowing locks' is traditionally used to describe long hair commonly associated with women.""), PhysicalAttribute(attribute='downy chins', gender='female', reasoning=""The term 'downy chins' implies a softness typically attributed to female juvenile physical characteristics.""), PhysicalAttribute(attribute='dapper shapes', gender='unknown', reasoning=""The term 'dapper' can refer to neatness and elegance in women and men, making it gender-neutral in this context."")]",sloe-black eyes,sloe-black eyes
1,0.0,"And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature.",flowing locks,unknown,female,The phrase 'flowing locks' is traditionally used to describe long hair commonly associated with women.,False,False,"original_sentence=""And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature."" physical_attributes=[PhysicalAttribute(attribute='cherry-cheeks', gender='female', reasoning=""The term 'cherry-cheeks' is typically associated with youthful femininity and is part of a description contrasting the idealized qualities found in women and girls.""), PhysicalAttribute(attribute='small lily-white hands', gender='female', reasoning=""The description of 'small lily-white hands' suggests daintiness and is often associated with female physical attributes.""), PhysicalAttribute(attribute='sloe-black eyes', gender='unknown', reasoning=""The term 'sloe-black eyes' does not point towards a specific gender, as both males and females can have dark eyes.""), PhysicalAttribute(attribute='flowing locks', gender='female', reasoning=""The phrase 'flowing locks' is traditionally used to describe long hair commonly associated with women.""), PhysicalAttribute(attribute='downy chins', gender='female', reasoning=""The term 'downy chins' implies a softness typically attributed to female juvenile physical characteristics.""), PhysicalAttribute(attribute='dapper shapes', gender='unknown', reasoning=""The term 'dapper' can refer to neatness and elegance in women and men, making it gender-neutral in this context."")]",flowing locks,flowing locks
1,0.0,"And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature.",downy chins,unknown,female,The term 'downy chins' implies a softness typically attributed to female juvenile physical characteristics.,False,False,"original_sentence=""And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature."" physical_attributes=[PhysicalAttribute(attribute='cherry-cheeks', gender='female', reasoning=""The term 'cherry-cheeks' is typically associated with youthful femininity and is part of a description contrasting the idealized qualities found in women and girls.""), PhysicalAttribute(attribute='small lily-white hands', gender='female', reasoning=""The description of 'small lily-white hands' suggests daintiness and is often associated with female physical attributes.""), PhysicalAttribute(attribute='sloe-black eyes', gender='unknown', reasoning=""The term 'sloe-black eyes' does not point towards a specific gender, as both males and females can have dark eyes.""), PhysicalAttribute(attribute='flowing locks', gender='female', reasoning=""The phrase 'flowing locks' is traditionally used to describe long hair commonly associated with women.""), PhysicalAttribute(attribute='downy chins', gender='female', reasoning=""The term 'downy chins' implies a softness typically attributed to female juvenile physical characteristics.""), PhysicalAttribute(attribute='dapper shapes', gender='unknown', reasoning=""The term 'dapper' can refer to neatness and elegance in women and men, making it gender-neutral in this context."")]",downy chins,downy chins
1,0.0,"And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature.",dapper shapes,unknown,unknown,"The term 'dapper' can refer to neatness and elegance in women and men, making it gender-neutral in this context.",True,False,"original_sentence=""And to say the truth, there is, in all points, great difference between the reasonable passion which women at this age conceive towards men, and the idle and childish liking of a girl to a boy, which is often fixed on the outside only, and on things of little value and no duration; as on cherry-cheeks, small, lily-white hands, sloe-black eyes, flowing locks, downy chins, dapper shapes; nay, sometimes on charms more worthless than these, and less the party's own; such are the outward ornaments of the person, for which men are beholden to the taylor, the laceman, the periwig-maker, the hatter, and the milliner, and not to nature."" physical_attributes=[PhysicalAttribute(attribute='cherry-cheeks', gender='female', reasoning=""The term 'cherry-cheeks' is typically associated with youthful femininity and is part of a description contrasting the idealized qualities found in women and girls.""), PhysicalAttribute(attribute='small lily-white hands', gender='female', reasoning=""The description of 'small lily-white hands' suggests daintiness and is often associated with female physical attributes.""), PhysicalAttribute(attribute='sloe-black eyes', gender='unknown', reasoning=""The term 'sloe-black eyes' does not point towards a specific gender, as both males and females can have dark eyes.""), PhysicalAttribute(attribute='flowing locks', gender='female', reasoning=""The phrase 'flowing locks' is traditionally used to describe long hair commonly associated with women.""), PhysicalAttribute(attribute='downy chins', gender='female', reasoning=""The term 'downy chins' implies a softness typically attributed to female juvenile physical characteristics.""), PhysicalAttribute(attribute='dapper shapes', gender='unknown', reasoning=""The term 'dapper' can refer to neatness and elegance in women and men, making it gender-neutral in this context."")]",dapper shapes,dapper shapes
2,1.0,"His shoulders were broad beyond all size, and the calves of his legs larger than those of a common chairman.",broad shoulders,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('broad shoulders'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His shoulders were broad beyond all size, and the calves of his legs larger than those of a common chairman.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('broad shoulders'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='larger calves', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('larger calves'), explicitly suggesting the person's gender as male."")]",broad shoulders,broad shoulders
2,1.0,"His shoulders were broad beyond all size, and the calves of his legs larger than those of a common chairman.",larger calves,male,male,"The text uses the pronoun 'his' to describe the person with the current attribute ('larger calves'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His shoulders were broad beyond all size, and the calves of his legs larger than those of a common chairman.' physical_attributes=[PhysicalAttribute(attribute='broad shoulders', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('broad shoulders'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='larger calves', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person with the current attribute ('larger calves'), explicitly suggesting the person's gender as male."")]",larger calves,larger calves
3,,"Surely such persons, if they will not be thought mad, must own, either that they are incapable of tasting the sweets of the tenderest friendship, or that they sacrifice the greatest happiness of which they are capable to the vain, uncertain, and senseless laws of vulgar opinion, which owe as well their force as their foundation to folly.”  Here Allworthy concluded his sermon, to which Blifil had listened with the profoundest attention, though it cost him some pains to prevent now and then a small discomposure of his muscles.",,male,,,False,False,"original_sentence='Surely such persons, if they will not be thought mad, must own, either that they are incapable of tasting the sweets of the tenderest friendship, or that they sacrifice the greatest happiness of which they are capable to the vain, uncertain, and senseless laws of vulgar opinion, which owe as well their force as their foundation to folly.”  Here Allworthy concluded his sermon, to which Blifil had listened with the profoundest attention, though it cost him some pains to prevent now and then a small discomposure of his muscles.' physical_attributes=[]",,
4,,"Mrs Partridge, upon this, immediately fell into a fury, and discharged the trencher on which she was eating, at the head of poor Jenny, crying out, “You impudent whore, do you play tricks with my husband before my face?” and at the same instant rose from her chair with a knife in her hand, with which, most probably, she would have executed very tragical vengeance, had not the girl taken the advantage of being nearer the door than her mistress, and avoided her fury by running away: for, as to the poor husband, whether surprize had rendered him motionless, or fear (which is full as probable) had restrained him from venturing at any opposition, he sat staring and trembling in his chair; nor did he once offer to move or speak, till his wife, returning from the pursuit of Jenny, made some defensive measures necessary for his own preservation; and he likewise was obliged to retreat, after the example of the maid.",,evidence for both,,,False,False,"original_sentence='Mrs Partridge, upon this, immediately fell into a fury, and discharged the trencher on which she was eating, at the head of poor Jenny, crying out, “You impudent whore, do you play tricks with my husband before my face?” and at the same instant rose from her chair with a knife in her hand, with which, most probably, she would have executed very tragical vengeance, had not the girl taken the advantage of being nearer the door than her mistress, and avoided her fury by running away: for, as to the poor husband, whether surprize had rendered him motionless, or fear (which is full as probable) had restrained him from venturing at any opposition, he sat staring and trembling in his chair; nor did he once offer to move or speak, till his wife, returning from the pursuit of Jenny, made some defensive measures necessary for his own preservation; and he likewise was obliged to retreat, after the example of the maid.' physical_attributes=[]",,
