text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.",great whiskers,male,male,"The text uses the word 'advocate', a term often associated with male characters in traditional narratives, and 'great whiskers' typically indicates male facial hair. Furthermore, the context suggests familiarity with a male figure based on the use of 'he' in referring to the Lord High Chancellor.",True,True,"original_sentence='On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.' physical_attributes=[PhysicalAttribute(attribute='great whiskers', gender='male', reasoning=""The text uses the word 'advocate', a term often associated with male characters in traditional narratives, and 'great whiskers' typically indicates male facial hair. Furthermore, the context suggests familiarity with a male figure based on the use of 'he' in referring to the Lord High Chancellor.""), PhysicalAttribute(attribute='a little voice', gender='male', reasoning=""The attribute 'a little voice' describes the advocate, where 'he' refers to a male. The context again aligns with a male figure."")]",great whiskers,great whiskers
0,0.0,"On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.",a little voice,male,male,"The attribute 'a little voice' describes the advocate, where 'he' refers to a male. The context again aligns with a male figure.",True,True,"original_sentence='On such an afternoon, if ever, the Lord High Chancellor ought to be sitting here--as here he is--with a foggy glory round his head, softly fenced in with crimson cloth and curtains, addressed by a large advocate with great whiskers, a little voice, and an interminable brief, and outwardly directing his contemplation to the lantern in the roof, where he can see nothing but fog.' physical_attributes=[PhysicalAttribute(attribute='great whiskers', gender='male', reasoning=""The text uses the word 'advocate', a term often associated with male characters in traditional narratives, and 'great whiskers' typically indicates male facial hair. Furthermore, the context suggests familiarity with a male figure based on the use of 'he' in referring to the Lord High Chancellor.""), PhysicalAttribute(attribute='a little voice', gender='male', reasoning=""The attribute 'a little voice' describes the advocate, where 'he' refers to a male. The context again aligns with a male figure."")]",a little voice,a little voice
1,,"On such an afternoon the various solicitors in the cause, some two or three of whom have inherited it from their fathers, who made a fortune by it, ought to be--as are they not?--ranged in a line, in a long matted well (but you might look in vain for truth at the bottom of it) between the registrar's red table and the silk gowns, with bills, cross-bills, answers, rejoinders, injunctions, affidavits, issues, references to masters, masters' reports, mountains of costly nonsense, piled before them.",,unknown,,,False,False,"original_sentence=""On such an afternoon the various solicitors in the cause, some two or three of whom have inherited it from their fathers, who made a fortune by it, ought to be--as are they not?--ranged in a line, in a long matted well (but you might look in vain for truth at the bottom of it) between the registrar's red table and the silk gowns, with bills, cross-bills, answers, rejoinders, injunctions, affidavits, issues, references to masters, masters' reports, mountains of costly nonsense, piled before them."" physical_attributes=[]",,
2,,"These are all yawning, for no crumb of amusement ever falls from Jarndyce and Jarndyce (the cause in hand), which was squeezed dry years upon years ago.",,unknown,,,False,False,"original_sentence='These are all yawning, for no crumb of amusement ever falls from Jarndyce and Jarndyce (the cause in hand), which was squeezed dry years upon years ago.' physical_attributes=[]",,
3,,"My Lady Dedlock (who is childless), looking out in the early twilight from her boudoir at a keeper's lodge and seeing the light of a fire upon the latticed panes, and smoke rising from the chimney, and a child, chased by a woman, running out into the rain to meet the shining figure of a wrapped-up man coming through the gate, has been put quite out of temper.",,female,,,False,False,"original_sentence=""My Lady Dedlock (who is childless), looking out in the early twilight from her boudoir at a keeper's lodge and seeing the light of a fire upon the latticed panes, and smoke rising from the chimney, and a child, chased by a woman, running out into the rain to meet the shining figure of a wrapped-up man coming through the gate, has been put quite out of temper."" physical_attributes=[]",,
4,1.0,"He is of a worthy presence, with his light-grey hair and whiskers, his fine shirt-frill, his pure-white waistcoat, and his blue coat with bright buttons always buttoned.",light-grey hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('light-grey hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He is of a worthy presence, with his light-grey hair and whiskers, his fine shirt-frill, his pure-white waistcoat, and his blue coat with bright buttons always buttoned.' physical_attributes=[PhysicalAttribute(attribute='light-grey hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('light-grey hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='whiskers', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('whiskers'), explicitly suggesting the person's gender as male."")]",light-grey hair,light-grey hair
5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.",a fine face,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine face'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.' physical_attributes=[PhysicalAttribute(attribute='a fine face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pretty character', gender='female', reasoning=""The text implies a comparison against 'handsome', suggesting femininity, and the use of the word 'she' makes the gender explicit."")]",a fine face,a fine face
5,2.0,"She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.",a pretty character,female,female,"The text implies a comparison against 'handsome', suggesting femininity, and the use of the word 'she' makes the gender explicit.",True,True,"original_sentence='She has a fine face--originally of a character that would be rather called very pretty than handsome, but improved into classicality by the acquired expression of her fashionable state.' physical_attributes=[PhysicalAttribute(attribute='a fine face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a fine face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a pretty character', gender='female', reasoning=""The text implies a comparison against 'handsome', suggesting femininity, and the use of the word 'she' makes the gender explicit."")]",a pretty character,a pretty character
6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.",a beautiful complexion,female,female,"The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True,"original_sentence='And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.' physical_attributes=[PhysicalAttribute(attribute='a beautiful complexion', gender='female', reasoning=""The pronoun 'she' is used in the sentence, indicating the person being described is female.""), PhysicalAttribute(attribute='rosy lips', gender='female', reasoning=""The pronoun 'she' is used in the sentence, indicating the person being described is female."")]",a beautiful complexion,a beautiful complexion
6,3.0,"And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.",rosy lips,female,female,"The pronoun 'she' is used in the sentence, indicating the person being described is female.",True,True,"original_sentence='And so she used to sit propped up in a great arm-chair, with her beautiful complexion and rosy lips, staring at me--or not so much at me, I think, as at nothing--while I busily stitched away and told her every one of my secrets.' physical_attributes=[PhysicalAttribute(attribute='a beautiful complexion', gender='female', reasoning=""The pronoun 'she' is used in the sentence, indicating the person being described is female.""), PhysicalAttribute(attribute='rosy lips', gender='female', reasoning=""The pronoun 'she' is used in the sentence, indicating the person being described is female."")]",rosy lips,rosy lips
7,4.0,"A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.",large gold eye-glasses,male,male,The term 'gentleman' explicitly suggests that the gender of the person is male.,True,False,"original_sentence='A portly, important-looking gentleman, dressed all in black, with a white cravat, large gold watch seals, a pair of gold eye-glasses, and a large seal-ring upon his little finger.' physical_attributes=[PhysicalAttribute(attribute='a portly gentleman', gender='male', reasoning=""The term 'gentleman' explicitly suggests that the gender of the person is male.""), PhysicalAttribute(attribute='important-looking gentleman', gender='male', reasoning=""The term 'gentleman' explicitly suggests that the gender of the person is male.""), PhysicalAttribute(attribute='large gold eye-glasses', gender='male', reasoning=""The term 'gentleman' explicitly suggests that the gender of the person is male.""), PhysicalAttribute(attribute='a large seal-ring', gender='male', reasoning=""The term 'gentleman' explicitly suggests that the gender of the person is male."")]",large gold eye-glasses,large gold eye-glasses
