text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"It makes me cross, and my hands get so stiff, I can't practice well at all.""",,unknown,,,False,False,"original_sentence=""It makes me cross, and my hands get so stiff, I can't practice well at all."" physical_attributes=[]",,
1,0.0,And Beth looked at her rough hands with a sigh that any one could hear that time.,rough hands,female,female,"The text uses the name 'Beth,' which is commonly associated with female individuals, suggesting the person's gender as female.",True,True,"original_sentence='And Beth looked at her rough hands with a sigh that any one could hear that time.' physical_attributes=[PhysicalAttribute(attribute='rough hands', gender='female', reasoning=""The text uses the name 'Beth,' which is commonly associated with female individuals, suggesting the person's gender as female."")]",rough hands,rough hands
2,,"observed Amy, with a reproving look at the long figure stretched on the rug.",,unknown,,,False,False,"original_sentence='observed Amy, with a reproving look at the long figure stretched on the rug.' physical_attributes=[]",,
3,1.0,"""Birds in their little nests agree,"" sang Beth, the peacemaker, with such a funny face that both sharp voices softened to a laugh, and the ""pecking"" ended for that time.",a funny face,unknown,female,"The text includes the name 'Beth', which is a common female name, thereby indicating that the person described likely has a female gender.",False,True,"original_sentence='""Birds in their little nests agree,"" sang Beth, the peacemaker, with such a funny face that both sharp voices softened to a laugh, and the ""pecking"" ended for that time.' physical_attributes=[PhysicalAttribute(attribute='a funny face', gender='female', reasoning=""The text includes the name 'Beth', which is a common female name, thereby indicating that the person described likely has a female gender."")]",a funny face,a funny face
4,2.0,"It didn't matter so much when you were a little girl, but now you are so tall, and turn up your hair, you should remember that you are a young lady.""",a tall stature,unknown,female,"The text refers to 'you' as a 'little girl' initially and later as a 'young lady', explicitly suggesting the person's gender as female.",False,True,"original_sentence=""It didn't matter so much when you were a little girl, but now you are so tall, and turn up your hair, you should remember that you are a young lady."" physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='female', reasoning=""The text refers to 'you' as a 'little girl' initially and later as a 'young lady', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='your hair', gender='female', reasoning=""The reference to 'your hair' in the context of addressing a 'young lady' implies that the person being addressed is female."")]",a tall stature,a tall stature
4,2.0,"It didn't matter so much when you were a little girl, but now you are so tall, and turn up your hair, you should remember that you are a young lady.""",your hair,unknown,female,The reference to 'your hair' in the context of addressing a 'young lady' implies that the person being addressed is female.,False,False,"original_sentence=""It didn't matter so much when you were a little girl, but now you are so tall, and turn up your hair, you should remember that you are a young lady."" physical_attributes=[PhysicalAttribute(attribute='a tall stature', gender='female', reasoning=""The text refers to 'you' as a 'little girl' initially and later as a 'young lady', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='your hair', gender='female', reasoning=""The reference to 'your hair' in the context of addressing a 'young lady' implies that the person being addressed is female."")]",your hair,your hair
5,3.0,"So you must try to be contented with making your name boyish, and playing brother to us girls,"" said Beth, stroking the rough head with a hand that all the dish washing and dusting in the world could not make ungentle in its touch.",a rough head,unknown,unknown,"The attribute is described as 'rough head' without any clear indications about the person's gender, merely referencing a physical characteristic.",True,True,"original_sentence='So you must try to be contented with making your name boyish, and playing brother to us girls,"" said Beth, stroking the rough head with a hand that all the dish washing and dusting in the world could not make ungentle in its touch.' physical_attributes=[PhysicalAttribute(attribute='a rough head', gender='unknown', reasoning=""The attribute is described as 'rough head' without any clear indications about the person's gender, merely referencing a physical characteristic.""), PhysicalAttribute(attribute='a gentle hand', gender='unknown', reasoning=""The attribute is described as 'gentle in its touch' in relation to a 'hand', but it does not specify the gender of the person."")]",a rough head,a rough head
5,3.0,"So you must try to be contented with making your name boyish, and playing brother to us girls,"" said Beth, stroking the rough head with a hand that all the dish washing and dusting in the world could not make ungentle in its touch.",a gentle hand,unknown,unknown,"The attribute is described as 'gentle in its touch' in relation to a 'hand', but it does not specify the gender of the person.",True,True,"original_sentence='So you must try to be contented with making your name boyish, and playing brother to us girls,"" said Beth, stroking the rough head with a hand that all the dish washing and dusting in the world could not make ungentle in its touch.' physical_attributes=[PhysicalAttribute(attribute='a rough head', gender='unknown', reasoning=""The attribute is described as 'rough head' without any clear indications about the person's gender, merely referencing a physical characteristic.""), PhysicalAttribute(attribute='a gentle hand', gender='unknown', reasoning=""The attribute is described as 'gentle in its touch' in relation to a 'hand', but it does not specify the gender of the person."")]",a gentle hand,a gentle hand
6,4.0,"Margaret, the eldest of the four, was sixteen, and very pretty, being plump and fair, with large eyes, plenty of soft brown hair, a sweet mouth, and white hands, of which she was rather vain.",a pretty face,female,female,"The name 'Margaret' is a common female name, and the description states she was 'very pretty', which strongly suggests a female gender.",True,True,"original_sentence='Margaret, the eldest of the four, was sixteen, and very pretty, being plump and fair, with large eyes, plenty of soft brown hair, a sweet mouth, and white hands, of which she was rather vain.' physical_attributes=[PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The name 'Margaret' is a common female name, and the description states she was 'very pretty', which strongly suggests a female gender.""), PhysicalAttribute(attribute='a plump figure', gender='female', reasoning=""The name 'Margaret' is a common female name, and the attribute directly describes her physical appearance, indicating a female gender.""), PhysicalAttribute(attribute='fair skin', gender='female', reasoning=""The name 'Margaret' is a common female name, and the combination with other descriptions strongly implies a female identity.""), PhysicalAttribute(attribute='large eyes', gender='female', reasoning=""The name 'Margaret' is a common female name, aligning this physical characteristic with a female gender.""), PhysicalAttribute(attribute='soft brown hair', gender='female', reasoning=""The name 'Margaret' is a common female name, suggesting a feminine association with this hair description.""), PhysicalAttribute(attribute='a sweet mouth', gender='female', reasoning=""The name 'Margaret' is a common female name, and this description aligns with conventional feminine attributes.""), PhysicalAttribute(attribute='white hands', gender='female', reasoning=""The name 'Margaret' is a common female name, and the context and description indicate a feminine aesthetic."")]",a pretty face,a pretty face
6,4.0,"Margaret, the eldest of the four, was sixteen, and very pretty, being plump and fair, with large eyes, plenty of soft brown hair, a sweet mouth, and white hands, of which she was rather vain.",a plump figure,female,female,"The name 'Margaret' is a common female name, and the attribute directly describes her physical appearance, indicating a female gender.",True,False,"original_sentence='Margaret, the eldest of the four, was sixteen, and very pretty, being plump and fair, with large eyes, plenty of soft brown hair, a sweet mouth, and white hands, of which she was rather vain.' physical_attributes=[PhysicalAttribute(attribute='a pretty face', gender='female', reasoning=""The name 'Margaret' is a common female name, and the description states she was 'very pretty', which strongly suggests a female gender.""), PhysicalAttribute(attribute='a plump figure', gender='female', reasoning=""The name 'Margaret' is a common female name, and the attribute directly describes her physical appearance, indicating a female gender.""), PhysicalAttribute(attribute='fair skin', gender='female', reasoning=""The name 'Margaret' is a common female name, and the combination with other descriptions strongly implies a female identity.""), PhysicalAttribute(attribute='large eyes', gender='female', reasoning=""The name 'Margaret' is a common female name, aligning this physical characteristic with a female gender.""), PhysicalAttribute(attribute='soft brown hair', gender='female', reasoning=""The name 'Margaret' is a common female name, suggesting a feminine association with this hair description.""), PhysicalAttribute(attribute='a sweet mouth', gender='female', reasoning=""The name 'Margaret' is a common female name, and this description aligns with conventional feminine attributes.""), PhysicalAttribute(attribute='white hands', gender='female', reasoning=""The name 'Margaret' is a common female name, and the context and description indicate a feminine aesthetic."")]",a plump figure,a plump figure
