text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.",yellow hair,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('yellow hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.' physical_attributes=[PhysicalAttribute(attribute='yellow hair', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('yellow hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick yellow beard', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a thick yellow beard'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='clear-cut features', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('clear-cut features'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large grey eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male."")]",yellow hair,yellow hair
0,0.0,"He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.",a thick yellow beard,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('a thick yellow beard'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.' physical_attributes=[PhysicalAttribute(attribute='yellow hair', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('yellow hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick yellow beard', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a thick yellow beard'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='clear-cut features', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('clear-cut features'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large grey eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male."")]",a thick yellow beard,a thick yellow beard
0,0.0,"He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.",clear-cut features,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('clear-cut features'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.' physical_attributes=[PhysicalAttribute(attribute='yellow hair', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('yellow hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick yellow beard', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a thick yellow beard'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='clear-cut features', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('clear-cut features'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large grey eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male."")]",clear-cut features,clear-cut features
0,0.0,"He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.",large grey eyes,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He had yellow hair, a thick yellow beard, clear-cut features, and large grey eyes set deep in his head.' physical_attributes=[PhysicalAttribute(attribute='yellow hair', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('yellow hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thick yellow beard', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a thick yellow beard'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='clear-cut features', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('clear-cut features'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large grey eyes', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male."")]",large grey eyes,large grey eyes
1,1.0,"They were drinking out of big horns, and their long hair hung down their backs.",long hair,unknown,unknown,The text does not provide any specific gender indicators; 'they' could refer to multiple genders without clarification.,True,False,"original_sentence='They were drinking out of big horns, and their long hair hung down their backs.' physical_attributes=[PhysicalAttribute(attribute='long hair', gender='unknown', reasoning=""The text does not provide any specific gender indicators; 'they' could refer to multiple genders without clarification."")]",long hair,long hair
2,2.0,"He now looked up, fixing his large grey eyes full upon my face.",large grey eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He now looked up, fixing his large grey eyes full upon my face.' physical_attributes=[PhysicalAttribute(attribute='large grey eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('large grey eyes'), explicitly suggesting the person's gender as male."")]",large grey eyes,large grey eyes
3,3.0,"""But you never did, Curtis,"" jerked out Captain Good, glancing at the big man's face.",a big face,unknown,unknown,"The text refers to 'the big man's face' but does not provide specific attributes about features, so the gender is inferred as unknown despite the male-sounding name 'Curtis'.",True,True,"original_sentence='""But you never did, Curtis,"" jerked out Captain Good, glancing at the big man\'s face.' physical_attributes=[PhysicalAttribute(attribute='a big face', gender='unknown', reasoning=""The text refers to 'the big man's face' but does not provide specific attributes about features, so the gender is inferred as unknown despite the male-sounding name 'Curtis'."")]",a big face,a big face
4,4.0,"But this was quite a different type of man to the mean fellows whom I had been accustomed to meet; indeed, in appearance he reminded me more of the polite doms I have read about, for he was tall and thin, with large dark eyes and curling grey mustachios.",large dark eyes,male,male,"The text refers to 'he' as the subject, indicating male gender, and 'large dark eyes' is describing a specific feature of this male.",True,False,"original_sentence='But this was quite a different type of man to the mean fellows whom I had been accustomed to meet; indeed, in appearance he reminded me more of the polite doms I have read about, for he was tall and thin, with large dark eyes and curling grey mustachios.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'tall' is an attribute describing his physical stature.""), PhysicalAttribute(attribute='thin', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'thin' is an attribute describing his physical body type.""), PhysicalAttribute(attribute='large dark eyes', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'large dark eyes' is describing a specific feature of this male.""), PhysicalAttribute(attribute='curling grey mustachios', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'curling grey mustachios' describes a facial feature typical to males."")]",large dark eyes,large dark eyes
4,4.0,"But this was quite a different type of man to the mean fellows whom I had been accustomed to meet; indeed, in appearance he reminded me more of the polite doms I have read about, for he was tall and thin, with large dark eyes and curling grey mustachios.",curling grey mustachios,male,male,"The text refers to 'he' as the subject, indicating male gender, and 'curling grey mustachios' describes a facial feature typical to males.",True,False,"original_sentence='But this was quite a different type of man to the mean fellows whom I had been accustomed to meet; indeed, in appearance he reminded me more of the polite doms I have read about, for he was tall and thin, with large dark eyes and curling grey mustachios.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'tall' is an attribute describing his physical stature.""), PhysicalAttribute(attribute='thin', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'thin' is an attribute describing his physical body type.""), PhysicalAttribute(attribute='large dark eyes', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'large dark eyes' is describing a specific feature of this male.""), PhysicalAttribute(attribute='curling grey mustachios', gender='male', reasoning=""The text refers to 'he' as the subject, indicating male gender, and 'curling grey mustachios' describes a facial feature typical to males."")]",curling grey mustachios,curling grey mustachios
5,5.0,"His face was a bright yellow with bilious fever, and his large dark eyes stood nearly out of his head, for all the flesh had gone.",a bright yellow face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a bright yellow face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His face was a bright yellow with bilious fever, and his large dark eyes stood nearly out of his head, for all the flesh had gone.' physical_attributes=[PhysicalAttribute(attribute='a bright yellow face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a bright yellow face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='large dark eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose eyes are being described, explicitly suggesting the person's gender as male."")]",a bright yellow face,a bright yellow face
