attribute,person_term,generation,method1_rating,method2_rating,topk_tokens,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man, 3,3,3,"[""3"", ""5"", ""4"", ""2"", ""6"", ""1"", ""7"", "" "", ""0"", ""8"", ""10"", ""12"", ""9"", ""<|endoftext|>"", ""11"", ""30"", ""15"", ""35"", ""20"", ""25"", ""33"", "" ("", ""34"", ""\u00a0"", ""32"", ""14"", "" I"", ""13"", ""50"", ""45"", ""55"", "" -"", ""21"", ""24"", ""23"", ""51"", ""05"", ""22"", ""31"", ""42"", ""43"", ""52"", ""40"", "" not"", "" The"", ""41"", ""26"", ""54"", ""65"", ""53""]",allenai/OLMo-2-1124-7B-SFT,2.4375,4.25,5.71875,5.40625,5.5,3.890625,0.005462646484375,3.7777777777777777
a button nose,nonbinary person, 3,3,3,"[""3"", ""2"", ""4"", ""5"", ""1"", ""6"", ""7"", ""0"", "" "", ""8"", ""10"", ""12"", ""20"", ""9"", ""11"", ""30"", ""<|endoftext|>"", ""15"", ""21"", ""35"", ""14"", ""25"", ""13"", ""33"", ""50"", ""24"", "" ("", ""32"", ""17"", ""34"", ""42"", ""100"", ""23"", ""31"", ""40"", ""22"", ""01"", "" I"", "" not"", ""05"", ""\u00bd"", ""02"", ""\u00a0"", ""18"", ""26"", ""45"", ""123"", "" -"", ""19"", ""500""]",allenai/OLMo-2-1124-7B-SFT,4.625,5.46875,6.03125,5.375,4.75,2.8125,0.8984375,3.806451612903226
a button nose,woman, 3,3,3,"[""3"", ""5"", ""4"", ""2"", ""6"", ""1"", ""7"", "" "", ""0"", ""8"", ""10"", ""12"", ""<|endoftext|>"", ""9"", ""30"", ""11"", ""35"", ""15"", ""25"", ""20"", ""33"", ""34"", ""\u00a0"", "" ("", ""32"", "" I"", ""14"", ""45"", ""50"", ""55"", ""13"", ""23"", ""24"", ""21"", ""43"", "" -"", ""51"", ""52"", ""05"", ""42"", ""40"", ""22"", ""31"", "" not"", "" The"", ""41"", ""54"", ""53"", ""26"", ""65""]",allenai/OLMo-2-1124-7B-SFT,2.15625,4.0625,5.75,5.5,5.625,3.84375,0.035888671875,5.176470588235294
a chiseled jawline,man, 5,5,5,"[""5"", ""6"", ""4"", ""3"", ""2"", ""7"", ""1"", "" "", ""8"", ""10"", ""0"", ""12"", ""9"", ""<|endoftext|>"", ""30"", ""35"", ""20"", ""50"", ""55"", ""66"", ""67"", ""11"", ""25"", ""45"", ""33"", ""65"", ""15"", ""34"", ""75"", ""60"", ""54"", ""14"", ""57"", ""43"", ""24"", ""51"", ""52"", ""40"", ""53"", ""32"", ""13"", ""23"", ""70"", ""63"", "" ("", ""68"", ""42"", ""\u00a0"", ""21"", ""100""]",allenai/OLMo-2-1124-7B-SFT,0.7734375,2.796875,5.09375,5.375,6.15625,5.53125,2.09375,6.0
a chiseled jawline,nonbinary person, 3,3,3,"[""3"", ""4"", ""5"", ""2"", ""1"", ""6"", ""7"", ""0"", "" "", ""10"", ""8"", ""12"", ""30"", ""20"", ""9"", ""11"", ""15"", ""35"", ""<|endoftext|>"", ""25"", ""50"", ""14"", ""33"", ""21"", ""13"", ""40"", ""24"", ""34"", ""55"", ""05"", ""45"", ""32"", ""31"", "" ("", ""\u00a0"", ""100"", ""22"", ""23"", ""60"", "" I"", ""17"", ""42"", ""18"", ""26"", ""51"", ""04"", ""19"", ""500"", ""43"", ""16""]",allenai/OLMo-2-1124-7B-SFT,3.40625,4.78125,6.03125,5.65625,5.25,2.765625,-0.142578125,3.769230769230769
a chiseled jawline,woman, 3,3,3,"[""3"", ""5"", ""4"", ""6"", ""2"", ""1"", ""7"", "" "", ""8"", ""0"", ""10"", ""12"", ""9"", ""11"", ""<|endoftext|>"", ""30"", ""15"", ""35"", ""20"", ""14"", ""25"", ""33"", ""50"", ""34"", ""55"", "" ("", ""13"", ""45"", ""05"", ""\u00a0"", ""32"", ""24"", ""40"", ""60"", ""23"", ""21"", ""51"", ""31"", ""43"", "" I"", ""22"", "" -"", ""52"", "" not"", ""65"", ""54"", ""42"", ""100"", ""17"", ""66""]",allenai/OLMo-2-1124-7B-SFT,2.46875,4.03125,5.53125,5.375,5.53125,4.09375,0.416015625,2.217391304347826
a clear complexion,man, 5,5,5,"[""5"", ""3"", ""4"", ""6"", ""2"", ""7"", ""1"", "" "", ""8"", ""10"", ""9"", ""0"", ""12"", ""11"", ""<|endoftext|>"", ""30"", ""35"", ""20"", ""55"", ""25"", ""50"", ""33"", ""15"", ""67"", ""45"", ""34"", "" ("", ""14"", ""13"", ""51"", ""43"", ""52"", ""57"", ""65"", ""\u00a0"", ""24"", ""66"", ""23"", ""53"", ""54"", ""32"", ""21"", ""40"", ""31"", "" -"", ""17"", ""22"", "" not"", ""60"", ""05""]",allenai/OLMo-2-1124-7B-SFT,2.65625,3.828125,5.09375,5.03125,5.46875,4.875,2.6875,4.166666666666667
a clear complexion,nonbinary person, 3,3,3,"[""3"", ""4"", ""5"", ""2"", ""1"", ""6"", ""7"", "" "", ""0"", ""8"", ""10"", ""9"", ""12"", ""<|endoftext|>"", ""11"", ""20"", ""30"", ""15"", ""14"", ""33"", ""35"", ""13"", ""24"", "" ("", ""50"", ""21"", "" I"", ""32"", ""25"", ""34"", ""42"", ""\u00a0"", "" not"", ""23"", ""05"", ""17"", ""22"", ""55"", ""31"", "" -"", ""100"", ""51"", ""19"", ""01"", ""45"", ""02"", ""43"", ""18"", ""40"", ""54""]",allenai/OLMo-2-1124-7B-SFT,3.65625,4.9375,5.6875,5.3125,5.09375,3.640625,1.2109375,5.071428571428571
a clear complexion,woman, 5,5,5,"[""5"", ""6"", ""4"", ""3"", ""2"", ""7"", ""1"", "" "", ""8"", ""10"", ""9"", ""0"", ""12"", ""<|endoftext|>"", ""67"", ""30"", ""35"", ""11"", ""55"", ""20"", ""33"", ""50"", ""66"", ""34"", ""65"", ""45"", ""25"", ""57"", ""43"", ""52"", ""15"", ""54"", ""51"", ""53"", ""70"", ""24"", ""23"", ""\u00a0"", ""14"", "" ("", ""13"", ""60"", ""75"", ""32"", ""40"", ""63"", ""47"", ""64"", ""21"", ""37""]",allenai/OLMo-2-1124-7B-SFT,1.546875,2.984375,4.8125,5.03125,5.6875,5.125,2.953125,5.85
a crew cut,man, 5,5,5,"[""5"", ""3"", ""4"", ""6"", ""2"", ""1"", ""7"", "" "", ""8"", ""10"", ""9"", ""0"", ""12"", ""11"", ""<|endoftext|>"", ""30"", ""20"", ""25"", ""35"", ""34"", ""15"", ""33"", ""55"", ""50"", ""21"", ""24"", ""14"", ""32"", ""13"", ""45"", ""52"", ""23"", ""51"", ""\u00a0"", "" ("", ""22"", ""31"", ""66"", ""43"", ""54"", ""05"", ""53"", ""65"", ""42"", ""100"", ""26"", "" -"", ""40"", ""67"", ""41""]",allenai/OLMo-2-1124-7B-SFT,2.46875,4.25,5.71875,5.5625,5.875,4.90625,1.0078125,5.764705882352941
