text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Men and women with hunched  shoulders, swollen knuckles, many who have long since  stopped trying to scrub the coal dust out of their broken  nails, the lines of their sunken faces.",hunched shoulders,unknown,unknown,The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.,True,False,"original_sentence='Men and women with hunched shoulders, swollen knuckles, many who have long since stopped trying to scrub the coal dust out of their broken nails, the lines of their sunken faces.' physical_attributes=[PhysicalAttribute(attribute='hunched shoulders', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='swollen knuckles', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='broken nails', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='sunken faces', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.')]",hunched shoulders,hunched shoulders
0,0.0,"Men and women with hunched  shoulders, swollen knuckles, many who have long since  stopped trying to scrub the coal dust out of their broken  nails, the lines of their sunken faces.",swollen knuckles,unknown,unknown,The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.,True,False,"original_sentence='Men and women with hunched shoulders, swollen knuckles, many who have long since stopped trying to scrub the coal dust out of their broken nails, the lines of their sunken faces.' physical_attributes=[PhysicalAttribute(attribute='hunched shoulders', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='swollen knuckles', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='broken nails', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='sunken faces', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.')]",swollen knuckles,swollen knuckles
0,0.0,"Men and women with hunched  shoulders, swollen knuckles, many who have long since  stopped trying to scrub the coal dust out of their broken  nails, the lines of their sunken faces.",broken nails,unknown,unknown,The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.,True,False,"original_sentence='Men and women with hunched shoulders, swollen knuckles, many who have long since stopped trying to scrub the coal dust out of their broken nails, the lines of their sunken faces.' physical_attributes=[PhysicalAttribute(attribute='hunched shoulders', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='swollen knuckles', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='broken nails', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='sunken faces', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.')]",broken nails,broken nails
0,0.0,"Men and women with hunched  shoulders, swollen knuckles, many who have long since  stopped trying to scrub the coal dust out of their broken  nails, the lines of their sunken faces.",sunken faces,unknown,unknown,The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.,True,False,"original_sentence='Men and women with hunched shoulders, swollen knuckles, many who have long since stopped trying to scrub the coal dust out of their broken nails, the lines of their sunken faces.' physical_attributes=[PhysicalAttribute(attribute='hunched shoulders', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='swollen knuckles', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='broken nails', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.'), PhysicalAttribute(attribute='sunken faces', gender='unknown', reasoning='The attribute does not provide specific clues about gender; it describes a physical trait that could apply to any gender.')]",sunken faces,sunken faces
1,1.0,"Straight black hair, olive skin,  we even have the same gray eyes.",straight black hair,unknown,unknown,The description does not provide any gender indicators; the subject could be of any gender.,True,False,"original_sentence='Straight black hair, olive skin,  we even have the same gray eyes.' physical_attributes=[PhysicalAttribute(attribute='straight black hair', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.'), PhysicalAttribute(attribute='olive skin', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.'), PhysicalAttribute(attribute='gray eyes', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.')]",straight black hair,straight black hair
1,1.0,"Straight black hair, olive skin,  we even have the same gray eyes.",olive skin,unknown,unknown,The description does not provide any gender indicators; the subject could be of any gender.,True,True,"original_sentence='Straight black hair, olive skin,  we even have the same gray eyes.' physical_attributes=[PhysicalAttribute(attribute='straight black hair', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.'), PhysicalAttribute(attribute='olive skin', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.'), PhysicalAttribute(attribute='gray eyes', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.')]",olive skin,olive skin
1,1.0,"Straight black hair, olive skin,  we even have the same gray eyes.",gray eyes,unknown,unknown,The description does not provide any gender indicators; the subject could be of any gender.,True,True,"original_sentence='Straight black hair, olive skin,  we even have the same gray eyes.' physical_attributes=[PhysicalAttribute(attribute='straight black hair', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.'), PhysicalAttribute(attribute='olive skin', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.'), PhysicalAttribute(attribute='gray eyes', gender='unknown', reasoning='The description does not provide any gender indicators; the subject could be of any gender.')]",gray eyes,gray eyes
2,2.0,"That’s why my mother and Prim, with their light hair and  blue eyes, always look out of place.",light hair,unknown,female,"The text mentions 'my mother' and 'Prim' which are traditionally female names, indicating their gender.",False,True,"original_sentence='That’s why my mother and Prim, with their light hair and blue eyes, always look out of place.' physical_attributes=[PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text mentions 'my mother' and 'Prim' which are traditionally female names, indicating their gender.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text is describing 'my mother' and 'Prim', both identifiable as female."")]",light hair,light hair
2,2.0,"That’s why my mother and Prim, with their light hair and  blue eyes, always look out of place.",blue eyes,unknown,female,"The text is describing 'my mother' and 'Prim', both identifiable as female.",False,True,"original_sentence='That’s why my mother and Prim, with their light hair and blue eyes, always look out of place.' physical_attributes=[PhysicalAttribute(attribute='light hair', gender='female', reasoning=""The text mentions 'my mother' and 'Prim' which are traditionally female names, indicating their gender.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text is describing 'my mother' and 'Prim', both identifiable as female."")]",blue eyes,blue eyes
3,,"His  eyes land on a small, circular pin that adorns her dress.",,evidence for both,,,False,False,"original_sentence='His eyes land on a small, circular pin that adorns her dress.' physical_attributes=[]",,
