text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,A tear wandered down his brown cheek.,brown cheek,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('brown cheek'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='A tear wandered down his brown cheek.' physical_attributes=[PhysicalAttribute(attribute='brown cheek', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('brown cheek'), explicitly suggesting the person's gender as male."")]",brown cheek,brown cheek
1,,"The bundle with his earthly treasure had hung heavy and heavier on his shoulder; his little horde of money was tightly wadded in his sock, and the school lay hidden somewhere far away in the shadows.",,male,,,False,False,"original_sentence='The bundle with his earthly treasure had hung heavy and heavier on his shoulder; his little horde of money was tightly wadded in his sock, and the school lay hidden somewhere far away in the shadows.' physical_attributes=[]",,
2,,"He wondered how far it was; he looked and harkened, starting at his own heartbeats, and fearing more and more the long dark fingers of the night.",,male,,,False,False,"original_sentence='He wondered how far it was; he looked and harkened, starting at his own heartbeats, and fearing more and more the long dark fingers of the night.' physical_attributes=[]",,
3,1.0,A heavy mass of hair clung motionless to her wide forehead.,a heavy mass of hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a heavy mass of hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='A heavy mass of hair clung motionless to her wide forehead.' physical_attributes=[PhysicalAttribute(attribute='a heavy mass of hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a heavy mass of hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a wide forehead', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a wide forehead'), explicitly suggesting the person's gender as female."")]",a heavy mass of hair,a heavy mass of hair
3,1.0,A heavy mass of hair clung motionless to her wide forehead.,a wide forehead,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a wide forehead'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='A heavy mass of hair clung motionless to her wide forehead.' physical_attributes=[PhysicalAttribute(attribute='a heavy mass of hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a heavy mass of hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='a wide forehead', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a wide forehead'), explicitly suggesting the person's gender as female."")]",a wide forehead,a wide forehead
4,2.0,"The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.",warm and velvet bronze face,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('warm and velvet bronze face'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.' physical_attributes=[PhysicalAttribute(attribute='warm and velvet bronze face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('warm and velvet bronze face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='midnight eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full purple lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='half hid bosom', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose bosom is being described, explicitly suggesting the person's gender as female."")]",warm and velvet bronze face,warm and velvet bronze face
4,2.0,"The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.",midnight eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.' physical_attributes=[PhysicalAttribute(attribute='warm and velvet bronze face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('warm and velvet bronze face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='midnight eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full purple lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='half hid bosom', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose bosom is being described, explicitly suggesting the person's gender as female."")]",midnight eyes,midnight eyes
4,2.0,"The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.",full purple lips,female,female,"The text uses the pronoun 'her' to describe the person whose lips are being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.' physical_attributes=[PhysicalAttribute(attribute='warm and velvet bronze face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('warm and velvet bronze face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='midnight eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full purple lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='half hid bosom', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose bosom is being described, explicitly suggesting the person's gender as female."")]",full purple lips,full purple lips
4,2.0,"The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.",half hid bosom,female,female,"The text uses the pronoun 'her' to describe the person whose bosom is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='The crimson light fell full upon the warm and velvet bronze of her face--her midnight eyes were aglow, her full purple lips apart, her half hid bosom panting, and all the music dead.' physical_attributes=[PhysicalAttribute(attribute='warm and velvet bronze face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('warm and velvet bronze face'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='midnight eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full purple lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='half hid bosom', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose bosom is being described, explicitly suggesting the person's gender as female."")]",half hid bosom,half hid bosom
5,3.0,"It was morning when he awoke and threw a startled glance upward to the twisted branches of the oak that bent above, sifting down sunshine on his brown face and close curled hair.",a brown face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a brown face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='It was morning when he awoke and threw a startled glance upward to the twisted branches of the oak that bent above, sifting down sunshine on his brown face and close curled hair.' physical_attributes=[PhysicalAttribute(attribute='a brown face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a brown face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='close curled hair', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose current attribute ('close curled hair') is being described, explicitly suggesting the person's gender as male."")]",a brown face,a brown face
