text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The veteran Scotchman just named held the first, with a regiment of regulars and a few provincials; a force really by far too small to make head against the formidable power that Montcalm was leading to the foot of his earthen mounds.",,male,,,False,False,"original_sentence='The veteran Scotchman just named held the first, with a regiment of regulars and a few provincials; a force really by far too small to make head against the formidable power that Montcalm was leading to the foot of his earthen mounds.' physical_attributes=[]",,
1,,"According to the orders of the preceding night, the heavy sleep of the army was broken by the rolling of the warning drums, whose rattling echoes were heard issuing, on the damp morning air, out of every vista of the woods, just as day began to draw the shaggy outlines of some tall pines of the vicinity, on the opening brightness of a soft and cloudless eastern sky.",,unknown,,,False,False,"original_sentence='According to the orders of the preceding night, the heavy sleep of the army was broken by the rolling of the warning drums, whose rattling echoes were heard issuing, on the damp morning air, out of every vista of the woods, just as day began to draw the shaggy outlines of some tall pines of the vicinity, on the opening brightness of a soft and cloudless eastern sky.' physical_attributes=[]",,
2,0.0,"His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.",a large head,male,male,The pronoun 'his' indicates that the attributes are describing a male.,True,True,"original_sentence='His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.' physical_attributes=[PhysicalAttribute(attribute='a large head', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='small hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='delicate hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male."")]",a large head,a large head
2,0.0,"His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.",narrow shoulders,male,male,The pronoun 'his' indicates that the attributes are describing a male.,True,True,"original_sentence='His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.' physical_attributes=[PhysicalAttribute(attribute='a large head', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='small hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='delicate hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male."")]",narrow shoulders,narrow shoulders
2,0.0,"His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.",long arms,male,male,The pronoun 'his' indicates that the attributes are describing a male.,True,False,"original_sentence='His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.' physical_attributes=[PhysicalAttribute(attribute='a large head', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='small hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='delicate hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male."")]",long arms,long arms
2,0.0,"His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.",small hands,male,male,The pronoun 'his' indicates that the attributes are describing a male.,True,True,"original_sentence='His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.' physical_attributes=[PhysicalAttribute(attribute='a large head', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='small hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='delicate hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male."")]",small hands,small hands
2,0.0,"His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.",delicate hands,male,male,The pronoun 'his' indicates that the attributes are describing a male.,True,False,"original_sentence='His head was large; his shoulders narrow; his arms long and dangling; while his hands were small, if not delicate.' physical_attributes=[PhysicalAttribute(attribute='a large head', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='narrow shoulders', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='long arms', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='small hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male.""), PhysicalAttribute(attribute='delicate hands', gender='male', reasoning=""The pronoun 'his' indicates that the attributes are describing a male."")]",delicate hands,delicate hands
3,1.0,"His legs and thighs were thin, nearly to emaciation, but of extraordinary length; and his knees would have been considered tremendous, had they not been outdone by the broader foundations on which this false superstructure of blended human orders was so profanely reared.",thin legs,male,male,"The text uses the pronoun 'his' to refer to the person with the current attributes ('thin legs'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His legs and thighs were thin, nearly to emaciation, but of extraordinary length; and his knees would have been considered tremendous, had they not been outdone by the broader foundations on which this false superstructure of blended human orders was so profanely reared.' physical_attributes=[PhysicalAttribute(attribute='thin legs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes ('thin legs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='thin thighs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes ('thin thighs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='extraordinary length', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('extraordinary length') which is describing their legs/thighs, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tremendous knees', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tremendous knees'), explicitly suggesting the person's gender as male."")]",thin legs,thin legs
3,1.0,"His legs and thighs were thin, nearly to emaciation, but of extraordinary length; and his knees would have been considered tremendous, had they not been outdone by the broader foundations on which this false superstructure of blended human orders was so profanely reared.",thin thighs,male,male,"The text uses the pronoun 'his' to refer to the person with the current attributes ('thin thighs'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His legs and thighs were thin, nearly to emaciation, but of extraordinary length; and his knees would have been considered tremendous, had they not been outdone by the broader foundations on which this false superstructure of blended human orders was so profanely reared.' physical_attributes=[PhysicalAttribute(attribute='thin legs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes ('thin legs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='thin thighs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes ('thin thighs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='extraordinary length', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('extraordinary length') which is describing their legs/thighs, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tremendous knees', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tremendous knees'), explicitly suggesting the person's gender as male."")]",thin thighs,thin thighs
3,1.0,"His legs and thighs were thin, nearly to emaciation, but of extraordinary length; and his knees would have been considered tremendous, had they not been outdone by the broader foundations on which this false superstructure of blended human orders was so profanely reared.",extraordinary length,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('extraordinary length') which is describing their legs/thighs, explicitly suggesting the person's gender as male.",True,True,"original_sentence='His legs and thighs were thin, nearly to emaciation, but of extraordinary length; and his knees would have been considered tremendous, had they not been outdone by the broader foundations on which this false superstructure of blended human orders was so profanely reared.' physical_attributes=[PhysicalAttribute(attribute='thin legs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes ('thin legs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='thin thighs', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attributes ('thin thighs'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='extraordinary length', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('extraordinary length') which is describing their legs/thighs, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='tremendous knees', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('tremendous knees'), explicitly suggesting the person's gender as male."")]",extraordinary length,extraordinary length
