text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"In the growth of the town, however, after some thirty or forty years, the site covered by this rude hovel had become exceedingly desirable in the eyes of a prominent and powerful personage, who asserted plausible claims to the proprietorship of this and a large adjacent tract of land, on the strength of a grant from the legislature.",,unknown,,,False,False,"original_sentence='In the growth of the town, however, after some thirty or forty years, the site covered by this rude hovel had become exceedingly desirable in the eyes of a prominent and powerful personage, who asserted plausible claims to the proprietorship of this and a large adjacent tract of land, on the strength of a grant from the legislature.' physical_attributes=[]",,
1,,"He tried the door, which yielded to his hand, and was flung wide open by a sudden gust of wind that passed, as with a loud sigh, from the outermost portal through all the passages and apartments of the new house.",,male,,,False,False,"original_sentence='He tried the door, which yielded to his hand, and was flung wide open by a sudden gust of wind that passed, as with a loud sigh, from the outermost portal through all the passages and apartments of the new house.' physical_attributes=[]",,
2,,"So long as any of the race were to be found, they had been marked out from other men--not strikingly, nor as with a sharp line, but with an effect that was felt rather than spoken of--by an hereditary character of reserve.",,unknown,,,False,False,"original_sentence='So long as any of the race were to be found, they had been marked out from other men--not strikingly, nor as with a sharp line, but with an effect that was felt rather than spoken of--by an hereditary character of reserve.' physical_attributes=[]",,
3,0.0,"It is a likeness of a young man, in a silken dressing-gown of an old fashion, the soft richness of which is well adapted to the countenance of reverie, with its full, tender lips, and beautiful eyes, that seem to indicate not so much capacity of thought, as gentle and voluptuous emotion.",full tender lips,unknown,male,"The text describes 'a young man,' which explicitly suggests the person's gender as male.",False,False,"original_sentence='It is a likeness of a young man, in a silken dressing-gown of an old fashion, the soft richness of which is well adapted to the countenance of reverie, with its full, tender lips, and beautiful eyes, that seem to indicate not so much capacity of thought, as gentle and voluptuous emotion.' physical_attributes=[PhysicalAttribute(attribute='full tender lips', gender='male', reasoning=""The text describes 'a young man,' which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='beautiful eyes', gender='male', reasoning=""The text describes 'a young man' and the attributes pertain to this young man, indicating the gender is male."")]",full tender lips,full tender lips
3,0.0,"It is a likeness of a young man, in a silken dressing-gown of an old fashion, the soft richness of which is well adapted to the countenance of reverie, with its full, tender lips, and beautiful eyes, that seem to indicate not so much capacity of thought, as gentle and voluptuous emotion.",beautiful eyes,unknown,male,"The text describes 'a young man' and the attributes pertain to this young man, indicating the gender is male.",False,True,"original_sentence='It is a likeness of a young man, in a silken dressing-gown of an old fashion, the soft richness of which is well adapted to the countenance of reverie, with its full, tender lips, and beautiful eyes, that seem to indicate not so much capacity of thought, as gentle and voluptuous emotion.' physical_attributes=[PhysicalAttribute(attribute='full tender lips', gender='male', reasoning=""The text describes 'a young man,' which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='beautiful eyes', gender='male', reasoning=""The text describes 'a young man' and the attributes pertain to this young man, indicating the gender is male."")]",beautiful eyes,beautiful eyes
4,1.0,"Forth she steps into the dusky, time-darkened passage; a tall figure, clad in black silk, with a long and shrunken waist, feeling her way towards the stairs like a near-sighted person, as in truth she is.",a tall figure,female,female,"The text uses the pronoun 'she' to refer to the person being described, indicating female gender.",True,True,"original_sentence='Forth she steps into the dusky, time-darkened passage; a tall figure, clad in black silk, with a long and shrunken waist, feeling her way towards the stairs like a near-sighted person, as in truth she is.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating female gender.""), PhysicalAttribute(attribute='a long waist', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender.""), PhysicalAttribute(attribute='a shrunken waist', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender."")]",a tall figure,a tall figure
4,1.0,"Forth she steps into the dusky, time-darkened passage; a tall figure, clad in black silk, with a long and shrunken waist, feeling her way towards the stairs like a near-sighted person, as in truth she is.",a long waist,female,female,"The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender.",True,True,"original_sentence='Forth she steps into the dusky, time-darkened passage; a tall figure, clad in black silk, with a long and shrunken waist, feeling her way towards the stairs like a near-sighted person, as in truth she is.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating female gender.""), PhysicalAttribute(attribute='a long waist', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender.""), PhysicalAttribute(attribute='a shrunken waist', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender."")]",a long waist,a long waist
4,1.0,"Forth she steps into the dusky, time-darkened passage; a tall figure, clad in black silk, with a long and shrunken waist, feeling her way towards the stairs like a near-sighted person, as in truth she is.",a shrunken waist,female,female,"The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender.",True,True,"original_sentence='Forth she steps into the dusky, time-darkened passage; a tall figure, clad in black silk, with a long and shrunken waist, feeling her way towards the stairs like a near-sighted person, as in truth she is.' physical_attributes=[PhysicalAttribute(attribute='a tall figure', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person being described, indicating female gender.""), PhysicalAttribute(attribute='a long waist', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender.""), PhysicalAttribute(attribute='a shrunken waist', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person whose waist is being described, suggesting female gender."")]",a shrunken waist,a shrunken waist
5,,"In the way of furniture, there were two tables:  one, constructed with perplexing intricacy and exhibiting as many feet as a centipede; the other, most delicately wrought, with four long and slender legs, so apparently frail that it was almost incredible what a length of time the ancient tea-table had stood upon them.",,unknown,,,False,False,"original_sentence='In the way of furniture, there were two tables: one, constructed with perplexing intricacy and exhibiting as many feet as a centipede; the other, most delicately wrought, with four long and slender legs, so apparently frail that it was almost incredible what a length of time the ancient tea-table had stood upon them.' physical_attributes=[]",,
6,,"She, in fact, felt a reverence for the pictured visage, of which only a far-descended and time-stricken virgin could be susceptible; and this forbidding scowl was the innocent result of her near-sightedness, and an effort so to concentrate her powers of vision as to substitute a firm outline of the object instead of a vague one.",,female,,,False,False,"original_sentence='She, in fact, felt a reverence for the pictured visage, of which only a far-descended and time-stricken virgin could be susceptible; and this forbidding scowl was the innocent result of her near-sightedness, and an effort so to concentrate her powers of vision as to substitute a firm outline of the object instead of a vague one.' physical_attributes=[]",,
7,,We must linger a moment on this unfortunate expression of poor Hepzibah's brow.,,unknown,,,False,False,"original_sentence=""We must linger a moment on this unfortunate expression of poor Hepzibah's brow."" physical_attributes=[]",,
8,,"A party of leaden dragoons were galloping along one of the shelves, in equipments and uniform of modern cut; and there were some sugar figures, with no strong resemblance to the humanity of any epoch, but less unsatisfactorily representing our own fashions than those of a hundred years ago.",,unknown,,,False,False,"original_sentence='A party of leaden dragoons were galloping along one of the shelves, in equipments and uniform of modern cut; and there were some sugar figures, with no strong resemblance to the humanity of any epoch, but less unsatisfactorily representing our own fashions than those of a hundred years ago.' physical_attributes=[]",,
9,,"As her rigid and rusty frame goes down upon its hands and knees, in quest of the absconding marbles, we positively feel so much the more inclined to shed tears of sympathy, from the very fact that we must needs turn aside and laugh at her.",,female,,,False,False,"original_sentence='As her rigid and rusty frame goes down upon its hands and knees, in quest of the absconding marbles, we positively feel so much the more inclined to shed tears of sympathy, from the very fact that we must needs turn aside and laugh at her.' physical_attributes=[]",,
10,2.0,"Stretching out her long, lank arm, she put a paper of pearl-buttons, a jew's-harp, or whatever the small article might be, in its destined place, and straightway vanished back into the dusk, as if the world need never hope for another glimpse of her.",long lank arm,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('long lank arm'), explicitly suggesting the person's gender as female.",True,False,"original_sentence=""Stretching out her long, lank arm, she put a paper of pearl-buttons, a jew's-harp, or whatever the small article might be, in its destined place, and straightway vanished back into the dusk, as if the world need never hope for another glimpse of her."" physical_attributes=[PhysicalAttribute(attribute='long lank arm', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('long lank arm'), explicitly suggesting the person's gender as female."")]",long lank arm,long lank arm
11,3.0,"How can we elevate our history of retribution for the sin of long ago, when, as one of our most prominent figures, we are compelled to introduce--not a young and lovely woman, nor even the stately remains of beauty, storm-shattered by affliction--but a gaunt, sallow, rusty-jointed maiden, in a long-waisted silk gown, and with the strange horror of a turban on her head!",a gaunt maiden,female,female,"The term 'maiden' is traditionally associated with females, indicating that the person described is female.",True,False,"original_sentence='How can we elevate our history of retribution for the sin of long ago, when, as one of our most prominent figures, we are compelled to introduce--not a young and lovely woman, nor even the stately remains of beauty, storm-shattered by affliction--but a gaunt, sallow, rusty-jointed maiden, in a long-waisted silk gown, and with the strange horror of a turban on her head!' physical_attributes=[PhysicalAttribute(attribute='a gaunt maiden', gender='female', reasoning=""The term 'maiden' is traditionally associated with females, indicating that the person described is female.""), PhysicalAttribute(attribute='a sallow complexion', gender='female', reasoning=""The attribute describes the complexion of the 'gaunt maiden', providing a physical characteristic that is relevant to the identified gender.""), PhysicalAttribute(attribute='rusty-jointed limbs', gender='female', reasoning=""The context implies this description is about the 'maiden', hence it supports the inference of female gender."")]",a gaunt maiden,a gaunt maiden
