text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"She did not seem afraid, and her grave, steadfast eyes looked straight ahead.",grave eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('grave eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She did not seem afraid, and her grave, steadfast eyes looked straight ahead.' physical_attributes=[PhysicalAttribute(attribute='grave eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('grave eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='steadfast eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",grave eyes,grave eyes
0,0.0,"She did not seem afraid, and her grave, steadfast eyes looked straight ahead.",steadfast eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,True,"original_sentence='She did not seem afraid, and her grave, steadfast eyes looked straight ahead.' physical_attributes=[PhysicalAttribute(attribute='grave eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('grave eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='steadfast eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female."")]",steadfast eyes,steadfast eyes
1,1.0,His bared head revealed a shock of exquisitely slicked-back red hair.,a shock of exquisitely slicked-back red hair,male,male,"The text uses the pronoun 'his' to refer to the person with the attribute ('a shock of exquisitely slicked-back red hair'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His bared head revealed a shock of exquisitely slicked-back red hair.' physical_attributes=[PhysicalAttribute(attribute='a shock of exquisitely slicked-back red hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the attribute ('a shock of exquisitely slicked-back red hair'), explicitly suggesting the person's gender as male."")]",a shock of exquisitely slicked-back red hair,a shock of exquisitely slicked-back red hair
2,2.0,"Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.",elfin lines of a little face,female,female,"The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female.",True,False,"original_sentence='Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.' physical_attributes=[PhysicalAttribute(attribute='elfin lines of a little face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='determined chin', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose chin is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large wide-apart grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='straight black brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female."")]",elfin lines of a little face,elfin lines of a little face
2,2.0,"Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.",determined chin,female,female,"The text uses the pronoun 'her' to describe the person whose chin is being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.' physical_attributes=[PhysicalAttribute(attribute='elfin lines of a little face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='determined chin', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose chin is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large wide-apart grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='straight black brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female."")]",determined chin,determined chin
2,2.0,"Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.",large wide-apart grey eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.",True,False,"original_sentence='Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.' physical_attributes=[PhysicalAttribute(attribute='elfin lines of a little face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='determined chin', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose chin is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large wide-apart grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='straight black brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female."")]",large wide-apart grey eyes,large wide-apart grey eyes
2,2.0,"Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.",straight black brows,female,female,"The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female.",True,False,"original_sentence='Tuppence had no claim to beauty, but there was character and charm in the elfin lines of her little face, with its determined chin and large, wide-apart grey eyes that looked mistily out from under straight, black brows.' physical_attributes=[PhysicalAttribute(attribute='elfin lines of a little face', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='determined chin', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose chin is being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large wide-apart grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='straight black brows', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with these attributes, explicitly suggesting the person's gender as female."")]",straight black brows,straight black brows
3,3.0,"She wore a small bright green toque over her black bobbed hair, and her extremely short and rather shabby skirt revealed a pair of uncommonly dainty ankles.",black bobbed hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('black bobbed hair'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She wore a small bright green toque over her black bobbed hair, and her extremely short and rather shabby skirt revealed a pair of uncommonly dainty ankles.' physical_attributes=[PhysicalAttribute(attribute='black bobbed hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('black bobbed hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='uncommonly dainty ankles', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('uncommonly dainty ankles'), explicitly suggesting the person's gender as female."")]",black bobbed hair,black bobbed hair
3,3.0,"She wore a small bright green toque over her black bobbed hair, and her extremely short and rather shabby skirt revealed a pair of uncommonly dainty ankles.",uncommonly dainty ankles,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('uncommonly dainty ankles'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She wore a small bright green toque over her black bobbed hair, and her extremely short and rather shabby skirt revealed a pair of uncommonly dainty ankles.' physical_attributes=[PhysicalAttribute(attribute='black bobbed hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('black bobbed hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='uncommonly dainty ankles', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('uncommonly dainty ankles'), explicitly suggesting the person's gender as female."")]",uncommonly dainty ankles,uncommonly dainty ankles
4,4.0,Tuppence’s large grey eyes looked misty.,large grey eyes,unknown,unknown,"The text does not provide any explicit clues about the person's gender, so the gender is marked as unknown.",True,False,"original_sentence='Tuppence’s large grey eyes looked misty.' physical_attributes=[PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning=""The text does not provide any explicit clues about the person's gender, so the gender is marked as unknown."")]",large grey eyes,large grey eyes
5,5.0,"His eyes were small and cunning, and shifted their glance under her direct gaze.",small eyes,evidence for both,male,"The text uses the pronoun 'his' to describe the eyes, explicitly suggesting a male gender.",False,True,"original_sentence='His eyes were small and cunning, and shifted their glance under her direct gaze.' physical_attributes=[PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the eyes, explicitly suggesting a male gender.""), PhysicalAttribute(attribute='cunning eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the eyes, explicitly suggesting a male gender."")]",small eyes,small eyes
5,5.0,"His eyes were small and cunning, and shifted their glance under her direct gaze.",cunning eyes,evidence for both,male,"The text uses the pronoun 'his' to describe the eyes, explicitly suggesting a male gender.",False,False,"original_sentence='His eyes were small and cunning, and shifted their glance under her direct gaze.' physical_attributes=[PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the eyes, explicitly suggesting a male gender.""), PhysicalAttribute(attribute='cunning eyes', gender='male', reasoning=""The text uses the pronoun 'his' to describe the eyes, explicitly suggesting a male gender."")]",cunning eyes,cunning eyes
6,,"And as I’ve said before, and shall doubtless say again, little Tuppence can look after herself, thank you!”  And with a short, sharp nod of her head she walked briskly onward.",,female,,,False,False,"original_sentence='And as I’ve said before, and shall doubtless say again, little Tuppence can look after herself, thank you!”  And with a short, sharp nod of her head she walked briskly onward.' physical_attributes=[]",,
7,6.0,The combination of his sleek prosperity and his shifty eye was not attractive.,a shifty eye,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a shifty eye'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='The combination of his sleek prosperity and his shifty eye was not attractive.' physical_attributes=[PhysicalAttribute(attribute='a shifty eye', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a shifty eye'), explicitly suggesting the person's gender as male."")]",a shifty eye,a shifty eye
8,7.0,"“Now, my dear young lady, let us come to business.” His large face broadened into a smile.",a large face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a large face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='“Now, my dear young lady, let us come to business.” His large face broadened into a smile.' physical_attributes=[PhysicalAttribute(attribute='a large face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a large face'), explicitly suggesting the person's gender as male."")]",a large face,a large face
9,,"It was purple with rage, and the veins stood out on the forehead.",,unknown,,,False,False,"original_sentence='It was purple with rage, and the veins stood out on the forehead.' physical_attributes=[]",,
10,,"“And really and truly,” continued Tuppence, opening her eyes very wide, “I haven’t got anything smaller than a five-pound note.”  “You did that part of it very well, old bean, but all the same the fellow wasn’t taken in--not for a moment!”  “No,” said Tuppence thoughtfully, “he didn’t believe it.",,evidence for both,,,False,False,"original_sentence='“And really and truly,” continued Tuppence, opening her eyes very wide, “I haven’t got anything smaller than a five-pound note.”  “You did that part of it very well, old bean, but all the same the fellow wasn’t taken in--not for a moment!”  “No,” said Tuppence thoughtfully, “he didn’t believe it.' physical_attributes=[]",,
11,8.0,"Hardly a minute elapsed, however, before the door opened, and a tall man with a lean hawklike face and a tired manner entered the room.",a lean hawklike face,unknown,male,"The text describes the person as 'a tall man', which suggests the person is male; therefore, the attribute is considered male.",False,False,"original_sentence='Hardly a minute elapsed, however, before the door opened, and a tall man with a lean hawklike face and a tired manner entered the room.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The text explicitly describes the person as 'a tall man', indicating gender.""), PhysicalAttribute(attribute='a lean hawklike face', gender='male', reasoning=""The text describes the person as 'a tall man', which suggests the person is male; therefore, the attribute is considered male.""), PhysicalAttribute(attribute='a tired manner', gender='unknown', reasoning=""The attribute 'a tired manner' does not provide any specific gender clues in the context."")]",a lean hawklike face,a lean hawklike face
11,8.0,"Hardly a minute elapsed, however, before the door opened, and a tall man with a lean hawklike face and a tired manner entered the room.",a tired manner,unknown,unknown,The attribute 'a tired manner' does not provide any specific gender clues in the context.,True,True,"original_sentence='Hardly a minute elapsed, however, before the door opened, and a tall man with a lean hawklike face and a tired manner entered the room.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The text explicitly describes the person as 'a tall man', indicating gender.""), PhysicalAttribute(attribute='a lean hawklike face', gender='male', reasoning=""The text describes the person as 'a tall man', which suggests the person is male; therefore, the attribute is considered male.""), PhysicalAttribute(attribute='a tired manner', gender='unknown', reasoning=""The attribute 'a tired manner' does not provide any specific gender clues in the context."")]",a tired manner,a tired manner
12,,"She was an orphan, and had been what we should call over here a pupil teacher in a small school out West.",,female,,,False,False,"original_sentence='She was an orphan, and had been what we should call over here a pupil teacher in a small school out West.' physical_attributes=[]",,
13,,"And if we have to fill up a blue form and send it in, and then, after three months, they send us a green one, and so on--well, that won’t be much use, will it?”  Mr. Carter laughed outright.",,unknown,,,False,False,"original_sentence='And if we have to fill up a blue form and send it in, and then, after three months, they send us a green one, and so on--well, that won’t be much use, will it?”  Mr. Carter laughed outright.' physical_attributes=[]",,
14,,"I’ll keep beautiful accounts of our expenses all debit and credit, and the balance on the right side, and red line drawn sideways with the totals the same at the bottom.",,unknown,,,False,False,"original_sentence='I’ll keep beautiful accounts of our expenses all debit and credit, and the balance on the right side, and red line drawn sideways with the totals the same at the bottom.' physical_attributes=[]",,
