text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.",a calm face,unknown,unknown,The description of the face is neutral and does not suggest any specific gender.,True,True,"original_sentence='Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.' physical_attributes=[PhysicalAttribute(attribute='a calm face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='a powerful face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='clear-cut features', gender='unknown', reasoning='The description of features is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning='The description of the eyes is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='yellow beard', gender='male', reasoning='The presence of a beard typically suggests a male gender, although it is not explicitly stated.'), PhysicalAttribute(attribute='yellow hair', gender='unknown', reasoning='The description of the hair is neutral and does not suggest any specific gender.')]",a calm face,a calm face
0,0.0,"Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.",a powerful face,unknown,unknown,The description of the face is neutral and does not suggest any specific gender.,True,True,"original_sentence='Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.' physical_attributes=[PhysicalAttribute(attribute='a calm face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='a powerful face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='clear-cut features', gender='unknown', reasoning='The description of features is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning='The description of the eyes is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='yellow beard', gender='male', reasoning='The presence of a beard typically suggests a male gender, although it is not explicitly stated.'), PhysicalAttribute(attribute='yellow hair', gender='unknown', reasoning='The description of the hair is neutral and does not suggest any specific gender.')]",a powerful face,a powerful face
0,0.0,"Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.",clear-cut features,unknown,unknown,The description of features is neutral and does not suggest any specific gender.,True,False,"original_sentence='Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.' physical_attributes=[PhysicalAttribute(attribute='a calm face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='a powerful face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='clear-cut features', gender='unknown', reasoning='The description of features is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning='The description of the eyes is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='yellow beard', gender='male', reasoning='The presence of a beard typically suggests a male gender, although it is not explicitly stated.'), PhysicalAttribute(attribute='yellow hair', gender='unknown', reasoning='The description of the hair is neutral and does not suggest any specific gender.')]",clear-cut features,clear-cut features
0,0.0,"Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.",large grey eyes,unknown,unknown,The description of the eyes is neutral and does not suggest any specific gender.,True,False,"original_sentence='Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.' physical_attributes=[PhysicalAttribute(attribute='a calm face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='a powerful face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='clear-cut features', gender='unknown', reasoning='The description of features is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning='The description of the eyes is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='yellow beard', gender='male', reasoning='The presence of a beard typically suggests a male gender, although it is not explicitly stated.'), PhysicalAttribute(attribute='yellow hair', gender='unknown', reasoning='The description of the hair is neutral and does not suggest any specific gender.')]",large grey eyes,large grey eyes
0,0.0,"Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.",yellow beard,unknown,male,"The presence of a beard typically suggests a male gender, although it is not explicitly stated.",False,True,"original_sentence='Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.' physical_attributes=[PhysicalAttribute(attribute='a calm face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='a powerful face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='clear-cut features', gender='unknown', reasoning='The description of features is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning='The description of the eyes is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='yellow beard', gender='male', reasoning='The presence of a beard typically suggests a male gender, although it is not explicitly stated.'), PhysicalAttribute(attribute='yellow hair', gender='unknown', reasoning='The description of the hair is neutral and does not suggest any specific gender.')]",yellow beard,yellow beard
0,0.0,"Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.",yellow hair,unknown,unknown,The description of the hair is neutral and does not suggest any specific gender.,True,True,"original_sentence='Calm, powerful face, clear-cut features, large grey eyes, yellow beard and hair--altogether a magnificent specimen of the higher type of humanity.' physical_attributes=[PhysicalAttribute(attribute='a calm face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='a powerful face', gender='unknown', reasoning='The description of the face is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='clear-cut features', gender='unknown', reasoning='The description of features is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='large grey eyes', gender='unknown', reasoning='The description of the eyes is neutral and does not suggest any specific gender.'), PhysicalAttribute(attribute='yellow beard', gender='male', reasoning='The presence of a beard typically suggests a male gender, although it is not explicitly stated.'), PhysicalAttribute(attribute='yellow hair', gender='unknown', reasoning='The description of the hair is neutral and does not suggest any specific gender.')]",yellow hair,yellow hair
1,1.0,"Indeed, Sir Henry’s girth is so great that, though he is six feet two high, he does not strike one as a tall man.",a great girth,male,male,"The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male.",True,True,"original_sentence='Indeed, Sir Henry’s girth is so great that, though he is six feet two high, he does not strike one as a tall man.' physical_attributes=[PhysicalAttribute(attribute='a great girth', gender='male', reasoning=""The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male.""), PhysicalAttribute(attribute='six feet two height', gender='male', reasoning=""The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male.""), PhysicalAttribute(attribute='not a tall man', gender='male', reasoning=""The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male."")]",a great girth,a great girth
1,1.0,"Indeed, Sir Henry’s girth is so great that, though he is six feet two high, he does not strike one as a tall man.",six feet two height,male,male,"The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male.",True,False,"original_sentence='Indeed, Sir Henry’s girth is so great that, though he is six feet two high, he does not strike one as a tall man.' physical_attributes=[PhysicalAttribute(attribute='a great girth', gender='male', reasoning=""The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male.""), PhysicalAttribute(attribute='six feet two height', gender='male', reasoning=""The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male.""), PhysicalAttribute(attribute='not a tall man', gender='male', reasoning=""The text uses the name 'Sir Henry' which is commonly associated with males, indicating that the attributes describe a male."")]",six feet two height,six feet two height
2,2.0,"Imagine to yourself a small, withered, yellow-faced man of sixty-three, with thin hands, large brown eyes, a head of grizzled hair cut short and standing up like a half-worn scrubbing-brush--total weight in my clothes, nine stone six--and you will get a very fair idea of Allan Quatermain, commonly called Hunter Quatermain, or by the natives ‘Macumazahn’--Anglicè, he who keeps a bright look-out at night, or, in vulgar English, a sharp fellow who is not to be taken in.",thin hands,male,male,"This attribute describes the 'man' already identified, reinforcing the male gender.",True,True,"original_sentence='Imagine to yourself a small, withered, yellow-faced man of sixty-three, with thin hands, large brown eyes, a head of grizzled hair cut short and standing up like a half-worn scrubbing-brush--total weight in my clothes, nine stone six--and you will get a very fair idea of Allan Quatermain, commonly called Hunter Quatermain, or by the natives ‘Macumazahn’--Anglicè, he who keeps a bright look-out at night, or, in vulgar English, a sharp fellow who is not to be taken in.' physical_attributes=[PhysicalAttribute(attribute='a small withered yellow-faced man', gender='male', reasoning=""The description refers to 'a man of sixty-three', explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='thin hands', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender.""), PhysicalAttribute(attribute='large brown eyes', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender.""), PhysicalAttribute(attribute='grizzled hair cut short', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender."")]",thin hands,thin hands
2,2.0,"Imagine to yourself a small, withered, yellow-faced man of sixty-three, with thin hands, large brown eyes, a head of grizzled hair cut short and standing up like a half-worn scrubbing-brush--total weight in my clothes, nine stone six--and you will get a very fair idea of Allan Quatermain, commonly called Hunter Quatermain, or by the natives ‘Macumazahn’--Anglicè, he who keeps a bright look-out at night, or, in vulgar English, a sharp fellow who is not to be taken in.",large brown eyes,male,male,"This attribute describes the 'man' already identified, reinforcing the male gender.",True,False,"original_sentence='Imagine to yourself a small, withered, yellow-faced man of sixty-three, with thin hands, large brown eyes, a head of grizzled hair cut short and standing up like a half-worn scrubbing-brush--total weight in my clothes, nine stone six--and you will get a very fair idea of Allan Quatermain, commonly called Hunter Quatermain, or by the natives ‘Macumazahn’--Anglicè, he who keeps a bright look-out at night, or, in vulgar English, a sharp fellow who is not to be taken in.' physical_attributes=[PhysicalAttribute(attribute='a small withered yellow-faced man', gender='male', reasoning=""The description refers to 'a man of sixty-three', explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='thin hands', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender.""), PhysicalAttribute(attribute='large brown eyes', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender.""), PhysicalAttribute(attribute='grizzled hair cut short', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender."")]",large brown eyes,large brown eyes
2,2.0,"Imagine to yourself a small, withered, yellow-faced man of sixty-three, with thin hands, large brown eyes, a head of grizzled hair cut short and standing up like a half-worn scrubbing-brush--total weight in my clothes, nine stone six--and you will get a very fair idea of Allan Quatermain, commonly called Hunter Quatermain, or by the natives ‘Macumazahn’--Anglicè, he who keeps a bright look-out at night, or, in vulgar English, a sharp fellow who is not to be taken in.",grizzled hair cut short,male,male,"This attribute describes the 'man' already identified, reinforcing the male gender.",True,False,"original_sentence='Imagine to yourself a small, withered, yellow-faced man of sixty-three, with thin hands, large brown eyes, a head of grizzled hair cut short and standing up like a half-worn scrubbing-brush--total weight in my clothes, nine stone six--and you will get a very fair idea of Allan Quatermain, commonly called Hunter Quatermain, or by the natives ‘Macumazahn’--Anglicè, he who keeps a bright look-out at night, or, in vulgar English, a sharp fellow who is not to be taken in.' physical_attributes=[PhysicalAttribute(attribute='a small withered yellow-faced man', gender='male', reasoning=""The description refers to 'a man of sixty-three', explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='thin hands', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender.""), PhysicalAttribute(attribute='large brown eyes', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender.""), PhysicalAttribute(attribute='grizzled hair cut short', gender='male', reasoning=""This attribute describes the 'man' already identified, reinforcing the male gender."")]",grizzled hair cut short,grizzled hair cut short
3,3.0,"‘Lamu,’ said he, ‘you goes to Lamu--oh ze beautiful place!’ and he turned up his fat face and beamed with mild rapture.",a fat face,male,male,The use of the pronoun 'he' to refer to the person with the current attribute ('a fat face') explicitly suggests the person's gender is male.,True,True,"original_sentence='‘Lamu,’ said he, ‘you goes to Lamu--oh ze beautiful place!’ and he turned up his fat face and beamed with mild rapture.' physical_attributes=[PhysicalAttribute(attribute='a fat face', gender='male', reasoning=""The use of the pronoun 'he' to refer to the person with the current attribute ('a fat face') explicitly suggests the person's gender is male."")]",a fat face,a fat face
4,4.0,"He was a very tall, broad man, quite six foot three, I should say, but gaunt, with lean, wiry-looking limbs.",gaunt limbs,male,male,"The text uses the pronoun 'He' to refer to the described person, indicating male gender.",True,False,"original_sentence='He was a very tall, broad man, quite six foot three, I should say, but gaunt, with lean, wiry-looking limbs.' physical_attributes=[PhysicalAttribute(attribute='a very tall man', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender.""), PhysicalAttribute(attribute='a broad man', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender.""), PhysicalAttribute(attribute='gaunt limbs', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender.""), PhysicalAttribute(attribute='lean wiry-looking limbs', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender."")]",gaunt limbs,gaunt limbs
4,4.0,"He was a very tall, broad man, quite six foot three, I should say, but gaunt, with lean, wiry-looking limbs.",lean wiry-looking limbs,male,male,"The text uses the pronoun 'He' to refer to the described person, indicating male gender.",True,False,"original_sentence='He was a very tall, broad man, quite six foot three, I should say, but gaunt, with lean, wiry-looking limbs.' physical_attributes=[PhysicalAttribute(attribute='a very tall man', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender.""), PhysicalAttribute(attribute='a broad man', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender.""), PhysicalAttribute(attribute='gaunt limbs', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender.""), PhysicalAttribute(attribute='lean wiry-looking limbs', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the described person, indicating male gender."")]",lean wiry-looking limbs,lean wiry-looking limbs
5,5.0,"He came out with his thin aristocratic-looking hand placed before his face to hide a yawn, so I could only see that he was a ‘Keshla’ or ringed man {Endnote 1}, and that he had a great three-cornered hole in his forehead.",a thin aristocratic-looking hand,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin aristocratic-looking hand'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He came out with his thin aristocratic-looking hand placed before his face to hide a yawn, so I could only see that he was a ‘Keshla’ or ringed man {Endnote 1}, and that he had a great three-cornered hole in his forehead.' physical_attributes=[PhysicalAttribute(attribute='a thin aristocratic-looking hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin aristocratic-looking hand'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a great three-cornered hole in his forehead', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a great three-cornered hole in his forehead'), explicitly suggesting the person's gender as male."")]",a thin aristocratic-looking hand,a thin aristocratic-looking hand
5,5.0,"He came out with his thin aristocratic-looking hand placed before his face to hide a yawn, so I could only see that he was a ‘Keshla’ or ringed man {Endnote 1}, and that he had a great three-cornered hole in his forehead.",a great three-cornered hole in a forehead,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a great three-cornered hole in his forehead'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='He came out with his thin aristocratic-looking hand placed before his face to hide a yawn, so I could only see that he was a ‘Keshla’ or ringed man {Endnote 1}, and that he had a great three-cornered hole in his forehead.' physical_attributes=[PhysicalAttribute(attribute='a thin aristocratic-looking hand', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin aristocratic-looking hand'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a great three-cornered hole in his forehead', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a great three-cornered hole in his forehead'), explicitly suggesting the person's gender as male."")]",a great three-cornered hole in his forehead,a great three-cornered hole in a forehead
