text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"When I had had my supper, I called from their hut the two Paspahegh lads bought by me from their tribe the Michaelmas before, and soundly flogged them both, having in my mind a saying of my ancient captain's, namely, “He who strikes first oft-times strikes last.”  Upon the afternoon of which I now speak, in the midsummer of the year of grace 1621, as I sat upon my doorstep, my long pipe between my teeth and my eyes upon the pallid stream below, my thoughts were busy with these matters,--so busy that I did not see a horse and rider emerge from the dimness of the forest into the cleared space before my palisade, nor knew, until his voice came up the bank, that my good friend, Master John Rolfe, was without and would speak to me.",,male,,,False,False,"original_sentence=""When I had had my supper, I called from their hut the two Paspahegh lads bought by me from their tribe the Michaelmas before, and soundly flogged them both, having in my mind a saying of my ancient captain's, namely, “He who strikes first oft-times strikes last.”  Upon the afternoon of which I now speak, in the midsummer of the year of grace 1621, as I sat upon my doorstep, my long pipe between my teeth and my eyes upon the pallid stream below, my thoughts were busy with these matters,--so busy that I did not see a horse and rider emerge from the dimness of the forest into the cleared space before my palisade, nor knew, until his voice came up the bank, that my good friend, Master John Rolfe, was without and would speak to me."" physical_attributes=[]",,
1,0.0,"“I called you twice.”  “I was wishing for Dale's times and Dale's laws.”  He laughed, and touched my knee with his hand, white and smooth as a woman's, and with a green jewel upon the forefinger.",a white hand,male,unknown,The text describes the hand as 'white' but does not provide any clear identification of gender. It is not explicitly linked to a known male or female character.,False,True,"original_sentence=""“I called you twice.”  “I was wishing for Dale's times and Dale's laws.”  He laughed, and touched my knee with his hand, white and smooth as a woman's, and with a green jewel upon the forefinger."" physical_attributes=[PhysicalAttribute(attribute='a white hand', gender='unknown', reasoning=""The text describes the hand as 'white' but does not provide any clear identification of gender. It is not explicitly linked to a known male or female character.""), PhysicalAttribute(attribute='a smooth hand', gender='unknown', reasoning=""Similarly, the description of 'smooth' does not infer any gender, and it is not clearly connected to either male or female.""), PhysicalAttribute(attribute=""a woman's forefinger"", gender='female', reasoning=""The phrase 'as a woman's' refers to the hand's smoothness, indicating a feminine quality, thus implying a female reference in relation to the forefinger."")]",a white hand,a white hand
1,0.0,"“I called you twice.”  “I was wishing for Dale's times and Dale's laws.”  He laughed, and touched my knee with his hand, white and smooth as a woman's, and with a green jewel upon the forefinger.",a smooth hand,male,unknown,"Similarly, the description of 'smooth' does not infer any gender, and it is not clearly connected to either male or female.",False,True,"original_sentence=""“I called you twice.”  “I was wishing for Dale's times and Dale's laws.”  He laughed, and touched my knee with his hand, white and smooth as a woman's, and with a green jewel upon the forefinger."" physical_attributes=[PhysicalAttribute(attribute='a white hand', gender='unknown', reasoning=""The text describes the hand as 'white' but does not provide any clear identification of gender. It is not explicitly linked to a known male or female character.""), PhysicalAttribute(attribute='a smooth hand', gender='unknown', reasoning=""Similarly, the description of 'smooth' does not infer any gender, and it is not clearly connected to either male or female.""), PhysicalAttribute(attribute=""a woman's forefinger"", gender='female', reasoning=""The phrase 'as a woman's' refers to the hand's smoothness, indicating a feminine quality, thus implying a female reference in relation to the forefinger."")]",a smooth hand,a smooth hand
2,,"to tie a burden around one's neck because 't is pink and white, or clear bronze, and shaped with elegance!",,unknown,,,False,False,"original_sentence=""to tie a burden around one's neck because 't is pink and white, or clear bronze, and shaped with elegance!"" physical_attributes=[]",,
3,,"The stars were yet shining when I left the house, and, after a word with my man Diccon, at the servants' huts, strode down the bank and through the gate of the palisade to the wharf, where I loosed my boat, put up her sail, and turned her head down the broad stream.",,female,,,False,False,"original_sentence=""The stars were yet shining when I left the house, and, after a word with my man Diccon, at the servants' huts, strode down the bank and through the gate of the palisade to the wharf, where I loosed my boat, put up her sail, and turned her head down the broad stream."" physical_attributes=[]",,
4,,"“Ha, Ralph Percy!” he cried, wagging his gray head, “we two be the only sane younkers in the plantations!",,male,,,False,False,"original_sentence='“Ha, Ralph Percy!” he cried, wagging his gray head, “we two be the only sane younkers in the plantations!' physical_attributes=[]",,
5,1.0,"Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.",ninety slender figures,male,female,The term 'damsels' at the end of the sentence provides strong evidence that the figures being described are female.,False,False,"original_sentence='Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.' physical_attributes=[PhysicalAttribute(attribute='ninety slender figures', gender='female', reasoning=""The term 'damsels' at the end of the sentence provides strong evidence that the figures being described are female.""), PhysicalAttribute(attribute='ninety comely faces', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the faces being described are female.""), PhysicalAttribute(attribute='ninety pair of eyes', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the eyes belong to females.""), PhysicalAttribute(attribute='ninety pair of ripe red lips', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the lips are part of female figures.""), PhysicalAttribute(attribute='ninety pair of downcast eyes', gender='female', reasoning=""The phrase refers to the eyes of 'damsels,' which indicates the gender as female.""), PhysicalAttribute(attribute='long fringes sweeping rounded cheeks', gender='female', reasoning=""This description is linked to the eyes in the context of the 'damsels', suggesting a feminine quality."")]",ninety slender figures,ninety slender figures
5,1.0,"Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.",ninety comely faces,male,female,The term 'damsels' at the end of the sentence indicates that the faces being described are female.,False,False,"original_sentence='Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.' physical_attributes=[PhysicalAttribute(attribute='ninety slender figures', gender='female', reasoning=""The term 'damsels' at the end of the sentence provides strong evidence that the figures being described are female.""), PhysicalAttribute(attribute='ninety comely faces', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the faces being described are female.""), PhysicalAttribute(attribute='ninety pair of eyes', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the eyes belong to females.""), PhysicalAttribute(attribute='ninety pair of ripe red lips', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the lips are part of female figures.""), PhysicalAttribute(attribute='ninety pair of downcast eyes', gender='female', reasoning=""The phrase refers to the eyes of 'damsels,' which indicates the gender as female.""), PhysicalAttribute(attribute='long fringes sweeping rounded cheeks', gender='female', reasoning=""This description is linked to the eyes in the context of the 'damsels', suggesting a feminine quality."")]",ninety comely faces,ninety comely faces
5,1.0,"Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.",ninety pair of eyes,male,female,The term 'damsels' at the end of the sentence indicates that the eyes belong to females.,False,False,"original_sentence='Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.' physical_attributes=[PhysicalAttribute(attribute='ninety slender figures', gender='female', reasoning=""The term 'damsels' at the end of the sentence provides strong evidence that the figures being described are female.""), PhysicalAttribute(attribute='ninety comely faces', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the faces being described are female.""), PhysicalAttribute(attribute='ninety pair of eyes', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the eyes belong to females.""), PhysicalAttribute(attribute='ninety pair of ripe red lips', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the lips are part of female figures.""), PhysicalAttribute(attribute='ninety pair of downcast eyes', gender='female', reasoning=""The phrase refers to the eyes of 'damsels,' which indicates the gender as female.""), PhysicalAttribute(attribute='long fringes sweeping rounded cheeks', gender='female', reasoning=""This description is linked to the eyes in the context of the 'damsels', suggesting a feminine quality."")]",ninety pair of eyes,ninety pair of eyes
5,1.0,"Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.",ninety pair of ripe red lips,male,female,The term 'damsels' at the end of the sentence indicates that the lips are part of female figures.,False,False,"original_sentence='Ninety slender figures decked in all the bravery they could assume; ninety comely faces, pink and white, or clear brown with the rich blood showing through; ninety pair of eyes, laughing and alluring, or downcast with long fringes sweeping rounded cheeks; ninety pair of ripe red lips,--the crowd shouted itself hoarse and would not be restrained, brushing aside like straws the staves of the marshal and his men, and surging in upon the line of adventurous damsels.' physical_attributes=[PhysicalAttribute(attribute='ninety slender figures', gender='female', reasoning=""The term 'damsels' at the end of the sentence provides strong evidence that the figures being described are female.""), PhysicalAttribute(attribute='ninety comely faces', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the faces being described are female.""), PhysicalAttribute(attribute='ninety pair of eyes', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the eyes belong to females.""), PhysicalAttribute(attribute='ninety pair of ripe red lips', gender='female', reasoning=""The term 'damsels' at the end of the sentence indicates that the lips are part of female figures.""), PhysicalAttribute(attribute='ninety pair of downcast eyes', gender='female', reasoning=""The phrase refers to the eyes of 'damsels,' which indicates the gender as female.""), PhysicalAttribute(attribute='long fringes sweeping rounded cheeks', gender='female', reasoning=""This description is linked to the eyes in the context of the 'damsels', suggesting a feminine quality."")]",ninety pair of ripe red lips,ninety pair of ripe red lips
