attribute,person_term,predicted_rating,source,author_gender,llm_gender,text_id,attribute_text_id,text,llm_reasoning,gender_match,indomain_strct
wrinkled flesh,man,4.7265625,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.",True,False
wrinkled flesh,woman,4.4453125,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.",True,False
wrinkled flesh,nonbinary person,3.390625,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('wrinkled flesh'), explicitly suggesting the person's gender as male.",True,False
papery thin skin,man,3.3203125,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.",True,False
papery thin skin,woman,3.7890625,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.",True,False
papery thin skin,nonbinary person,3.34375,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('papery thin skin'), explicitly suggesting the person's gender as male.",True,False
web of veins,man,3.70703125,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.",True,False
web of veins,woman,3.484375,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.",True,False
web of veins,nonbinary person,3.63671875,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('web of veins'), explicitly suggesting the person's gender as male.",True,False
shape of bones beneath,man,3.42578125,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male.",True,False
shape of bones beneath,woman,3.68359375,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male.",True,False
shape of bones beneath,nonbinary person,3.296875,game of thrones,male,male,1,0.0,"His flesh was wrinkled and spotted, the skin so papery thin that he could see the web of veins and the shape of bones beneath.","The text uses the pronoun 'his' to refer to the person with the current attribute ('shape of bones beneath'), explicitly suggesting the person's gender as male.",True,False
guileless blue eyes,man,3.89453125,game of thrones,male,unknown,2,1.0,"“It’s me and Patches, Maester.” Guileless blue eyes blinked at him.",The description 'guileless blue eyes' does not provide any clues about the person's gender; the context does not specify any gendered references.,False,False
guileless blue eyes,woman,4.140625,game of thrones,male,unknown,2,1.0,"“It’s me and Patches, Maester.” Guileless blue eyes blinked at him.",The description 'guileless blue eyes' does not provide any clues about the person's gender; the context does not specify any gendered references.,False,False
guileless blue eyes,nonbinary person,3.53125,game of thrones,male,unknown,2,1.0,"“It’s me and Patches, Maester.” Guileless blue eyes blinked at him.",The description 'guileless blue eyes' does not provide any clues about the person's gender; the context does not specify any gendered references.,False,False
a pretty face,man,3.578125,game of thrones,male,female,3,2.0,"Hers was not a pretty face, alas.","The text uses the pronoun 'hers' to refer to the person with the current attribute ('a pretty face'), explicitly suggesting the person's gender as female.",False,True
a pretty face,woman,5.8515625,game of thrones,male,female,3,2.0,"Hers was not a pretty face, alas.","The text uses the pronoun 'hers' to refer to the person with the current attribute ('a pretty face'), explicitly suggesting the person's gender as female.",False,True
a pretty face,nonbinary person,4.046875,game of thrones,male,female,3,2.0,"Hers was not a pretty face, alas.","The text uses the pronoun 'hers' to refer to the person with the current attribute ('a pretty face'), explicitly suggesting the person's gender as female.",False,True
stiff flesh,man,4.2578125,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.",True,True
stiff flesh,woman,3.625,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.",True,True
stiff flesh,nonbinary person,3.47265625,game of thrones,male,female,4,3.0,"Across half one cheek and well down her neck, her flesh was stiff and dead, the skin cracked and flaking, mottled black and grey and stony to the touch.","The text uses the pronoun 'her' to refer to the person with the current attribute ('stiff flesh'), explicitly suggesting the person's gender as female.",True,True
