text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"Mrs. Shaw held out her hand to the new-comer; Margaret stood perfectly still, thinking she might be yet wanted as a sort of block for the shawls; but looking at Mr. Lennox with a bright, amused face, as if sure of his sympathy in her sense of the ludicrousness at being thus surprised.",a bright amused face,evidence for both,female,"The text uses the name 'Margaret' and descriptive phrases ('Mrs. Shaw', 'her hand', 'being thus surprised') that clearly identify the individual as female.",False,False,"original_sentence='Mrs. Shaw held out her hand to the new-comer; Margaret stood perfectly still, thinking she might be yet wanted as a sort of block for the shawls; but looking at Mr. Lennox with a bright, amused face, as if sure of his sympathy in her sense of the ludicrousness at being thus surprised.' physical_attributes=[PhysicalAttribute(attribute='a bright amused face', gender='female', reasoning=""The text uses the name 'Margaret' and descriptive phrases ('Mrs. Shaw', 'her hand', 'being thus surprised') that clearly identify the individual as female."")]",a bright amused face,a bright amused face
1,1.0,"said she, turning her large soft eyes round full upon him.",large soft eyes,evidence for both,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('large soft eyes'), explicitly suggesting the person's gender as female.",False,False,"original_sentence='said she, turning her large soft eyes round full upon him.' physical_attributes=[PhysicalAttribute(attribute='large soft eyes', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('large soft eyes'), explicitly suggesting the person's gender as female."")]",large soft eyes,large soft eyes
2,2.0,"He was close by his handsome brother; he was the plain one in a singularly good-looking family; but his face was intelligent, keen, and mobile; and now and then Margaret wondered what it was that he could be thinking about, while he kept silence, but was evidently observing, with an interest that was slightly sarcastic, all that Edith and she were doing.",an intelligent face,evidence for both,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('an intelligent face'), explicitly suggesting the person's gender as male.",False,True,"original_sentence='He was close by his handsome brother; he was the plain one in a singularly good-looking family; but his face was intelligent, keen, and mobile; and now and then Margaret wondered what it was that he could be thinking about, while he kept silence, but was evidently observing, with an interest that was slightly sarcastic, all that Edith and she were doing.' physical_attributes=[PhysicalAttribute(attribute='an intelligent face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('an intelligent face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a keen face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a keen face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a mobile face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a mobile face'), explicitly suggesting the person's gender as male."")]",an intelligent face,an intelligent face
2,2.0,"He was close by his handsome brother; he was the plain one in a singularly good-looking family; but his face was intelligent, keen, and mobile; and now and then Margaret wondered what it was that he could be thinking about, while he kept silence, but was evidently observing, with an interest that was slightly sarcastic, all that Edith and she were doing.",a keen face,evidence for both,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a keen face'), explicitly suggesting the person's gender as male.",False,True,"original_sentence='He was close by his handsome brother; he was the plain one in a singularly good-looking family; but his face was intelligent, keen, and mobile; and now and then Margaret wondered what it was that he could be thinking about, while he kept silence, but was evidently observing, with an interest that was slightly sarcastic, all that Edith and she were doing.' physical_attributes=[PhysicalAttribute(attribute='an intelligent face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('an intelligent face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a keen face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a keen face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a mobile face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a mobile face'), explicitly suggesting the person's gender as male."")]",a keen face,a keen face
2,2.0,"He was close by his handsome brother; he was the plain one in a singularly good-looking family; but his face was intelligent, keen, and mobile; and now and then Margaret wondered what it was that he could be thinking about, while he kept silence, but was evidently observing, with an interest that was slightly sarcastic, all that Edith and she were doing.",a mobile face,evidence for both,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a mobile face'), explicitly suggesting the person's gender as male.",False,True,"original_sentence='He was close by his handsome brother; he was the plain one in a singularly good-looking family; but his face was intelligent, keen, and mobile; and now and then Margaret wondered what it was that he could be thinking about, while he kept silence, but was evidently observing, with an interest that was slightly sarcastic, all that Edith and she were doing.' physical_attributes=[PhysicalAttribute(attribute='an intelligent face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('an intelligent face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a keen face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a keen face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a mobile face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a mobile face'), explicitly suggesting the person's gender as male."")]",a mobile face,a mobile face
3,,"Margaret's heart felt more heavy than she could ever have thought it possible in going to her own dear home, the place and the life she had longed for for years--at that time of all times for yearning and longing, just before the sharp senses lose their outlines in sleep.",,female,,,False,False,"original_sentence=""Margaret's heart felt more heavy than she could ever have thought it possible in going to her own dear home, the place and the life she had longed for for years--at that time of all times for yearning and longing, just before the sharp senses lose their outlines in sleep."" physical_attributes=[]",,
4,3.0,"But he had the same large, soft eyes as his daughter,--eyes which moved slowly and almost grandly round in their orbits, and were well veiled by their transparent white eyelids.",large soft eyes,male,male,"The text uses the pronoun 'he' to refer to the person with the attribute, explicitly suggesting the person's gender as male.",True,False,"original_sentence='But he had the same large, soft eyes as his daughter,--eyes which moved slowly and almost grandly round in their orbits, and were well veiled by their transparent white eyelids.' physical_attributes=[PhysicalAttribute(attribute='large soft eyes', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the attribute, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='transparent white eyelids', gender='unknown', reasoning='The attribute describes eyelids without specific reference to gender; thus, it remains gender-neutral.')]",large soft eyes,large soft eyes
4,3.0,"But he had the same large, soft eyes as his daughter,--eyes which moved slowly and almost grandly round in their orbits, and were well veiled by their transparent white eyelids.",transparent white eyelids,male,unknown,"The attribute describes eyelids without specific reference to gender; thus, it remains gender-neutral.",False,False,"original_sentence='But he had the same large, soft eyes as his daughter,--eyes which moved slowly and almost grandly round in their orbits, and were well veiled by their transparent white eyelids.' physical_attributes=[PhysicalAttribute(attribute='large soft eyes', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the attribute, explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='transparent white eyelids', gender='unknown', reasoning='The attribute describes eyelids without specific reference to gender; thus, it remains gender-neutral.')]",transparent white eyelids,transparent white eyelids
5,4.0,"Her mouth was wide; no rosebud that could only open just enough to let out a 'yes' and 'no,' and 'an't please you, sir.'",a wide mouth,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a wide mouth'), explicitly suggesting the person's gender as female.",True,True,"original_sentence=""Her mouth was wide; no rosebud that could only open just enough to let out a 'yes' and 'no,' and 'an't please you, sir.'"" physical_attributes=[PhysicalAttribute(attribute='a wide mouth', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a wide mouth'), explicitly suggesting the person's gender as female."")]",a wide mouth,a wide mouth
6,5.0,"But the wide mouth was one soft curve of rich red lips; and the skin, if not white and fair, was of an ivory smoothness and delicacy.",a wide mouth,unknown,unknown,The description of 'a wide mouth' does not provide any gender-specific indicators.,True,True,"original_sentence='But the wide mouth was one soft curve of rich red lips; and the skin, if not white and fair, was of an ivory smoothness and delicacy.' physical_attributes=[PhysicalAttribute(attribute='a wide mouth', gender='unknown', reasoning=""The description of 'a wide mouth' does not provide any gender-specific indicators.""), PhysicalAttribute(attribute='rich red lips', gender='unknown', reasoning=""The description of 'rich red lips' does not provide any gender-specific indicators.""), PhysicalAttribute(attribute='skin of an ivory smoothness', gender='unknown', reasoning=""The description of 'skin of an ivory smoothness' does not provide any gender-specific indicators.""), PhysicalAttribute(attribute='skin of delicacy', gender='unknown', reasoning=""The description of 'skin of delicacy' does not provide any gender-specific indicators."")]",a wide mouth,a wide mouth
