text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Then Dale studied the clouds driving across the sky, and he felt the cool dampness of a fine, misty rain on his face.",,male,,,False,False,"original_sentence='Then Dale studied the clouds driving across the sky, and he felt the cool dampness of a fine, misty rain on his face.' physical_attributes=[]",,
1,0.0,"In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name.",a lean face,male,male,"The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.",True,True,"original_sentence=""In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name."" physical_attributes=[PhysicalAttribute(attribute='a lean face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='serpent-like face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='glittering eyes', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='a long neck', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='long length', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender."")]",a lean face,a lean face
1,0.0,"In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name.",serpent-like face,male,male,"The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.",True,True,"original_sentence=""In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name."" physical_attributes=[PhysicalAttribute(attribute='a lean face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='serpent-like face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='glittering eyes', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='a long neck', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='long length', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender."")]",serpent-like face,serpent-like face
1,0.0,"In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name.",glittering eyes,male,male,"The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.",True,False,"original_sentence=""In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name."" physical_attributes=[PhysicalAttribute(attribute='a lean face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='serpent-like face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='glittering eyes', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='a long neck', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='long length', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender."")]",glittering eyes,glittering eyes
1,0.0,"In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name.",a long neck,male,male,"The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.",True,True,"original_sentence=""In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name."" physical_attributes=[PhysicalAttribute(attribute='a lean face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='serpent-like face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='glittering eyes', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='a long neck', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='long length', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender."")]",a long neck,a long neck
1,0.0,"In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name.",long length,male,male,"The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.",True,False,"original_sentence=""In the firelight Snake Anson's face looked lean and serpent-like, his eyes glittered, and his long neck and all of his long length carried out the analogy of his name."" physical_attributes=[PhysicalAttribute(attribute='a lean face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='serpent-like face', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='glittering eyes', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='a long neck', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender.""), PhysicalAttribute(attribute='long length', gender='male', reasoning=""The text describes 'Snake Anson' with the pronoun 'his', clearly indicating male gender."")]",long length,long length
2,1.0,"I've got as many friends in Pine--an' all the way down the trail--as Auchincloss has.... An' Snake, see here--”  He paused to draw a deep breath and his big hands trembled over the blaze.",big hands,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('big hands'), which suggests the person's gender is male.",True,True,"original_sentence=""I've got as many friends in Pine--an' all the way down the trail--as Auchincloss has.... An' Snake, see here--”  He paused to draw a deep breath and his big hands trembled over the blaze."" physical_attributes=[PhysicalAttribute(attribute='big hands', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('big hands'), which suggests the person's gender is male."")]",big hands,big hands
3,,"Here Dale flushed a flock of wild turkeys, upward of forty in number, and their subdued color of gray flecked with white, and graceful, sleek build, showed them to be hens.",,unknown,,,False,False,"original_sentence='Here Dale flushed a flock of wild turkeys, upward of forty in number, and their subdued color of gray flecked with white, and graceful, sleek build, showed them to be hens.' physical_attributes=[]",,
4,,"The others began to run like ostriches, thudding over the ground, spreading their wings, and with that running start launched their heavy bodies into whirring flight.",,unknown,,,False,False,"original_sentence='The others began to run like ostriches, thudding over the ground, spreading their wings, and with that running start launched their heavy bodies into whirring flight.' physical_attributes=[]",,
5,2.0,"An' thet's months ago,” she replied, shaking her gray head.",a gray head,female,female,"The text uses the pronoun 'she' to describe the person shaking 'her gray head', explicitly suggesting the person's gender as female.",True,True,"original_sentence=""An' thet's months ago,” she replied, shaking her gray head."" physical_attributes=[PhysicalAttribute(attribute='a gray head', gender='female', reasoning=""The text uses the pronoun 'she' to describe the person shaking 'her gray head', explicitly suggesting the person's gender as female."")]",a gray head,a gray head
