model,dataset,row_index,person_term,missing_rating,text_abstention,abstention,categories
Meta-Llama-3-8B,eval_human,0,man,0,0,0,
Meta-Llama-3-8B,eval_human,1,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,2,woman,0,0,0,
Meta-Llama-3-8B,eval_human,3,man,0,0,0,
Meta-Llama-3-8B,eval_human,4,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,5,woman,0,0,0,
Meta-Llama-3-8B,eval_human,6,man,0,0,0,
Meta-Llama-3-8B,eval_human,7,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,8,woman,0,0,0,
Meta-Llama-3-8B,eval_human,9,man,0,0,0,
Meta-Llama-3-8B,eval_human,10,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,11,woman,0,0,0,
Meta-Llama-3-8B,eval_human,12,man,0,0,0,
Meta-Llama-3-8B,eval_human,13,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,14,woman,0,0,0,
Meta-Llama-3-8B,eval_human,15,man,0,0,0,
Meta-Llama-3-8B,eval_human,16,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,17,woman,0,0,0,
Meta-Llama-3-8B,eval_human,18,man,0,0,0,
Meta-Llama-3-8B,eval_human,19,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,20,woman,0,0,0,
Meta-Llama-3-8B,eval_human,21,man,0,0,0,
Meta-Llama-3-8B,eval_human,22,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,23,woman,0,0,0,
Meta-Llama-3-8B,eval_human,24,man,0,0,0,
Meta-Llama-3-8B,eval_human,25,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,26,woman,0,0,0,
Meta-Llama-3-8B,eval_human,27,man,0,0,0,
Meta-Llama-3-8B,eval_human,28,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,29,woman,0,0,0,
Meta-Llama-3-8B,eval_human,30,man,0,0,0,
Meta-Llama-3-8B,eval_human,31,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,32,woman,0,0,0,
Meta-Llama-3-8B,eval_human,33,man,0,0,0,
Meta-Llama-3-8B,eval_human,34,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,35,woman,0,0,0,
Meta-Llama-3-8B,eval_human,36,man,0,0,0,
Meta-Llama-3-8B,eval_human,37,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,38,woman,0,0,0,
Meta-Llama-3-8B,eval_human,39,man,0,0,0,
Meta-Llama-3-8B,eval_human,40,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,41,woman,0,0,0,
Meta-Llama-3-8B,eval_human,42,man,0,0,0,
Meta-Llama-3-8B,eval_human,43,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,44,woman,0,0,0,
Meta-Llama-3-8B,eval_human,45,man,0,0,0,
Meta-Llama-3-8B,eval_human,46,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,47,woman,0,0,0,
Meta-Llama-3-8B,eval_human,48,man,0,0,0,
Meta-Llama-3-8B,eval_human,49,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,50,woman,0,0,0,
Meta-Llama-3-8B,eval_human,51,man,0,0,0,
Meta-Llama-3-8B,eval_human,52,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,53,woman,0,0,0,
Meta-Llama-3-8B,eval_human,54,man,0,0,0,
Meta-Llama-3-8B,eval_human,55,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,56,woman,0,0,0,
Meta-Llama-3-8B,eval_human,57,man,0,0,0,
Meta-Llama-3-8B,eval_human,58,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,59,woman,0,0,0,
Meta-Llama-3-8B,eval_human,60,man,0,0,0,
Meta-Llama-3-8B,eval_human,61,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,62,woman,0,0,0,
Meta-Llama-3-8B,eval_human,63,man,0,0,0,
Meta-Llama-3-8B,eval_human,64,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,65,woman,0,0,0,
Meta-Llama-3-8B,eval_human,66,man,0,0,0,
Meta-Llama-3-8B,eval_human,67,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,68,woman,0,0,0,
Meta-Llama-3-8B,eval_human,69,man,0,0,0,
Meta-Llama-3-8B,eval_human,70,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,71,woman,0,0,0,
Meta-Llama-3-8B,eval_human,72,man,0,0,0,
Meta-Llama-3-8B,eval_human,73,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,74,woman,0,0,0,
Meta-Llama-3-8B,eval_human,75,man,0,0,0,
Meta-Llama-3-8B,eval_human,76,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,77,woman,0,0,0,
Meta-Llama-3-8B,eval_human,78,man,0,0,0,
Meta-Llama-3-8B,eval_human,79,nonbinary person,0,0,0,
Meta-Llama-3-8B,eval_human,80,woman,0,0,0,
Meta-Llama-3-8B,eval_human,81,man,0,0,0,
Meta-Llama-3-8B,eval_human,82,nonbinary person,0,0,0,
