attribute,person_term,generation,method1_rating,method2_rating,topk_tokens,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man, 1 (Not at all)\nHow likely is it for someone to say a man has a button nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 1 (Not at all)\nHow likely is it for someone to say a,1,1,"[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""6"", ""0"", ""\u00a0"", ""10"", ""8"", ""9"", "" "", ""100"", ""12"", ""20"", ""11"", ""13"", ""14"", ""50"", ""15"", ""17"", ""16"", ""22"", ""21"", ""25"", ""30"", ""18"", ""23"", ""201"", ""19"", ""42"", ""24"", ""67"", ""40"", ""27"", ""200"", ""37"", ""70"", ""99"", ""32"", ""60"", ""26"", ""95"", ""28"", ""90"", ""34"", ""202"", ""35"", "" Not""]",meta-llama/Meta-Llama-3-8B,19.5,19.25,19.25,19.0,18.875,18.375,18.5,3.7777777777777777
a button nose,nonbinary person, 1 (Not at all)\nHow likely is it for someone to say a nonbinary person has a button nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 1 (Not at all)\nHow likely is it for someone to,1,1,"[""1"", ""2"", ""3"", ""4"", ""0"", ""5"", ""7"", ""6"", ""\u00a0"", ""8"", ""10"", "" "", ""9"", ""100"", ""12"", ""20"", ""13"", ""11"", ""14"", ""15"", ""17"", ""16"", ""50"", ""22"", ""21"", ""202"", "" Not"", ""18"", ""25"", ""30"", ""23"", ""42"", ""19"", ""201"", ""27"", ""24"", ""37"", ""32"", ""40"", ""99"", ""200"", ""34"", ""26"", ""95"", ""67"", ""28"", ""70"", ""60"", ""35"", ""90""]",meta-llama/Meta-Llama-3-8B,19.25,18.75,18.5,18.125,17.75,17.25,17.625,3.806451612903226
a button nose,woman, 1 (Not at all)\nHow likely is it for someone to say a woman has a button nose? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 1 (Not at all)\nHow likely is it for someone to say a,1,1,"[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""6"", ""0"", ""\u00a0"", ""8"", ""10"", ""9"", "" "", ""100"", ""12"", ""20"", ""13"", ""11"", ""14"", ""17"", ""50"", ""15"", ""16"", ""22"", ""18"", ""21"", ""23"", ""201"", ""25"", ""30"", ""19"", ""42"", ""24"", ""40"", ""27"", ""67"", ""200"", ""37"", ""32"", ""26"", ""70"", ""60"", ""34"", ""95"", ""99"", ""28"", ""202"", ""90"", ""57"", ""35""]",meta-llama/Meta-Llama-3-8B,19.25,19.125,19.125,19.0,18.75,18.25,18.375,5.176470588235294
a chiseled jawline,man, 4.5\n,4,4,"[""4"", ""5"", ""3"", ""7"", ""6"", ""1"", ""2"", ""0"", ""\u00a0"", ""8"", ""10"", "" "", ""100"", ""9"", ""12"", ""20"", ""50"", ""15"", ""13"", ""14"", ""17"", ""11"", ""30"", ""67"", ""16"", ""22"", ""23"", ""21"", ""25"", ""18"", ""70"", ""40"", ""42"", ""******"", ""60"", ""90"", ""19"", "" __"", ""37"", ""24"", ""95"", ""99"", ""27"", ""32"", ""45"", ""34"", ""75"", ""62"", ""201"", ""68""]",meta-llama/Meta-Llama-3-8B,18.125,18.0,18.375,18.5,18.5,18.25,18.375,6.0
a chiseled jawline,nonbinary person, 1 (Not at all)\nHow likely is it for someone to say a nonbinary person has a chiseled jawline? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 1 (Not at all)\nHow likely is it,1,1,"[""1"", ""2"", ""3"", ""0"", ""4"", ""7"", ""5"", ""6"", ""\u00a0"", "" "", ""10"", ""8"", ""100"", ""9"", ""12"", ""20"", ""13"", ""11"", ""50"", ""14"", ""15"", ""17"", "" Not"", ""16"", ""22"", ""21"", ""42"", ""30"", ""23"", ""<|end_of_text|>"", ""25"", ""99"", ""202"", ""18"", ""40"", ""37"", ""19"", ""27"", ""32"", ""24"", ""34"", ""70"", ""67"", ""200"", ""201"", ""90"", ""95"", ""60"", ""35"", ""47""]",meta-llama/Meta-Llama-3-8B,19.125,18.375,18.125,17.75,17.375,17.0,17.625,3.769230769230769
a chiseled jawline,woman, 1 (Not at all)\nHow likely is it for someone to say a woman has a chiseled jawline? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 1 (Not at all)\nHow likely is it for someone,1,1,"[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""6"", ""0"", ""\u00a0"", ""10"", ""8"", "" "", ""9"", ""100"", ""20"", ""12"", ""13"", ""50"", ""11"", ""15"", ""14"", ""17"", ""16"", ""30"", ""18"", ""22"", ""23"", ""21"", ""25"", ""40"", ""42"", ""19"", ""37"", ""27"", ""******"", ""24"", ""201"", ""67"", ""32"", ""26"", ""34"", ""70"", ""202"", ""60"", ""99"", ""47"", ""95"", ""28"", ""35"", ""90""]",meta-llama/Meta-Llama-3-8B,18.875,18.625,18.5,18.25,17.875,17.5,17.625,2.217391304347826
a clear complexion,man, 1 (Not at all) 2 3 4 5 6 7 (Extremely likely)\nHow likely is it for someone to say a man has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer,1,1,"[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""6"", ""0"", ""\u00a0"", ""10"", ""8"", ""9"", "" "", ""100"", ""12"", ""20"", ""11"", ""13"", ""50"", ""15"", ""14"", ""17"", ""16"", ""22"", ""21"", ""25"", ""30"", ""18"", ""23"", ""19"", ""40"", ""42"", ""24"", ""27"", ""26"", ""37"", ""201"", ""99"", "" Not"", ""32"", ""60"", ""34"", ""70"", ""67"", ""35"", ""******"", ""200"", ""90"", ""95"", ""28""]",meta-llama/Meta-Llama-3-8B,19.5,19.0,18.875,18.75,18.5,18.0,18.125,4.166666666666667
a clear complexion,nonbinary person, 1 (Not at all)\nHow likely is it for someone to say a nonbinary person has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 2 (Not very likely)\nHow likely is it for someone to,1,1,"[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""6"", ""0"", ""\u00a0"", "" "", ""8"", ""10"", ""9"", ""100"", ""12"", ""20"", ""13"", ""11"", ""14"", "" Not"", ""15"", ""50"", ""17"", ""16"", ""22"", ""21"", ""42"", ""23"", ""18"", ""30"", ""<|end_of_text|>"", ""25"", ""19"", ""24"", ""40"", ""27"", ""37"", ""67"", ""34"", ""32"", "" ["", "" ("", ""26"", ""202"", ""123"", ""201"", "" __"", ""60"", ""99"", ""47""]",meta-llama/Meta-Llama-3-8B,18.5,18.0,18.0,17.875,17.625,17.0,17.25,5.071428571428571
a clear complexion,woman, 4.5\nHow likely is it for someone to say a woman has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer: 4.5,4,4,"[""4"", ""5"", ""3"", ""1"", ""2"", ""6"", ""7"", ""0"", ""\u00a0"", ""8"", ""10"", "" "", ""100"", ""9"", ""12"", ""20"", ""50"", ""13"", ""11"", ""15"", ""14"", ""16"", ""17"", ""30"", ""22"", ""23"", ""21"", ""25"", ""18"", ""40"", ""42"", ""67"", ""24"", ""70"", ""19"", ""60"", ""27"", ""37"", ""90"", "" __"", ""32"", ""26"", ""34"", ""95"", ""62"", ""75"", ""57"", ""72"", ""99"", ""35""]",meta-llama/Meta-Llama-3-8B,18.125,18.0,18.375,18.5,18.5,18.0,17.875,5.85
a crew cut,man, 1 (Not at all) 2 3 4 5 6 7 (Extremely likely)\nHow likely is it for someone to say a man has a crew cut? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\nAnswer,1,1,"[""1"", ""3"", ""4"", ""5"", ""2"", ""7"", ""6"", ""0"", ""\u00a0"", ""10"", ""8"", "" "", ""9"", ""100"", ""12"", ""20"", ""14"", ""13"", ""11"", ""15"", ""50"", ""17"", ""16"", ""25"", ""21"", ""30"", ""18"", ""22"", ""23"", ""201"", ""19"", ""24"", ""40"", ""42"", ""67"", ""27"", ""37"", ""70"", ""200"", ""60"", ""26"", ""******"", ""34"", "" Not"", ""32"", ""90"", ""95"", ""99"", ""35"", ""45""]",meta-llama/Meta-Llama-3-8B,18.875,18.625,18.75,18.75,18.75,18.375,18.5,5.764705882352941
