source_novel,attribute,text,question_context,text_id,attribute_text_id,physical attribute,contextually well-formed,character gender,remarks (optional)
gameofthrones1,red face,"“You keep swearing you’ll pay what you owe me, and I’ve yet to see a copper.” The common room erupted in laughter, and the man with the yellow hair turned red.",How likely is it for someone to say a woman/man/non-binary person has red face?,68,46.0,,,,
gameofthrones1,large eyes,"Once we’re done with Stannis, you’ll have another manse, and silks as soft as your hands.”  Shae’s eyes had grown large but he could not read what lay behind them.",How likely is it for someone to say a woman/man/non-binary person has large eyes?,348,214.0,,,,
gameofthrones1,heavy-lidded eyes,"“I would sooner be up, though the world be dark, than lie restless abed, fretting on tasks undone,” he said—though his heavy-lidded eyes made him look half-asleep as he said it.",How likely is it for someone to say a woman/man/non-binary person has heavy-lidded eyes?,157,94.0,,,,
gameofthrones1,a weary arm,"When her arm grew weary, she sat with her legs over a high limb to catch her breath in the cool dark air, listening to the squeak of bats as they hunted.",How likely is it for someone to say a woman/man/non-binary person has a weary arm?,368,225.0,,,,
gameofthrones1,a bushy mustache,"Arya caught glimpses of him, but always from afar—once walking the walls in the company of three maesters and the fat captive with the bushy mustache, once riding out with his lords bannermen to visit the encampments, but most often standing in an arch of the covered gallery watching men at practice in the yard below.",How likely is it for someone to say a woman/man/non-binary person has a bushy mustache?,260,159.0,,,,
gameofthrones1,a tall lord,"A tall lord with copper skin and silver-gold hair stood beneath the banner of a fiery stallion, a burning city behind him.",How likely is it for someone to say a woman/man/non-binary person has a tall lord?,383,236.0,,,,
gameofthrones1,smooth skin,"but her skin was smooth and white, unblemished, pale as cream.",How likely is it for someone to say a woman/man/non-binary person has smooth skin?,23,15.0,,,,
gameofthrones1,a graceful figure,"Slender she was, graceful, taller than most knights, with full breasts and narrow waist and a heart-shaped face.",How likely is it for someone to say a woman/man/non-binary person has a graceful figure?,24,16.0,,,,
gameofthrones1,coarse features,"her features were broad and coarse, her teeth prominent and crooked, her mouth too wide, her lips so plump they seemed swollen.",How likely is it for someone to say a woman/man/non-binary person has coarse features?,199,116.0,,,,
gameofthrones1,stringy brown locks,"Instead he had inherited the stringy brown locks, weak chin, and thin face of his sire, Ser Emmon Frey, old Lord Walder’s second son.",How likely is it for someone to say a woman/man/non-binary person has stringy brown locks?,89,57.0,,,,
gameofthrones1,a blue as dark as the sea,"His eyes were open wounds beneath his heavy brows, a blue as dark as the sea by night.",How likely is it for someone to say a woman/man/non-binary person has a blue as dark as the sea?,13,9.0,,,,
gameofthrones1,squat stature,"He was squat and thick, with huge hands.",How likely is it for someone to say a woman/man/non-binary person has squat stature?,69,47.0,,,,
gameofthrones1,a fringe of thin black hair,"Though he was not yet five-and-thirty, only a fringe of thin black hair remained on his head, circling behind his ears like the shadow of a crown.",How likely is it for someone to say a woman/man/non-binary person has a fringe of thin black hair?,12,8.0,,,,
