text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The woman kissed his eyes, and with thin, small hands felt the warm body through his white flannel nightgown.",thin hands,male,female,"The text refers to 'the woman', which explicitly suggests the person's gender as female.",False,True,"original_sentence='The woman kissed his eyes, and with thin, small hands felt the warm body through his white flannel nightgown.' physical_attributes=[PhysicalAttribute(attribute='thin hands', gender='female', reasoning=""The text refers to 'the woman', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='small hands', gender='female', reasoning=""The text refers to 'the woman', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='warm body', gender='unknown', reasoning=""The attribute 'warm body' does not provide any specific gender information; it is contextual and does not directly relate to a specific individual.""), PhysicalAttribute(attribute='his eyes', gender='male', reasoning=""The use of 'his' indicates the person referred to has male gender characteristics."")]",thin hands,thin hands
0,0.0,"The woman kissed his eyes, and with thin, small hands felt the warm body through his white flannel nightgown.",small hands,male,female,"The text refers to 'the woman', which explicitly suggests the person's gender as female.",False,True,"original_sentence='The woman kissed his eyes, and with thin, small hands felt the warm body through his white flannel nightgown.' physical_attributes=[PhysicalAttribute(attribute='thin hands', gender='female', reasoning=""The text refers to 'the woman', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='small hands', gender='female', reasoning=""The text refers to 'the woman', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='warm body', gender='unknown', reasoning=""The attribute 'warm body' does not provide any specific gender information; it is contextual and does not directly relate to a specific individual.""), PhysicalAttribute(attribute='his eyes', gender='male', reasoning=""The use of 'his' indicates the person referred to has male gender characteristics."")]",small hands,small hands
0,0.0,"The woman kissed his eyes, and with thin, small hands felt the warm body through his white flannel nightgown.",warm body,male,unknown,The attribute 'warm body' does not provide any specific gender information; it is contextual and does not directly relate to a specific individual.,False,False,"original_sentence='The woman kissed his eyes, and with thin, small hands felt the warm body through his white flannel nightgown.' physical_attributes=[PhysicalAttribute(attribute='thin hands', gender='female', reasoning=""The text refers to 'the woman', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='small hands', gender='female', reasoning=""The text refers to 'the woman', which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='warm body', gender='unknown', reasoning=""The attribute 'warm body' does not provide any specific gender information; it is contextual and does not directly relate to a specific individual.""), PhysicalAttribute(attribute='his eyes', gender='male', reasoning=""The use of 'his' indicates the person referred to has male gender characteristics."")]",warm body,warm body
1,,"He was very happy in the large, warm bed, with those soft arms about him.",,male,,,False,False,"original_sentence='He was very happy in the large, warm bed, with those soft arms about him.' physical_attributes=[]",,
2,1.0,"Knowing she would not be allowed to keep the child much longer, the woman kissed him again; and she passed her hand down his body till she came to his feet; she held the right foot in her hand and felt the five small toes; and then slowly passed her hand over the left one.",five small toes,evidence for both,unknown,"The attribute describes 'toes' without reference to a specific gender. The context mentions 'the woman' and 'him', but there are no clear indicators to assign a gender to the specific attribute.",False,False,"original_sentence='Knowing she would not be allowed to keep the child much longer, the woman kissed him again; and she passed her hand down his body till she came to his feet; she held the right foot in her hand and felt the five small toes; and then slowly passed her hand over the left one.' physical_attributes=[PhysicalAttribute(attribute='five small toes', gender='unknown', reasoning=""The attribute describes 'toes' without reference to a specific gender. The context mentions 'the woman' and 'him', but there are no clear indicators to assign a gender to the specific attribute."")]",five small toes,five small toes
3,,"Her gown was of black velvet, with tight sleeves and sloping shoulders, and the skirt had three large flounces.",,female,,,False,False,"original_sentence='Her gown was of black velvet, with tight sleeves and sloping shoulders, and the skirt had three large flounces.' physical_attributes=[]",,
4,2.0,"Emma was a tall, big-boned woman, with fair hair and large features.",fair hair,unknown,female,The term 'woman' explicitly indicates the gender as female.,False,True,"original_sentence='Emma was a tall, big-boned woman, with fair hair and large features.' physical_attributes=[PhysicalAttribute(attribute='a tall woman', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female.""), PhysicalAttribute(attribute='big-boned woman', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female.""), PhysicalAttribute(attribute='fair hair', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female.""), PhysicalAttribute(attribute='large features', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female."")]",fair hair,fair hair
4,2.0,"Emma was a tall, big-boned woman, with fair hair and large features.",large features,unknown,female,The term 'woman' explicitly indicates the gender as female.,False,True,"original_sentence='Emma was a tall, big-boned woman, with fair hair and large features.' physical_attributes=[PhysicalAttribute(attribute='a tall woman', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female.""), PhysicalAttribute(attribute='big-boned woman', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female.""), PhysicalAttribute(attribute='fair hair', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female.""), PhysicalAttribute(attribute='large features', gender='female', reasoning=""The term 'woman' explicitly indicates the gender as female."")]",large features,large features
5,3.0,"Henrietta Watkin was a stout woman, with a red face and dyed hair.",a red face,unknown,female,"The description 'a red face' follows the identification of 'Henrietta Watkin' as a 'woman', confirming the person's gender as female.",False,True,"original_sentence='Henrietta Watkin was a stout woman, with a red face and dyed hair.' physical_attributes=[PhysicalAttribute(attribute='a stout woman', gender='female', reasoning=""The text explicitly refers to 'Henrietta Watkin' as a 'stout woman', indicating the person's gender as female.""), PhysicalAttribute(attribute='a red face', gender='female', reasoning=""The description 'a red face' follows the identification of 'Henrietta Watkin' as a 'woman', confirming the person's gender as female.""), PhysicalAttribute(attribute='dyed hair', gender='female', reasoning=""The description is linked to 'Henrietta Watkin', who is identified as a 'woman', hence indicating the gender as female."")]",a red face,a red face
5,3.0,"Henrietta Watkin was a stout woman, with a red face and dyed hair.",dyed hair,unknown,female,"The description is linked to 'Henrietta Watkin', who is identified as a 'woman', hence indicating the gender as female.",False,False,"original_sentence='Henrietta Watkin was a stout woman, with a red face and dyed hair.' physical_attributes=[PhysicalAttribute(attribute='a stout woman', gender='female', reasoning=""The text explicitly refers to 'Henrietta Watkin' as a 'stout woman', indicating the person's gender as female.""), PhysicalAttribute(attribute='a red face', gender='female', reasoning=""The description 'a red face' follows the identification of 'Henrietta Watkin' as a 'woman', confirming the person's gender as female.""), PhysicalAttribute(attribute='dyed hair', gender='female', reasoning=""The description is linked to 'Henrietta Watkin', who is identified as a 'woman', hence indicating the gender as female."")]",dyed hair,dyed hair
