text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"The rural opinion about the new young ladies, even among the cottagers, was generally in favor of Celia, as being so amiable and innocent-looking, while Miss Brooke's large eyes seemed, like her religion, too unusual and striking.",large eyes,female,female,"The text refers to 'Miss Brooke', which is an indication of a female character, thus explicitly suggesting the person's gender.",True,True,"original_sentence=""The rural opinion about the new young ladies, even among the cottagers, was generally in favor of Celia, as being so amiable and innocent-looking, while Miss Brooke's large eyes seemed, like her religion, too unusual and striking."" physical_attributes=[PhysicalAttribute(attribute='large eyes', gender='female', reasoning=""The text refers to 'Miss Brooke', which is an indication of a female character, thus explicitly suggesting the person's gender."")]",large eyes,large eyes
1,,"She had her pencil in her hand, and was making tiny side-plans on a margin.",,female,,,False,False,"original_sentence='She had her pencil in her hand, and was making tiny side-plans on a margin.' physical_attributes=[]",,
2,,"""It would be a little tight for your neck; something to lie down and hang would suit you better,"" she said, with some satisfaction.",,female,,,False,False,"original_sentence='""It would be a little tight for your neck; something to lie down and hang would suit you better,"" she said, with some satisfaction.' physical_attributes=[]",,
3,,"""You _would_ like those, Dorothea,"" said Celia, rather falteringly, beginning to think with wonder that her sister showed some weakness, and also that emeralds would suit her own complexion even better than purple amethysts.",,female,,,False,False,"original_sentence='""You _would_ like those, Dorothea,"" said Celia, rather falteringly, beginning to think with wonder that her sister showed some weakness, and also that emeralds would suit her own complexion even better than purple amethysts.' physical_attributes=[]",,
4,1.0,He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam.,a spare form,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('a spare form'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam.' physical_attributes=[PhysicalAttribute(attribute='a spare form', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a spare form'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pale complexion', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a pale complexion'), explicitly suggesting the person's gender as male."")]",a spare form,a spare form
4,1.0,He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam.,a pale complexion,male,male,"The text uses the pronoun 'He' to refer to the person with the current attribute ('a pale complexion'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam.' physical_attributes=[PhysicalAttribute(attribute='a spare form', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a spare form'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a pale complexion', gender='male', reasoning=""The text uses the pronoun 'He' to refer to the person with the current attribute ('a pale complexion'), explicitly suggesting the person's gender as male."")]",a pale complexion,a pale complexion
5,2.0,"She would perhaps be hardly characterized enough if it were omitted that she wore her brown hair flatly braided and coiled behind so as to expose the outline of her head in a daring manner at a time when public feeling required the meagreness of nature to be dissimulated by tall barricades of frizzed curls and bows, never surpassed by any great race except the Feejeean.",brown hair,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('brown hair'), which explicitly suggests the person's gender as female.",True,True,"original_sentence='She would perhaps be hardly characterized enough if it were omitted that she wore her brown hair flatly braided and coiled behind so as to expose the outline of her head in a daring manner at a time when public feeling required the meagreness of nature to be dissimulated by tall barricades of frizzed curls and bows, never surpassed by any great race except the Feejeean.' physical_attributes=[PhysicalAttribute(attribute='brown hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('brown hair'), which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='a coiled head', gender='female', reasoning=""The attribute is described in relation to 'her' which identifies the gender as female.""), PhysicalAttribute(attribute='an outline of her head', gender='female', reasoning=""The text describes the outline in relation to 'her', indicating the person's gender as female."")]",brown hair,brown hair
5,2.0,"She would perhaps be hardly characterized enough if it were omitted that she wore her brown hair flatly braided and coiled behind so as to expose the outline of her head in a daring manner at a time when public feeling required the meagreness of nature to be dissimulated by tall barricades of frizzed curls and bows, never surpassed by any great race except the Feejeean.",a coiled head,female,female,The attribute is described in relation to 'her' which identifies the gender as female.,True,True,"original_sentence='She would perhaps be hardly characterized enough if it were omitted that she wore her brown hair flatly braided and coiled behind so as to expose the outline of her head in a daring manner at a time when public feeling required the meagreness of nature to be dissimulated by tall barricades of frizzed curls and bows, never surpassed by any great race except the Feejeean.' physical_attributes=[PhysicalAttribute(attribute='brown hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('brown hair'), which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='a coiled head', gender='female', reasoning=""The attribute is described in relation to 'her' which identifies the gender as female.""), PhysicalAttribute(attribute='an outline of her head', gender='female', reasoning=""The text describes the outline in relation to 'her', indicating the person's gender as female."")]",a coiled head,a coiled head
5,2.0,"She would perhaps be hardly characterized enough if it were omitted that she wore her brown hair flatly braided and coiled behind so as to expose the outline of her head in a daring manner at a time when public feeling required the meagreness of nature to be dissimulated by tall barricades of frizzed curls and bows, never surpassed by any great race except the Feejeean.",an outline of a head,female,female,"The text describes the outline in relation to 'her', indicating the person's gender as female.",True,False,"original_sentence='She would perhaps be hardly characterized enough if it were omitted that she wore her brown hair flatly braided and coiled behind so as to expose the outline of her head in a daring manner at a time when public feeling required the meagreness of nature to be dissimulated by tall barricades of frizzed curls and bows, never surpassed by any great race except the Feejeean.' physical_attributes=[PhysicalAttribute(attribute='brown hair', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('brown hair'), which explicitly suggests the person's gender as female.""), PhysicalAttribute(attribute='a coiled head', gender='female', reasoning=""The attribute is described in relation to 'her' which identifies the gender as female.""), PhysicalAttribute(attribute='an outline of her head', gender='female', reasoning=""The text describes the outline in relation to 'her', indicating the person's gender as female."")]",an outline of her head,an outline of a head
6,3.0,"But there was nothing of an ascetic's expression in her bright full eyes, as she looked before her, not consciously seeing, but absorbing into the intensity of her mood, the solemn glory of the afternoon with its long swathes of light between the far-off rows of limes, whose shadows touched each other.",bright full eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('bright full eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence=""But there was nothing of an ascetic's expression in her bright full eyes, as she looked before her, not consciously seeing, but absorbing into the intensity of her mood, the solemn glory of the afternoon with its long swathes of light between the far-off rows of limes, whose shadows touched each other."" physical_attributes=[PhysicalAttribute(attribute='bright full eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('bright full eyes'), explicitly suggesting the person's gender as female."")]",bright full eyes,bright full eyes
