model,dataset,m1_n,m1_rmse,m1_pearson_r,m1_pearson_p,m1_pearson_r_lo,m1_pearson_r_hi,m1_spearman_r,m1_spearman_p,m1_invalid,m1_pct_invalid,m2_n,m2_rmse,m2_pearson_r,m2_pearson_p,m2_spearman_r,m2_spearman_p,m2_invalid,m2_pct_invalid,agreement
Meta-Llama-3-8B,combined_llm,126,2.7977275242569433,0.5527093529690875,1.943121943661455e-11,,,0.521176031594553,3.9318607535268686e-10,0,0.0,126.0,2.7977275242569433,0.5527093529690875,1.943121943661455e-11,0.521176031594553,3.9318607535268686e-10,0,0.0,1.0
Meta-Llama-3-8B,eval_novel,288,2.9202756772732545,0.5078009459491925,2.771857984897157e-20,,,0.4852507449500384,2.0333037339639133e-18,0,0.0,288.0,2.9202756772732545,0.5078009459491925,2.771857984897157e-20,0.4852507449500384,2.0333037339639133e-18,0,0.0,1.0
Meta-Llama-3-8B,eval_human,150,2.8510309960145155,0.4772324603832291,6.638571465758925e-10,,,0.4580501303828648,3.7757110066213085e-09,0,0.0,150.0,2.8510309960145155,0.4772324603832291,6.638571465758925e-10,0.4580501303828648,3.7757110066213085e-09,0,0.0,1.0
Meta-Llama-3-8B,all,564,2.8749223676969375,0.5057893194263441,5.777613308834617e-38,,,0.4861142693105922,8.666797916244935e-35,0,0.0,564.0,2.8749223676969375,0.5057893194263441,5.777613308834617e-38,0.4861142693105922,8.666797916244935e-35,0,0.0,1.0
Meta-Llama-3-8B-Instruct,combined_llm,126,1.8905728961942252,0.4099362516346295,1.8710001022560362e-06,,,0.3768272298613389,1.3666487820331248e-05,0,0.0,126.0,1.8905728961942252,0.4099362516346295,1.8710001022560362e-06,0.3768272298613389,1.3666487820331248e-05,0,0.0,1.0
Meta-Llama-3-8B-Instruct,eval_novel,288,1.988349357946879,0.469026762592143,3.695061905204738e-17,,,0.4502621986700465,8.775558006732527e-16,0,0.0,288.0,1.988349357946879,0.469026762592143,3.695061905204738e-17,0.4502621986700465,8.775558006732527e-16,0,0.0,1.0
Meta-Llama-3-8B-Instruct,eval_human,150,1.7588366984093842,0.467841017995567,1.5757983837328979e-09,,,0.45906936715428703,3.4518192735145064e-09,0,0.0,150.0,1.7588366984093842,0.467841017995567,1.5757983837328979e-09,0.45906936715428703,3.4518192735145064e-09,0,0.0,1.0
Meta-Llama-3-8B-Instruct,all,564,1.9078974692777675,0.4588417409653721,1.029910027063834e-30,,,0.43924945402696025,5.2665676617115975e-28,0,0.0,564.0,1.9078974692777675,0.4588417409653721,1.029910027063834e-30,0.43924945402696025,5.2665676617115975e-28,0,0.0,1.0
Mistral-7B-v0.3,combined_llm,126,2.745564626983094,0.39139330436854836,5.850246622410736e-06,,,0.3185052137902712,0.0002782911498428708,0,0.0,126.0,3.362347191772597,0.18456915012533529,0.03855115592828374,0.11806717130507831,0.18793821200412786,0,0.0,0.6111111111111112
Mistral-7B-v0.3,eval_novel,288,2.4343707290103787,0.3132159480193137,5.6491789067146693e-08,,,0.3055141842242582,1.2285434024770082e-07,0,0.0,288.0,3.231660618683713,0.14087475771575436,0.016744578488076776,0.18481823452729865,0.0016326527806752316,0,0.0,0.5138888888888888
Mistral-7B-v0.3,eval_human,150,2.2672034487303043,0.483308956260296,3.741489348302651e-10,,,0.46099950959770436,2.9102855908888964e-09,0,0.0,150.0,3.268702270025686,0.2042232661874061,0.012184072735692693,0.1938069986262169,0.017484322093616014,0,0.0,0.4866666666666667
Mistral-7B-v0.3,all,564,2.465208193505538,0.3690677808309624,1.2177843080092658e-19,,,0.34466711567235075,3.5522896704423686e-17,0,0.0,564.0,3.2711140201074267,0.16922535444452239,5.364975546722136e-05,0.17389624034804535,3.2911844169973626e-05,0,0.0,0.5283687943262412
Mistral-7B-Instruct-v0.3,combined_llm,126,1.6984248980396064,0.5381834569628092,8.071475762049633e-11,,,0.5316708906793152,1.4955104896486113e-10,0,0.0,116.0,1.74130143156606,0.5771078410062626,1.1947113590335022e-11,0.5622634411960363,5.104597581492098e-11,10,0.07936507936507936,0.7758620689655172
Mistral-7B-Instruct-v0.3,eval_novel,288,1.8744430176026274,0.5569986418847352,7.200675987583499e-25,,,0.5423817679738893,1.9903983321607013e-23,0,0.0,264.0,1.9563113224576174,0.571755515530684,2.5697898913568626e-24,0.5647786933428569,1.2061871400674555e-23,24,0.08333333333333333,0.8143939393939394
Mistral-7B-Instruct-v0.3,eval_human,150,1.6845271515399043,0.6365916039092834,2.036449777834018e-18,,,0.6048905970992214,2.452242707755149e-16,0,0.0,141.0,1.632768947111062,0.687780298914417,4.4903683771261006e-21,0.6720376474079033,7.310757138368509e-20,9,0.06,0.7375886524822695
Mistral-7B-Instruct-v0.3,all,564,1.786974564899711,0.5767984818040466,2.507274134372441e-51,,,0.5598960900666062,7.516278094594638e-48,0,0.0,521.0,1.826438678908974,0.6057157401224508,1.7539601654385893e-53,0.5955756114065022,2.5064465960971277e-51,43,0.07624113475177305,0.7850287907869482
OLMo2-7B-1124,combined_llm,126,2.2308516660937636,0.5089749604763768,1.1614694825389381e-09,,,0.5163894415757737,6.044539077381653e-10,0,0.0,126.0,2.2308516660937636,0.5089749604763768,1.1614694825389381e-09,0.5163894415757737,6.044539077381653e-10,0,0.0,1.0
OLMo2-7B-1124,eval_novel,288,2.2887121836198214,0.5695358215871822,3.656364569637205e-26,,,0.5786855994523137,3.827967384175951e-27,0,0.0,288.0,2.2887121836198214,0.5695358215871822,3.656364569637205e-26,0.5786855994523137,3.827967384175951e-27,0,0.0,1.0
OLMo2-7B-1124,eval_human,150,2.207257885875431,0.5366398910619217,1.4582065804204014e-12,,,0.5295836336501348,3.2145538492638473e-12,0,0.0,150.0,2.207257885875431,0.5366398910619217,1.4582065804204014e-12,0.5295836336501348,3.2145538492638473e-12,0,0.0,1.0
OLMo2-7B-1124,all,564,2.2544144229568053,0.550065478490734,6.427281575528185e-46,,,0.5534648161559365,1.4034879348936739e-46,0,0.0,564.0,2.2544144229568053,0.550065478490734,6.427281575528185e-46,0.5534648161559365,1.4034879348936739e-46,0,0.0,1.0
OLMo-2-1124-7B-DPO,combined_llm,126,1.464729155775799,0.38547703904596886,8.297758461580217e-06,,,0.38995414439683845,6.373341057324857e-06,0,0.0,126.0,1.464729155775799,0.38547703904596886,8.297758461580217e-06,0.38995414439683845,6.373341057324857e-06,0,0.0,1.0
OLMo-2-1124-7B-DPO,eval_novel,288,1.5045785599768051,0.5233855944197212,1.175867551796386e-21,,,0.5295152889546274,3.242768951688607e-22,0,0.0,288.0,1.5045785599768051,0.5233855944197212,1.175867551796386e-21,0.5295152889546274,3.242768951688607e-22,0,0.0,1.0
OLMo-2-1124-7B-DPO,eval_human,150,1.3913241636111726,0.5519796077050853,2.4511889694734164e-13,,,0.5493676419337294,3.342250280565907e-13,0,0.0,150.0,1.3913241636111726,0.5519796077050853,2.4511889694734164e-13,0.5493676419337294,3.342250280565907e-13,0,0.0,1.0
OLMo-2-1124-7B-DPO,all,564,1.466320309744813,0.5097509304811259,1.2498556010109137e-38,,,0.508266036223033,2.2238037718307225e-38,0,0.0,564.0,1.466320309744813,0.5097509304811259,1.2498556010109137e-38,0.508266036223033,2.2238037718307225e-38,0,0.0,1.0
OLMo-2-1124-7B-SFT,combined_llm,126,1.445848789609349,0.4432751596707786,2.013390263818976e-07,,,0.42976674432017553,5.113698386953093e-07,0,0.0,126.0,1.445848789609349,0.4432751596707786,2.013390263818976e-07,0.42976674432017553,5.113698386953093e-07,0,0.0,1.0
OLMo-2-1124-7B-SFT,eval_novel,288,1.5499027588463021,0.4403000103776165,4.36465487897874e-15,,,0.4337496386858895,1.2183054443474068e-14,0,0.0,288.0,1.5499027588463021,0.4403000103776165,4.36465487897874e-15,0.4337496386858895,1.2183054443474068e-14,0,0.0,1.0
OLMo-2-1124-7B-SFT,eval_human,150,1.465794730772195,0.45476523855847373,5.031143776405046e-09,,,0.45943589028530923,3.3420266006064157e-09,0,0.0,150.0,1.465794730772195,0.45476523855847373,5.031143776405046e-09,0.45943589028530923,3.3420266006064157e-09,0,0.0,1.0
OLMo-2-1124-7B-SFT,all,564,1.505025054431694,0.4485900178815881,2.8318866313597077e-29,,,0.44387255886090204,1.2535233716497794e-28,0,0.0,564.0,1.505025054431694,0.4485900178815881,2.8318866313597077e-29,0.44387255886090204,1.2535233716497794e-28,0,0.0,1.0
Qwen2.5-14B,combined_llm,126,1.348253189095221,0.6333663402238559,1.7429421611971062e-15,,,0.646990247791542,2.731561497732374e-16,0,0.0,126.0,1.348253189095221,0.6333663402238559,1.7429421611971062e-15,0.646990247791542,2.731561497732374e-16,0,0.0,1.0
Qwen2.5-14B,eval_novel,288,1.4962024023637628,0.6738353681560802,1.8006219547812603e-39,,,0.6820843274496985,9.218501642746201e-41,0,0.0,288.0,1.4962024023637628,0.6738353681560802,1.8006219547812603e-39,0.6820843274496985,9.218501642746201e-41,0,0.0,1.0
Qwen2.5-14B,eval_human,150,1.2985936993384635,0.7293907398941777,3.532256078796298e-26,,,0.7152251061251934,8.546715503682162e-25,0,0.0,150.0,1.2985936993384635,0.7293907398941777,3.532256078796298e-26,0.7152251061251934,8.546715503682162e-25,0,0.0,1.0
Qwen2.5-14B,all,564,1.413408427455199,0.678151113751827,3.3296371640514985e-77,,,0.6783299704836065,2.933948677158872e-77,0,0.0,564.0,1.413408427455199,0.678151113751827,3.3296371640514985e-77,0.6783299704836065,2.933948677158872e-77,0,0.0,1.0
Qwen2.5-14B-Instruct,combined_llm,123,0.900877154697926,0.5772204380019649,2.779010306879819e-12,,,0.5423707909429514,9.1993382240711e-11,3,0.023809523809523808,119.0,0.896407012027064,0.58694241964311,2.296577977299283e-12,0.5480987661068556,1.1045963636863928e-10,7,0.05555555555555555,1.0
Qwen2.5-14B-Instruct,eval_novel,282,1.1282824490082666,0.6300321703756196,1.338814865042593e-32,,,0.6200710946395263,2.377921576955374e-31,6,0.020833333333333332,277.0,1.1019123982134549,0.639658776504368,2.8214104256476988e-33,0.6308968027167154,3.724305918183245e-32,11,0.03819444444444445,1.0
