text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"The strangest figures we saw were the Slovaks, who were more barbarian than the rest, with their big cow-boy hats, great baggy dirty-white trousers, white linen shirts, and enormous heavy leather belts, nearly a foot wide, all studded over with brass nails.",,unknown,,,False,False,"original_sentence='The strangest figures we saw were the Slovaks, who were more barbarian than the rest, with their big cow-boy hats, great baggy dirty-white trousers, white linen shirts, and enormous heavy leather belts, nearly a foot wide, all studded over with brass nails.' physical_attributes=[]",,
1,0.0,"They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches.",long black hair,unknown,unknown,"The text describes 'they' without any distinct mention of gender, leaving the gender of the person with 'long black hair' uncertain.",True,False,"original_sentence='They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches.' physical_attributes=[PhysicalAttribute(attribute='long black hair', gender='unknown', reasoning=""The text describes 'they' without any distinct mention of gender, leaving the gender of the person with 'long black hair' uncertain.""), PhysicalAttribute(attribute='heavy black moustaches', gender='unknown', reasoning=""The text describes 'they' without any distinct mention of gender, leaving the gender of the person with 'heavy black moustaches' uncertain."")]",long black hair,long black hair
1,0.0,"They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches.",heavy black moustaches,unknown,unknown,"The text describes 'they' without any distinct mention of gender, leaving the gender of the person with 'heavy black moustaches' uncertain.",True,False,"original_sentence='They wore high boots, with their trousers tucked into them, and had long black hair and heavy black moustaches.' physical_attributes=[PhysicalAttribute(attribute='long black hair', gender='unknown', reasoning=""The text describes 'they' without any distinct mention of gender, leaving the gender of the person with 'long black hair' uncertain.""), PhysicalAttribute(attribute='heavy black moustaches', gender='unknown', reasoning=""The text describes 'they' without any distinct mention of gender, leaving the gender of the person with 'heavy black moustaches' uncertain."")]",heavy black moustaches,heavy black moustaches
2,,"I am writing up this part of the diary whilst I am waiting for the coach, which is, of course, late; and the crucifix is still round my neck.",,unknown,,,False,False,"original_sentence='I am writing up this part of the diary whilst I am waiting for the coach, which is, of course, late; and the crucifix is still round my neck.' physical_attributes=[]",,
3,1.0,"They were driven by a tall man, with a long brown beard and a great black hat, which seemed to hide his face from us.",a long brown beard,male,male,"The presence of 'a long brown beard' is commonly associated with male characteristics, confirming the gender as male.",True,False,"original_sentence='They were driven by a tall man, with a long brown beard and a great black hat, which seemed to hide his face from us.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The description explicitly refers to 'a tall man', directly indicating the person's gender as male.""), PhysicalAttribute(attribute='a long brown beard', gender='male', reasoning=""The presence of 'a long brown beard' is commonly associated with male characteristics, confirming the gender as male."")]",a long brown beard,a long brown beard
4,2.0,"I could only see the gleam of a pair of very bright eyes, which seemed red in the lamplight, as he turned to us.",very bright eyes,male,male,"The pronoun 'he' refers to the person possessing these eyes, clearly indicating a male gender.",True,False,"original_sentence='I could only see the gleam of a pair of very bright eyes, which seemed red in the lamplight, as he turned to us.' physical_attributes=[PhysicalAttribute(attribute='very bright eyes', gender='male', reasoning=""The pronoun 'he' refers to the person possessing these eyes, clearly indicating a male gender.""), PhysicalAttribute(attribute='red eyes', gender='male', reasoning=""The pronoun 'he' refers to the person possessing these eyes, clearly indicating a male gender."")]",very bright eyes,very bright eyes
4,2.0,"I could only see the gleam of a pair of very bright eyes, which seemed red in the lamplight, as he turned to us.",red eyes,male,male,"The pronoun 'he' refers to the person possessing these eyes, clearly indicating a male gender.",True,True,"original_sentence='I could only see the gleam of a pair of very bright eyes, which seemed red in the lamplight, as he turned to us.' physical_attributes=[PhysicalAttribute(attribute='very bright eyes', gender='male', reasoning=""The pronoun 'he' refers to the person possessing these eyes, clearly indicating a male gender.""), PhysicalAttribute(attribute='red eyes', gender='male', reasoning=""The pronoun 'he' refers to the person possessing these eyes, clearly indicating a male gender."")]",red eyes,red eyes
5,3.0,"As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.",a hard-looking mouth,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a hard-looking mouth'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.' physical_attributes=[PhysicalAttribute(attribute='a hard-looking mouth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a hard-looking mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very red lips', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('very red lips'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sharp-looking teeth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('sharp-looking teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='teeth as white as ivory', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('teeth as white as ivory'), explicitly suggesting the person's gender as male."")]",a hard-looking mouth,a hard-looking mouth
5,3.0,"As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.",very red lips,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('very red lips'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.' physical_attributes=[PhysicalAttribute(attribute='a hard-looking mouth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a hard-looking mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very red lips', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('very red lips'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sharp-looking teeth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('sharp-looking teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='teeth as white as ivory', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('teeth as white as ivory'), explicitly suggesting the person's gender as male."")]",very red lips,very red lips
5,3.0,"As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.",sharp-looking teeth,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('sharp-looking teeth'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.' physical_attributes=[PhysicalAttribute(attribute='a hard-looking mouth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a hard-looking mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very red lips', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('very red lips'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sharp-looking teeth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('sharp-looking teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='teeth as white as ivory', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('teeth as white as ivory'), explicitly suggesting the person's gender as male."")]",sharp-looking teeth,sharp-looking teeth
5,3.0,"As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.",teeth as white as ivory,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('teeth as white as ivory'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='As he spoke he smiled, and the lamplight fell on a hard-looking mouth, with very red lips and sharp-looking teeth, as white as ivory.' physical_attributes=[PhysicalAttribute(attribute='a hard-looking mouth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a hard-looking mouth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='very red lips', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('very red lips'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='sharp-looking teeth', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('sharp-looking teeth'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='teeth as white as ivory', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('teeth as white as ivory'), explicitly suggesting the person's gender as male."")]",teeth as white as ivory,teeth as white as ivory
6,4.0,"I could not see any cause for it, for the howling of the wolves had ceased altogether; but just then the moon, sailing through the black clouds, appeared behind the jagged crest of a beetling, pine-clad rock, and by its light I saw around us a ring of wolves, with white teeth and lolling red tongues, with long, sinewy limbs and shaggy hair.",white teeth,unknown,unknown,The attribute describes teeth and does not provide any clue about the person's gender.,True,True,"original_sentence='I could not see any cause for it, for the howling of the wolves had ceased altogether; but just then the moon, sailing through the black clouds, appeared behind the jagged crest of a beetling, pine-clad rock, and by its light I saw around us a ring of wolves, with white teeth and lolling red tongues, with long, sinewy limbs and shaggy hair.' physical_attributes=[PhysicalAttribute(attribute='white teeth', gender='unknown', reasoning=""The attribute describes teeth and does not provide any clue about the person's gender.""), PhysicalAttribute(attribute='lolling red tongues', gender='unknown', reasoning=""The attribute describes tongues and does not provide any clue about the person's gender.""), PhysicalAttribute(attribute='long sinewy limbs', gender='unknown', reasoning=""The attribute describes limbs and does not provide any clue about the person's gender.""), PhysicalAttribute(attribute='shaggy hair', gender='unknown', reasoning=""The attribute describes hair and does not provide any clue about the person's gender."")]",white teeth,white teeth
6,4.0,"I could not see any cause for it, for the howling of the wolves had ceased altogether; but just then the moon, sailing through the black clouds, appeared behind the jagged crest of a beetling, pine-clad rock, and by its light I saw around us a ring of wolves, with white teeth and lolling red tongues, with long, sinewy limbs and shaggy hair.",lolling red tongues,unknown,unknown,The attribute describes tongues and does not provide any clue about the person's gender.,True,False,"original_sentence='I could not see any cause for it, for the howling of the wolves had ceased altogether; but just then the moon, sailing through the black clouds, appeared behind the jagged crest of a beetling, pine-clad rock, and by its light I saw around us a ring of wolves, with white teeth and lolling red tongues, with long, sinewy limbs and shaggy hair.' physical_attributes=[PhysicalAttribute(attribute='white teeth', gender='unknown', reasoning=""The attribute describes teeth and does not provide any clue about the person's gender.""), PhysicalAttribute(attribute='lolling red tongues', gender='unknown', reasoning=""The attribute describes tongues and does not provide any clue about the person's gender.""), PhysicalAttribute(attribute='long sinewy limbs', gender='unknown', reasoning=""The attribute describes limbs and does not provide any clue about the person's gender.""), PhysicalAttribute(attribute='shaggy hair', gender='unknown', reasoning=""The attribute describes hair and does not provide any clue about the person's gender."")]",lolling red tongues,lolling red tongues
