attribute,person_term,generation,method1_rating,method2_rating,topk_tokens,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man,\n\n### 1\n\nNot at all\n\n### 2\n\nVery unlikely\n\n### 3\n\nUnlikely\n\n### 4\n\nNeither likely nor unlikely\n\n### 5\n\nLikely\n\n### 6\n\nVery likely\n\n### 7,1,1,"[""\n"", """", ""_"", ""I"", ""Ext"", ""How"", ""___"", ""("", ""Not"", ""The"", ""__"", ""This"", ""?"", ""What"", ""A"", ""It"", "" "", ""-"", ""____"", ""If"", ""["", ""My"", ""1"", ""Answer"", ""Click"", ""Very"", ""Button"", ""</s>"", ""You"", ""."", ""On"", ""No"", ""Un"", ""In"", ""Number"", ""Question"", ""________________"", ""\u2014"", ""\"""", ""I"", ""N"", ""/"", ""________"", ""Most"", ""7"", ""__"", ""  "", ""___"", ""There"", ""3""]",mistralai/Mistral-7B-v0.3,7.3125,6.53125,6.5625,6.25,6.4375,5.6875,6.65625,3.7777777777777777
a button nose,nonbinary person,\n\n## 3\n\nHow likely is it for someone to say a nonbinary person has a button nose?\n\n## 3\n\nHow likely is it for someone to say a nonbinary person has a button nose?\n\n## 3\n\nHow likely is it for someone to say a,3,1,"[""\n"", """", ""_"", ""I"", ""___"", ""("", ""Ext"", ""__"", ""Not"", ""How"", ""["", ""This"", ""?"", ""The"", "" "", ""N"", ""____"", ""What"", ""-"", ""1"", ""."", ""#"", ""A"", ""None"", ""Question"", ""It"", ""/"", ""My"", ""Number"", ""Answer"", ""\u2014"", ""X"", ""\"""", ""No"", ""If"", ""</s>"", ""Click"", ""________"", ""3"", ""5"", ""Button"", ""x"", ""Very"", ""Un"", ""You"", ""%"", ""Enter"", ""________________"", ""7"", ""__""]",mistralai/Mistral-7B-v0.3,7.5,6.4375,6.71875,6.4375,6.71875,6.125,6.5625,3.806451612903226
a button nose,woman,\n\n### 1\n\nNot at all\n\n### 2\n\nVery unlikely\n\n### 3\n\nUnlikely\n\n### 4\n\nNeither likely nor unlikely\n\n### 5\n\nLikely\n\n### 6\n\nVery likely\n\n### 7,1,1,"[""\n"", """", ""_"", ""I"", ""Ext"", ""How"", ""___"", ""("", ""__"", ""Not"", ""The"", ""This"", ""What"", ""?"", ""A"", ""It"", "" "", ""["", ""____"", ""-"", ""If"", ""My"", ""Click"", ""Button"", ""Answer"", ""1"", ""Very"", ""</s>"", ""Question"", ""."", ""You"", ""Number"", ""N"", ""No"", ""/"", ""Un"", ""________________"", ""In"", ""On"", ""\u2014"", ""________"", ""\"""", ""__"", ""Most"", ""There"", ""___"", ""I"", ""#"", ""  "", ""None""]",mistralai/Mistral-7B-v0.3,7.1875,6.34375,6.40625,6.0625,6.28125,5.5,6.59375,5.176470588235294
a chiseled jawline,man,\n\n## 1\n\nNot at all\n\n## 2\n\nVery unlikely\n\n## 3\n\nUnlikely\n\n## 4\n\nNeither likely nor unlikely\n\n## 5\n\nLikely\n\n## 6\n\nVery likely\n\n## 7,1,7,"[""\n"", """", ""_"", ""___"", ""I"", ""__"", ""("", ""Ext"", ""How"", ""The"", ""?"", "" "", ""____"", ""A"", ""["", ""Not"", ""It"", ""What"", ""This"", ""If"", ""________"", ""\u2014"", ""-"", ""________________"", ""Very"", ""."", ""__"", ""You"", ""My"", ""Most"", ""___"", ""Ch"", ""In"", ""\u201c"", ""7"", ""X"", ""3"", ""\u2013"", ""Between"", ""5"", ""\\("", ""For"", ""1"", ""x"", ""When"", ""Probably"", ""  "", ""4"", ""On"", ""Your""]",mistralai/Mistral-7B-v0.3,7.1875,6.8125,7.3125,7.0625,7.25,6.4375,7.375,6.0
a chiseled jawline,nonbinary person,\n\n## 1\n\n### 2\n\n### 3\n\n### 4\n\n### 5\n\n### 6\n\n### 7\n\n### 8\n\n### 9\n\n### 10\n\n### 11\n\n### 12\n,1,1,"[""\n"", """", ""_"", ""___"", ""I"", ""__"", ""("", ""How"", ""["", ""Ext"", ""?"", ""Not"", ""____"", ""The"", ""This"", ""What"", "" "", ""-"", ""N"", ""1"", ""</s>"", ""#"", ""/"", ""."", ""________"", ""A"", ""X"", ""My"", ""x"", ""\u2014"", ""Number"", ""________________"", ""If"", ""It"", ""\\"", ""__"", ""\"""", ""___"", ""Question"", ""Answer"", ""None"", ""Enter"", ""*"", ""You"", ""\\("", ""--"", ""<"", ""No"", ""%"", ""Your""]",mistralai/Mistral-7B-v0.3,7.46875,6.21875,6.4375,6.125,6.375,5.6875,6.21875,3.769230769230769
a chiseled jawline,woman,"\n\n## 1\n\nA chiseled jawline is a feature that is typically associated with men. It is a sharp, angular jawline that is often seen as masculine and attractive. Women do not typically have chiseled jawlines, as they tend to have softer, more rounded features.",1,1,"[""\n"", """", ""_"", ""___"", ""I"", ""__"", ""("", ""Ext"", ""How"", ""The"", "" "", ""A"", ""?"", ""Not"", ""____"", ""["", ""It"", ""This"", ""If"", ""What"", ""________"", ""\u2014"", ""-"", ""Very"", ""."", ""__"", ""________________"", ""My"", ""You"", ""Most"", ""Ch"", ""___"", ""In"", ""1"", ""3"", ""X"", ""\u201c"", ""Between"", ""\\("", ""#"", ""  "", ""x"", ""On"", ""Probably"", ""N"", ""\u2013"", ""For"", ""Number"", ""2"", ""No""]",mistralai/Mistral-7B-v0.3,7.4375,7.09375,7.4375,6.9375,7.0,6.0625,6.78125,2.217391304347826
a clear complexion,man,\n\n## 1\n\nHow likely is it for someone to say a man has a clear complexion?\n\n## 2\n\nHow likely is it for someone to say a man has a clear complexion?\n\n## 3\n\nHow likely is it for someone to say a man has,1,1,"[""\n"", ""_"", """", ""I"", ""___"", ""("", ""__"", ""Ext"", ""How"", ""Not"", ""?"", ""The"", ""["", ""____"", "" "", ""This"", ""________"", ""________________"", ""What"", ""-"", ""</s>"", ""A"", ""It"", ""1"", ""My"", ""If"", ""/"", ""___"", ""N"", ""."", ""__"", ""Enter"", ""You"", ""Un"", ""  "", ""Very"", ""Number"", ""No"", ""\u2014"", ""Answer"", ""In"", ""7"", ""#"", ""Click"", ""Your"", ""Question"", ""5"", ""?"", ""x"", ""--""]",mistralai/Mistral-7B-v0.3,7.40625,6.46875,6.5625,6.25,6.625,5.96875,6.6875,4.166666666666667
a clear complexion,nonbinary person,\n\n## 1\n\nHow likely is it for someone to say a nonbinary person has a clear complexion?\n\n## 2\n\nHow likely is it for someone to say a nonbinary person has a clear complexion?\n\n## 3\n\nHow likely is it for someone to,1,1,"[""\n"", """", ""_"", ""I"", ""("", ""___"", ""__"", ""Not"", ""["", ""Ext"", ""How"", ""This"", ""N"", "" "", ""?"", ""The"", ""____"", ""</s>"", ""1"", ""/"", ""."", ""-"", ""#"", ""What"", ""Question"", ""None"", ""________"", ""________________"", ""Answer"", ""Number"", ""%"", ""A"", ""x"", ""No"", ""My"", ""Enter"", ""Un"", ""X"", ""It"", ""\"""", ""\\"", ""<"", ""\u2014"", ""*"", ""5"", ""__"", ""If"", ""3"", ""  "", ""___""]",mistralai/Mistral-7B-v0.3,7.5,6.21875,6.40625,6.15625,6.53125,6.03125,6.25,5.071428571428571
a clear complexion,woman,\n\n## 1\n\nHow likely is it for someone to say a woman has a clear complexion? Your answer should only be a single number between 1 (Not at all) and 7 (Extremely likely).\n\n## 2\n\nHow likely is it for someone to say a,1,1,"[""\n"", ""_"", """", ""I"", ""___"", ""("", ""__"", ""How"", ""Ext"", ""["", ""Not"", ""The"", "" "", ""?"", ""____"", ""This"", ""________"", ""________________"", ""What"", ""A"", ""</s>"", ""-"", ""/"", ""It"", ""My"", ""If"", ""1"", ""N"", ""."", ""Number"", ""___"", ""__"", ""  "", ""You"", ""Very"", ""Un"", ""No"", ""Your"", ""#"", ""\u2014"", ""Enter"", ""In"", ""Now"", ""Between"", ""Question"", ""x"", ""X"", ""For"", ""Click"", ""*""]",mistralai/Mistral-7B-v0.3,7.34375,6.15625,6.375,6.09375,6.5,5.78125,6.53125,5.85
a crew cut,man,\n\n### 1\n\nNot at all\n\n### 2\n\nVery unlikely\n\n### 3\n\nUnlikely\n\n### 4\n\nNeither likely nor unlikely\n\n### 5\n\nLikely\n\n### 6\n\nVery likely\n\n### 7,1,1,"[""\n"", """", ""_"", ""I"", ""Ext"", ""___"", ""How"", ""("", ""The"", ""__"", ""Not"", ""A"", ""This"", ""What"", ""It"", ""____"", "" "", ""["", ""?"", ""</s>"", ""-"", ""If"", ""Very"", ""My"", ""You"", ""________"", ""In"", ""1"", ""C"", ""\"""", ""#"", ""7"", ""No"", ""Most"", ""________________"", ""For"", ""There"", ""Un"", ""Number"", ""."", ""On"", ""Probably"", ""5"", ""a"", ""3"", ""__"", ""___"", ""Don"", ""Your"", ""Enter""]",mistralai/Mistral-7B-v0.3,7.03125,6.375,6.59375,6.34375,6.625,5.78125,6.875,5.764705882352941
