text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.",dark-complexioned skin,male,male,"The person is described as 'a tall, dark-complexioned man', which uses a masculine pronoun and explicitly identifies the person as male.",True,True,"original_sentence='He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The text explicitly states 'He was a tall, dark-complexioned man', using 'He' clearly suggests the person's gender as male.""), PhysicalAttribute(attribute='dark-complexioned skin', gender='male', reasoning=""The person is described as 'a tall, dark-complexioned man', which uses a masculine pronoun and explicitly identifies the person as male.""), PhysicalAttribute(attribute='shifty black eyes', gender='male', reasoning=""The modifier 'shifty black eyes' lends to the characterization of the subject identified as male from the sentence's context.""), PhysicalAttribute(attribute='thin lips', gender='male', reasoning=""The description 'thin lips' accompanies the masculine pronoun 'He', which indicates that the subject is male.""), PhysicalAttribute(attribute='a dark mustache', gender='male', reasoning=""The presence of a 'dark mustache' implies a male, and 'He' confirms the gender as male."")]",dark-complexioned skin,dark-complexioned skin
0,0.0,"He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.",shifty black eyes,male,male,The modifier 'shifty black eyes' lends to the characterization of the subject identified as male from the sentence's context.,True,False,"original_sentence='He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The text explicitly states 'He was a tall, dark-complexioned man', using 'He' clearly suggests the person's gender as male.""), PhysicalAttribute(attribute='dark-complexioned skin', gender='male', reasoning=""The person is described as 'a tall, dark-complexioned man', which uses a masculine pronoun and explicitly identifies the person as male.""), PhysicalAttribute(attribute='shifty black eyes', gender='male', reasoning=""The modifier 'shifty black eyes' lends to the characterization of the subject identified as male from the sentence's context.""), PhysicalAttribute(attribute='thin lips', gender='male', reasoning=""The description 'thin lips' accompanies the masculine pronoun 'He', which indicates that the subject is male.""), PhysicalAttribute(attribute='a dark mustache', gender='male', reasoning=""The presence of a 'dark mustache' implies a male, and 'He' confirms the gender as male."")]",shifty black eyes,shifty black eyes
0,0.0,"He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.",thin lips,male,male,"The description 'thin lips' accompanies the masculine pronoun 'He', which indicates that the subject is male.",True,True,"original_sentence='He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The text explicitly states 'He was a tall, dark-complexioned man', using 'He' clearly suggests the person's gender as male.""), PhysicalAttribute(attribute='dark-complexioned skin', gender='male', reasoning=""The person is described as 'a tall, dark-complexioned man', which uses a masculine pronoun and explicitly identifies the person as male.""), PhysicalAttribute(attribute='shifty black eyes', gender='male', reasoning=""The modifier 'shifty black eyes' lends to the characterization of the subject identified as male from the sentence's context.""), PhysicalAttribute(attribute='thin lips', gender='male', reasoning=""The description 'thin lips' accompanies the masculine pronoun 'He', which indicates that the subject is male.""), PhysicalAttribute(attribute='a dark mustache', gender='male', reasoning=""The presence of a 'dark mustache' implies a male, and 'He' confirms the gender as male."")]",thin lips,thin lips
0,0.0,"He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.",a dark mustache,male,male,"The presence of a 'dark mustache' implies a male, and 'He' confirms the gender as male.",True,False,"original_sentence='He was a tall, dark-complexioned man, of perhaps thirty-five, with shifty, black eyes and thin lips, shaded by a dark mustache.' physical_attributes=[PhysicalAttribute(attribute='a tall man', gender='male', reasoning=""The text explicitly states 'He was a tall, dark-complexioned man', using 'He' clearly suggests the person's gender as male.""), PhysicalAttribute(attribute='dark-complexioned skin', gender='male', reasoning=""The person is described as 'a tall, dark-complexioned man', which uses a masculine pronoun and explicitly identifies the person as male.""), PhysicalAttribute(attribute='shifty black eyes', gender='male', reasoning=""The modifier 'shifty black eyes' lends to the characterization of the subject identified as male from the sentence's context.""), PhysicalAttribute(attribute='thin lips', gender='male', reasoning=""The description 'thin lips' accompanies the masculine pronoun 'He', which indicates that the subject is male.""), PhysicalAttribute(attribute='a dark mustache', gender='male', reasoning=""The presence of a 'dark mustache' implies a male, and 'He' confirms the gender as male."")]",a dark mustache,a dark mustache
1,1.0,"He rises before me in his little velvet suit, as he was when I last saw him, with his sweet, boyish face, in which his mother's looks were reflected.""",a sweet boyish face,male,male,"The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet boyish face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence=""He rises before me in his little velvet suit, as he was when I last saw him, with his sweet, boyish face, in which his mother's looks were reflected."" physical_attributes=[PhysicalAttribute(attribute='a sweet boyish face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to the person with the current attribute ('a sweet boyish face'), explicitly suggesting the person's gender as male."")]",a sweet boyish face,a sweet boyish face
2,2.0,"Startled himself, Curtis turned, and saw, with a feeling akin to dismay, the tall figure of his uncle standing on the threshold of the left portal, clad in a morning gown, with his eyes fixed inquiringly upon Bolton and himself.",the tall figure,male,male,The text describes 'his uncle' which is a clear indication of male gender.,True,False,"original_sentence='Startled himself, Curtis turned, and saw, with a feeling akin to dismay, the tall figure of his uncle standing on the threshold of the left portal, clad in a morning gown, with his eyes fixed inquiringly upon Bolton and himself.' physical_attributes=[PhysicalAttribute(attribute='the tall figure', gender='male', reasoning=""The text describes 'his uncle' which is a clear indication of male gender.""), PhysicalAttribute(attribute='his eyes', gender='male', reasoning=""The text refers to 'his' eyes, and since the subject is 'his uncle', the gender is male."")]",the tall figure,the tall figure
3,3.0,"asked John Linden, pointing his thin finger at Tim Bolton, who looked strangely out of place, as, with clay pipe, he sat in the luxurious library on a sumptuous chair.",a thin finger,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin finger'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='asked John Linden, pointing his thin finger at Tim Bolton, who looked strangely out of place, as, with clay pipe, he sat in the luxurious library on a sumptuous chair.' physical_attributes=[PhysicalAttribute(attribute='a thin finger', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a thin finger'), explicitly suggesting the person's gender as male."")]",a thin finger,a thin finger
4,4.0,"The boy sprang to the side of Florence, and siezed her wrists in his strong young grasp.",a strong young grasp,evidence for both,male,"The text describes 'the boy' who is explicitly identified as male, suggesting that the strong young grasp is characteristic of a male.",False,False,"original_sentence='The boy sprang to the side of Florence, and siezed her wrists in his strong young grasp.' physical_attributes=[PhysicalAttribute(attribute='a strong young grasp', gender='male', reasoning=""The text describes 'the boy' who is explicitly identified as male, suggesting that the strong young grasp is characteristic of a male.""), PhysicalAttribute(attribute='wrists', gender='female', reasoning=""Although there is no explicit description of Florence's wrists, the pronoun 'her' indicates that the wrists belong to a female, connecting the attribute to her gender."")]",a strong young grasp,a strong young grasp
5,5.0,"asked the boy, earnestly, fixing his large, dark eyes eloquently on the face of Florence.",large dark eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('large dark eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='asked the boy, earnestly, fixing his large, dark eyes eloquently on the face of Florence.' physical_attributes=[PhysicalAttribute(attribute='large dark eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('large dark eyes'), explicitly suggesting the person's gender as male."")]",large dark eyes,large dark eyes
6,6.0,"Jane was red haired, and her nose was what is euphemistically called _retrousse_.",retrousse nose,female,female,"The nose attribute is described in relation to the person referred to as 'her', suggesting the person's gender is female.",True,False,"original_sentence='Jane was red haired, and her nose was what is euphemistically called _retrousse_.' physical_attributes=[PhysicalAttribute(attribute='red haired', gender='female', reasoning=""The name 'Jane' is commonly associated with females, and the pronoun 'her' supports the inference of the person's gender.""), PhysicalAttribute(attribute='retrousse nose', gender='female', reasoning=""The nose attribute is described in relation to the person referred to as 'her', suggesting the person's gender is female."")]",retrousse nose,retrousse nose
