text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"It was nearly midnight, and he was lying on his stomach in bed, the blankets drawn right over his head like a tent, a flashlight in one hand and a large leather-bound book (A History of Magic by Bathilda Bagshot) propped open against the pillow.",,male,,,False,False,"original_sentence='It was nearly midnight, and he was lying on his stomach in bed, the blankets drawn right over his head like a tent, a flashlight in one hand and a large leather-bound book (A History of Magic by Bathilda Bagshot) propped open against the pillow.' physical_attributes=[]",,
1,0.0,"""I'M -- A -- FRIEND -- OF -- HARRY'S -- FROM -- SCHOOL --"" 　　Uncle Vernon's small eyes swiveled around to Harry, who was rooted to the spot.",small eyes,unknown,male,The name 'Uncle Vernon' and the reference to 'his eyes' suggest that the character with 'small eyes' is male.,False,True,"original_sentence='""I\'M -- A -- FRIEND -- OF -- HARRY\'S -- FROM -- SCHOOL --"" \u3000\u3000Uncle Vernon\'s small eyes swiveled around to Harry, who was rooted to the spot.' physical_attributes=[PhysicalAttribute(attribute='small eyes', gender='male', reasoning=""The name 'Uncle Vernon' and the reference to 'his eyes' suggest that the character with 'small eyes' is male."")]",small eyes,small eyes
2,1.0,"He leaned on the sill, the cool night air pleasant on his face after a long time under the blankets.",a pleasant face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a pleasant face'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='He leaned on the sill, the cool night air pleasant on his face after a long time under the blankets.' physical_attributes=[PhysicalAttribute(attribute='a pleasant face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a pleasant face'), explicitly suggesting the person's gender as male."")]",a pleasant face,a pleasant face
3,2.0,"The eyes behind his glasses were bright green, and on his forehead, clearly visible through his hair, was a thin scar, shaped like a bolt of lightning.",bright green eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('bright green eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='The eyes behind his glasses were bright green, and on his forehead, clearly visible through his hair, was a thin scar, shaped like a bolt of lightning.' physical_attributes=[PhysicalAttribute(attribute='bright green eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright green eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thin scar', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose current attribute ('a thin scar') is being described, explicitly suggesting the person's gender as male."")]",bright green eyes,bright green eyes
3,2.0,"The eyes behind his glasses were bright green, and on his forehead, clearly visible through his hair, was a thin scar, shaped like a bolt of lightning.",a thin scar,male,male,"The text uses the pronoun 'his' to describe the person whose current attribute ('a thin scar') is being described, explicitly suggesting the person's gender as male.",True,True,"original_sentence='The eyes behind his glasses were bright green, and on his forehead, clearly visible through his hair, was a thin scar, shaped like a bolt of lightning.' physical_attributes=[PhysicalAttribute(attribute='bright green eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bright green eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a thin scar', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose current attribute ('a thin scar') is being described, explicitly suggesting the person's gender as male."")]",a thin scar,a thin scar
4,,There was a large package tied to its legs.,,unknown,,,False,False,original_sentence='There was a large package tied to its legs.' physical_attributes=[],,
5,,"""Marge'll be here for a week,"" Uncle Vernon snarled, 11 and while we're on the subject"" -- he pointed a fat finger threateningly at Harry -- ""we need to get a few things straight before I go and collect her.""",,evidence for both,,,False,False,"original_sentence='""Marge\'ll be here for a week,"" Uncle Vernon snarled, 11 and while we\'re on the subject"" -- he pointed a fat finger threateningly at Harry -- ""we need to get a few things straight before I go and collect her.""' physical_attributes=[]",,
6,3.0,"""And thirdly,"" said Uncle Vernon, his mean little eyes now slits in his great purple face, ""we've told Marge you attend St. Brutus's Secure Center for Incurably Criminal Boys.""",mean little eyes,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('mean little eyes'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='""And thirdly,"" said Uncle Vernon, his mean little eyes now slits in his great purple face, ""we\'ve told Marge you attend St. Brutus\'s Secure Center for Incurably Criminal Boys.""' physical_attributes=[PhysicalAttribute(attribute='mean little eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('mean little eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='great purple face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('great purple face'), explicitly suggesting the person's gender as male."")]",mean little eyes,mean little eyes
6,3.0,"""And thirdly,"" said Uncle Vernon, his mean little eyes now slits in his great purple face, ""we've told Marge you attend St. Brutus's Secure Center for Incurably Criminal Boys.""",great purple face,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('great purple face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='""And thirdly,"" said Uncle Vernon, his mean little eyes now slits in his great purple face, ""we\'ve told Marge you attend St. Brutus\'s Secure Center for Incurably Criminal Boys.""' physical_attributes=[PhysicalAttribute(attribute='mean little eyes', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('mean little eyes'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='great purple face', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('great purple face'), explicitly suggesting the person's gender as male."")]",great purple face,great purple face
7,4.0,"""Duddy's got to make himself smart for his auntie,"" said Aunt Petunia, smoothing Dudley's thick blond hair.",thick blond hair,male,male,"The text refers to 'Dudley' who is commonly known as a male name, suggesting that the person described with 'thick blond hair' is male.",True,False,"original_sentence='""Duddy\'s got to make himself smart for his auntie,"" said Aunt Petunia, smoothing Dudley\'s thick blond hair.' physical_attributes=[PhysicalAttribute(attribute='thick blond hair', gender='male', reasoning=""The text refers to 'Dudley' who is commonly known as a male name, suggesting that the person described with 'thick blond hair' is male."")]",thick blond hair,thick blond hair
8,5.0,"""Exactly,"" said Harry, looking calmly up into Uncle Vernon's large, purple face.",a large purple face,unknown,male,"The convention of 'Uncle' Vernon suggests a male character, which is reinforced by the name 'Vernon' being typically male.",False,False,"original_sentence='""Exactly,"" said Harry, looking calmly up into Uncle Vernon\'s large, purple face.' physical_attributes=[PhysicalAttribute(attribute='a large purple face', gender='male', reasoning=""The convention of 'Uncle' Vernon suggests a male character, which is reinforced by the name 'Vernon' being typically male."")]",a large purple face,a large purple face
9,6.0,"And don't look at me like that"" -- Hedwig's large amber eyes were reproachful -- ""it's not my fault.",large amber eyes,unknown,unknown,"The text provides no evidence regarding the person's gender, as it refers to 'Hedwig', which is a name that does not inherently suggest gender in this context.",True,False,"original_sentence='And don\'t look at me like that"" -- Hedwig\'s large amber eyes were reproachful -- ""it\'s not my fault.' physical_attributes=[PhysicalAttribute(attribute='large amber eyes', gender='unknown', reasoning=""The text provides no evidence regarding the person's gender, as it refers to 'Hedwig', which is a name that does not inherently suggest gender in this context."")]",large amber eyes,large amber eyes
10,,Harry couldn't see the point of trying to make his hair lie flat.,,male,,,False,False,"original_sentence=""Harry couldn't see the point of trying to make his hair lie flat."" physical_attributes=[]",,
11,7.0,"Dudley came waddling down the hall, his blond hair plastered flat to his fat head, a bow tie just visible under his many chins.",blond hair,male,male,"The text refers to 'his blond hair', which indicates the gender explicitly with the pronoun 'his', suggesting the person is male.",True,False,"original_sentence='Dudley came waddling down the hall, his blond hair plastered flat to his fat head, a bow tie just visible under his many chins.' physical_attributes=[PhysicalAttribute(attribute='blond hair', gender='male', reasoning=""The text refers to 'his blond hair', which indicates the gender explicitly with the pronoun 'his', suggesting the person is male.""), PhysicalAttribute(attribute='a fat head', gender='male', reasoning=""The text uses the pronoun 'his' in relation to 'a fat head', clearly indicating that the person's gender is male.""), PhysicalAttribute(attribute='many chins', gender='male', reasoning=""The use of 'his' before 'many chins' identifies the gender as male."")]",blond hair,blond hair
11,7.0,"Dudley came waddling down the hall, his blond hair plastered flat to his fat head, a bow tie just visible under his many chins.",a fat head,male,male,"The text uses the pronoun 'his' in relation to 'a fat head', clearly indicating that the person's gender is male.",True,True,"original_sentence='Dudley came waddling down the hall, his blond hair plastered flat to his fat head, a bow tie just visible under his many chins.' physical_attributes=[PhysicalAttribute(attribute='blond hair', gender='male', reasoning=""The text refers to 'his blond hair', which indicates the gender explicitly with the pronoun 'his', suggesting the person is male.""), PhysicalAttribute(attribute='a fat head', gender='male', reasoning=""The text uses the pronoun 'his' in relation to 'a fat head', clearly indicating that the person's gender is male.""), PhysicalAttribute(attribute='many chins', gender='male', reasoning=""The use of 'his' before 'many chins' identifies the gender as male."")]",a fat head,a fat head
11,7.0,"Dudley came waddling down the hall, his blond hair plastered flat to his fat head, a bow tie just visible under his many chins.",many chins,male,male,The use of 'his' before 'many chins' identifies the gender as male.,True,True,"original_sentence='Dudley came waddling down the hall, his blond hair plastered flat to his fat head, a bow tie just visible under his many chins.' physical_attributes=[PhysicalAttribute(attribute='blond hair', gender='male', reasoning=""The text refers to 'his blond hair', which indicates the gender explicitly with the pronoun 'his', suggesting the person is male.""), PhysicalAttribute(attribute='a fat head', gender='male', reasoning=""The text uses the pronoun 'his' in relation to 'a fat head', clearly indicating that the person's gender is male.""), PhysicalAttribute(attribute='many chins', gender='male', reasoning=""The use of 'his' before 'many chins' identifies the gender as male."")]",many chins,many chins
12,,"Aunt Marge thrust the suitcase into Harry's stomach, knocking the wind out of him, seized Dudley in a tight one-armed hug, and planted a large kiss on his cheek.",,male,,,False,False,"original_sentence=""Aunt Marge thrust the suitcase into Harry's stomach, knocking the wind out of him, seized Dudley in a tight one-armed hug, and planted a large kiss on his cheek."" physical_attributes=[]",,
13,8.0,"Aunt Marge and Aunt Petunia kissed, or rather, Aunt Marge bumped her large jaw against Aunt Petunia's bony cheekbone.",a large jaw,female,female,"The presence of 'Aunt Marge' indicates that this refers to a female character, as 'Aunt' is typically a female relative.",True,True,"original_sentence=""Aunt Marge and Aunt Petunia kissed, or rather, Aunt Marge bumped her large jaw against Aunt Petunia's bony cheekbone."" physical_attributes=[PhysicalAttribute(attribute='a large jaw', gender='female', reasoning=""The presence of 'Aunt Marge' indicates that this refers to a female character, as 'Aunt' is typically a female relative.""), PhysicalAttribute(attribute='a bony cheekbone', gender='female', reasoning=""The presence of 'Aunt Petunia' indicates that this refers to a female character, as 'Aunt' is typically a female relative."")]",a large jaw,a large jaw
