text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,He walked down the gallery and across the narrow “bridges” which connected the Lebrun cottages one with the other.,,male,,,False,False,original_sentence='He walked down the gallery and across the narrow “bridges” which connected the Lebrun cottages one with the other.' physical_attributes=[],,
1,0.0,"He was a man of forty, of medium height and rather slender build; he stooped a little.",medium height,male,male,"The text directly uses the pronoun 'He' and describes the person as 'a man', which explicitly suggests the person's gender as male.",True,False,"original_sentence='He was a man of forty, of medium height and rather slender build; he stooped a little.' physical_attributes=[PhysicalAttribute(attribute='medium height', gender='male', reasoning=""The text directly uses the pronoun 'He' and describes the person as 'a man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='rather slender build', gender='male', reasoning=""The text directly uses the pronoun 'He' and describes the person as 'a man', which explicitly suggests the person's gender as male."")]",medium height,medium height
1,0.0,"He was a man of forty, of medium height and rather slender build; he stooped a little.",rather slender build,male,male,"The text directly uses the pronoun 'He' and describes the person as 'a man', which explicitly suggests the person's gender as male.",True,False,"original_sentence='He was a man of forty, of medium height and rather slender build; he stooped a little.' physical_attributes=[PhysicalAttribute(attribute='medium height', gender='male', reasoning=""The text directly uses the pronoun 'He' and describes the person as 'a man', which explicitly suggests the person's gender as male.""), PhysicalAttribute(attribute='rather slender build', gender='male', reasoning=""The text directly uses the pronoun 'He' and describes the person as 'a man', which explicitly suggests the person's gender as male."")]",rather slender build,rather slender build
2,1.0,"She held up her hands, strong, shapely hands, and surveyed them critically, drawing up her fawn sleeves above the wrists.",strong shapely hands,female,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('strong shapely hands'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She held up her hands, strong, shapely hands, and surveyed them critically, drawing up her fawn sleeves above the wrists.' physical_attributes=[PhysicalAttribute(attribute='strong shapely hands', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('strong shapely hands'), explicitly suggesting the person's gender as female."")]",strong shapely hands,strong shapely hands
3,2.0,"II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair.",quick eyes,female,female,The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.,True,True,"original_sentence=""II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair."" physical_attributes=[PhysicalAttribute(attribute='quick eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='bright eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown hair', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female."")]",quick eyes,quick eyes
3,2.0,"II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair.",bright eyes,female,female,The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.,True,True,"original_sentence=""II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair."" physical_attributes=[PhysicalAttribute(attribute='quick eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='bright eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown hair', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female."")]",bright eyes,bright eyes
3,2.0,"II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair.",yellowish brown eyes,female,female,The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.,True,False,"original_sentence=""II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair."" physical_attributes=[PhysicalAttribute(attribute='quick eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='bright eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown hair', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female."")]",yellowish brown eyes,yellowish brown eyes
3,2.0,"II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair.",yellowish brown hair,female,female,The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.,True,False,"original_sentence=""II   Mrs. Pontellier's eyes were quick and bright; they were a yellowish brown, about the color of her hair."" physical_attributes=[PhysicalAttribute(attribute='quick eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='bright eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown eyes', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female.""), PhysicalAttribute(attribute='yellowish brown hair', gender='female', reasoning=""The reference to 'Mrs. Pontellier' and the pronoun 'her' indicate that the person described is female."")]",yellowish brown hair,yellowish brown hair
4,,She was holding the back of her chair with one hand; her loose sleeve had slipped almost to the shoulder of her uplifted arm.,,female,,,False,False,original_sentence='She was holding the back of her chair with one hand; her loose sleeve had slipped almost to the shoulder of her uplifted arm.' physical_attributes=[],,
5,3.0,"There was nothing subtle or hidden about her charms; her beauty was all there, flaming and apparent: the spun-gold hair that comb nor confining pin could restrain; the blue eyes that were like nothing but sapphires; two lips that pouted, that were so red one could only think of cherries or some other delicious crimson fruit in looking at them.",spun-gold hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('spun-gold hair'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='There was nothing subtle or hidden about her charms; her beauty was all there, flaming and apparent: the spun-gold hair that comb nor confining pin could restrain; the blue eyes that were like nothing but sapphires; two lips that pouted, that were so red one could only think of cherries or some other delicious crimson fruit in looking at them.' physical_attributes=[PhysicalAttribute(attribute='spun-gold hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('spun-gold hair'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='two lips that pouted', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the lips being described, indicating the person's gender as female.""), PhysicalAttribute(attribute='red lips', gender='female', reasoning=""The attribute refers to the lips described 'so red' in the context of the person using the pronoun 'her', indicating a female gender."")]",spun-gold hair,spun-gold hair
