text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"So well set up, with such honest blue eyes, such a touch of stupidity, such a warm goodheartedness!",honest blue eyes,unknown,unknown,The text describes 'honest blue eyes' without providing any clues about the person's gender.,True,False,"original_sentence='So well set up, with such honest blue eyes, such a touch of stupidity, such a warm goodheartedness!' physical_attributes=[PhysicalAttribute(attribute='honest blue eyes', gender='unknown', reasoning=""The text describes 'honest blue eyes' without providing any clues about the person's gender."")]",honest blue eyes,honest blue eyes
1,,"We never did take another look at Beaucaire, of course--beautiful Beaucaire, with the high, triangular white tower, that looked as thin as a needle and as tall as the Flatiron, between Fifth and Broadway--Beaucaire with the grey walls on the top of the pinnacle surrounding an acre and a half of blue irises, beneath the tallness of the stone pines, What a beautiful thing the stone pine is!...",,unknown,,,False,False,"original_sentence='We never did take another look at Beaucaire, of course--beautiful Beaucaire, with the high, triangular white tower, that looked as thin as a needle and as tall as the Flatiron, between Fifth and Broadway--Beaucaire with the grey walls on the top of the pinnacle surrounding an acre and a half of blue irises, beneath the tallness of the stone pines, What a beautiful thing the stone pine is!...' physical_attributes=[]",,
2,,And the red cheeks!,,unknown,,,False,False,original_sentence='And the red cheeks!' physical_attributes=[],,
3,1.0,"And her hair was copper-coloured, and the heels of her shoes were exceedingly high, so that she tripped upon the points of her toes.",copper-coloured hair,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('copper-coloured hair'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='And her hair was copper-coloured, and the heels of her shoes were exceedingly high, so that she tripped upon the points of her toes.' physical_attributes=[PhysicalAttribute(attribute='copper-coloured hair', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('copper-coloured hair'), explicitly suggesting the person's gender as female."")]",copper-coloured hair,copper-coloured hair
4,2.0,She knew how to give value to her blue eyes.,blue eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='She knew how to give value to her blue eyes.' physical_attributes=[PhysicalAttribute(attribute='blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('blue eyes'), explicitly suggesting the person's gender as female."")]",blue eyes,blue eyes
5,3.0,"Yes, that is how I most exactly remember her, in that dress, in that hat, looking over her shoulder at me so that the eyes flashed very blue--dark pebble blue...  And, what the devil!",very blue eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('very blue eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Yes, that is how I most exactly remember her, in that dress, in that hat, looking over her shoulder at me so that the eyes flashed very blue--dark pebble blue...  And, what the devil!' physical_attributes=[PhysicalAttribute(attribute='very blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('very blue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark pebble blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('dark pebble blue eyes'), explicitly suggesting the person's gender as female."")]",very blue eyes,very blue eyes
5,3.0,"Yes, that is how I most exactly remember her, in that dress, in that hat, looking over her shoulder at me so that the eyes flashed very blue--dark pebble blue...  And, what the devil!",dark pebble blue eyes,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('dark pebble blue eyes'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='Yes, that is how I most exactly remember her, in that dress, in that hat, looking over her shoulder at me so that the eyes flashed very blue--dark pebble blue...  And, what the devil!' physical_attributes=[PhysicalAttribute(attribute='very blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('very blue eyes'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='dark pebble blue eyes', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('dark pebble blue eyes'), explicitly suggesting the person's gender as female."")]",dark pebble blue eyes,dark pebble blue eyes
6,4.0,"His hair was fair, extraordinarily ordered in a wave, running from the left temple to the right; his face was a light brick-red, perfectly uniform in tint up to the roots of the hair itself; his yellow moustache was as stiff as a toothbrush and I verily believe that he had his black smoking jacket thickened a little over the shoulder-blades so as to give himself the air of the slightest possible stoop.",fair hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('fair hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hair was fair, extraordinarily ordered in a wave, running from the left temple to the right; his face was a light brick-red, perfectly uniform in tint up to the roots of the hair itself; his yellow moustache was as stiff as a toothbrush and I verily believe that he had his black smoking jacket thickened a little over the shoulder-blades so as to give himself the air of the slightest possible stoop.' physical_attributes=[PhysicalAttribute(attribute='fair hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('fair hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a light brick-red face', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose face has the current attribute ('a light brick-red face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a yellow moustache'), explicitly suggesting the person's gender as male."")]",fair hair,fair hair
6,4.0,"His hair was fair, extraordinarily ordered in a wave, running from the left temple to the right; his face was a light brick-red, perfectly uniform in tint up to the roots of the hair itself; his yellow moustache was as stiff as a toothbrush and I verily believe that he had his black smoking jacket thickened a little over the shoulder-blades so as to give himself the air of the slightest possible stoop.",a light brick-red face,male,male,"The text uses the pronoun 'his' to describe the person whose face has the current attribute ('a light brick-red face'), explicitly suggesting the person's gender as male.",True,False,"original_sentence='His hair was fair, extraordinarily ordered in a wave, running from the left temple to the right; his face was a light brick-red, perfectly uniform in tint up to the roots of the hair itself; his yellow moustache was as stiff as a toothbrush and I verily believe that he had his black smoking jacket thickened a little over the shoulder-blades so as to give himself the air of the slightest possible stoop.' physical_attributes=[PhysicalAttribute(attribute='fair hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('fair hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a light brick-red face', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose face has the current attribute ('a light brick-red face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a yellow moustache'), explicitly suggesting the person's gender as male."")]",a light brick-red face,a light brick-red face
6,4.0,"His hair was fair, extraordinarily ordered in a wave, running from the left temple to the right; his face was a light brick-red, perfectly uniform in tint up to the roots of the hair itself; his yellow moustache was as stiff as a toothbrush and I verily believe that he had his black smoking jacket thickened a little over the shoulder-blades so as to give himself the air of the slightest possible stoop.",a yellow moustache,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('a yellow moustache'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hair was fair, extraordinarily ordered in a wave, running from the left temple to the right; his face was a light brick-red, perfectly uniform in tint up to the roots of the hair itself; his yellow moustache was as stiff as a toothbrush and I verily believe that he had his black smoking jacket thickened a little over the shoulder-blades so as to give himself the air of the slightest possible stoop.' physical_attributes=[PhysicalAttribute(attribute='fair hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('fair hair'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a light brick-red face', gender='male', reasoning=""The text uses the pronoun 'his' to describe the person whose face has the current attribute ('a light brick-red face'), explicitly suggesting the person's gender as male.""), PhysicalAttribute(attribute='a yellow moustache', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('a yellow moustache'), explicitly suggesting the person's gender as male."")]",a yellow moustache,a yellow moustache
7,,"And, if I ever penetrated into his private room it would be to see him standing, with his coat and waistcoat off and the immensely long line of his perfectly elegant trousers from waist to boot heel.",,male,,,False,False,"original_sentence='And, if I ever penetrated into his private room it would be to see him standing, with his coat and waistcoat off and the immensely long line of his perfectly elegant trousers from waist to boot heel.' physical_attributes=[]",,
