text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,0.0,"He was an old man, of heavy build, with a fair, shaven face and large eyes.",a fair face,male,male,"The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.",True,True,"original_sentence='He was an old man, of heavy build, with a fair, shaven face and large eyes.' physical_attributes=[PhysicalAttribute(attribute='a fair face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='a shaven face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='large eyes', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the eyes of this male person.""), PhysicalAttribute(attribute='heavy build', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the physical build of this male person."")]",a fair face,a fair face
0,0.0,"He was an old man, of heavy build, with a fair, shaven face and large eyes.",a shaven face,male,male,"The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.",True,True,"original_sentence='He was an old man, of heavy build, with a fair, shaven face and large eyes.' physical_attributes=[PhysicalAttribute(attribute='a fair face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='a shaven face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='large eyes', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the eyes of this male person.""), PhysicalAttribute(attribute='heavy build', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the physical build of this male person."")]",a shaven face,a shaven face
0,0.0,"He was an old man, of heavy build, with a fair, shaven face and large eyes.",large eyes,male,male,"The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the eyes of this male person.",True,True,"original_sentence='He was an old man, of heavy build, with a fair, shaven face and large eyes.' physical_attributes=[PhysicalAttribute(attribute='a fair face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='a shaven face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='large eyes', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the eyes of this male person.""), PhysicalAttribute(attribute='heavy build', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the physical build of this male person."")]",large eyes,large eyes
0,0.0,"He was an old man, of heavy build, with a fair, shaven face and large eyes.",heavy build,male,male,"The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the physical build of this male person.",True,True,"original_sentence='He was an old man, of heavy build, with a fair, shaven face and large eyes.' physical_attributes=[PhysicalAttribute(attribute='a fair face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='a shaven face', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the face of this male person.""), PhysicalAttribute(attribute='large eyes', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the eyes of this male person.""), PhysicalAttribute(attribute='heavy build', gender='male', reasoning=""The text refers to the subject with the pronoun 'He', which indicates that the subject is male. The attribute describes the physical build of this male person."")]",heavy build,heavy build
1,,"She hastened after her cousin, who had already disappeared through the curtains--curtains which smote one in the face, and seemed heavy with more than cloth.",,female,,,False,False,"original_sentence='She hastened after her cousin, who had already disappeared through the curtains--curtains which smote one in the face, and seemed heavy with more than cloth.' physical_attributes=[]",,
2,1.0,"She was talking to Mr. Beebe, and as she spoke, her long narrow head drove backwards and forwards, slowly, regularly, as though she were demolishing some invisible obstacle.",a long narrow head,female,female,"The text uses the pronoun 'her' to refer to the person with the attribute ('a long narrow head'), explicitly suggesting the person's gender as female.",True,False,"original_sentence='She was talking to Mr. Beebe, and as she spoke, her long narrow head drove backwards and forwards, slowly, regularly, as though she were demolishing some invisible obstacle.' physical_attributes=[PhysicalAttribute(attribute='a long narrow head', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the attribute ('a long narrow head'), explicitly suggesting the person's gender as female."")]",a long narrow head,a long narrow head
3,,"Chapter II: In Santa Croce with No Baedeker  It was pleasant to wake up in Florence, to open the eyes upon a bright bare room, with a floor of red tiles which look clean though they are not; with a painted ceiling whereon pink griffins and blue amorini sport in a forest of yellow violins and bassoons.",,unknown,,,False,False,"original_sentence='Chapter II: In Santa Croce with No Baedeker  It was pleasant to wake up in Florence, to open the eyes upon a bright bare room, with a floor of red tiles which look clean though they are not; with a painted ceiling whereon pink griffins and blue amorini sport in a forest of yellow violins and bassoons.' physical_attributes=[]",,
4,,"It was pleasant, too, to fling wide the windows, pinching the fingers in unfamiliar fastenings, to lean out into sunshine with beautiful hills and trees and marble churches opposite, and close below, the Arno, gurgling against the embankment of the road.",,unknown,,,False,False,"original_sentence='It was pleasant, too, to fling wide the windows, pinching the fingers in unfamiliar fastenings, to lean out into sunshine with beautiful hills and trees and marble churches opposite, and close below, the Arno, gurgling against the embankment of the road.' physical_attributes=[]",,
5,,"There they stood, with their shining limbs bursting from the garments of charity, and their strong white arms extended against circlets of heaven.",,unknown,,,False,False,"original_sentence='There they stood, with their shining limbs bursting from the garments of charity, and their strong white arms extended against circlets of heaven.' physical_attributes=[]",,
6,2.0,"She watched the tourists; their noses were as red as their Baedekers, so cold was Santa Croce.",a red nose,female,unknown,The text describes the tourists' noses as 'red' without providing identifying information about their gender.,False,True,"original_sentence='She watched the tourists; their noses were as red as their Baedekers, so cold was Santa Croce.' physical_attributes=[PhysicalAttribute(attribute='a red nose', gender='unknown', reasoning=""The text describes the tourists' noses as 'red' without providing identifying information about their gender."")]",a red nose,a red nose
