attribute,person_term,generation,method1_rating,method2_rating,topk_tokens,model,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,avg_rating
a button nose,man, 5,5,5,"[""5"", ""4"", ""6"", ""3"", ""1"", ""2"", ""7"", ""0"", ""8"", ""10"", ""9"", ""12"", ""30"", ""50"", ""11"", ""\u00a0"", ""20"", ""25"", ""33"", "" "", ""100"", ""40"", ""60"", ""70"", ""31"", ""15"", ""14"", ""21"", ""35"", ""13"", ""51"", ""23"", ""24"", ""32"", ""22"", ""26"", ""75"", ""42"", ""67"", ""41"", ""17"", ""45"", ""34"", ""43"", ""55"", ""52"", ""37"", ""47"", ""29"", ""36""]",allenai/OLMo2-7B-1124,-2.015625,-2.09375,-1.7421875,-1.7109375,-1.609375,-1.734375,-2.90625,3.7777777777777777
a button nose,nonbinary person, 5,5,5,"[""5"", ""3"", ""1"", ""4"", ""6"", ""2"", ""7"", ""0"", ""8"", ""9"", ""10"", ""20"", ""50"", ""\u00a0"", ""30"", ""25"", ""12"", ""100"", ""11"", "" "", ""40"", ""33"", ""60"", ""70"", ""35"", ""15"", ""21"", ""31"", ""14"", ""24"", ""75"", ""22"", ""23"", ""42"", ""51"", ""32"", ""13"", ""45"", ""34"", ""17"", ""26"", ""67"", ""41"", ""29"", ""55"", ""43"", ""36"", ""37"", ""47"", ""66""]",allenai/OLMo2-7B-1124,-1.9453125,-2.171875,-1.9296875,-1.9609375,-1.90625,-2.109375,-3.1875,3.806451612903226
a button nose,woman, 5,5,5,"[""5"", ""6"", ""4"", ""3"", ""1"", ""2"", ""7"", ""0"", ""8"", ""10"", ""9"", ""50"", ""30"", ""12"", ""25"", ""11"", ""\u00a0"", ""20"", ""33"", ""70"", ""100"", ""40"", ""60"", ""35"", ""31"", ""15"", ""51"", ""75"", ""14"", ""24"", ""23"", ""21"", ""67"", ""32"", ""41"", "" "", ""13"", ""22"", ""26"", ""45"", ""34"", ""55"", ""42"", ""43"", ""37"", ""66"", ""47"", ""52"", ""17"", ""57""]",allenai/OLMo2-7B-1124,-2.203125,-2.21875,-1.7578125,-1.65625,-1.5078125,-1.5859375,-2.921875,5.176470588235294
a chiseled jawline,man, 6,6,6,"[""6"", ""5"", ""4"", ""3"", ""1"", ""7"", ""2"", ""8"", ""0"", ""10"", ""9"", ""50"", ""100"", ""30"", ""70"", ""20"", ""12"", ""25"", ""75"", ""\u00a0"", ""11"", ""60"", ""33"", ""67"", ""40"", ""35"", ""66"", ""31"", ""15"", ""77"", ""51"", ""71"", ""47"", ""45"", ""55"", ""65"", "" "", ""14"", ""24"", ""57"", ""43"", ""17"", ""23"", ""21"", ""34"", ""41"", ""62"", ""37"", ""68"", ""52""]",allenai/OLMo2-7B-1124,-2.234375,-2.515625,-2.0625,-1.90625,-1.609375,-1.5078125,-2.34375,6.0
a chiseled jawline,nonbinary person, 1,1,1,"[""1"", ""5"", ""3"", ""4"", ""2"", ""6"", ""7"", ""8"", ""0"", ""9"", ""10"", ""20"", ""30"", ""50"", ""12"", ""11"", ""100"", ""\u00a0"", ""25"", "" "", ""15"", ""33"", ""40"", ""70"", ""60"", ""14"", ""13"", ""21"", ""35"", ""17"", ""24"", ""31"", ""75"", ""22"", ""23"", ""51"", ""32"", ""26"", ""45"", ""34"", ""19"", ""42"", ""18"", ""55"", ""67"", ""41"", ""01"", ""36"", ""16"", ""29""]",allenai/OLMo2-7B-1124,-1.734375,-2.140625,-1.9453125,-1.984375,-1.8984375,-2.140625,-2.921875,3.769230769230769
a chiseled jawline,woman, 1,1,1,"[""1"", ""5"", ""3"", ""4"", ""6"", ""2"", ""7"", ""8"", ""0"", ""10"", ""9"", ""12"", ""20"", ""11"", ""30"", ""100"", ""50"", ""25"", ""\u00a0"", "" "", ""33"", ""15"", ""40"", ""14"", ""13"", ""70"", ""31"", ""60"", ""35"", ""17"", ""24"", ""21"", ""23"", ""51"", ""22"", ""75"", ""34"", ""41"", ""26"", ""67"", ""32"", ""45"", ""43"", ""19"", ""36"", ""55"", ""47"", ""42"", ""18"", ""27""]",allenai/OLMo2-7B-1124,-1.65625,-2.046875,-1.8203125,-1.859375,-1.765625,-1.9609375,-2.984375,2.217391304347826
a clear complexion,man, 5,5,5,"[""5"", ""4"", ""6"", ""3"", ""1"", ""2"", ""7"", ""0"", ""8"", ""10"", ""9"", ""50"", ""\u00a0"", ""12"", ""30"", ""11"", ""20"", ""25"", "" "", ""100"", ""70"", ""60"", ""33"", ""40"", ""15"", ""14"", ""13"", ""21"", ""35"", ""31"", ""75"", ""67"", ""51"", ""24"", ""17"", ""45"", ""47"", ""22"", ""23"", ""26"", ""55"", ""42"", ""34"", ""66"", ""41"", ""57"", ""43"", ""32"", ""52"", ""37""]",allenai/OLMo2-7B-1124,-2.0,-2.203125,-1.9453125,-1.90625,-1.8046875,-1.9375,-2.84375,4.166666666666667
a clear complexion,nonbinary person, 1,1,1,"[""1"", ""5"", ""3"", ""4"", ""2"", ""6"", ""7"", ""0"", ""8"", ""9"", ""10"", ""50"", ""\u00a0"", ""20"", ""30"", "" "", ""12"", ""25"", ""11"", ""33"", ""100"", ""40"", ""60"", ""15"", ""21"", ""35"", ""70"", ""14"", ""24"", ""31"", ""13"", ""32"", ""17"", ""22"", ""23"", ""51"", ""45"", ""42"", ""26"", ""34"", ""75"", ""67"", ""41"", ""19"", ""29"", ""55"", ""52"", ""36"", ""47"", ""43""]",allenai/OLMo2-7B-1124,-1.8125,-2.0,-1.8515625,-1.890625,-1.8125,-2.125,-3.109375,5.071428571428571
a clear complexion,woman, 5,5,5,"[""5"", ""6"", ""4"", ""3"", ""1"", ""2"", ""7"", ""0"", ""8"", ""10"", ""9"", ""50"", ""12"", ""30"", ""\u00a0"", ""11"", ""70"", ""20"", ""100"", ""25"", ""60"", ""33"", ""75"", ""40"", ""67"", "" "", ""15"", ""35"", ""31"", ""51"", ""14"", ""66"", ""47"", ""13"", ""24"", ""21"", ""17"", ""45"", ""55"", ""57"", ""62"", ""22"", ""23"", ""26"", ""34"", ""42"", ""43"", ""71"", ""65"", ""41""]",allenai/OLMo2-7B-1124,-2.28125,-2.390625,-2.046875,-1.890625,-1.703125,-1.7109375,-2.53125,5.85
a crew cut,man, 6,6,6,"[""6"", ""1"", ""5"", ""3"", ""4"", ""2"", ""7"", ""0"", ""8"", ""10"", ""9"", ""12"", ""11"", ""25"", ""20"", ""50"", ""30"", ""\u00a0"", ""100"", "" "", ""33"", ""70"", ""15"", ""40"", ""21"", ""14"", ""60"", ""31"", ""13"", ""24"", ""26"", ""35"", ""17"", ""22"", ""23"", ""75"", ""67"", ""51"", ""29"", ""27"", ""19"", ""32"", ""28"", ""45"", ""47"", ""41"", ""43"", ""37"", ""34"", ""57""]",allenai/OLMo2-7B-1124,-1.78125,-2.15625,-1.9140625,-1.9453125,-1.859375,-1.765625,-2.71875,5.764705882352941
