text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"I  A STRANGER FROM SOUTH CAROLINA  Time touches all things with destroying hand; and if he seem now and then to bestow the bloom of youth, the sap of spring, it is but a brief mockery, to be surely and swiftly followed by the wrinkles of old age, the dry leaves and bare branches of winter.",,male,,,False,False,"original_sentence='I  A STRANGER FROM SOUTH CAROLINA  Time touches all things with destroying hand; and if he seem now and then to bestow the bloom of youth, the sap of spring, it is but a brief mockery, to be surely and swiftly followed by the wrinkles of old age, the dry leaves and bare branches of winter.' physical_attributes=[]",,
1,0.0,"In appearance he was tall, dark, with straight, black, lustrous hair, and very clean-cut, high-bred features.",straight black lustrous hair,male,male,"The description includes the pronoun 'he', which clearly identifies the gender as male.",True,False,"original_sentence='In appearance he was tall, dark, with straight, black, lustrous hair, and very clean-cut, high-bred features.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The description includes the pronoun 'he', which clearly identifies the gender as male.""), PhysicalAttribute(attribute='straight black lustrous hair', gender='male', reasoning=""The description includes the pronoun 'he', which clearly identifies the gender as male.""), PhysicalAttribute(attribute='very clean-cut high-bred features', gender='male', reasoning=""The description includes the pronoun 'he', which clearly identifies the gender as male."")]",straight black lustrous hair,straight black lustrous hair
1,0.0,"In appearance he was tall, dark, with straight, black, lustrous hair, and very clean-cut, high-bred features.",very clean-cut high-bred features,male,male,"The description includes the pronoun 'he', which clearly identifies the gender as male.",True,False,"original_sentence='In appearance he was tall, dark, with straight, black, lustrous hair, and very clean-cut, high-bred features.' physical_attributes=[PhysicalAttribute(attribute='tall', gender='male', reasoning=""The description includes the pronoun 'he', which clearly identifies the gender as male.""), PhysicalAttribute(attribute='straight black lustrous hair', gender='male', reasoning=""The description includes the pronoun 'he', which clearly identifies the gender as male.""), PhysicalAttribute(attribute='very clean-cut high-bred features', gender='male', reasoning=""The description includes the pronoun 'he', which clearly identifies the gender as male."")]",very clean-cut high-bred features,very clean-cut high-bred features
2,,Warwick passed through one of the wide brick arches and traversed the building with a leisurely step.,,unknown,,,False,False,original_sentence='Warwick passed through one of the wide brick arches and traversed the building with a leisurely step.' physical_attributes=[],,
3,,"After another turn to the right, a dozen paces brought him in front of a small weather-beaten frame building, from which projected a wooden sign-board bearing the inscription:--    ARCHIBALD STRAIGHT,   LAWYER.",,male,,,False,False,"original_sentence='After another turn to the right, a dozen paces brought him in front of a small weather-beaten frame building, from which projected a wooden sign-board bearing the inscription:--    ARCHIBALD STRAIGHT,   LAWYER.' physical_attributes=[]",,
4,1.0,"Her abundant hair, of a dark and glossy brown, was neatly plaited and coiled above an ivory column that rose straight from a pair of gently sloping shoulders, clearly outlined beneath the light muslin frock that covered them.",abundant hair of a dark and glossy brown,female,"female},{","The text uses the pronoun 'her' to describe the person with the current attribute ('abundant hair of a dark and glossy brown'), explicitly suggesting the person's gender as female.",False,False,"original_sentence='Her abundant hair, of a dark and glossy brown, was neatly plaited and coiled above an ivory column that rose straight from a pair of gently sloping shoulders, clearly outlined beneath the light muslin frock that covered them.' physical_attributes=[PhysicalAttribute(attribute='abundant hair of a dark and glossy brown', gender='female},{', reasoning=""The text uses the pronoun 'her' to describe the person with the current attribute ('abundant hair of a dark and glossy brown'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='gently sloping shoulders', gender='unknown', reasoning=""The attribute 'gently sloping shoulders' is described without gender indicators; thus, it could belong to any gender."")]",abundant hair of a dark and glossy brown,abundant hair of a dark and glossy brown
4,1.0,"Her abundant hair, of a dark and glossy brown, was neatly plaited and coiled above an ivory column that rose straight from a pair of gently sloping shoulders, clearly outlined beneath the light muslin frock that covered them.",gently sloping shoulders,female,unknown,"The attribute 'gently sloping shoulders' is described without gender indicators; thus, it could belong to any gender.",False,False,"original_sentence='Her abundant hair, of a dark and glossy brown, was neatly plaited and coiled above an ivory column that rose straight from a pair of gently sloping shoulders, clearly outlined beneath the light muslin frock that covered them.' physical_attributes=[PhysicalAttribute(attribute='abundant hair of a dark and glossy brown', gender='female},{', reasoning=""The text uses the pronoun 'her' to describe the person with the current attribute ('abundant hair of a dark and glossy brown'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='gently sloping shoulders', gender='unknown', reasoning=""The attribute 'gently sloping shoulders' is described without gender indicators; thus, it could belong to any gender."")]",gently sloping shoulders,gently sloping shoulders
5,2.0,"Once she threw a backward glance at Warwick, thus enabling him to catch a second glimpse of a singularly pretty face.",a singularly pretty face,evidence for both,female,"The text uses the pronoun 'she' to refer to the person with the current attribute ('a singularly pretty face'), explicitly suggesting the person's gender as female.",False,False,"original_sentence='Once she threw a backward glance at Warwick, thus enabling him to catch a second glimpse of a singularly pretty face.' physical_attributes=[PhysicalAttribute(attribute='a singularly pretty face', gender='female', reasoning=""The text uses the pronoun 'she' to refer to the person with the current attribute ('a singularly pretty face'), explicitly suggesting the person's gender as female."")]",a singularly pretty face,a singularly pretty face
6,,"But on the bright morning when Warwick stood looking through the cedars, it seemed, with its green frame and canopy and its bright carpet of flowers, an ideal retreat from the fierce sunshine and the sultry heat of the approaching summer.",,unknown,,,False,False,"original_sentence='But on the bright morning when Warwick stood looking through the cedars, it seemed, with its green frame and canopy and its bright carpet of flowers, an ideal retreat from the fierce sunshine and the sultry heat of the approaching summer.' physical_attributes=[]",,
7,3.0,She felt a very pronounced respect for this tall gentleman who held her blushing face between his hands and looked steadily into her eyes.,a blushing face,evidence for both,female,The pronoun 'her' indicates the blushing face belongs to the female character being held.,False,False,"original_sentence='She felt a very pronounced respect for this tall gentleman who held her blushing face between his hands and looked steadily into her eyes.' physical_attributes=[PhysicalAttribute(attribute='a tall gentleman', gender='male', reasoning=""The term 'gentleman' is explicitly male, indicating a male individual.""), PhysicalAttribute(attribute='a blushing face', gender='female', reasoning=""The pronoun 'her' indicates the blushing face belongs to the female character being held.""), PhysicalAttribute(attribute='steady eyes', gender='unknown', reasoning='The text does not provide enough information to determine the gender of the person whose eyes are being described.')]",a blushing face,a blushing face
7,3.0,She felt a very pronounced respect for this tall gentleman who held her blushing face between his hands and looked steadily into her eyes.,steady eyes,evidence for both,unknown,The text does not provide enough information to determine the gender of the person whose eyes are being described.,False,True,"original_sentence='She felt a very pronounced respect for this tall gentleman who held her blushing face between his hands and looked steadily into her eyes.' physical_attributes=[PhysicalAttribute(attribute='a tall gentleman', gender='male', reasoning=""The term 'gentleman' is explicitly male, indicating a male individual.""), PhysicalAttribute(attribute='a blushing face', gender='female', reasoning=""The pronoun 'her' indicates the blushing face belongs to the female character being held.""), PhysicalAttribute(attribute='steady eyes', gender='unknown', reasoning='The text does not provide enough information to determine the gender of the person whose eyes are being described.')]",steady eyes,steady eyes
