text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,"Helen looked down the long line of their party, and said that she did not know.",,female,,,False,False,"original_sentence='Helen looked down the long line of their party, and said that she did not know.' physical_attributes=[]",,
1,0.0,"Tibby sighed, and drew a long strand of hair over his forehead.",a long strand of hair,male,unknown,"The reference to 'his forehead' indicates a male pronoun, but the attribute 'a long strand of hair' does not by itself define gender, thus resulting in uncertainty.",False,False,"original_sentence='Tibby sighed, and drew a long strand of hair over his forehead.' physical_attributes=[PhysicalAttribute(attribute='a long strand of hair', gender='unknown', reasoning=""The reference to 'his forehead' indicates a male pronoun, but the attribute 'a long strand of hair' does not by itself define gender, thus resulting in uncertainty."")]",a long strand of hair,a long strand of hair
2,,"A sharp pain darted through his head, and he was conscious of the exact form of his eye sockets.",,male,,,False,False,"original_sentence='A sharp pain darted through his head, and he was conscious of the exact form of his eye sockets.' physical_attributes=[]",,
3,1.0,"Teeth of dazzling whiteness extended along either of Jacky's jaws, and positively weighted her head sideways, so large were they and so numerous.",teeth of dazzling whiteness,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('teeth of dazzling whiteness'), explicitly suggesting the person's gender as female.",True,False,"original_sentence=""Teeth of dazzling whiteness extended along either of Jacky's jaws, and positively weighted her head sideways, so large were they and so numerous."" physical_attributes=[PhysicalAttribute(attribute='teeth of dazzling whiteness', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('teeth of dazzling whiteness'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large jaws', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('large jaws'), explicitly suggesting the person's gender as female."")]",teeth of dazzling whiteness,teeth of dazzling whiteness
3,1.0,"Teeth of dazzling whiteness extended along either of Jacky's jaws, and positively weighted her head sideways, so large were they and so numerous.",large jaws,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('large jaws'), explicitly suggesting the person's gender as female.",True,True,"original_sentence=""Teeth of dazzling whiteness extended along either of Jacky's jaws, and positively weighted her head sideways, so large were they and so numerous."" physical_attributes=[PhysicalAttribute(attribute='teeth of dazzling whiteness', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('teeth of dazzling whiteness'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='large jaws', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('large jaws'), explicitly suggesting the person's gender as female."")]",large jaws,large jaws
4,,"It was followed by the tongue--a freckled cylinder of meat, with a little jelly at the top, and a great deal of yellow fat at the bottom--ending with another square dissolved in water (jelly: pineapple), which Leonard had prepared earlier in the day.",,unknown,,,False,False,"original_sentence='It was followed by the tongue--a freckled cylinder of meat, with a little jelly at the top, and a great deal of yellow fat at the bottom--ending with another square dissolved in water (jelly: pineapple), which Leonard had prepared earlier in the day.' physical_attributes=[]",,
5,2.0,"And who would an elderly man with a moustache and a copper-coloured face be?""",a copper-coloured face,unknown,male,"The subject is identified as an 'elderly man,' indicating the gender, while this attribute adheres to the descriptive nature of physical characteristics for men.",False,True,"original_sentence='And who would an elderly man with a moustache and a copper-coloured face be?' physical_attributes=[PhysicalAttribute(attribute='an elderly man', gender='male', reasoning=""The description of 'an elderly man' directly specifies the person's gender as male.""), PhysicalAttribute(attribute='a moustache', gender='male', reasoning=""The reference to 'a moustache' is a typical characteristic associated with males, further supported by the identification of the subject as an 'elderly man'.""), PhysicalAttribute(attribute='a copper-coloured face', gender='male', reasoning=""The subject is identified as an 'elderly man,' indicating the gender, while this attribute adheres to the descriptive nature of physical characteristics for men."")]",a copper-coloured face,a copper-coloured face
6,,It is so firm beneath our feet that we forget its very existence.,,unknown,,,False,False,original_sentence='It is so firm beneath our feet that we forget its very existence.' physical_attributes=[],,
7,,"I thought I minded nothing, but really I--I should be bored if you fell in love with the same man twice and""--she cleared her throat--""you did go red, you know, when Aunt Juley attacked you this morning.",,female,,,False,False,"original_sentence='I thought I minded nothing, but really I--I should be bored if you fell in love with the same man twice and--she cleared her throat--you did go red, you know, when Aunt Juley attacked you this morning.' physical_attributes=[]",,
8,,"They were interrupted, and when they resumed conversation it was on more normal lines.",,unknown,,,False,False,"original_sentence='They were interrupted, and when they resumed conversation it was on more normal lines.' physical_attributes=[]",,
