text_id,attribute_text_id,text,attribute,intext_gender,llm_gender,llm_reasoning,gender_match,indomain_strct,llm_response,attribute_original,attribute_normalized
0,,The one was a Madonna by Sassoferrato with a blue hood over her head which threw it half into shadow.,,female,,,False,False,original_sentence='The one was a Madonna by Sassoferrato with a blue hood over her head which threw it half into shadow.' physical_attributes=[],,
1,0.0,The other was a Magdalen by Carlo Dolci with a very fine head of hair and a marble vase in her hands.,a fine head of hair,female,female,"The phrase describes a characteristic of the person identified as 'a Magdalen', which is traditionally a female figure, implying the person's gender is female.",True,False,"original_sentence='The other was a Magdalen by Carlo Dolci with a very fine head of hair and a marble vase in her hands.' physical_attributes=[PhysicalAttribute(attribute='a fine head of hair', gender='female', reasoning=""The phrase describes a characteristic of the person identified as 'a Magdalen', which is traditionally a female figure, implying the person's gender is female."")]",a fine head of hair,a fine head of hair
2,,"We are as days and have had our parents for our yesterdays, but through all the fair weather of a clear parental sky the eye of Fortune can discern the coming storm, and she laughs as she places her favourites it may be in a London alley or those whom she is resolved to ruin in kings' palaces.",,female,,,False,False,"original_sentence=""We are as days and have had our parents for our yesterdays, but through all the fair weather of a clear parental sky the eye of Fortune can discern the coming storm, and she laughs as she places her favourites it may be in a London alley or those whom she is resolved to ruin in kings' palaces."" physical_attributes=[]",,
3,,"Perhaps if he had felt his bondage very acutely he would not have put up with it, but he was constitutionally timid, and the strong hand of his father knitted him into the closest outward harmony with his brother and sisters.",,male,,,False,False,"original_sentence='Perhaps if he had felt his bondage very acutely he would not have put up with it, but he was constitutionally timid, and the strong hand of his father knitted him into the closest outward harmony with his brother and sisters.' physical_attributes=[]",,
4,1.0,"He spoke, too, with such emphasis and his rosy gills and bald head looked so benevolent that it was difficult not to be carried away by his discourse.",rosy gills,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('rosy gills'), explicitly indicating the person's gender as male.",True,True,"original_sentence='He spoke, too, with such emphasis and his rosy gills and bald head looked so benevolent that it was difficult not to be carried away by his discourse.' physical_attributes=[PhysicalAttribute(attribute='rosy gills', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('rosy gills'), explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='bald head', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bald head'), explicitly indicating the person's gender as male."")]",rosy gills,rosy gills
4,1.0,"He spoke, too, with such emphasis and his rosy gills and bald head looked so benevolent that it was difficult not to be carried away by his discourse.",bald head,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('bald head'), explicitly indicating the person's gender as male.",True,False,"original_sentence='He spoke, too, with such emphasis and his rosy gills and bald head looked so benevolent that it was difficult not to be carried away by his discourse.' physical_attributes=[PhysicalAttribute(attribute='rosy gills', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('rosy gills'), explicitly indicating the person's gender as male.""), PhysicalAttribute(attribute='bald head', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('bald head'), explicitly indicating the person's gender as male."")]",bald head,bald head
5,,"She had transposed ""Angels ever bright and fair"" into a lower key, so as to make it suit her voice, thus proving, as her mamma said, that she had a thorough knowledge of the laws of harmony; not only did she do this, but at every pause added an embellishment of arpeggios from one end to the other of the keyboard, on a principle which her governess had taught her; she thus added life and interest to an air which everyone--so she said--must feel to be rather heavy in the form in which Handel left it.",,female,,,False,False,"original_sentence='She had transposed ""Angels ever bright and fair"" into a lower key, so as to make it suit her voice, thus proving, as her mamma said, that she had a thorough knowledge of the laws of harmony; not only did she do this, but at every pause added an embellishment of arpeggios from one end to the other of the keyboard, on a principle which her governess had taught her; she thus added life and interest to an air which everyone--so she said--must feel to be rather heavy in the form in which Handel left it.' physical_attributes=[]",,
6,2.0,"heobald's engagement was all very well as far as it went, but there was an old gentleman with a bald head and rosy cheeks in a counting-house in Paternoster Row who must sooner or later be told of what his son had in view, and Theobald's heart fluttered when he asked himself what view this old gentleman was likely to take of the situation.",a bald head,male,male,"The term 'old gentleman' suggests an elderly male, and 'his son' further confirms the male gender context.",True,False,"original_sentence=""heobald's engagement was all very well as far as it went, but there was an old gentleman with a bald head and rosy cheeks in a counting-house in Paternoster Row who must sooner or later be told of what his son had in view, and Theobald's heart fluttered when he asked himself what view this old gentleman was likely to take of the situation."" physical_attributes=[PhysicalAttribute(attribute='a bald head', gender='male', reasoning=""The term 'old gentleman' suggests an elderly male, and 'his son' further confirms the male gender context.""), PhysicalAttribute(attribute='rosy cheeks', gender='male', reasoning=""The term 'old gentleman' suggests an elderly male, and 'his son' further confirms the male gender context."")]",a bald head,a bald head
6,2.0,"heobald's engagement was all very well as far as it went, but there was an old gentleman with a bald head and rosy cheeks in a counting-house in Paternoster Row who must sooner or later be told of what his son had in view, and Theobald's heart fluttered when he asked himself what view this old gentleman was likely to take of the situation.",rosy cheeks,male,male,"The term 'old gentleman' suggests an elderly male, and 'his son' further confirms the male gender context.",True,True,"original_sentence=""heobald's engagement was all very well as far as it went, but there was an old gentleman with a bald head and rosy cheeks in a counting-house in Paternoster Row who must sooner or later be told of what his son had in view, and Theobald's heart fluttered when he asked himself what view this old gentleman was likely to take of the situation."" physical_attributes=[PhysicalAttribute(attribute='a bald head', gender='male', reasoning=""The term 'old gentleman' suggests an elderly male, and 'his son' further confirms the male gender context.""), PhysicalAttribute(attribute='rosy cheeks', gender='male', reasoning=""The term 'old gentleman' suggests an elderly male, and 'his son' further confirms the male gender context."")]",rosy cheeks,rosy cheeks
7,,"True--immediately on arriving within a ten mile radius of his father's house, an enchantment fell upon him, so that his knees waxed weak, his greatness departed, and he again felt himself like an overgrown baby under a perpetual cloud; but then he was not often at Elmhurst, and as soon as he left it the spell was taken off again; once more he became the fellow and tutor of his college, the Junior Dean, the betrothed of Christina, the idol of the Allaby womankind.",,male,,,False,False,"original_sentence=""True--immediately on arriving within a ten mile radius of his father's house, an enchantment fell upon him, so that his knees waxed weak, his greatness departed, and he again felt himself like an overgrown baby under a perpetual cloud; but then he was not often at Elmhurst, and as soon as he left it the spell was taken off again; once more he became the fellow and tutor of his college, the Junior Dean, the betrothed of Christina, the idol of the Allaby womankind."" physical_attributes=[]",,
8,3.0,"Even now I can see the men in blue smock frocks reaching to their heels, and more than one old woman in a scarlet cloak; the row of stolid, dull, vacant plough-boys, ungainly in build, uncomely in face, lifeless, apathetic, a race a good deal more like the pre-revolution French peasant as described by Carlyle than is pleasant to reflect upon--a race now supplanted by a smarter, comelier and more hopeful generation, which has discovered that it too has a right to as much happiness as it can get, and with clearer ideas about the best means of getting it.",uncomely face,unknown,unknown,The term 'uncomely' describes facial attractiveness without providing specific gender clues.,True,False,"original_sentence='Even now I can see the men in blue smock frocks reaching to their heels, and more than one old woman in a scarlet cloak; the row of stolid, dull, vacant plough-boys, ungainly in build, uncomely in face, lifeless, apathetic, a race a good deal more like the pre-revolution French peasant as described by Carlyle than is pleasant to reflect upon--a race now supplanted by a smarter, comelier and more hopeful generation, which has discovered that it too has a right to as much happiness as it can get, and with clearer ideas about the best means of getting it.' physical_attributes=[PhysicalAttribute(attribute='ungainly build', gender='unknown', reasoning=""The term 'ungainly' does not provide specific gender clues and refers generally to physical stature or shape.""), PhysicalAttribute(attribute='uncomely face', gender='unknown', reasoning=""The term 'uncomely' describes facial attractiveness without providing specific gender clues."")]",uncomely face,uncomely face
9,4.0,"Gone is that scarebabe stentor, that bellowing bull of Bashan the village blacksmith, gone is the melodious carpenter, gone the brawny shepherd with the red hair, who roared more lustily than all, until they came to the words, ""Shepherds with your flocks abiding,"" when modesty covered him with confusion, and compelled him to be silent, as though his own health were being drunk.",brawny shepherd with red hair,male,male,"The text refers to a 'shepherd' who is described as 'brawny' and has 'red hair'. The term 'shepherd' and the context suggest a male presence, especially since there is mention of modesty covering 'him', indicating a male gender.",True,False,"original_sentence='Gone is that scarebabe stentor, that bellowing bull of Bashan the village blacksmith, gone is the melodious carpenter, gone the brawny shepherd with the red hair, who roared more lustily than all, until they came to the words, ""Shepherds with your flocks abiding,"" when modesty covered him with confusion, and compelled him to be silent, as though his own health were being drunk.' physical_attributes=[PhysicalAttribute(attribute='brawny shepherd with red hair', gender='male', reasoning=""The text refers to a 'shepherd' who is described as 'brawny' and has 'red hair'. The term 'shepherd' and the context suggest a male presence, especially since there is mention of modesty covering 'him', indicating a male gender."")]",brawny shepherd with red hair,brawny shepherd with red hair
10,5.0,The poor woman buries her fevered head in the coverlet in a paroxysm of fear which at last finds relief in tears.,a fevered head,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a fevered head'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='The poor woman buries her fevered head in the coverlet in a paroxysm of fear which at last finds relief in tears.' physical_attributes=[PhysicalAttribute(attribute='a fevered head', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a fevered head'), explicitly suggesting the person's gender as female."")]",a fevered head,a fevered head
11,,"The John Pontifexes, who kept a sharp eye on him, discovered to their dismay that he had had an interview with his solicitors.",,male,,,False,False,"original_sentence='The John Pontifexes, who kept a sharp eye on him, discovered to their dismay that he had had an interview with his solicitors.' physical_attributes=[]",,
12,,They must not wonder if they cut a poor figure in trying to make the most of both worlds.,,unknown,,,False,False,original_sentence='They must not wonder if they cut a poor figure in trying to make the most of both worlds.' physical_attributes=[],,
13,6.0,"His hair when he was a young man was red, but after he had taken his degree he had a brain fever which caused him to have his head shaved; when he reappeared, he did so wearing a wig, and one which was a good deal further off red than his own hair had been.",red hair,male,male,"The text uses the pronoun 'his' to refer to the person with the current attribute ('red hair'), explicitly suggesting the person's gender as male.",True,True,"original_sentence='His hair when he was a young man was red, but after he had taken his degree he had a brain fever which caused him to have his head shaved; when he reappeared, he did so wearing a wig, and one which was a good deal further off red than his own hair had been.' physical_attributes=[PhysicalAttribute(attribute='red hair', gender='male', reasoning=""The text uses the pronoun 'his' to refer to the person with the current attribute ('red hair'), explicitly suggesting the person's gender as male."")]",red hair,red hair
14,,there will be in every school; upon them Dr Skinner's hand was very properly a heavy one.,,unknown,,,False,False,"original_sentence=""there will be in every school; upon them Dr Skinner's hand was very properly a heavy one."" physical_attributes=[]",,
15,7.0,"Mr Greatheart was very stout and he had a red nose; he wore a capacious waistcoat, and a shirt with a huge frill down the middle of the front.",a stout body,male,male,"The text uses the title 'Mr' and the name 'Greatheart', indicating a male character. The attribute 'stout' describes the body type, supporting the male gender inference.",True,False,"original_sentence='Mr Greatheart was very stout and he had a red nose; he wore a capacious waistcoat, and a shirt with a huge frill down the middle of the front.' physical_attributes=[PhysicalAttribute(attribute='a stout body', gender='male', reasoning=""The text uses the title 'Mr' and the name 'Greatheart', indicating a male character. The attribute 'stout' describes the body type, supporting the male gender inference.""), PhysicalAttribute(attribute='a red nose', gender='male', reasoning=""The text uses the title 'Mr' and the name 'Greatheart', indicating a male character. The attribute 'red nose' is a physical description that further supports the male gender inference."")]",a stout body,a stout body
15,7.0,"Mr Greatheart was very stout and he had a red nose; he wore a capacious waistcoat, and a shirt with a huge frill down the middle of the front.",a red nose,male,male,"The text uses the title 'Mr' and the name 'Greatheart', indicating a male character. The attribute 'red nose' is a physical description that further supports the male gender inference.",True,True,"original_sentence='Mr Greatheart was very stout and he had a red nose; he wore a capacious waistcoat, and a shirt with a huge frill down the middle of the front.' physical_attributes=[PhysicalAttribute(attribute='a stout body', gender='male', reasoning=""The text uses the title 'Mr' and the name 'Greatheart', indicating a male character. The attribute 'stout' describes the body type, supporting the male gender inference.""), PhysicalAttribute(attribute='a red nose', gender='male', reasoning=""The text uses the title 'Mr' and the name 'Greatheart', indicating a male character. The attribute 'red nose' is a physical description that further supports the male gender inference."")]",a red nose,a red nose
16,8.0,"Theobald says he is not handsome, but men are no judges, and he has such a pleasant bright face.",a pleasant bright face,male,male,"The text uses the pronoun 'he' to refer to Theobald, indicating that the person described is male. The adjective 'pleasant' and 'bright' communicate positive qualities of the face.",True,False,"original_sentence='Theobald says he is not handsome, but men are no judges, and he has such a pleasant bright face.' physical_attributes=[PhysicalAttribute(attribute='a pleasant bright face', gender='male', reasoning=""The text uses the pronoun 'he' to refer to Theobald, indicating that the person described is male. The adjective 'pleasant' and 'bright' communicate positive qualities of the face."")]",a pleasant bright face,a pleasant bright face
17,,The heavy hand and watchful eye of Theobald were no longer about his path and about his bed and spying out all his ways; and punishment by way of copying out lines of Virgil was a very different thing from the savage beatings of his father.,,male,,,False,False,original_sentence='The heavy hand and watchful eye of Theobald were no longer about his path and about his bed and spying out all his ways; and punishment by way of copying out lines of Virgil was a very different thing from the savage beatings of his father.' physical_attributes=[],,
18,9.0,"Miss Pontifex, sitting opposite the boys in church, and reckoning them up with her keen eyes from under her veil by all a woman's criteria, came to a truer conclusion about the greater number of those she scrutinized than even Dr Skinner had done.",keen eyes,female,female,"The text uses the title 'Miss' and the pronoun 'her', which suggest the person's gender is female.",True,True,"original_sentence=""Miss Pontifex, sitting opposite the boys in church, and reckoning them up with her keen eyes from under her veil by all a woman's criteria, came to a truer conclusion about the greater number of those she scrutinized than even Dr Skinner had done."" physical_attributes=[PhysicalAttribute(attribute='keen eyes', gender='female', reasoning=""The text uses the title 'Miss' and the pronoun 'her', which suggest the person's gender is female."")]",keen eyes,keen eyes
19,10.0,"Her complexion was clear, but high; her eyes were grey and beautifully shaped; her lips were full and restful, with something of an Egyptian Sphinx-like character about them.",a clear complexion,female,female,"The text uses the pronoun 'her' to refer to the person with the current attribute ('a clear complexion'), explicitly suggesting the person's gender as female.",True,True,"original_sentence='Her complexion was clear, but high; her eyes were grey and beautifully shaped; her lips were full and restful, with something of an Egyptian Sphinx-like character about them.' physical_attributes=[PhysicalAttribute(attribute='a clear complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a clear complexion'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described as 'grey', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='beautifully shaped eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being referred to, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('full lips'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='restful lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being attributed as 'restful', explicitly suggesting the person's gender as female."")]",a clear complexion,a clear complexion
19,10.0,"Her complexion was clear, but high; her eyes were grey and beautifully shaped; her lips were full and restful, with something of an Egyptian Sphinx-like character about them.",grey eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being described as 'grey', explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her complexion was clear, but high; her eyes were grey and beautifully shaped; her lips were full and restful, with something of an Egyptian Sphinx-like character about them.' physical_attributes=[PhysicalAttribute(attribute='a clear complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a clear complexion'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described as 'grey', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='beautifully shaped eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being referred to, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('full lips'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='restful lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being attributed as 'restful', explicitly suggesting the person's gender as female."")]",grey eyes,grey eyes
19,10.0,"Her complexion was clear, but high; her eyes were grey and beautifully shaped; her lips were full and restful, with something of an Egyptian Sphinx-like character about them.",beautifully shaped eyes,female,female,"The text uses the pronoun 'her' to describe the person whose eyes are being referred to, explicitly suggesting the person's gender as female.",True,False,"original_sentence='Her complexion was clear, but high; her eyes were grey and beautifully shaped; her lips were full and restful, with something of an Egyptian Sphinx-like character about them.' physical_attributes=[PhysicalAttribute(attribute='a clear complexion', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('a clear complexion'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='grey eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being described as 'grey', explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='beautifully shaped eyes', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose eyes are being referred to, explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='full lips', gender='female', reasoning=""The text uses the pronoun 'her' to refer to the person with the current attribute ('full lips'), explicitly suggesting the person's gender as female.""), PhysicalAttribute(attribute='restful lips', gender='female', reasoning=""The text uses the pronoun 'her' to describe the person whose lips are being attributed as 'restful', explicitly suggesting the person's gender as female."")]",beautifully shaped eyes,beautifully shaped eyes
